"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1946" "NA" "2.0" "3.4" "0.6" "20.0" "8.3" "41.5" "80.8" "24.6" "11.1" "16.4" "1.2" "NA" "NA" "24.0" "130.6" "52.1" NA
"1947" "11.2" "4.6" "5.9" "NA" "1.9" "4.4" "34.5" "10.5" "52.3" "12.8" "60.4" "5.7" "NA" "17.0" "NA" "49.3" "125.5" NA
"1948" "13.9" "9.3" "6.8" "12.4" "9.9" "1.6" "11.5" "11.4" "NA" "95.5" "26.9" "10.8" "NA" "28.9" "29.1" "24.4" "NA" NA
"1949" "27.9" "14.6" "27.6" "27.3" "20.6" "22.1" "36.3" "50.8" "43.6" "39.6" "59.7" "24.4" "394.6" "53.3" "75.5" "109.2" "142.9" NA
"1950" "11.1" "23.9" "15.0" "11.1" "35.9" "41.7" "35.8" "65.2" "50.0" "79.3" "67.0" "40.1" "476.1" "59.4" "62.0" "142.7" "196.3" NA
"1951" "25.9" "19.3" "30.6" "41.3" "37.9" "16.6" "76.1" "65.3" "77.3" "86.3" "59.8" "4.6" "540.9" "85.2" "109.8" "157.9" "223.4" NA
"1952" "40.9" "1.7" "17.1" "33.5" "20.4" "12.1" "64.4" "45.4" "127.8" "36.5" "40.7" "3.4" "443.9" "47.2" "71.1" "121.9" "205.0" NA
"1953" "7.6" "0.9" "0.4" "6.1" "24.9" "3.5" "13.1" "37.5" "64.4" "58.5" "2.4" "NA" "NA" "11.8" "31.4" "54.1" "125.2" NA
"1954" "2.2" "0.0" "4.7" "40.1" "30.7" "46.6" "12.0" "NA" "NA" "14.5" "18.9" "7.0" "NA" "NA" "75.4" "NA" "NA" NA
"1955" "10.7" "10.6" "3.7" "3.0" "14.5" "21.2" "21.6" "6.2" "19.0" "44.5" "2.1" "2.7" "159.8" "28.3" "21.2" "49.0" "65.6" NA
"1956" "5.2" "6.3" "0.6" "8.7" "6.1" "6.8" "36.6" "21.3" "37.3" "20.9" "9.1" "2.1" "160.8" "14.2" "15.3" "64.7" "67.2" NA
"1957" "4.8" "5.1" "11.1" "1.3" "8.4" "7.1" "14.3" "8.4" "11.6" "52.3" "17.8" "3.4" "145.7" "11.9" "20.9" "29.9" "81.7" NA
"1958" "7.8" "8.5" "4.1" "3.5" "12.1" "5.6" "8.1" "7.7" "15.7" "20.2" "2.9" "14.8" "111.1" "19.6" "19.8" "21.4" "38.9" NA
"1959" "36.1" "1.7" "0.1" "22.5" "12.4" "12.3" "21.6" "53.6" "28.1" "40.3" "18.0" "12.0" "258.7" "52.6" "35.0" "87.5" "86.4" NA
"1960" "7.6" "36.5" "2.6" "1.8" "12.9" "8.4" "15.0" "108.3" "30.2" "27.5" "11.5" "13.4" "275.8" "56.1" "17.3" "131.7" "69.2" NA
"1961" "7.6" "2.5" "2.4" "6.4" "25.2" "4.7" "36.1" "81.5" "72.9" "17.6" "2.9" "9.7" "269.5" "23.5" "34.0" "122.3" "93.4" NA
"1962" "3.6" "2.0" "4.8" "1.9" "12.8" "5.5" "12.6" "10.1" "59.1" "42.7" "31.0" "17.7" "203.8" "15.3" "19.5" "28.2" "132.8" NA
"1963" "42.2" "2.8" "0.8" "7.6" "23.5" "5.2" "30.3" "36.1" "81.0" "29.1" "30.7" "12.8" "302.0" "62.7" "31.9" "71.6" "140.8" NA
"1964" "14.3" "14.1" "2.9" "2.2" "5.8" "2.2" "18.5" "12.1" "45.5" "35.4" "8.4" "12.2" "173.6" "41.2" "10.9" "32.8" "89.3" NA
"1965" "28.4" "26.1" "5.8" "7.6" "18.6" "17.4" "52.4" "38.8" "60.3" "52.4" "12.7" "14.1" "334.5" "66.8" "32.0" "108.5" "125.4" NA
"1966" "6.3" "6.6" "4.9" "10.3" "7.2" "22.3" "10.7" "4.6" "31.8" "41.9" "19.2" "1.6" "167.5" "26.9" "22.4" "37.7" "92.9" NA
"1967" "12.2" "3.4" "4.6" "3.3" "9.6" "17.9" "3.3" "11.4" "31.8" "8.2" "20.0" "12.2" "137.8" "17.2" "17.5" "32.6" "60.0" NA
"1968" "7.8" "12.7" "14.1" "14.9" "24.0" "33.9" "61.7" "70.0" "51.3" "67.9" "10.5" "7.9" "376.9" "32.8" "53.0" "165.6" "129.7" NA
"1969" "10.9" "10.9" "5.8" "3.0" "34.2" "13.2" "12.5" "29.5" "10.9" "35.6" "31.7" "6.2" "204.4" "29.8" "43.0" "55.3" "78.2" NA
"1970" "8.3" "11.4" "10.1" "10.9" "34.5" "32.9" "34.8" "22.6" "68.1" "78.6" "31.7" "15.6" "359.6" "25.9" "55.5" "90.3" "178.4" NA
