"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1908" "2.8" "6.8" "33.2" "NA" "36.2" "79.4" "99.1" "50.2" "37.0" "18.0" "4.2" "18.3" "NA" "NA" "NA" "228.6" "59.2" NA
"1909" "34.1" "14.1" "4.5" "23.0" "71.8" "37.3" "42.5" "47.1" "28.2" "25.3" "50.8" "11.2" "389.9" "66.5" "99.2" "126.9" "104.3" NA
"1910" "7.8" "2.4" "21.1" "NA" "42.3" "53.5" "46.0" "33.8" "31.2" "7.6" "18.4" "29.6" "NA" "21.4" "NA" "133.4" "57.3" NA
"1911" "46.3" "11.3" "14.0" "4.2" "34.8" "72.2" "109.8" "48.1" "81.1" "0.0" "20.7" "25.4" "468.0" "87.3" "53.0" "230.2" "101.8" NA
"1912" "22.6" "4.4" "8.4" "26.6" "21.8" "19.5" "34.1" "NA" "16.3" "24.6" "8.3" "26.9" "NA" "52.5" "56.8" "NA" "49.3" NA
"1913" "45.7" "52.2" "0.0" "0.0" "43.0" "135.6" "268.2" "120.1" "21.1" "31.4" "8.4" "17.0" "742.8" "124.8" "43.0" "523.9" "61.0" NA
"1914" "45.2" "12.7" "NA" "NA" "0.0" "228.4" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "74.8" "NA" "NA" "NA" NA
"1915" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1916" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1917" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1918" "24.0" "22.6" "25.6" "12.7" "11.7" "77.3" "25.3" "51.6" "8.1" "19.2" "5.7" "4.2" "288.1" "NA" "50.0" "154.2" "33.0" NA
"1919" "15.8" "2.8" "8.4" "NA" "83.9" "61.1" "65.1" "77.5" "18.3" "19.6" "11.9" "26.9" "NA" "22.8" "NA" "203.8" "49.7" NA
"1920" "40.0" "NA" "12.7" "0.3" "53.6" "38.8" "50.0" "61.1" "39.2" "NA" "14.1" "16.9" "NA" "NA" "66.6" "149.9" "NA" NA
"1921" "7.0" "7.0" "0.0" "34.8" "60.7" "36.2" "122.1" "113.7" "48.0" "16.1" "NA" "18.3" "NA" "30.9" "95.4" "272.1" "NA" NA
"1922" "4.4" "17.0" "18.3" "NA" "1.9" "42.9" "17.9" "20.8" "NA" "4.2" "NA" "11.3" "NA" "39.8" "NA" "81.6" "NA" NA
"1923" "5.7" "NA" "5.8" "11.1" "13.4" "21.3" "52.0" "19.9" "NA" "NA" "15.5" "14.1" "NA" "NA" "30.3" "93.3" "NA" NA
"1924" "25.4" "8.4" "5.7" "NA" "0.0" "26.6" "51.0" "0.0" "NA" "NA" "3.2" "8.7" "NA" "48.0" "NA" "77.6" "NA" NA
