"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1904" "17.5" "26.6" "82.4" "0.0" "73.2" "74.9" "79.2" "19.0" "17.8" "20.9" "20.0" "8.9" "440.3" "NA" "155.6" "173.0" "58.7" NA
"1905" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1906" "26.9" "17.6" "9.2" "52.1" "99.4" "139.9" "18.5" "29.2" "41.5" "4.4" "84.4" "56.0" "579.3" "NA" "160.7" "187.6" "130.4" NA
"1907" "94.3" "32.5" "52.8" "48.5" "53.2" "92.0" "101.5" "142.0" "19.1" "0.5" "6.1" "35.3" "677.7" "182.9" "154.5" "335.4" "25.7" NA
"1908" "15.0" "35.7" "47.4" "25.6" "27.7" "110.8" "14.1" "54.3" "12.9" "43.7" "20.6" "21.3" "429.1" "85.9" "100.7" "179.2" "77.3" NA
"1909" "26.6" "20.4" "17.6" "21.8" "72.6" "110.0" "175.2" "46.6" "32.4" "12.0" "36.9" "9.9" "582.0" "68.3" "112.0" "331.8" "81.3" NA
"1910" "1.3" "2.6" "45.2" "6.4" "60.3" "73.1" "28.9" "70.0" "28.8" "5.0" "3.3" "5.1" "330.0" "13.8" "112.0" "172.0" "37.0" NA
"1911" "8.1" "3.4" "4.5" "62.6" "98.9" "104.5" "57.8" "76.7" "29.7" "32.8" "2.3" "2.0" "483.3" "16.6" "166.0" "239.0" "64.8" NA
"1912" "2.9" "2.3" "1.4" "6.2" "107.4" "52.2" "79.2" "95.7" "56.1" "17.1" "3.0" "1.4" "425.0" "7.2" "115.0" "227.2" "76.2" NA
"1913" "2.8" "1.9" "15.3" "7.0" "13.9" "58.3" "58.3" "78.1" "8.1" "24.3" "0.7" "0.4" "269.1" "6.0" "36.2" "194.7" "33.1" NA
"1914" "30.9" "13.2" "25.1" "28.0" "10.9" "90.4" "12.8" "26.1" "26.8" "54.4" "29.0" "13.2" "361.0" "44.5" "64.0" "129.4" "110.2" NA
"1915" "6.2" "2.3" "0.0" "11.2" "116.4" "95.6" "67.8" "26.6" "37.9" "17.4" "5.2" "19.6" "406.1" "21.7" "127.5" "190.0" "60.5" NA
"1916" "55.7" "14.7" "53.1" "12.2" "41.0" "127.8" "136.0" "42.7" "44.0" "53.1" "8.9" "13.5" "602.7" "90.0" "106.3" "306.5" "106.0" NA
"1917" "11.2" "10.3" "8.1" "41.5" "0.0" "111.8" "18.5" "40.6" "33.5" "36.4" "0.0" "8.8" "320.8" "35.0" "49.6" "170.9" "69.9" NA
"1918" "38.3" "23.5" "57.3" "35.1" "40.1" "32.5" "66.1" "20.3" "14.2" "11.8" "5.9" "15.8" "360.9" "70.7" "132.5" "118.9" "31.9" NA
"1919" "15.4" "21.4" "17.2" "13.7" "76.2" "89.2" "45.2" "55.5" "11.4" "34.9" "23.0" "2.3" "405.3" "52.5" "107.1" "189.9" "69.3" NA
"1920" "57.4" "5.9" "31.4" "44.8" "59.6" "79.7" "78.7" "55.4" "13.2" "25.0" "6.8" "10.3" "468.3" "65.7" "135.8" "213.8" "45.0" NA
"1921" "6.8" "11.8" "24.2" "31.5" "38.0" "35.9" "51.5" "66.5" "121.4" "32.8" "10.7" "13.3" "444.6" "29.0" "93.8" "153.9" "164.9" NA
"1922" "14.3" "9.9" "15.5" "25.8" "69.8" "8.1" "69.6" "51.5" "0.5" "16.5" "3.5" "20.6" "305.3" "37.5" "111.0" "129.1" "20.5" NA
"1923" "10.8" "13.8" "13.5" "11.1" "74.3" "105.6" "91.5" "70.5" "4.0" "6.5" "33.9" "13.0" "448.4" "45.1" "98.9" "267.6" "44.3" NA
"1924" "23.2" "9.6" "5.7" "62.7" "37.9" "93.9" "47.2" "87.2" "13.9" "55.7" "23.3" "20.5" "480.8" "45.7" "106.3" "228.3" "92.9" NA
"1925" "14.8" "3.1" "4.8" "34.4" "38.8" "79.5" "35.0" "18.1" "72.8" "7.1" "NA" "0.0" "NA" "38.5" "78.1" "132.6" "NA" NA
"1926" "8.8" "26.6" "8.9" "10.5" "78.9" "25.1" "40.7" "69.2" "56.7" "6.1" "47.2" "NA" "NA" "35.4" "98.4" "135.0" "110.1" NA
"1927" "NA" "17.6" "66.4" "21.9" "161.3" "30.0" "69.0" "15.7" "37.1" "42.0" "30.9" "8.8" "NA" "NA" "249.7" "114.7" "109.9" NA
"1928" "0.1" "1.7" "17.2" "17.5" "13.5" "164.9" "68.0" "8.7" "10.1" "16.0" "0.1" "3.0" "320.8" "10.7" "48.1" "241.5" "26.3" NA
"1929" "14.8" "8.8" "18.7" "27.9" "42.8" "22.4" "4.5" "4.3" "20.5" "19.2" "19.8" "NA" "NA" "26.7" "89.4" "31.3" "59.5" NA
"1930" "NA" "17.6" "0.1" "46.8" "26.5" "72.0" "15.8" "36.1" "28.7" "3.6" "8.8" "0.1" "NA" "NA" "73.4" "124.0" "41.2" NA
"1931" "0.0" "0.1" "9.9" "5.9" "18.5" "58.3" "15.6" "72.0" "43.9" "4.4" "3.1" "17.7" "249.3" "0.3" "34.2" "145.9" "51.4" NA
"1932" "6.1" "0.1" "NA" "21.6" "13.6" "117.7" "122.4" "86.3" "11.2" "48.1" "14.7" "1.5" "NA" "23.9" "NA" "326.3" "74.1" NA
"1933" "NA" "NA" "1.7" "21.0" "63.7" "47.4" "20.1" "68.6" "54.8" "12.8" "NA" "26.4" "NA" "NA" "86.4" "136.2" "NA" NA
"1934" "NA" "NA" "14.7" "NA" "14.9" "131.5" "17.0" "28.4" "36.1" "2.8" "2.6" "1.5" "NA" "NA" "NA" "176.9" "41.5" NA
"1935" "NA" "NA" "NA" "6.7" "67.1" "95.8" "27.5" "68.2" "11.2" "20.3" "NA" "NA" "NA" "NA" "NA" "191.5" "NA" NA
"1936" "NA" "NA" "NA" "2.0" "61.7" "55.8" "15.9" "15.8" "24.2" "1.9" "NA" "NA" "NA" "NA" "NA" "87.4" "NA" NA
"1937" "NA" "NA" "NA" "9.6" "28.1" "25.6" "61.8" "15.5" "16.9" "7.3" "17.0" "NA" "NA" "NA" "NA" "103.0" "41.2" NA
"1938" "NA" "NA" "21.0" "22.3" "61.2" "36.2" "21.8" "25.4" "28.9" "30.1" "6.0" "NA" "NA" "NA" "104.4" "83.4" "65.0" NA
"1939" "1.5" "NA" "1.2" "11.9" "44.1" "128.5" "18.2" "8.1" "6.2" "22.9" "6.7" "NA" "NA" "NA" "57.2" "154.7" "35.8" NA
"1940" "NA" "NA" "NA" "35.2" "26.2" "77.1" "45.3" "5.8" "29.4" "12.3" "NA" "NA" "NA" "NA" "NA" "128.2" "NA" NA
"1941" "NA" "NA" "NA" "12.9" "35.1" "47.0" "60.9" "78.4" "18.1" "4.5" "30.2" "NA" "NA" "NA" "NA" "186.3" "52.8" NA
"1942" "NA" "NA" "NA" "68.6" "18.9" "152.7" "35.5" "48.6" "54.1" "16.6" "NA" "NA" "NA" "NA" "NA" "236.8" "NA" NA
"1943" "NA" "NA" "NA" "NA" "78.9" "27.2" "32.2" "117.7" "19.3" "58.4" "8.8" "14.9" "NA" "NA" "NA" "177.1" "86.5" NA
"1944" "11.8" "NA" "11.8" "17.2" "86.2" "92.0" "51.1" "41.8" "10.6" "4.0" "4.1" "NA" "NA" "NA" "115.2" "185.0" "18.7" NA
"1945" "NA" "2.9" "22.2" "29.7" "17.8" "56.9" "16.0" "23.3" "70.1" "27.6" "NA" "17.8" "NA" "NA" "69.8" "96.1" "NA" NA
"1946" "13.0" "35.4" "1.5" "17.5" "22.2" "55.7" "90.1" "34.4" "35.5" "36.5" "NA" "26.6" "NA" "66.1" "41.3" "180.1" "NA" NA
"1947" "4.4" "9.2" "2.1" "31.0" "31.8" "141.1" "41.4" "91.3" "55.8" "6.8" "12.4" "19.1" "446.6" "40.2" "64.9" "273.9" "75.1" NA
"1948" "NA" "31.0" "5.9" "23.2" "10.6" "24.9" "120.6" "23.5" "7.9" "0.1" "14.0" "38.4" "NA" "NA" "39.7" "169.0" "22.1" NA
"1949" "0.3" "0.2" "6.0" "0.3" "21.9" "52.2" "43.1" "29.0" "13.6" "41.7" "3.2" "16.4" "227.9" "39.0" "28.2" "124.3" "58.4" NA
"1950" "39.9" "NA" "16.4" "8.0" "37.4" "53.4" "108.3" "47.2" "21.2" "11.6" "6.5" "3.0" "NA" "NA" "61.8" "208.9" "39.2" NA
"1951" "24.1" "22.0" "17.6" "29.0" "2.1" "133.6" "25.1" "120.8" "62.1" "18.8" "7.1" "16.8" "479.3" "49.2" "48.8" "279.5" "88.0" NA
"1952" "20.9" "7.9" "14.7" "0.1" "29.9" "63.1" "63.3" "48.2" "32.7" "4.7" "9.1" "1.5" "296.2" "45.6" "44.8" "174.7" "46.5" NA
"1953" "18.4" "9.3" "15.3" "47.5" "76.1" "126.6" "31.0" "32.9" "48.0" "13.1" "0.2" "12.7" "431.1" "29.2" "138.9" "190.4" "61.3" NA
"1954" "19.3" "3.7" "1.5" "12.7" "65.5" "59.4" "139.6" "134.6" "72.9" "6.9" "6.8" "3.2" "526.0" "35.7" "79.7" "333.6" "86.6" NA
"1955" "14.7" "6.1" "15.3" "59.2" "74.9" "40.0" "119.6" "6.3" "22.4" "4.1" "19.1" "25.8" "407.8" "24.1" "149.5" "165.9" "45.7" NA
"1956" "13.3" "8.8" "9.0" "12.6" "34.9" "58.8" "44.2" "11.2" "7.3" "30.6" "5.9" "36.9" "273.6" "48.0" "56.5" "114.2" "43.8" NA
"1957" "2.2" "0.6" "10.9" "26.6" "1.2" "69.0" "63.6" "37.7" "11.2" "26.0" "37.8" "23.5" "310.3" "39.7" "38.7" "170.3" "75.0" NA
"1958" "6.5" "28.7" "6.8" "19.4" "2.6" "34.4" "63.2" "50.9" "21.2" "16.1" "29.8" "12.5" "292.1" "58.8" "28.8" "148.4" "67.1" NA
"1959" "4.8" "4.0" "14.8" "17.1" "24.0" "122.6" "54.6" "9.2" "101.9" "47.0" "26.7" "11.9" "438.6" "21.3" "56.0" "186.4" "175.5" NA
"1960" "7.3" "3.7" "10.0" "18.7" "31.2" "126.7" "34.5" "37.7" "0.1" "1.5" "14.1" "14.8" "300.5" "22.9" "60.0" "198.8" "15.8" NA
"1961" "15.0" "33.4" "0.1" "34.3" "35.1" "72.3" "11.5" "0.5" "8.8" "32.0" "10.0" "6.8" "259.9" "63.3" "69.5" "84.3" "50.8" NA
"1962" "6.5" "NA" "NA" "1.9" "34.3" "70.6" "86.7" "138.2" "29.5" "28.6" "4.5" "9.9" "NA" "NA" "NA" "295.5" "62.6" NA
"1963" "11.0" "19.7" "NA" "12.6" "53.9" "201.9" "47.9" "55.3" "37.6" "6.5" "3.3" "14.7" "NA" "40.5" "NA" "305.1" "47.4" NA
"1964" "22.1" "NA" "NA" "NA" "40.5" "44.5" "40.8" "18.4" "48.6" "1.3" "7.5" "61.8" "NA" "NA" "NA" "103.7" "57.4" NA
"1965" "37.5" "26.0" "29.7" "21.8" "83.2" "76.7" "37.8" "40.0" "62.8" "0.8" "57.5" "23.5" "497.4" "125.3" "134.8" "154.4" "121.1" NA
"1966" "35.4" "14.7" "8.1" "59.8" "15.3" "77.1" "73.8" "81.5" "8.8" "8.2" "30.5" "11.6" "424.8" "73.7" "83.2" "232.4" "47.4" NA
"1967" "41.2" "32.4" "70.0" "30.0" "16.1" "64.6" "26.3" "45.6" "113.7" "36.9" "24.8" "19.4" "521.0" "85.2" "116.1" "136.5" "175.4" NA
"1968" "20.7" "1.7" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "12.5" "2.0" "19.3" "NA" "41.7" "NA" "NA" "NA" NA
"1969" "57.6" "23.7" "23.3" "16.5" "15.0" "45.7" "112.0" "2.1" "NA" "NA" "NA" "NA" "NA" "100.5" "54.9" "159.8" "NA" NA
"1970" "NA" "NA" "NA" "NA" "NA" "142.9" "30.6" "8.9" "40.9" "3.1" "8.0" "NA" "NA" "NA" "NA" "182.4" "51.9" NA
"1971" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
