"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1927" "NA" "NA" "NA" "36.5" "15.7" "13.7" "103.0" "65.5" "86.3" "16.1" "NA" "NA" "NA" "NA" "NA" "182.2" "NA" NA
"1928" "NA" "NA" "NA" "13.3" "33.3" "28.3" "55.8" "35.0" "13.9" "14.2" "2.6" "NA" "NA" "NA" "NA" "119.2" "30.8" NA
"1929" "NA" "NA" "NA" "13.7" "12.2" "23.6" "81.8" "28.4" "62.1" "1.5" "22.1" "NA" "NA" "NA" "NA" "133.7" "85.8" NA
"1930" "NA" "NA" "NA" "19.4" "61.2" "100.7" "57.3" "42.8" "88.8" "NA" "NA" "NA" "NA" "NA" "NA" "200.8" "NA" NA
"1931" "NA" "NA" "NA" "NA" "40.8" "101.1" "57.1" "69.6" "92.7" "46.2" "NA" "NA" "NA" "NA" "NA" "227.7" "NA" NA
"1932" "NA" "NA" "NA" "NA" "45.9" "71.3" "66.7" "146.6" "4.4" "NA" "NA" "NA" "NA" "NA" "NA" "284.6" "NA" NA
"1933" "NA" "NA" "NA" "NA" "27.1" "80.3" "96.6" "27.0" "52.3" "NA" "NA" "NA" "NA" "NA" "NA" "204.0" "NA" NA
"1934" "NA" "NA" "NA" "25.6" "38.0" "123.4" "69.1" "19.0" "20.5" "25.2" "NA" "NA" "NA" "NA" "NA" "211.5" "NA" NA
"1935" "NA" "NA" "NA" "13.1" "51.9" "55.0" "52.3" "37.0" "47.9" "17.8" "NA" "NA" "NA" "NA" "NA" "144.4" "NA" NA
"1936" "NA" "NA" "NA" "2.4" "38.2" "54.4" "91.7" "97.5" "112.3" "7.6" "NA" "NA" "NA" "NA" "NA" "243.6" "NA" NA
"1937" "NA" "NA" "NA" "24.1" "65.5" "25.1" "27.4" "97.1" "41.5" "31.8" "NA" "NA" "NA" "NA" "NA" "149.6" "NA" NA
"1938" "NA" "NA" "NA" "6.8" "34.4" "20.7" "113.9" "51.9" "41.2" "31.3" "NA" "NA" "NA" "NA" "NA" "186.5" "NA" NA
"1939" "NA" "NA" "NA" "11.6" "57.0" "91.8" "32.4" "51.9" "26.3" "26.6" "NA" "NA" "NA" "NA" "NA" "176.0" "NA" NA
"1940" "NA" "NA" "NA" "18.1" "29.4" "45.1" "49.5" "14.7" "29.8" "19.1" "NA" "NA" "NA" "NA" "NA" "109.4" "NA" NA
"1941" "NA" "NA" "NA" "22.9" "44.4" "104.8" "52.3" "39.8" "29.4" "9.2" "NA" "NA" "NA" "NA" "NA" "196.9" "NA" NA
"1942" "NA" "NA" "NA" "22.5" "28.2" "115.8" "65.4" "68.5" "25.1" "14.2" "NA" "NA" "NA" "NA" "NA" "249.7" "NA" NA
"1943" "NA" "NA" "NA" "17.5" "33.6" "101.0" "61.5" "39.9" "47.7" "18.1" "NA" "NA" "NA" "NA" "NA" "202.3" "NA" NA
"1944" "NA" "NA" "NA" "3.8" "33.0" "84.4" "92.9" "100.3" "8.9" "30.9" "NA" "NA" "NA" "NA" "NA" "277.6" "NA" NA
"1945" "NA" "NA" "NA" "19.4" "12.2" "99.5" "29.4" "78.5" "87.5" "22.2" "NA" "NA" "NA" "NA" "NA" "207.4" "NA" NA
"1946" "NA" "NA" "NA" "8.5" "28.7" "68.9" "105.4" "131.2" "51.6" "29.5" "NA" "NA" "NA" "NA" "NA" "305.5" "NA" NA
"1947" "NA" "NA" "NA" "12.3" "19.8" "49.8" "107.5" "154.4" "67.4" "37.0" "NA" "NA" "NA" "NA" "NA" "311.8" "NA" NA
"1948" "NA" "NA" "NA" "NA" "5.7" "47.0" "81.8" "80.0" "19.0" "15.7" "NA" "NA" "NA" "NA" "NA" "208.7" "NA" NA
"1949" "NA" "NA" "NA" "14.7" "54.7" "161.3" "66.0" "44.5" "50.2" "38.3" "NA" "NA" "NA" "NA" "NA" "271.9" "NA" NA
"1950" "NA" "NA" "NA" "NA" "31.7" "44.1" "44.8" "154.1" "36.4" "43.1" "37.7" "27.2" "NA" "NA" "NA" "243.1" "117.3" NA
"1951" "12.8" "6.7" "26.8" "10.1" "60.3" "117.9" "68.2" "63.0" "67.3" "14.9" "8.1" "8.0" "464.1" "46.7" "97.1" "249.2" "90.3" NA
"1952" "13.3" "16.1" "8.0" "0.0" "86.3" "81.7" "55.5" "43.2" "61.4" "15.1" "13.3" "6.6" "400.6" "37.4" "94.3" "180.4" "89.8" NA
"1953" "28.1" "NA" "50.7" "NA" "9.1" "110.0" "85.4" "59.3" "90.6" "10.7" "22.7" "13.3" "NA" "NA" "NA" "254.8" "124.0" NA
"1954" "21.4" "9.4" "NA" "21.9" "42.6" "75.5" "82.9" "70.9" "96.3" "50.4" "14.7" "12.1" "NA" "44.1" "NA" "229.3" "161.4" NA
"1955" "18.9" "4.0" "9.4" "55.8" "70.3" "49.2" "121.7" "59.3" "52.9" "13.9" "82.7" "33.4" "571.3" "35.0" "135.4" "230.1" "149.5" NA
"1956" "34.6" "27.8" "17.3" "13.8" "27.3" "86.6" "106.3" "58.2" "49.9" "22.0" "20.1" "22.7" "486.7" "95.8" "58.4" "251.2" "91.9" NA
"1957" "10.6" "16.1" "26.7" "16.2" "78.4" "22.1" "87.5" "41.6" "62.0" "28.2" "21.1" "27.9" "438.3" "49.4" "121.3" "151.2" "111.2" NA
"1958" "25.4" "27.9" "2.7" "28.8" "32.9" "23.6" "125.5" "84.9" "97.6" "NA" "19.4" "18.8" "NA" "81.2" "64.5" "234.0" "NA" NA
"1959" "31.0" "12.2" "21.3" "26.5" "24.9" "61.4" "58.9" "79.7" "69.4" "21.7" "33.4" "16.9" "457.3" "62.0" "72.7" "199.9" "124.5" NA
"1960" "7.9" "29.0" "76.8" "12.0" "36.3" "11.9" "18.7" "15.4" "36.6" "19.6" "27.6" "14.8" "306.7" "53.8" "125.1" "46.1" "83.9" NA
"1961" "4.4" "32.8" "23.0" "19.8" "24.6" "26.6" "56.5" "29.7" "56.5" "73.8" "48.7" "26.1" "422.4" "52.0" "67.4" "112.9" "178.9" NA
"1962" "22.1" "10.9" "26.2" "16.4" "31.1" "81.3" "24.3" "90.7" "39.0" "51.1" "33.8" "32.7" "459.7" "59.1" "73.8" "196.3" "123.9" NA
"1963" "25.7" "8.2" "43.2" "2.9" "55.0" "85.3" "123.4" "66.2" "68.2" "22.7" "20.6" "13.7" "535.3" "66.6" "101.1" "275.0" "111.5" NA
"1964" "43.2" "29.5" "NA" "25.3" "38.5" "22.6" "139.8" "135.7" "NA" "NA" "16.3" "28.2" "NA" "86.4" "NA" "298.1" "NA" NA
"1965" "17.6" "69.7" "12.5" "6.4" "71.7" "70.7" "114.9" "60.7" "79.0" "12.5" "47.1" "31.1" "593.8" "115.5" "90.6" "246.2" "138.5" NA
"1966" "14.9" "22.9" "29.9" "18.0" "20.5" "112.9" "141.9" "46.3" "15.9" "47.8" "32.5" "39.0" "542.5" "69.0" "68.4" "301.1" "96.1" NA
"1967" "38.0" "19.0" "13.1" "21.8" "30.6" "47.8" "92.3" "27.7" "30.7" "61.7" "36.6" "33.6" "453.0" "96.0" "65.5" "167.9" "129.0" NA
"1968" "26.8" "9.5" "17.7" "19.3" "48.2" "55.3" "41.1" "63.3" "88.5" "23.8" "27.7" "50.2" "471.2" "69.8" "85.1" "159.7" "140.0" NA
"1969" "20.2" "21.3" "10.8" "19.6" "64.0" "26.2" "47.9" "92.9" "113.8" "43.5" "9.2" "22.4" "492.0" "91.7" "94.4" "167.0" "166.6" NA
"1970" "17.4" "18.8" "20.4" "64.9" "38.1" "125.5" "98.7" "35.6" "27.2" "67.3" "29.7" "26.9" "570.6" "58.6" "123.4" "259.9" "124.2" NA
"1971" "21.9" "35.0" "24.3" "27.0" "15.4" "43.9" "100.4" "54.5" "116.7" "48.2" "26.3" "47.8" "561.5" "83.8" "66.7" "198.8" "191.2" NA
"1972" "21.9" "26.9" "31.3" "49.2" "46.3" "145.6" "51.8" "40.1" "116.2" "25.6" "34.8" "20.8" "610.6" "96.6" "126.8" "237.6" "176.6" NA
"1973" "29.8" "17.8" "26.2" "47.7" "27.3" "94.4" "62.8" "64.4" "48.1" "37.5" "71.0" "22.9" "549.9" "68.5" "101.2" "221.6" "156.6" NA
"1974" "33.9" "22.2" "50.7" "5.8" "29.4" "60.6" "34.5" "126.0" "54.1" "34.6" "31.9" "24.2" "507.9" "79.0" "85.9" "221.1" "120.6" NA
"1975" "52.6" "10.4" "4.2" "45.0" "168.2" "66.6" "89.0" "51.0" "62.3" "4.6" "10.3" "20.7" "585.1" "87.3" "217.4" "206.7" "77.2" NA
"1976" "22.1" "7.5" "13.9" "30.9" "12.2" "202.6" "156.9" "18.9" "16.7" "55.9" "10.5" "14.1" "562.3" "50.3" "57.0" "378.4" "83.1" NA
"1977" "2.5" "19.1" "13.3" "11.1" "111.9" "38.3" "132.5" "88.3" "38.0" "80.1" "30.3" "17.5" "583.2" "35.8" "136.3" "259.2" "148.5" NA
"1978" "9.0" "9.5" "47.1" "29.0" "30.2" "38.7" "60.6" "154.6" "30.8" "82.6" "22.7" "25.1" "539.8" "35.9" "106.2" "253.9" "136.1" NA
"1979" "4.1" "8.8" "21.5" "35.6" "66.3" "50.5" "21.4" "47.0" "80.1" "53.1" "9.9" "13.6" "411.9" "38.0" "123.4" "119.0" "143.1" NA
"1980" "24.7" "14.2" "36.8" "1.4" "21.9" "46.6" "57.6" "81.0" "97.7" "24.4" "16.5" "38.3" "461.1" "52.4" "60.0" "185.2" "138.7" NA
"1981" "11.7" "18.7" "6.5" "23.2" "19.8" "59.2" "57.8" "20.9" "42.9" "64.1" "10.5" "33.1" "368.3" "68.8" "49.5" "137.8" "117.5" NA
"1982" "7.8" "25.9" "37.7" "8.4" "34.1" "53.1" "NA" "NA" "22.2" "0.0" "11.1" "38.8" "NA" "66.8" "80.2" "NA" "33.3" NA
"1983" "17.8" "9.0" "16.1" "38.2" "35.6" "91.0" "96.3" "51.6" "146.3" "20.1" "NA" "NA" "NA" "65.7" "90.0" "238.9" "NA" NA
"1984" "26.3" "13.5" "8.5" "10.7" "50.8" "96.9" "92.2" "91.8" "94.1" "74.7" "NA" "NA" "NA" "NA" "70.0" "280.9" "NA" NA
"1985" "10.9" "19.1" "8.9" "19.9" "100.1" "127.3" "67.9" "86.1" "50.9" "15.2" "10.1" "30.6" "547.1" "NA" "129.0" "281.3" "76.2" NA
"1986" "13.1" "3.6" "12.1" "51.9" "44.2" "69.4" "177.5" "28.7" "53.7" "17.7" "24.6" "25.4" "521.9" "47.3" "108.2" "275.6" "96.0" NA
"1987" "25.5" "31.3" "14.0" "4.2" "63.1" "58.5" "66.0" "73.6" "41.4" "29.4" "4.2" "8.2" "419.4" "82.2" "81.3" "198.1" "75.0" NA
"1988" "28.4" "8.4" "18.6" "13.7" "8.9" "60.8" "51.2" "91.4" "83.3" "5.6" "6.7" "12.5" "389.4" "45.0" "41.2" "203.4" "95.5" NA
"1989" "7.3" "8.0" "19.4" "17.0" "47.5" "88.0" "24.8" "87.4" "NA" "29.6" "33.9" "1.7" "NA" "27.8" "84.0" "200.2" "NA" NA
"1990" "NA" "0.0" "0.0" "0.5" "0.3" "87.3" "70.4" "47.0" "NA" "22.3" "47.9" "5.8" "NA" "NA" "0.8" "204.7" "NA" NA
"1991" "7.7" "0.2" "0.0" "21.9" "37.7" "60.2" "67.0" "40.7" "80.8" "64.3" "8.8" "12.5" "401.8" "13.7" "59.6" "167.8" "154.0" NA
"1992" "20.3" "21.5" "7.2" "28.9" "40.2" "50.7" "43.5" "30.8" "54.8" "45.4" "10.3" "19.1" "372.6" "54.3" "76.3" "124.9" "110.5" NA
"1993" "5.6" "14.0" "5.6" "51.0" "22.1" "112.7" "105.5" "55.8" "45.1" "32.6" "13.5" "20.1" "483.5" "38.7" "78.7" "273.9" "91.2" NA
"1994" "14.5" "16.9" "31.1" "17.8" "31.2" "27.2" "89.6" "70.6" "20.4" "52.7" "28.8" "34.0" "434.9" "51.5" "80.1" "187.4" "101.9" NA
"1995" "16.5" "10.8" "18.1" "13.6" "10.1" "8.1" "94.8" "166.0" "23.5" "47.8" "19.2" "28.7" "457.2" "61.4" "41.8" "268.9" "90.5" NA
"1996" "12.6" "22.5" "23.1" "4.6" "53.8" "110.8" "55.0" "36.4" "82.2" "69.4" "30.8" "22.7" "523.8" "63.8" "81.5" "202.2" "182.3" NA
"1997" "28.6" "13.0" "19.7" "33.7" "15.3" "104.8" "73.5" "46.1" "84.5" "7.3" "10.9" "32.9" "470.3" "64.3" "68.7" "224.5" "102.7" NA
"1998" "27.3" "14.5" "11.9" "19.0" "32.4" "133.8" "93.3" "42.3" "34.4" "45.7" "29.7" "25.3" "509.7" "74.8" "63.3" "269.3" "109.8" NA
"1999" "10.7" "19.2" "6.7" "41.8" "98.3" "57.7" "92.1" "48.0" "34.3" "31.8" "16.4" "62.6" "519.7" "55.3" "146.8" "197.9" "82.6" NA
