"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1919" "128.1" "72.9" "158.9" "98.8" "120.6" "119.3" "102.0" "111.7" "114.8" "69.2" "132.3" "42.7" "1271.3" "NA" "378.2" "333.0" "316.3" NA
"1920" "90.0" "110.7" "101.4" "126.5" "37.3" "115.7" "133.7" "81.5" "167.6" "83.6" "85.6" "153.9" "1287.6" "243.5" "265.2" "330.9" "336.9" NA
"1921" "107.5" "43.9" "155.4" "89.5" "40.7" "101.2" "161.1" "66.9" "165.4" "152.6" "129.8" "140.9" "1354.9" "305.3" "285.7" "329.2" "447.8" NA
"1922" "58.5" "87.2" "96.9" "148.1" "61.2" "150.0" "78.6" "52.7" "20.2" "107.9" "49.3" "86.9" "997.5" "286.6" "306.2" "281.3" "177.5" NA
"1923" "113.7" "81.0" "88.9" "100.6" "97.5" "115.8" "60.7" "163.7" "51.1" "117.5" "98.9" "123.5" "1213.1" "281.6" "287.0" "340.3" "267.6" NA
"1924" "201.2" "97.9" "47.4" "174.6" "125.7" "63.2" "111.3" "92.6" "218.2" "15.9" "72.3" "120.9" "1341.4" "422.7" "347.7" "267.2" "306.4" NA
"1925" "89.2" "146.2" "132.0" "66.9" "90.2" "92.5" "101.5" "45.3" "112.6" "94.9" "107.3" "52.4" "1131.0" "356.4" "289.0" "239.3" "314.8" NA
"1926" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1927" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1928" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1929" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1930" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1931" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "48.8" "60.0" "28.5" "NA" "NA" "NA" "NA" "NA" NA
"1932" "110.3" "44.2" "97.5" "67.6" "26.0" "65.7" "60.6" "41.8" "105.4" "160.4" "158.2" "51.2" "988.9" "183.0" "191.2" "168.0" "424.0" NA
"1933" "103.8" "64.7" "78.4" "125.1" "111.0" "121.7" "123.3" "81.7" "32.2" "114.0" "101.5" "105.6" "1163.1" "219.6" "314.5" "326.8" "247.7" NA
"1934" "84.6" "62.9" "114.0" "164.1" "NA" "124.9" "30.1" "86.3" "103.8" "59.8" "97.5" "60.0" "NA" "253.1" "NA" "241.3" "261.1" NA
"1935" "139.6" "84.5" "55.2" "NA" "NA" "173.2" "90.3" "103.5" "123.9" "43.8" "149.5" "35.0" "NA" "284.2" "NA" "366.9" "317.2" NA
"1936" "136.0" "51.7" "153.2" "90.7" "70.4" "80.8" "145.0" "87.4" "108.0" "105.9" "112.5" "89.5" "1231.0" "222.6" "314.3" "313.2" "326.4" NA
"1937" "54.6" "69.6" "61.1" "38.1" "44.8" "20.0" "82.7" "62.8" "122.8" "157.4" "116.5" "107.8" "938.2" "213.7" "144.0" "165.5" "396.7" NA
"1938" "74.9" "64.5" "67.5" "110.5" "50.2" "76.5" "80.2" "113.5" "113.8" "39.2" "57.8" "138.1" "986.7" "247.1" "228.1" "270.2" "210.8" NA
"1939" "70.6" "145.3" "80.3" "57.0" "79.2" "125.0" "193.3" "86.3" "104.1" "70.6" "59.2" "87.7" "1158.5" "354.0" "216.6" "404.5" "233.9" NA
"1940" "54.9" "45.7" "44.6" "64.3" "61.5" "117.0" "82.6" "53.6" "74.6" "41.8" "109.1" "84.5" "834.2" "188.3" "170.4" "253.2" "225.4" NA
"1941" "59.5" "98.4" "21.8" "39.4" "61.0" "46.5" "133.4" "58.3" "53.6" "166.0" "115.2" "99.7" "952.9" "242.4" "122.2" "238.3" "334.8" NA
"1942" "120.2" "75.2" "91.0" "54.2" "82.4" "46.4" "80.5" "53.9" "177.8" "61.7" "126.0" "156.3" "1125.8" "295.2" "227.6" "180.8" "365.6" NA
"1943" "67.9" "181.5" "133.9" "63.0" "137.9" "207.1" "72.9" "82.1" "38.7" "117.1" "61.8" "99.5" "1263.2" "405.6" "334.7" "362.0" "217.5" NA
"1944" "63.6" "55.6" "83.7" "96.9" "47.1" "60.6" "72.6" "45.0" "94.8" "37.1" "41.4" "203.8" "902.2" "218.7" "227.8" "178.1" "173.3" NA
"1945" "93.8" "60.7" "55.2" "147.6" "143.3" "59.8" "97.4" "77.4" "165.5" "115.5" "91.4" "30.1" "1137.6" "358.2" "346.0" "234.6" "372.4" NA
"1946" "118.0" "94.1" "57.0" "92.9" "90.9" "53.9" "62.8" "71.4" "90.5" "162.9" "95.5" "201.8" "1191.6" "242.2" "240.8" "188.1" "348.9" NA
"1947" "142.3" "138.5" "145.7" "121.8" "131.2" "93.2" "158.4" "58.4" "153.6" "14.7" "108.3" "63.0" "1329.0" "482.5" "398.7" "309.9" "276.6" NA
"1948" "NA" "47.0" "135.0" "90.8" "55.0" "44.5" "141.1" "66.8" "9.0" "54.1" "137.7" "118.7" "NA" "NA" "280.8" "252.4" "200.7" NA
"1949" "121.6" "53.9" "93.7" "111.3" "67.5" "87.2" "58.3" "93.5" "122.1" "50.2" "157.6" "139.6" "1156.6" "294.2" "272.5" "239.1" "329.9" NA
"1950" "169.8" "130.6" "111.2" "89.1" "84.2" "97.7" "79.8" "135.1" "40.6" "74.2" "173.6" "111.8" "1297.8" "440.0" "284.4" "312.7" "288.4" NA
"1951" "144.4" "85.4" "160.3" "159.4" "105.2" "73.7" "87.8" "65.7" "103.4" "59.8" "186.6" "189.2" "1420.9" "341.6" "424.9" "227.2" "349.8" NA
"1952" "125.0" "80.2" "143.9" "68.3" "148.7" "63.5" "200.3" "185.3" "115.9" "86.3" "72.0" "163.7" "1453.1" "394.3" "360.9" "449.2" "274.2" NA
"1953" "96.7" "92.9" "147.5" "89.4" "50.5" "112.6" "100.3" "44.9" "127.0" "27.0" "79.9" "137.4" "1106.0" "353.2" "287.4" "257.8" "233.9" NA
"1954" "103.7" "118.8" "58.1" "139.4" "108.2" "106.7" "82.8" "91.9" "142.1" "82.1" "117.6" "162.7" "1314.2" "359.9" "305.7" "281.4" "341.8" NA
"1955" "49.9" "53.1" "152.7" "78.2" "108.2" "70.5" "47.3" "158.6" "60.1" "113.3" "49.9" "44.8" "986.6" "265.8" "339.1" "276.4" "223.3" NA
"1956" "53.1" "89.3" "60.5" "110.9" "114.4" "89.0" "80.2" "142.0" "84.8" "41.4" "81.4" "66.9" "1013.7" "187.2" "285.7" "311.1" "207.5" NA
"1957" "85.1" "59.5" "22.8" "NA" "41.8" "186.1" "90.3" "11.8" "162.8" "87.6" "139.9" "151.6" "NA" "211.5" "NA" "288.2" "390.3" NA
"1958" "78.8" "99.5" "40.0" "56.2" "55.1" "102.1" "175.6" "141.4" "148.1" "80.7" "85.5" "89.7" "1152.8" "329.9" "151.4" "419.1" "314.3" NA
"1959" "132.2" "77.2" "66.9" "88.1" "54.4" "57.0" "104.2" "145.7" "97.8" "125.5" "113.3" "115.6" "1177.8" "299.1" "209.4" "306.9" "336.6" NA
"1960" "101.6" "236.9" "42.3" "78.5" "78.0" "66.1" "86.5" "36.9" "56.8" "83.4" "98.3" "120.9" "1086.0" "454.1" "198.8" "189.4" "238.4" NA
"1961" "55.2" "25.5" "85.3" "110.3" "69.8" "154.9" "164.0" "128.6" "28.9" "37.2" "73.3" "NA" "NA" "201.6" "265.4" "447.5" "139.3" NA
"1962" "167.0" "125.6" "111.3" "112.6" "68.1" "101.4" "138.7" "NA" "83.6" "NA" "NA" "NA" "NA" "NA" "292.0" "NA" "NA" NA
"1963" "66.9" "84.9" "83.9" "110.9" "51.0" "48.8" "91.5" "131.2" "92.1" "NA" "153.5" "37.1" "NA" "NA" "245.9" "271.5" "NA" NA
"1964" "67.9" "54.9" "68.4" "97.4" "70.1" "21.1" "67.0" "58.6" "30.9" "51.2" "117.0" "195.7" "900.3" "159.9" "235.9" "146.7" "199.1" NA
"1965" "120.7" "68.6" "26.1" "51.8" "66.5" "58.3" "59.4" "157.4" "NA" "149.1" "NA" "108.0" "NA" "385.0" "144.4" "275.1" "NA" NA
