"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1943" "NA" "NA" "NA" "NA" "NA" "NA" "104.4" "177.0" "98.6" "77.7" "76.9" "20.3" "NA" "NA" "NA" "NA" "253.2" NA
"1944" "25.7" "38.4" "45.6" "23.7" "81.4" "99.5" "153.1" "116.1" "117.0" "87.6" "88.9" "78.9" "955.9" "84.3" "150.7" "368.8" "293.5" NA
"1945" "37.5" "102.9" "75.0" "127.8" "80.9" "86.9" "104.1" "161.6" "141.7" "133.1" "39.0" "51.2" "1141.7" "219.3" "283.7" "352.6" "313.7" NA
"1946" "43.1" "42.5" "85.1" "85.3" "96.9" "110.9" "118.4" "123.2" "89.2" "164.9" "89.5" "79.9" "1129.1" "136.8" "267.3" "352.6" "343.7" NA
"1947" "80.4" "91.7" "100.6" "111.3" "120.8" "176.7" "136.8" "125.7" "189.2" "41.6" "52.6" "59.9" "1287.3" "252.1" "332.7" "439.2" "283.4" NA
"1948" "22.5" "45.0" "75.6" "87.5" "52.4" "117.1" "152.1" "72.9" "52.6" "27.4" "89.5" "64.3" "859.0" "127.4" "215.5" "342.1" "169.6" NA
"1949" "94.7" "46.2" "84.1" "42.9" "107.1" "129.8" "54.1" "59.6" "114.6" "104.0" "53.5" "52.5" "943.0" "205.2" "234.1" "243.5" "272.0" NA
"1950" "67.3" "47.1" "26.0" "61.9" "93.3" "162.9" "110.0" "NA" "41.6" "NA" "118.6" "NA" "NA" "167.0" "181.2" "NA" "NA" NA
"1951" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "90.4" "147.0" "118.2" "157.4" "122.4" "NA" "NA" "NA" "NA" "422.7" NA
"1952" "97.0" "74.3" "69.7" "39.9" "116.6" "151.5" "197.0" "142.6" "62.9" "54.1" "142.9" "230.8" "1379.2" "293.7" "226.1" "491.0" "259.9" NA
"1953" "203.0" "84.5" "155.2" "62.5" "20.1" "50.2" "104.9" "67.3" "120.9" "25.4" "106.0" "221.7" "1221.8" "518.3" "237.8" "222.4" "252.3" NA
"1954" "113.0" "104.4" "119.9" "72.4" "137.4" "157.9" "127.3" "103.9" "154.1" "78.1" "162.1" "154.2" "1484.6" "439.1" "329.7" "389.1" "394.3" NA
"1955" "75.3" "58.9" "145.7" "40.9" "98.4" "95.5" "189.1" "83.6" "120.6" "143.8" "118.7" "NA" "NA" "288.3" "284.9" "368.2" "383.1" NA
"1956" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1957" "NA" "85.4" "30.8" "42.7" "70.0" "NA" "147.1" "48.1" "203.2" "85.4" "84.4" "61.5" "NA" "NA" "143.5" "NA" "373.0" NA
"1958" "31.7" "NA" "12.4" "69.9" "92.5" "130.6" "135.6" "121.1" "163.3" "120.4" "46.5" "13.1" "NA" "NA" "174.9" "387.3" "330.1" NA
"1959" "NA" "NA" "19.8" "NA" "NA" "67.6" "173.8" "164.8" "97.6" "85.6" "NA" "55.6" "NA" "NA" "NA" "406.2" "NA" NA
"1960" "64.6" "149.8" "38.7" "69.4" "57.4" "147.1" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "270.0" "165.4" "NA" "NA" NA
"1961" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1962" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1963" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1964" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1965" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1966" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1967" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1968" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1969" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1970" "NA" "NA" "NA" "56.9" "117.3" "131.9" "182.6" "69.3" "155.3" "40.1" "68.2" "57.2" "NA" "NA" "NA" "383.8" "263.6" NA
"1971" "57.6" "124.6" "104.1" "56.7" "54.4" "119.4" "55.5" "119.9" "115.0" "58.0" "65.6" "96.4" "1027.2" "239.4" "215.1" "294.8" "238.6" NA
"1972" "70.6" "88.5" "137.8" "23.1" "41.4" "112.1" "80.3" "148.2" "187.4" "93.9" "59.7" "91.9" "1134.9" "255.6" "202.3" "340.6" "341.0" NA
"1973" "93.8" "66.4" "76.9" "67.1" "107.8" "145.5" "122.3" "214.6" "83.0" "112.1" "96.2" "134.4" "1320.0" "252.1" "251.7" "482.4" "291.2" NA
"1974" "74.8" "106.1" "101.7" "97.1" "259.8" "133.9" "86.0" "81.8" "161.6" "109.6" "70.0" "84.8" "1367.4" "315.4" "458.7" "301.7" "341.2" NA
"1975" "162.3" "58.1" "115.0" "122.9" "79.5" "116.7" "109.2" "141.2" "142.4" "73.8" "111.2" "109.6" "1342.0" "305.2" "317.4" "367.2" "327.4" NA
"1976" "128.2" "174.6" "163.9" "76.9" "108.2" "82.8" "171.2" "117.6" "66.0" "105.5" "102.4" "149.5" "1446.8" "412.4" "348.9" "371.6" "273.9" NA
"1977" "130.3" "90.0" "60.1" "111.0" "40.3" "164.0" "152.1" "141.7" "92.4" "66.8" "117.4" "69.0" "1235.2" "369.8" "211.4" "457.9" "276.6" NA
"1978" "117.5" "16.6" "88.1" "83.0" "64.2" "151.3" "127.0" "101.6" "144.5" "80.9" "NA" "NA" "NA" "203.1" "235.3" "380.0" "NA" NA
"1979" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1980" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1981" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1982" "NA" "NA" "NA" "NA" "NA" "NA" "84.6" "101.2" "101.2" "97.6" "93.0" "77.1" "NA" "NA" "NA" "NA" "291.8" NA
"1983" "44.3" "61.0" "NA" "NA" "156.9" "NA" "57.1" "16.7" "NA" "NA" "NA" "NA" "NA" "182.4" "NA" "NA" "NA" NA
"1984" "41.5" "47.4" "36.6" "32.1" "139.2" "88.6" "114.5" "113.9" "90.5" "50.0" "151.1" "111.5" "1017.0" "NA" "208.0" "317.0" "291.6" NA
"1985" "61.4" "74.2" "28.8" "43.6" "50.8" "100.2" "259.8" "118.7" "94.3" "78.6" "72.1" "73.5" "1056.1" "247.2" "123.2" "478.7" "245.0" NA
"1986" "96.1" "34.3" "89.7" "95.3" "98.4" "109.0" "169.6" "177.2" "125.7" "95.8" "48.3" "77.7" "1217.1" "203.9" "283.3" "455.8" "269.8" NA
"1987" "38.3" "23.0" "67.6" "30.2" "123.2" "134.6" "125.7" "130.2" "118.8" "96.7" "74.6" "92.2" "1055.2" "139.1" "221.0" "390.5" "290.1" NA
"1988" "64.5" "82.8" "35.7" "95.2" "59.5" "79.8" "123.5" "268.6" "162.9" "136.0" "138.9" "89.0" "1336.6" "239.6" "190.4" "471.9" "437.8" NA
"1989" "95.9" "34.2" "98.3" "45.5" "120.5" "82.8" "52.6" "71.2" "111.4" "124.5" "167.8" "35.2" "1039.8" "219.1" "264.3" "206.6" "403.7" NA
"1990" "91.1" "63.4" "57.2" "57.6" "60.1" "172.1" "148.0" "194.1" "123.0" "115.0" "117.3" "78.9" "1277.8" "189.7" "175.0" "514.1" "355.3" NA
"1991" "49.2" "26.0" "46.7" "46.5" "65.1" "59.7" "88.2" "184.2" "114.1" "109.1" "68.9" "67.9" "925.6" "154.1" "158.3" "332.1" "292.0" NA
"1992" "95.0" "49.2" "67.4" "46.3" "59.4" "95.6" "113.7" "150.9" "NA" "80.5" "95.8" "76.7" "NA" "212.2" "173.1" "360.2" "NA" NA
"1993" "67.6" "59.9" "30.8" "68.2" "104.5" "80.9" "235.5" "178.4" "107.1" "135.8" "93.1" "82.1" "1243.8" "204.1" "203.4" "494.8" "336.1" NA
"1994" "71.4" "60.0" "57.7" "110.1" "53.1" "144.7" "142.7" "74.5" "161.4" "37.7" "127.7" "40.4" "1081.3" "213.4" "221.0" "361.9" "326.8" NA
"1995" "84.1" "84.6" "62.1" "120.0" "119.6" "38.0" "107.7" "27.6" "124.7" "106.6" "114.0" "48.0" "1036.9" "209.1" "301.7" "173.4" "345.2" NA
"1996" "158.1" "71.0" "85.0" "85.6" "142.3" "123.9" "131.8" "99.0" "91.6" "159.4" "283.3" "243.8" "1674.8" "277.1" "312.9" "354.8" "534.2" NA
"1997" "196.7" "105.5" "68.5" "60.9" "130.5" "117.2" "89.8" "NA" "NA" "NA" "NA" "NA" "NA" "545.9" "259.9" "NA" "NA" NA
"1998" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1999" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2000" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2001" "NA" "85.7" "69.5" "42.8" "69.2" "151.1" "87.0" "NA" "133.7" "184.5" "103.6" "NA" "NA" "NA" "181.4" "NA" "421.8" NA
"2002" "47.5" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2003" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2004" "NA" "NA" "NA" "34.7" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2005" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2006" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2007" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"2008" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
