1096629,QUESNEL        ,BC, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
1096629,QUESNEL        ,BC, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1899,    -1.8,a,    -3.3,a,     1.6,a,     9.9,a,    14.5,a,    18.7,a,    23.5,a,    19.1,a,    15.3,a,     3.7,a,     7.5,a,     1.6,a,     9.2,a, -9999.9,M,     8.7,a,    20.4,a,     8.8,a
 1900,    -1.2,a,    -1.9,a,     5.0,a,    12.6,a,    18.2,a,    19.4,a,    22.1,a,    19.1,a,    17.2,a,    10.3,a,     4.7,a,     7.6,a,    11.1,a,    -0.5,a,    11.9,a,    20.2,a,    10.7,a
 1901,    -1.5,a,    -0.8,a,     6.7,a,    14.4,a,    18.9,a,    18.8,a,    21.6,a,    25.4,a,    21.6,a, -9999.9,M,    10.9,a,     1.9,a, -9999.9,M,     1.8,a,    13.3,a,    21.9,a, -9999.9,M
 1902, -9999.9,M, -9999.9,M,     8.3,a,    13.2,a,    17.1,a,    19.5,a,    24.2,a,    22.0,a,    17.4,a,    16.0,a,     0.3,a,    -4.7,a, -9999.9,M, -9999.9,M,    12.9,a,    21.9,a,    11.2,a
 1903,    -1.4,a,     0.9,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    22.6,a,    21.2,a,    14.4,a,    11.7,a,     2.5,a,     1.3,a, -9999.9,M,    -1.7,a, -9999.9,M, -9999.9,M,     9.5,a
 1904,    -2.6,a,    -8.9,a,    -0.1,a,    15.1,a,    16.2,a,    20.5,a,    24.1,a,    24.9,a,    19.0,a,    10.1,a,     7.5,a,    -2.0,a,    10.3,a,    -3.4,a,    10.4,a,    23.2,a,    12.2,a
 1905,    -6.5,a,    -3.8,a,     9.5,a,    13.6,a,    19.6,a,    22.9,a,    26.7,a,    21.3,a,    17.7,a,     5.7,a,     1.3,a,    -0.9,a,    10.6,a,    -4.1,a,    14.2,a,    23.6,a,     8.2,a
 1906,    -6.5,a,     0.4,a,     5.0,a,    13.8,a,    19.7,a,    20.0,a,    28.4,a,    24.3,a,    16.5,a,    12.8, ,     4.3, ,    -6.6, ,    11.0,a,    -2.3,a,    12.8,a,    24.2,a,    11.2,a
 1907,   -17.7, ,    -1.5, ,     4.6, ,    13.0, ,    21.6, ,    22.0, ,    26.5, ,    21.9, ,    19.1, ,    14.9, ,     5.2, ,     0.0, ,    10.8, ,    -8.6, ,    13.1, ,    23.5, ,    13.1, 
 1908,    -0.5, ,    -1.4, ,     5.0, ,    11.8, ,    18.1, ,    21.2, ,    23.6, ,    24.0, ,    16.3, ,     9.6, ,     5.8, ,    -2.5, ,    10.9, ,    -0.6, ,    11.6, ,    22.9, ,    10.6, 
 1909,   -13.4, ,    -3.5, ,     8.3, ,    11.4, ,    17.7, ,    22.9, ,    24.0, ,    20.6, ,    19.8, ,    10.9, ,    -1.8, ,    -6.6, ,     9.2, ,    -6.5, ,    12.5, ,    22.5, ,     9.6, 
 1910,    -2.2, ,    -3.7, ,    10.1, ,    14.2, ,    19.7, ,    19.7, ,    23.9, ,    23.2, ,    18.2, ,    10.8, ,     2.8, ,    -1.2, ,    11.3, ,    -4.2, ,    14.7, ,    22.3, ,    10.6, 
 1911,   -10.4, ,    -2.2, ,     7.2, ,    10.8, ,    18.2, ,    21.2, ,    24.5, ,    24.4, ,    19.1, ,    11.6, ,    -2.1, ,    -1.8, ,    10.0, ,    -4.6, ,    12.1, ,    23.4, ,     9.5, 
 1912,    -8.5, ,     2.1, ,     4.8, ,    13.5, ,    22.2, ,    23.9, ,    24.2, ,    22.6, ,    18.7, ,    10.6, ,     4.4, ,    -0.8, ,    11.5, ,    -2.7, ,    13.5, ,    23.6, ,    11.2, 
 1913,    -8.8, ,    -3.0, ,     2.4, ,    13.0, ,    18.0, ,    22.8, ,    22.9, ,    22.8, ,    17.2, ,     8.7, ,     4.2, ,     2.1, ,    10.2, ,    -4.2, ,    11.1, ,    22.8, ,    10.0, 
 1914,    -2.5, ,    -0.4, ,     6.7, ,    14.1, ,    19.9, ,    22.9, ,    23.7, ,    26.0, ,    18.0, ,    14.2, ,     4.9, ,    -7.2, ,    11.7, ,    -0.3, ,    13.6, ,    24.2, ,    12.4, 
 1915,    -3.4, ,     4.4, ,    11.6, ,    17.9, ,    20.4, ,    23.0, ,    25.8, ,    29.5, ,    19.5, ,    12.1, ,     2.1, ,    -0.4, ,    13.5, ,    -2.1, ,    16.6, ,    26.1, ,    11.2, 
 1916,   -18.4, ,    -2.1, ,     7.1, ,    14.8, ,    19.8, ,    23.7, ,    21.9, ,    25.5, ,    20.6, ,    12.3, ,     1.5, ,    -6.0, ,    10.1, ,    -7.0, ,    13.9, ,    23.7, ,    11.5, 
 1917,    -7.0, ,    -6.7, ,     3.9, ,    13.0, ,    19.2, ,    22.0, ,    25.4, ,    24.6, ,    19.9, ,    11.3, ,    10.1, ,    -8.8, ,    10.6, ,    -6.6, ,    12.0, ,    24.0, ,    13.8, 
 1918,    -1.8, ,    -1.6, ,     5.0, ,    15.1, ,    17.7, ,    23.3, ,    26.5, ,    23.6, ,    23.1, ,    13.2, ,     5.7, ,    -0.9, ,    12.4, ,    -4.1, ,    12.6, ,    24.5, ,    14.0, 
 1919,     0.3, ,    -1.7, ,     2.0, ,    15.2, ,    17.5, ,    19.6, ,    25.2, ,    25.2, ,    21.2, ,     7.1, ,     0.0, ,    -5.6, ,    10.5, ,    -0.8, ,    11.6, ,    23.3, ,     9.4, 
 1920,    -7.4, ,     1.6, ,     5.3, ,    10.2, ,    17.4, ,    21.8, ,    29.3, ,    28.1, ,    20.9, ,    11.9, ,     5.4, ,    -1.0, ,    12.0, ,    -3.8, ,    11.0, ,    26.4, ,    12.7, 
 1921,    -3.2, ,     3.4, ,     7.3, ,    14.4, ,    20.8, ,    23.4, ,    26.3, ,    26.0, ,    18.3, ,    15.1, ,     1.6, ,    -7.0, ,    12.2, ,    -0.3, ,    14.2, ,    25.2, ,    11.7, 
 1922,    -4.4, ,    -6.7, ,     7.8, ,    14.4, ,    19.4, ,    26.5, ,    26.5, ,    27.6, ,    22.2, ,    14.5, ,     4.5, ,    -4.5, ,    12.3, ,    -6.0, ,    13.9, ,    26.9, ,    13.7, 
 1923,    -4.7, ,     0.4, ,     7.0, ,    15.5, ,    19.3, ,    24.7, ,    27.7, ,    26.3, ,    21.0, ,    15.4, ,     6.7, ,     0.6, ,    13.3, ,    -2.9, ,    13.9, ,    26.2, ,    14.4, 
 1924,    -4.3, ,     4.7, ,     7.6, ,    11.3, ,    22.1, ,    21.6, ,    26.4, ,    25.3, ,    20.7, ,    14.0, ,     1.0, ,   -10.1, ,    11.7, ,     0.3, ,    13.7, ,    24.4, ,    11.9, 
