6105976,OTTAWA         ,ON, station not joined, Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
6105976,OTTAWA         ,ON, station non jointe, Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1889, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.6, ,    -1.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1890,    -4.2, ,    -3.7, ,    -0.3, ,     9.9, ,    16.3, ,    24.2, ,    26.4, ,    23.5, ,    20.1, ,    12.0, ,     3.9, ,    -8.4, ,    10.0, ,    -3.2, ,     8.6, ,    24.7, ,    12.0, 
 1891,    -5.7, ,    -4.1, ,     0.3, ,    11.4, ,    19.0, ,    26.3, ,    23.8, ,    24.8, ,    23.1, ,    12.2, ,     5.5, ,     2.0, ,    11.6, ,    -6.1, ,    10.2, ,    25.0, ,    13.6, 
 1892,    -6.4, ,    -3.9, ,    -0.9, ,    10.4, ,    17.3, ,    24.1, ,    27.4, ,    24.8, ,    20.7, ,    11.9, ,     1.8, ,    -5.3, ,    10.2, ,    -2.8, ,     8.9, ,    25.4, ,    11.5, 
 1893,   -11.3, ,    -7.3, ,     0.1, ,     8.0, ,    18.1, ,    26.1, ,    25.9, ,    25.5, ,    17.3, ,    14.9, ,     4.4, ,    -5.9, ,     9.7, ,    -8.0, ,     8.7, ,    25.8, ,    12.2, 
 1894,    -5.0, ,    -5.7, ,     3.7, ,    13.9, ,    18.9, ,    24.7, ,    26.6, ,    23.1, ,    21.9, ,    13.1, ,     2.1, ,    -2.2, ,    11.3, ,    -5.5, ,    12.2, ,    24.8, ,    12.4, 
 1895,    -6.0, ,    -6.1, ,    -1.1, ,    10.7, ,    21.2, ,    27.2, ,    25.0, ,    24.8, ,    21.6, ,    10.4, ,     5.2, ,    -1.8, ,    10.9, ,    -4.8, ,    10.3, ,    25.7, ,    12.4, 
 1896,    -7.8, ,    -5.9, ,    -2.2, ,    12.6, ,    21.5, ,    24.0, ,    26.4, ,    26.0, ,    18.9, ,    10.6, ,     5.8, ,    -4.0, ,    10.5, ,    -5.2, ,    10.6, ,    25.5, ,    11.8, 
 1897,    -5.5, ,    -3.3, ,     0.7, ,    12.2, ,    18.4, ,    22.6, ,    27.9, ,    23.6, ,    21.8, ,    15.1, ,     2.4, ,    -3.7, ,    11.0, ,    -4.3, ,    10.4, ,    24.7, ,    13.1, 
 1898,    -6.4, ,    -2.8, ,     5.8, ,    12.8, ,    19.9, ,    24.9, ,    28.3, ,    25.3, ,    22.4, ,    12.3, ,     4.6, ,    -3.2, ,    12.0, ,    -4.3, ,    12.8, ,    26.2, ,    13.1, 
