"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1890" "    -7.3" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    23.2" "    13.2" "     8.6" "     4.8" " NA" " NA" " NA" " NA" "    15.0"
"1891" "     4.7" "    -2.8" "     8.0" "    18.5" " NA" " NA" "    30.3" "    29.4" " NA" "    17.1" "     5.6" "    -2.3" " NA" "     2.2" " NA" " NA" " NA"
"1892" "    -1.3" "     2.9" "    12.6" "    14.9" " NA" "    28.3" "    27.1" "    28.6" "    23.5" "    13.1" "     3.7" "     2.2" " NA" "    -0.2" " NA" "    28.0" "    13.4"
"1893" "    -3.4" "    -4.1" "     9.2" "    13.7" "    20.1" "    22.3" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -1.8" "    14.3" " NA" " NA"
"1894" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1895" "     4.8" "     8.5" " NA" " NA" " NA" "    24.4" "    27.5" "    27.3" "    15.9" "    13.4" "     5.9" "     1.7" " NA" " NA" " NA" "    26.4" "    11.7"
"1896" "    -0.5" "     6.2" "     8.1" "    14.8" " NA" "    25.8" "    30.0" "    28.2" "    21.1" "    13.0" "    -5.1" "     3.1" " NA" "     2.5" " NA" "    28.0" "     9.7"
"1897" "    -0.3" "     2.0" "     2.5" "    17.0" "    23.9" "    24.8" "    26.0" "    29.3" "    21.6" "    14.0" "     0.0" "    -0.5" "    13.4" "     1.6" "    14.5" "    26.7" "    11.9"
"1898" "    -1.5" "     4.5" "     6.5" "    17.0" "    22.0" "    24.5" "    28.4" "    32.6" "    22.3" "    11.8" "     3.3" "    -1.2" "    14.2" "     0.8" "    15.2" "    28.5" "    12.5"
"1899" "    -0.9" "    -1.8" "     5.5" "    14.1" "    18.4" "    22.9" "    28.0" "    22.0" "    19.8" "    11.3" "    10.5" "     2.7" "    12.7" "    -1.3" "    12.7" "    24.3" "    13.9"
"1900" "     3.8" "     1.5" "    10.6" "    16.9" "    20.1" "    23.1" "    25.7" "    22.1" "    20.0" "    14.1" "     3.6" "     5.6" "    13.9" "     2.7" "    15.9" "    23.6" "    12.6"
"1901" "    -1.2" "     2.0" "    11.7" "    15.8" "    23.1" "    22.4" "    27.6" "    31.4" "    20.6" "    17.1" "     8.5" "     2.4" "    15.1" "     2.1" "    16.9" "    27.1" "    15.4"
"1902" "     0.4" "     5.2" "     9.6" "    16.2" "    20.5" "    22.8" "    26.7" "    27.6" "    20.3" "    14.7" "     4.2" "    -0.2" "    14.0" "     2.7" "    15.4" "    25.7" "    13.1"
"1903" "     1.0" "     0.9" "     4.3" "    14.5" "    20.9" "    27.7" "    26.6" "    24.6" "    16.8" "    12.9" "     5.4" "     2.6" "    13.2" "     0.6" "    13.2" "    26.3" "    11.7"
"1904" "     0.4" "    -1.4" "     4.4" "    17.8" "    20.1" "    24.3" "    29.4" "    29.2" "    22.7" "    14.8" "    10.8" "     2.5" "    14.6" "     0.5" "    14.1" "    27.6" "    16.1"
"1905" "     0.0" "     0.8" "    13.2" "    18.2" "    21.1" "    24.9" "    29.9" "    28.1" "    19.4" "     9.3" "     4.9" "     2.0" "    14.3" "     1.1" "    17.5" "    27.6" "    11.2"
"1906" "     1.0" "     3.6" "     9.4" "    19.2" "    20.6" "    22.9" "    33.6" "    28.6" "    20.8" "    14.5" "     4.0" "     0.4" "    14.9" "     2.2" "    16.4" "    28.4" "    13.1"
"1907" "   -11.1" "     0.0" "     6.9" "    16.5" "    23.4" "    24.9" "    29.8" "    25.0" "    21.4" "    15.3" "     8.7" "     2.6" "    13.6" "    -3.6" "    15.6" "    26.6" "    15.1"
"1908" "     0.4" "    -0.1" "     7.0" "    15.5" "    20.2" "    25.7" "    29.4" "    27.0" "    21.0" "    12.7" "     8.7" "    -1.1" "    13.9" "     1.0" "    14.2" "    27.4" "    14.1"
"1909" "    -8.9" "     2.2" "    11.8" "    14.6" "    21.5" "    26.9" "    28.7" "    27.0" "    23.6" "    13.5" "     5.3" "    -3.5" "    13.6" "    -2.6" "    16.0" "    27.5" "    14.1"
"1910" "    -0.4" "    -0.9" "    14.0" "    18.3" "    24.8" "    23.6" "    29.3" "    24.9" "    21.6" "    14.1" "     6.2" "     2.3" "    14.8" "    -1.6" "    19.0" "    25.9" "    14.0"
"1911" "    -8.3" "    -0.6" "    10.3" "    14.8" "    19.8" "    25.2" "    29.2" "    26.4" "    19.8" "    15.6" "     0.9" "    -0.3" "    12.7" "    -2.2" "    15.0" "    26.9" "    12.1"
"1912" "    -5.0" "     3.1" "     8.1" "    15.4" "    22.7" "    26.9" "    25.5" "    24.1" "    19.9" "    12.5" "     6.2" "     2.1" "    13.5" "    -0.7" "    15.4" "    25.5" "    12.9"
"1913" "    -6.5" "    -3.4" "     4.9" "    17.0" "    20.8" "    24.2" "    26.6" "    27.1" "    21.8" "    11.2" "     6.5" "     2.6" "    12.7" "    -2.6" "    14.2" "    26.0" "    13.2"
"1914" "     2.0" "    -0.1" "    10.1" "    18.2" "    21.7" "    24.9" "    29.5" "    28.8" "    19.2" "    14.7" "     6.1" "    -3.2" "    14.3" "     1.5" "    16.7" "    27.7" "    13.3"
"1915" "    -1.6" "     5.6" "    12.7" "    20.6" "    21.2" "    24.0" "    27.4" "    30.6" "    19.9" "    15.0" "     4.3" "     1.7" "    15.1" "     0.3" "    18.2" "    27.3" "    13.1"
"1916" "   -15.9" "    -1.7" "     9.4" "    16.4" "    20.2" "    24.5" "    25.0" "    28.5" "    21.2" "    13.4" "     3.0" "    -4.4" "    11.6" "    -5.3" "    15.3" "    26.0" "    12.5"
"1917" "    -5.2" "    -3.0" "     5.5" "    14.5" "    20.5" "    22.8" "    30.2" "    29.1" "    22.5" "    14.7" "     8.9" "    -2.4" "    13.2" "    -4.2" "    13.5" "    27.4" "    15.4"
"1918" "    -1.4" "     0.7" "     8.5" "    18.0" "    20.7" "    26.6" "    29.2" "    25.2" "    25.9" "    14.3" "     6.4" "     1.0" "    14.6" "    -1.0" "    15.7" "    27.0" "    15.5"
"1919" "     2.2" "     0.5" "     6.6" "    18.0" "    19.9" "    23.9" "    29.9" "    29.8" "    23.1" "    10.3" "     2.2" "    -3.5" "    13.6" "     1.2" "    14.8" "    27.9" "    11.9"
"1920" "    -1.9" "     3.4" "     9.1" "    14.0" "    20.3" "    23.6" "    31.4" "    28.8" "    20.1" "    11.5" "     6.3" "     3.0" "    14.1" "    -0.7" "    14.5" "    27.9" "    12.6"
"1921" "     0.8" "     3.9" "     8.1" "    15.1" "    23.0" "    25.8" "    28.5" "    26.7" "    18.6" "    15.3" "     3.1" "    -4.4" "    13.7" "     2.6" "    15.4" "    27.0" "    12.3"
