"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1949" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -11.8" "   -23.4" " NA" " NA" " NA" " NA" " NA"
"1950" "   -36.5" "   -28.0" "   -20.1" "    -9.5" "    -0.5" "     6.2" "    15.5" "    13.7" "     8.7" "    -4.3" "   -15.0" "   -20.5" "    -7.5" "   -29.3" "   -10.0" "    11.8" "    -3.5"
"1951" "   -25.7" "   -24.6" "   -21.2" "    -7.6" "     1.6" "    11.7" "    17.1" "    17.3" "     6.9" "    -3.8" "   -15.5" "   -25.6" "    -5.8" "   -23.6" "    -9.1" "    15.4" "    -4.1"
"1952" "   -29.8" "   -25.2" "   -14.3" "    -0.9" "     8.5" "    13.5" "    15.7" "    13.7" "     6.1" "    -3.8" "   -12.5" "   -16.6" "    -3.8" "   -26.9" "    -2.2" "    14.3" "    -3.4"
"1953" "   -31.3" "   -18.7" "   -17.7" "    -8.0" "    -1.4" "     9.2" "    16.1" "    19.4" "     5.9" "    -0.4" "    -7.0" "   -21.9" "    -4.7" "   -22.2" "    -9.0" "    14.9" "    -0.5"
"1954" "   -31.0" "   -19.5" "   -17.6" "   -12.9" "     1.7" "    14.1" "    20.7" "    18.4" "     9.2" "     0.3" "   -10.3" "   -16.5" "    -3.6" "   -24.1" "    -9.6" "    17.7" "    -0.3"
"1955" "   -27.6" "   -28.1" "   -25.4" "    -6.8" "     1.3" "    16.2" "    17.7" "    17.1" "     6.2" "    -0.6" "   -13.0" "   -22.9" "    -5.5" "   -24.1" "   -10.3" "    17.0" "    -2.5"
"1956" "   -23.6" "   -29.4" "   -18.4" "    -9.4" "    -3.1" "     9.6" "    18.8" "    13.7" "     4.5" "    -3.7" "   -12.9" "   -25.8" "    -6.6" "   -25.3" "   -10.3" "    14.0" "    -4.0"
"1957" "   -26.3" "   -26.7" "   -16.8" "    -8.4" "    -2.7" "     7.5" "    16.9" "    16.3" "     7.9" "    -2.1" "   -14.7" "   -26.5" "    -6.3" "   -26.3" "    -9.3" "    13.6" "    -3.0"
"1958" "   -21.4" "   -26.3" "   -11.8" "    -9.3" "    -0.9" "     7.8" "    15.7" "    14.3" "     7.7" "     0.7" "   -13.0" "   -26.2" "    -5.2" "   -24.7" "    -7.3" "    12.6" "    -1.5"
"1959" "   -27.4" "   -24.2" "   -17.4" "    -9.9" "    -2.9" "     8.6" "    17.2" "    12.9" "     7.3" "    -5.0" "   -16.0" "   -14.1" "    -5.9" "   -25.9" "   -10.1" "    12.9" "    -4.6"
"1960" "   -26.7" "   -23.1" "   -20.9" "    -7.8" "     1.3" "    14.0" "    16.6" "    16.9" "     6.7" "    -4.1" "   -16.2" "   -20.8" "    -5.3" "   -21.3" "    -9.1" "    15.8" "    -4.5"
"1961" "   -26.6" "   -22.0" "   -19.0" "    -9.8" "    -0.1" "    14.9" "    19.0" "    16.3" "     3.3" "    -4.6" "   -11.6" "   -22.8" "    -5.3" "   -23.1" "    -9.6" "    16.7" "    -4.3"
"1962" "   -28.3" "   -31.2" "   -18.0" "   -10.5" "    -2.4" "    10.3" "    18.1" "    15.0" "     9.3" "     0.4" "   -13.8" "   -21.9" "    -6.1" "   -27.4" "   -10.3" "    14.5" "    -1.4"
"1963" "   -28.9" "   -25.2" "   -24.0" "    -5.1" "     0.9" "    14.4" "    17.5" "    16.7" "     5.5" "     4.2" "   -11.8" "   -19.6" "    -4.6" "   -25.3" "    -9.4" "    16.2" "    -0.7"
"1964" "   -23.5" "   -22.6" "   -23.9" "    -8.5" "     2.6" "    10.9" "    20.8" "    16.2" "     6.6" "    -0.6" "   -13.9" "   -22.9" "    -4.9" "   -21.9" "    -9.9" "    16.0" "    -2.6"
"1965" "   -25.5" "   -31.7" "   -18.9" "    -5.2" "     3.8" "    13.7" "    16.8" "    14.7" "     4.7" "    -1.4" "   -15.4" "   -19.0" "    -5.3" "   -26.7" "    -6.8" "    15.1" "    -4.0"
"1966" "   -32.4" "   -23.2" "   -16.4" "   -10.5" "     0.8" "    15.4" "    19.2" "    18.4" "     9.6" "    -3.6" "   -21.0" "   -22.1" "    -5.5" "   -24.9" "    -8.7" "    17.7" "    -5.0"
"1967" "   -26.1" "   -28.0" "   -21.2" "   -11.0" "    -0.4" "    11.5" "    18.4" "    16.1" "    10.5" "    -1.4" "   -11.6" "   -18.1" "    -5.1" "   -25.4" "   -10.9" "    15.3" "    -0.8"
"1968" "   -29.0" "   -22.6" "   -14.2" "   -10.8" "    -0.5" "     9.6" "    13.3" "    12.9" "     7.8" "     0.4" "   -10.5" "   -19.9" "    -5.3" "   -23.2" "    -8.5" "    11.9" "    -0.8"
"1969" "   -30.1" "   -18.8" "   -19.0" "    -5.6" "    -2.8" "     6.2" "    18.3" "    18.3" "     7.2" "    -1.9" "   -13.2" "   -14.3" "    -4.6" "   -22.9" "    -9.1" "    14.3" "    -2.6"
"1970" "   -25.9" "   -28.2" "   -19.3" "    -7.9" "     1.9" "    16.3" "    19.0" "    14.9" "     6.2" "    -2.4" "   -13.1" "   -26.6" "    -5.4" "   -22.8" "    -8.4" "    16.7" "    -3.1"
"1971" "   -26.8" "   -21.5" "   -17.7" "    -5.5" "     7.1" "    11.3" "    16.9" "    16.5" "     9.2" "     0.0" "   -14.8" "   -24.6" "    -4.2" "   -25.0" "    -5.4" "    14.9" "    -1.9"
"1972" "   -31.8" "   -30.2" "   -15.6" "    -9.3" "     4.5" "    12.9" "    16.7" "    15.8" "     3.0" "    -5.4" "   -14.7" "   -26.7" "    -6.7" "   -28.9" "    -6.8" "    15.1" "    -5.7"
"1973" "   -20.6" "   -25.7" "   -12.9" "    -8.2" "    10.9" "    14.8" "    21.6" "    18.4" "    10.0" "     1.3" "   -14.4" "   -23.6" "    -2.4" "   -24.3" "    -3.4" "    18.3" "    -1.0"
"1974" "   -30.1" "   -24.9" "   -24.4" "    -7.8" "     5.3" "    15.7" "    19.4" "    14.5" "     3.1" "    -5.0" "    -7.5" "   -16.9" "    -4.9" "   -26.2" "    -9.0" "    16.5" "    -3.1"
"1975" "   -30.5" "   -24.3" "   -22.8" "    -4.7" "     4.6" "    13.5" "    18.4" "    16.5" "     8.5" "    -2.3" "   -14.0" "   -24.6" "    -5.1" "   -23.9" "    -7.6" "    16.1" "    -2.6"
"1976" "   -24.9" "   -24.8" "   -22.3" "    -1.8" "     3.3" "    14.9" "    20.3" "    16.2" "     9.3" "    -2.0" "   -12.9" "   -24.9" "    -4.1" "   -24.8" "    -6.9" "    17.1" "    -1.9"
