"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1883" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -12.5" "   -19.9" " NA" " NA" " NA" " NA" " NA"
"1884" "   -20.0" "   -19.1" "   -10.5" "     0.7" "    13.2" "    18.2" "    21.7" "    19.4" "    13.4" "     1.3" "    -6.2" "    -3.8" "     2.4" "   -19.7" "     1.1" "    19.8" "     2.8"
"1885" "   -25.3" "   -18.3" "    -9.9" "     3.5" "    11.3" "    21.6" "    22.6" "    21.3" "    13.5" "     2.9" "    -2.3" "   -14.1" "     2.2" "   -15.8" "     1.6" "    21.8" "     4.7"
"1886" "   -29.5" "   -23.0" "   -12.5" "     1.2" "     9.1" "    21.4" "    21.3" "    19.2" "     8.7" "     5.5" "    -8.1" "   -18.0" "    -0.4" "   -22.2" "    -0.7" "    20.6" "     2.0"
"1887" "   -26.9" "   -23.3" "   -13.6" "     1.3" "    10.7" " NA" " NA" " NA" " NA" " NA" "    -9.3" "   -21.7" " NA" "   -22.7" "    -0.5" " NA" " NA"
"1888" " NA" " NA" "   -15.9" "    -4.1" "     9.3" "    14.7" " NA" "    18.2" "    15.3" "     6.1" "    -7.7" "   -10.8" " NA" " NA" "    -3.6" " NA" "     4.6"
"1889" "   -13.7" "   -14.7" "    -4.0" "     5.7" "    11.8" "    17.4" " NA" "    22.5" "    10.9" "     5.2" "    -3.4" "   -17.3" " NA" "   -13.1" "     4.5" " NA" "     4.2"
"1890" "   -21.2" "   -22.9" "   -12.3" "    -3.0" "     7.0" "    15.1" "    20.1" "    18.9" "    11.1" "     6.0" "    -4.6" "   -14.5" "     0.0" "   -20.5" "    -2.8" "    18.0" "     4.2"
"1891" "   -17.2" "   -22.1" "   -12.1" "     5.9" "     9.2" " NA" "    23.1" " NA" " NA" " NA" " NA" " NA" " NA" "   -17.9" "     1.0" " NA" " NA"
"1892" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1893" "   -17.5" "   -18.6" "    -9.8" "    -3.6" " NA" " NA" "    24.0" "    21.0" "    13.6" "     3.1" "   -13.7" "   -24.5" " NA" " NA" " NA" " NA" "     1.0"
"1894" "   -26.1" "   -17.5" "    -8.9" "     1.0" "    12.4" " NA" "    22.0" "    22.1" " NA" "     4.9" "    -9.6" "   -12.5" " NA" "   -22.7" "     1.5" " NA" " NA"
"1895" "   -22.4" "   -16.2" " NA" " NA" " NA" "    20.1" " NA" "    18.4" "    10.7" "     4.5" "   -10.3" "   -15.3" " NA" "   -17.0" " NA" " NA" "     1.6"
"1896" "   -26.1" "   -13.5" "   -10.7" "     0.1" "    11.1" "    18.4" "    21.7" "    19.8" "    12.4" "     4.0" "   -13.1" "   -11.6" "     1.0" "   -18.3" "     0.2" "    20.0" "     1.1"
