"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1872" " NA" " NA" "    -6.6" "     5.1" "    15.5" "    23.4" " NA" " NA" "    15.8" "    12.1" "    -3.9" "   -17.2" " NA" " NA" "     4.7" " NA" "     8.0"
"1873" "   -15.4" "   -10.4" "    -4.7" "     8.1" "    18.9" "    27.4" "    25.4" "    24.9" "    13.4" "     7.3" "    -5.6" "    -8.9" "     6.7" "   -14.3" "     7.4" "    25.9" "     5.0"
"1874" "   -15.3" " NA" "    -5.3" "     4.0" "    21.5" "    26.1" "    27.8" "    25.4" "    20.9" "    13.4" "    -4.6" "    -9.1" " NA" " NA" "     6.7" "    26.4" "     9.9"
"1875" "   -20.9" "   -19.4" "    -5.0" "     5.4" "    19.8" "    23.7" "    27.0" "    25.1" "    17.8" "     8.2" "    -7.6" "    -8.5" "     5.5" "   -16.5" "     6.7" "    25.3" "     6.1"
"1876" "   -15.2" "   -16.4" "    -7.5" "     8.3" "    19.1" "    23.1" "    27.4" "    24.5" "    18.3" "     8.5" "    -4.4" "   -15.2" "     5.9" "   -13.4" "     6.6" "    25.0" "     7.5"
"1877" "   -15.5" "    -2.4" "    -8.2" "     7.8" "    20.0" "    19.8" "    27.9" "    25.5" "    19.7" "    10.2" "     0.4" "     0.3" "     8.8" "   -11.0" "     6.5" "    24.4" "    10.1"
"1878" "    -7.4" "     0.1" "     6.6" "    13.6" "    15.2" "    26.2" "    27.9" "    26.9" "    17.0" "     7.3" "     4.4" "    -9.6" "    10.7" "    -2.3" "    11.8" "    27.0" "     9.6"
"1879" "   -13.8" "   -15.9" "    -3.5" "    10.9" "    18.7" "    22.8" "    25.7" "    23.5" "    17.5" "    12.9" "    -1.2" "   -20.7" "     6.4" "   -13.1" "     8.7" "    24.0" "     9.7"
"1880" "   -10.8" "   -12.1" "    -8.0" "     4.9" "    18.4" "    22.7" "    25.3" "    22.7" "    16.1" "     8.4" "    -5.6" "   -13.7" "     5.7" "   -14.5" "     5.1" "    23.6" "     6.3"
"1881" "   -17.7" "   -10.2" "    -0.4" "     6.5" "    20.8" "    22.8" "    27.5" "    25.8" "    16.3" "     6.8" "    -6.9" "    -6.6" "     7.1" "   -13.9" "     9.0" "    25.4" "     5.4"
"1882" "   -13.7" "    -8.3" "    -5.0" "     7.0" "    17.1" "    22.4" "    23.8" "    26.8" "    20.2" "    10.3" "    -2.5" "   -12.6" "     7.1" "    -9.5" "     6.4" "    24.3" "     9.3"
"1883" "   -20.7" "   -14.5" "    -7.4" "     6.2" "    14.5" "    23.2" "    23.7" "    23.2" "    17.6" "     6.9" "    -4.2" "   -12.6" "     4.7" "   -15.9" "     4.4" "    23.4" "     6.8"
"1884" "   -17.4" "   -17.7" "    -6.8" "     4.6" "    16.8" "    24.0" "    20.9" "    21.7" "    15.2" "     9.6" "    -3.3" "   -15.3" "     4.4" "   -15.9" "     4.9" "    22.2" "     7.2"
"1885" "   -19.4" "   -16.0" "    -5.7" "     7.6" "    16.9" "    21.6" "    24.0" "    21.5" "    19.2" "     9.5" "    -0.4" "    -7.7" "     5.9" "   -16.9" "     6.3" "    22.4" "     9.4"
"1886" "   -20.7" "   -10.9" "    -2.7" "    12.5" "    20.0" "    25.1" "    29.1" "    25.8" "    15.7" "    13.4" "    -2.4" "   -15.1" "     7.5" "   -13.1" "     9.9" "    26.7" "     8.9"
"1887" "   -19.8" "   -15.7" "    -4.7" "     8.5" "    20.5" "    25.2" "    26.0" "    23.6" "    19.7" "     7.0" "    -2.0" "   -12.8" "     6.3" "   -16.9" "     8.1" "    24.9" "     8.2"
"1888" "   -21.0" "   -13.0" "    -7.8" "     6.4" "    15.6" "    23.7" "    25.6" "    23.9" "    19.4" "     9.5" "     0.5" "    -5.3" "     6.5" "   -15.6" "     4.7" "    24.4" "     9.8"
"1889" "    -9.0" "   -13.6" "     3.5" "    12.7" "    18.3" "    26.4" "    25.9" "    26.9" "    16.3" "     9.7" "    -0.1" "    -7.8" "     9.1" "    -9.3" "    11.5" "    26.4" "     8.6"
"1890" "   -19.4" "   -14.6" "    -6.4" "     9.7" "    13.0" "    27.2" "    26.8" "    22.0" "    16.5" "     9.8" "     3.9" "    -4.3" "     7.0" "   -13.9" "     5.4" "    25.3" "    10.1"
"1891" "    -9.1" "   -15.1" "    -5.5" "    13.6" "    18.3" "    21.9" "    22.8" "    23.3" "    20.3" "    10.8" "    -3.8" "    -6.3" "     7.6" "    -9.5" "     8.8" "    22.7" "     9.1"
"1892" "   -16.1" "   -11.3" "    -3.0" "     5.6" "    13.2" "    22.6" "    26.1" "    24.5" "    20.2" "    13.3" "    -3.6" "   -13.1" "     6.5" "   -11.2" "     5.3" "    24.4" "    10.0"
"1893" "   -16.7" "   -15.8" "    -4.9" "     3.0" "    17.8" "    24.8" "    25.5" "    24.3" "    19.5" "     8.9" "    -4.4" "   -14.7" "     5.6" "   -15.2" "     5.3" "    24.9" "     8.0"
"1894" "   -15.1" "    -9.3" "    -1.2" "     9.6" "    18.7" "    27.9" "    27.4" "    26.9" "    18.9" "    11.0" "    -2.8" "    -4.6" "     9.0" "   -13.0" "     9.0" "    27.4" "     9.0"
"1895" "   -16.6" "   -11.3" "    -3.0" "    16.7" "    19.6" "    20.9" "    24.4" "    23.8" "    18.2" "    10.3" "    -3.1" "    -6.7" "     7.8" "   -10.8" "    11.1" "    23.0" "     8.5"
"1896" "   -12.5" "    -7.5" "    -3.9" "     7.3" "    18.7" "    23.7" "    24.4" "    23.9" "    16.7" "     9.3" "    -9.1" "    -6.4" "     7.1" "    -8.9" "     7.4" "    24.0" "     5.6"
"1897" "   -13.0" "   -10.4" "    -4.5" "    10.6" "    19.9" "    22.3" "    26.0" "    23.0" "    24.5" "    12.9" "    -4.2" "   -10.2" "     8.1" "    -9.9" "     8.7" "    23.8" "    11.1"
"1898" "    -9.2" "    -8.0" "    -2.6" "    10.8" "    20.3" "    22.1" "    25.2" "    23.8" "    19.7" "     7.2" "    -2.1" "    -9.4" "     8.2" "    -9.1" "     9.5" "    23.7" "     8.3"
"1899" "   -14.6" "   -15.7" "    -9.0" "     9.1" "    16.7" "    23.6" "    26.2" "    24.3" "    18.8" "    11.1" "     5.9" "    -7.4" "     7.4" "   -13.2" "     5.6" "    24.7" "    11.9"
"1900" "    -8.0" "   -14.2" "    -4.7" "    17.9" "    23.4" "    27.4" "    25.6" "    26.3" "    17.5" "    13.8" "    -4.0" "    -6.8" "     9.5" "    -9.9" "    12.2" "    26.4" "     9.1"
"1901" "   -13.6" "   -11.5" "    -1.7" "    13.0" "    22.8" "    22.1" "    26.9" "    25.5" "    17.2" "    14.3" "     0.4" "    -7.5" "     9.0" "   -10.6" "    11.4" "    24.8" "    10.6"
"1902" "    -7.0" "    -6.0" "     2.1" "     9.3" "    18.9" "    19.6" "    26.8" "    25.4" "    18.4" "    11.9" "     1.9" "    -9.9" "     9.3" "    -6.8" "    10.1" "    23.9" "    10.7"
"1903" "   -10.2" "    -9.7" "    -2.3" "    11.4" "    19.9" "    24.2" "    25.5" "    22.6" "    16.1" "    13.8" "    -1.1" "   -10.4" "     8.3" "    -9.9" "     9.7" "    24.1" "     9.6"
"1904" "   -13.6" "   -16.0" "    -4.8" "     6.7" "    19.7" "    22.1" "    23.5" "    22.5" "    16.7" "    11.0" "     5.2" "    -8.6" "     7.0" "   -13.3" "     7.2" "    22.7" "    11.0"
"1905" "   -14.6" "   -10.4" "     0.5" "     9.9" "    16.9" "    20.8" "    24.8" "    24.7" "    21.6" "     9.0" "     1.8" "    -5.8" "     8.3" "   -11.2" "     9.1" "    23.4" "    10.8"
"1906" "    -8.2" "    -9.8" "    -2.7" "    15.8" "    16.5" "    23.9" "    25.3" "    25.1" "    23.8" "    11.6" "     0.6" "   -11.1" "     9.2" "    -7.9" "     9.9" "    24.8" "    12.0"
"1907" "   -18.4" "    -8.9" "    -2.1" "     2.6" "    11.0" "    23.4" "    26.1" "    22.2" "    16.5" "    11.6" "     1.5" "    -4.8" "     6.7" "   -12.8" "     3.8" "    23.9" "     9.9"
"1908" "    -7.8" "    -7.7" "    -5.7" "    10.9" "    18.1" "    22.9" "    26.5" "    23.6" "    21.2" "    10.7" "     2.0" "    -7.8" "     8.9" "    -6.8" "     7.8" "    24.3" "    11.3"
"1909" "   -13.6" "   -12.1" "    -2.6" "     4.0" "    18.1" "    25.1" "    26.7" "    25.9" "    21.6" "    11.4" "     0.9" "   -12.3" "     7.8" "   -11.2" "     6.5" "    25.9" "    11.3"
"1910" "   -10.0" "   -12.5" "     7.1" "    13.1" "    16.9" "    27.9" "    27.8" "    24.3" "    18.4" "    14.1" "    -3.3" "    -8.9" "     9.6" "   -11.6" "    12.4" "    26.7" "     9.7"
"1911" "   -18.3" "    -8.4" "     0.8" "    11.6" "    19.9" "    24.0" "    24.0" "    23.5" "    17.3" "    10.7" "    -2.8" "    -7.1" "     7.9" "   -11.9" "    10.8" "    23.8" "     8.4"
"1912" "   -19.5" "    -9.1" "    -2.3" "    11.4" "    18.2" "    25.7" "    24.2" "    21.2" "    16.6" "    12.2" "     1.3" "    -6.7" "     7.8" "   -11.9" "     9.1" "    23.7" "    10.0"
"1913" "   -17.0" "   -13.0" "    -6.7" "    14.2" "    16.6" "    25.0" "    24.0" "    24.5" "    19.4" "     7.5" "     3.5" "    -2.2" "     8.0" "   -12.2" "     8.0" "    24.5" "    10.1"
"1914" "    -8.4" "   -17.1" "    -1.4" "     7.4" "    20.0" "    24.1" "    28.8" "    23.5" "    19.9" "    16.5" "     0.9" "   -12.8" "     8.5" "    -9.2" "     8.7" "    25.5" "    12.4"
"1915" "   -13.4" "    -5.2" "     0.6" "    16.3" "    19.0" "    20.4" "    23.4" "    27.7" "    18.0" "    13.1" "    -0.5" "    -7.2" "     9.4" "   -10.5" "    12.0" "    23.8" "    10.2"
"1916" "   -16.7" "   -11.8" "    -4.3" "     8.6" "    16.3" "    20.6" "    28.5" "    24.7" "    17.9" "     7.3" "     1.5" "   -13.2" "     6.6" "   -11.9" "     6.9" "    24.6" "     8.9"
"1917" "   -17.5" "   -16.3" "    -1.8" "     6.9" "    19.4" "    22.9" "    27.3" "    23.9" "    19.0" "     4.8" "     4.6" "   -15.6" "     6.5" "   -15.7" "     8.2" "    24.7" "     9.5"
"1918" "   -16.7" "   -10.6" "     4.9" "    12.6" "    16.8" "    23.0" "    24.8" "    24.8" "    16.4" "    12.1" "     2.6" "    -6.2" "     8.7" "   -14.3" "    11.4" "    24.2" "    10.4"
"1919" "    -7.1" "   -11.1" "    -4.0" "    11.5" "    22.1" "    26.5" "    27.2" "    25.6" "    19.1" "     5.7" "    -5.8" "   -12.7" "     8.1" "    -8.1" "     9.9" "    26.4" "     6.3"
"1920" "   -15.6" "    -8.4" "    -1.8" "     4.1" "    20.0" "    24.2" "    26.6" "    28.4" "    21.7" "    15.6" "     0.6" "    -7.3" "     9.0" "   -12.2" "     7.4" "    26.4" "    12.6"
"1921" "    -8.5" "    -6.7" "    -3.2" "     8.7" "    19.4" "    26.2" "    27.8" "    24.8" "    18.9" "    12.8" "    -4.1" "    -6.6" "     9.1" "    -7.5" "     8.3" "    26.3" "     9.2"
"1922" "   -11.0" "   -12.2" "     0.9" "    11.3" "    22.1" "    25.4" "    25.4" "    26.5" "    20.1" "    11.9" "     3.5" "   -12.5" "     9.3" "    -9.9" "    11.4" "    25.8" "    11.8"
"1923" "   -11.3" "   -12.0" "    -7.6" "     7.3" "    19.6" "    27.1" "    28.4" "    23.8" "    21.5" "    12.2" "     5.8" "    -3.6" "     9.3" "   -11.9" "     6.4" "    26.4" "    13.2"
"1924" "   -15.1" "    -5.5" "     0.6" "     6.5" "    13.8" "    21.6" "    25.2" "    23.6" "    18.8" "    15.8" "    -3.3" "   -15.6" "     7.2" "    -8.1" "     7.0" "    23.5" "    10.4"
