"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1914" " NA" "   -14.2" "    -2.0" "     5.9" "    16.7" "    21.7" "    26.4" "    22.0" "    17.7" "    14.3" "     0.2" "   -12.3" " NA" " NA" "     6.9" "    23.4" "    10.7"
"1915" "   -13.1" "    -3.8" "    -0.3" "    12.3" "    15.4" "    18.6" "    21.2" "    22.6" "    16.6" "     9.6" "     0.4" "    -7.1" "     7.7" "    -9.7" "     9.1" "    20.8" "     8.9"
"1916" "   -13.5" "   -11.6" "    -4.6" "     7.3" "    11.4" "    18.4" "    27.3" "    23.5" "    15.5" "     7.4" "    -0.2" "   -14.1" "     5.6" "   -10.7" "     4.7" "    23.1" "     7.6"
"1917" "   -18.5" "   -16.4" "    -2.2" "     3.9" "    17.4" "    19.4" "    24.4" "    20.4" "    16.4" "     3.0" "     1.6" "   -15.5" "     4.5" "   -16.3" "     6.4" "    21.4" "     7.0"
"1918" "   -17.5" "   -13.2" "     1.8" "     6.6" "    14.1" "    18.6" "    22.7" "    22.5" "    14.3" "    10.1" "     2.4" "    -5.6" "     6.4" "   -15.4" "     7.5" "    21.3" "     8.9"
"1919" "    -7.2" "    -7.3" "    -3.1" "     8.6" "    19.7" "    24.2" "    25.5" "    22.8" "    17.2" "     6.9" "    -3.4" "   -15.4" "     7.4" "    -6.7" "     8.4" "    24.2" "     6.9"
"1920" "   -18.2" "    -6.6" "     3.0" "     2.3" "    19.2" "    24.9" "    25.3" "    26.7" "    22.5" "    20.8" "     2.2" "    -6.1" "     9.7" "   -13.4" "     8.2" "    25.6" "    15.2"
"1921" "    -8.5" "    -5.9" "    -3.1" "    10.1" "    22.2" "    27.3" "    32.1" "    25.4" "    19.7" "    11.2" "    -2.5" "    -7.5" "    10.0" "    -6.8" "     9.7" "    28.3" "     9.5"
"1922" "   -12.5" "   -11.1" "    -0.1" "     7.9" "    22.7" "    21.9" "    21.9" " NA" " NA" "    11.5" " NA" " NA" " NA" "   -10.4" "    10.2" " NA" " NA"
"1923" "   -10.6" "   -14.8" "    -8.1" "     5.9" "    18.8" "    26.4" "    26.4" "    19.1" "    18.8" "    11.0" "     4.1" "    -5.1" "     7.7" " NA" "     5.5" "    24.0" "    11.3"
