"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1917" " NA" " NA" " NA" " NA" " NA" "    22.1" "    24.5" "    21.8" "    17.1" "     3.4" "     1.2" " NA" " NA" " NA" " NA" "    22.8" "     7.2"
"1918" " NA" " NA" "    -5.5" "    11.1" "    11.9" "    14.3" "    18.4" "    18.3" "    15.3" "    15.3" "     2.4" " NA" " NA" " NA" "     5.8" "    17.0" "    11.0"
"1919" " NA" " NA" "    -3.7" "     1.1" "     6.7" "     6.3" "    10.5" "    27.1" "    23.4" "    13.1" "    -2.6" "   -25.6" " NA" " NA" "     1.4" "    14.6" "    11.3"
"1920" " NA" " NA" "     0.3" "     4.8" "    15.8" "    22.1" "    22.1" "    24.9" "    21.1" "    12.7" "     0.4" "    -5.4" " NA" " NA" "     7.0" "    23.0" "    11.4"
"1921" "    -5.1" "    -5.1" "    -2.3" "     9.1" "    18.9" "    24.5" "    26.2" "    21.9" "    17.8" "     9.1" "    -3.4" "    -8.7" "     8.6" "    -5.2" "     8.6" "    24.2" "     7.8"
"1922" "   -10.6" "    -8.3" "     1.3" "     6.5" "    19.9" "    21.2" "    22.3" "    22.1" " NA" "     6.5" "     1.0" "   -11.9" " NA" "    -9.2" "     9.2" "    21.9" " NA"
"1923" "   -11.0" "   -11.3" "    -7.9" "     8.0" "    16.4" "    22.6" "    24.8" "    19.5" "    17.6" "     9.8" "     2.4" "    -4.0" "     7.2" "   -11.4" "     5.5" "    22.3" "     9.9"
"1924" "   -16.0" "    -8.8" "    -1.8" "     6.9" "    12.1" "    21.0" "    22.7" "    21.2" "    17.2" "    16.7" "    -0.5" "   -12.7" "     6.5" "    -9.6" "     5.7" "    21.6" "    11.1"
"1925" "   -12.9" "    -6.7" "     3.4" "    10.0" "    10.7" "    21.5" "    24.2" "    23.0" "    15.4" "     3.3" "    -0.8" "    -7.4" "     7.0" "   -10.8" "     8.0" "    22.9" "     6.0"
"1926" "   -10.5" "    -8.8" "    -4.9" "     2.0" "    16.3" "    19.6" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -8.9" "     4.5" " NA" " NA"
"1927" "    -9.8" "    -6.5" "     2.2" "     9.6" "    14.1" "    19.9" "    24.0" "    21.2" "    19.0" "     9.3" "    -3.2" "    -9.7" "     7.5" " NA" "     8.6" "    21.7" "     8.4"
"1928" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1929" "   -16.6" "   -11.2" "    -0.6" "     5.9" "     9.8" "    17.6" "    20.8" "    18.1" "    11.7" "     5.4" "    -5.3" "   -12.3" "     3.6" " NA" "     5.0" "    18.8" "     3.9"
