"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1932" " NA" " NA" " NA" " NA" " NA" "    23.5" "    24.4" "    24.9" "    20.1" "    13.2" "     1.9" "    -1.6" " NA" " NA" " NA" "    24.3" "    11.7"
"1933" "    -0.7" "    -3.4" "    -0.1" "     9.3" "    18.8" "    25.4" "    25.0" "    24.3" "    20.3" "    11.2" "    -0.9" "    -8.2" "    10.1" "    -1.9" "     9.3" "    24.9" "    10.2"
"1934" "    -6.2" "   -11.2" "    -1.3" "     8.3" "    19.5" "    23.1" "    27.0" "    23.6" "    21.0" "    10.6" "     4.7" "    -6.2" "     9.4" "    -8.5" "     8.8" "    24.6" "    12.1"
"1935" "   -10.0" "    -5.3" "     0.8" "     9.9" "    16.5" "    22.4" "    26.9" "    25.1" "    18.0" "    12.9" "     5.4" "    -6.3" "     9.7" "    -7.2" "     9.1" "    24.8" "    12.1"
"1936" "    -7.0" "    -7.6" "     3.1" "     7.7" "    18.4" "    23.3" "    24.9" "    22.9" "    19.7" "    10.6" "     0.3" "    -1.7" "     9.6" "    -7.0" "     9.7" "    23.7" "    10.2"
"1937" "    -0.9" "    -2.6" "    -1.7" "     9.5" "    20.0" "    23.9" "    27.2" "    27.5" "    19.8" "    11.2" "     3.8" "    -5.1" "    11.1" "    -1.7" "     9.3" "    26.2" "    11.6"
"1938" "    -6.9" "    -5.1" "     0.5" "    10.4" "    18.4" "    24.3" "    26.4" "    27.0" "    18.3" "    15.4" "     6.4" "    -1.6" "    11.1" "    -5.7" "     9.8" "    25.9" "    13.4"
"1939" "    -6.2" "    -5.6" "    -2.2" "     5.6" "    19.1" "    23.1" "    26.0" "    26.5" "    19.3" "    11.8" "     3.6" "    -3.4" "     9.8" "    -4.5" "     7.5" "    25.2" "    11.6"
"1940" "    -8.8" "    -3.8" "    -0.9" "     7.5" "    18.1" "    22.3" "    26.2" "    25.0" "    20.4" "    11.6" "     2.8" "    -3.1" "     9.8" "    -5.3" "     8.2" "    24.5" "    11.6"
"1941" "    -7.5" "    -3.5" "    -0.8" "    14.8" "    20.0" "    25.6" "    27.0" "    23.2" "    21.9" "    12.2" "     4.1" "    -1.8" "    11.3" "    -4.7" "    11.3" "    25.3" "    12.7"
"1942" "    -5.9" "    -4.1" "     3.2" "    11.5" "    19.9" "    24.3" "    25.4" "    24.1" "    20.4" "    14.2" "     4.5" "    -6.8" "    10.9" "    -3.9" "    11.5" "    24.6" "    13.0"
"1943" "    -8.0" "    -3.7" "    -1.2" "     5.2" "    17.5" "    23.0" "    26.5" "    23.3" "    18.3" "    12.6" "     4.1" "    -6.5" "     9.3" "    -6.2" "     7.2" "    24.3" "    11.7"
"1944" "    -3.8" "    -5.6" "    -1.3" "     8.1" "    21.9" "    23.8" "    27.1" "    27.5" "    20.3" "    12.0" "     5.0" "    -5.6" "    10.8" "    -5.3" "     9.6" "    26.1" "    12.4"
"1945" "    -9.7" "    -3.3" "     6.9" "    13.5" "    15.2" "    23.0" "    26.1" "    25.4" "    20.4" "    11.0" "     3.6" "    -5.5" "    10.6" "    -6.2" "    11.9" "    24.8" "    11.7"
"1946" "    -6.6" "    -7.6" "     7.7" "     9.7" "    16.0" "    23.4" "    25.7" "    23.1" "    22.2" "    15.4" "     4.4" "    -3.3" "    10.8" "    -6.6" "    11.1" "    24.1" "    14.0"
"1947" "    -4.2" "    -6.4" "     1.3" "     6.3" "    14.4" "    21.8" "    26.2" "    27.4" "    19.8" "    17.7" "     4.0" "    -5.7" "    10.2" "    -4.6" "     7.3" "    25.1" "    13.8"
"1948" "    -8.3" "    -5.6" "     0.8" "    10.7" "    17.1" "    22.9" "    26.5" "    26.2" "    22.9" "    13.2" "     8.0" "    -0.8" "    11.1" "    -6.5" "     9.5" "    25.2" "    14.7"
"1949" "    -2.8" "    -2.6" "     0.4" "    11.3" "    18.8" "    24.9" "    28.2" "    27.3" "    18.8" "    15.9" "     1.5" "    -1.9" "    11.7" "    -2.1" "    10.2" "    26.8" "    12.1"
"1950" "    -3.2" "    -7.1" "    -1.8" "     7.6" "    18.4" "    23.4" "    25.4" "    24.1" "    17.7" "    13.2" "     5.7" "    -4.1" "     9.9" "    -4.1" "     8.1" "    24.3" "    12.2"
"1951" "    -4.7" "    -4.8" "     1.9" "    10.4" "    19.3" "    22.7" "    25.6" "    22.7" "    19.1" "    13.4" "     1.3" "    -2.7" "    10.4" "    -4.5" "    10.5" "    23.7" "    11.3"
"1952" "    -4.0" "    -1.8" "     1.7" "    12.1" "    16.1" "    24.0" "    27.4" "    24.6" "    20.4" "    10.8" "     5.9" "    -1.0" "    11.4" "    -2.8" "    10.0" "    25.3" "    12.4"
"1953" "    -1.4" "    -1.5" "     2.7" "    10.8" "    19.9" "    24.1" "    25.6" "    25.5" "    20.4" "    15.0" "     7.7" "     0.5" "    12.4" "    -1.3" "    11.1" "    25.1" "    14.4"
"1954" "    -7.7" "     0.1" "     0.3" "    10.6" "    17.3" "    22.2" "    24.0" "    23.2" "    16.2" "    13.6" "     4.7" "    -3.1" "    10.1" "    -2.4" "     9.4" "    23.1" "    11.5"
"1955" "    -7.3" "    -4.0" "    -0.9" "    10.5" "    20.2" "    25.1" "    30.3" "    27.4" "    20.1" "    13.3" "     4.0" "    -6.8" "    11.0" "    -4.8" "     9.9" "    27.6" "    12.5"
"1956" "    -2.4" "    -4.0" "    -1.3" "     9.3" "    16.0" "    23.0" "    23.5" "    23.6" "    17.2" "    14.3" "     4.6" "    -2.6" "    10.1" "    -4.4" "     8.0" "    23.4" "    12.0"
"1957" "    -8.5" "    -3.0" "     2.6" "    11.2" "    17.7" "    24.7" "    25.3" "    23.2" "    20.4" "    13.3" "     6.7" "    -0.8" "    11.1" "    -4.7" "    10.5" "    24.4" "    13.5"
"1958" "    -4.5" "    -7.2" "     3.0" "    11.8" "    16.1" "    19.9" "    24.9" "    23.8" "    18.6" "    11.7" "     4.8" "    -8.5" "     9.5" "    -4.2" "    10.3" "    22.9" "    11.7"
"1959" "    -7.1" "    -5.7" "     0.0" "    10.4" "    20.8" "    22.3" "    27.5" "    25.3" "    21.4" "    11.0" "     3.1" "    -3.4" "    10.5" "    -7.1" "    10.4" "    25.0" "    11.8"
"1960" "    -6.7" " NA" "    -0.7" "     9.0" "    21.4" "    23.5" "    24.4" "    26.0" "    19.7" "    12.5" "     6.8" "    -4.6" " NA" " NA" "     9.9" "    24.6" "    13.0"
"1961" "    -9.2" "    -2.6" "     1.1" "     9.0" " NA" " NA" "    24.9" "    24.2" "    22.4" "    14.8" "     5.3" "    -2.3" " NA" "    -5.5" " NA" " NA" "    14.2"
"1962" "    -7.4" "    -7.2" "     3.6" "     9.9" "    19.3" "    24.2" "    24.2" "    24.5" "    17.5" "    11.5" "     3.3" "    -4.2" "     9.9" "    -5.6" "    10.9" "    24.3" "    10.8"
"1963" "    -6.8" "    -7.1" "     1.2" " NA" " NA" " NA" "    26.0" "    22.0" "    17.6" "    17.9" "     6.2" "    -7.6" " NA" "    -6.0" " NA" " NA" "    13.9"
"1964" "    -3.4" "    -3.7" "     1.4" "    10.1" "    20.7" "    23.9" "    26.3" "    21.9" "    18.6" "    11.3" "     4.5" "    -3.1" "    10.7" "    -4.9" "    10.7" "    24.0" "    11.5"
"1965" "    -6.7" "    -5.8" "     0.6" "     9.2" "    19.3" "    23.4" "    24.3" "    22.7" "    19.1" "    10.3" "     2.2" "    -1.8" "     9.7" "    -5.2" "     9.7" "    23.5" "    10.5"
"1966" "    -6.0" "    -3.2" "     1.9" "     9.4" "    16.7" "    24.5" "    27.7" "    23.3" "    18.1" "    12.0" "     5.7" "    -3.8" "    10.5" "    -3.7" "     9.3" "    25.2" "    11.9"
"1967" "    -3.9" "    -8.3" "    -0.7" "     8.7" "    13.8" "    24.0" "    25.1" "    24.1" "    20.3" "    11.7" "     1.7" "    -2.6" "     9.5" "    -5.3" "     7.3" "    24.4" "    11.2"
"1968" "    -9.2" "    -8.1" "     2.1" "    13.6" "    18.0" "    20.7" "    25.5" "    22.5" "    21.1" "    14.1" "     1.3" "    -6.7" "     9.6" "    -6.6" "    11.2" "    22.9" "    12.2"
"1969" "    -5.2" "    -3.4" "     0.6" "     8.2" "    16.8" "    22.2" "    25.0" "    25.4" "    18.6" "    11.2" "     4.3" "    -4.8" "     9.9" "    -5.1" "     8.5" "    24.2" "    11.4"
"1970" "   -10.3" "    -6.5" "     0.2" "     9.3" "    18.0" "    23.6" "    26.1" "    25.6" "    18.3" "    14.0" "     5.2" "    -6.9" "     9.7" "    -7.2" "     9.2" "    25.1" "    12.5"
"1971" "    -9.9" "    -3.9" "    -0.2" "     7.2" "    18.4" "    24.5" "    25.0" "    23.9" "    20.7" "    14.6" "     1.7" "    -3.6" "     9.9" "    -6.9" "     8.5" "    24.5" "    12.3"
"1972" "    -5.4" "    -7.6" "    -1.6" "     6.0" "    19.2" "    21.9" "    24.7" "    22.2" "    18.7" "     8.3" "     1.4" "    -5.1" "     8.6" "    -5.5" "     7.9" "    22.9" "     9.5"
"1973" "    -5.2" "    -5.2" "     4.0" "     9.9" "    15.8" "    23.9" "    26.8" "    25.7" "    17.9" "    12.8" "     2.2" "    -2.9" "    10.5" "    -5.2" "     9.9" "    25.5" "    11.0"
"1974" "    -6.2" "    -5.7" "    -0.7" "     9.0" "    13.5" " NA" " NA" "    23.9" "    17.0" "     9.5" "     3.6" "    -1.2" " NA" "    -4.9" "     7.3" " NA" "    10.0"
"1975" "    -5.2" "    -4.3" "    -0.4" "     6.3" "    21.9" "    23.6" "    27.7" "    24.8" "    17.3" "    12.2" "     6.0" "    -5.9" "    10.3" "    -3.6" "     9.3" "    25.4" "    11.8"
"1976" "   -10.1" "    -2.5" "     0.5" "    11.7" "    16.6" "    24.8" "    23.7" "    23.2" "    17.0" "     8.9" "     0.8" "    -8.4" "     8.9" "    -6.2" "     9.6" "    23.9" "     8.9"
"1977" "    -9.9" "    -4.8" "     4.4" "    10.7" "    21.3" "    21.6" "    24.6" "    22.0" "    16.6" "    11.4" "     4.9" "    -4.8" "     9.8" "    -7.7" "    12.1" "    22.7" "    11.0"
"1978" "    -7.6" "    -6.5" "    -0.6" "     7.3" "    21.0" "    23.0" "    26.0" "    24.6" "    17.1" "    10.5" "     4.6" "    -4.0" "     9.6" "    -6.3" "     9.2" "    24.5" "    10.7"
"1979" "    -6.0" "    -8.8" "     4.5" "    10.0" "    18.0" "    22.9" "    25.7" "    22.1" "    18.2" "    10.8" "     6.0" "    -2.4" "    10.1" "    -6.3" "    10.8" "    23.6" "    11.7"
"1980" "    -6.0" "    -5.6" "     1.2" "    10.6" "    18.3" "    20.6" "    24.7" "    24.4" "    17.2" "     8.3" "     1.4" "    -8.0" "     8.9" "    -4.7" "    10.0" "    23.2" "     9.0"
"1981" "    -9.8" "     0.3" "     2.2" "    12.4" "    17.7" "    22.7" "    25.9" "    23.6" "    17.3" "     9.8" "     4.7" "    -1.5" "    10.4" "    -5.8" "    10.8" "    24.1" "    10.6"
"1982" "   -10.8" "    -4.4" "     0.9" "     8.0" "    20.7" "    21.3" "    26.9" "    22.0" "    18.8" "    13.1" "     5.6" "     0.0" "    10.2" "    -5.6" "     9.9" "    23.4" "    12.5"
"1983" "    -4.5" "    -1.8" "     3.4" "     8.6" "    14.8" "    24.9" "    28.2" "    26.3" "    22.3" "    11.4" "     3.6" "    -4.8" "    11.0" "    -2.1" "     8.9" "    26.5" "    12.4"
"1984" "    -7.8" "     0.9" "    -1.7" "    11.4" "    15.0" "    23.7" "    24.6" "    25.2" "    17.7" "    13.9" "     4.7" "    -1.5" "    10.5" "    -3.9" "     8.2" "    24.5" "    12.1"
"1985" "    -9.1" "    -3.2" "     1.6" "     9.4" "    18.7" "    20.3" "    24.5" "    23.8" "    20.4" "    12.5" "     2.8" "    -4.7" "     9.8" "    -4.6" "     9.9" "    22.9" "    11.9"
"1986" "    -5.4" "    -5.1" "     2.5" "    13.7" "    18.1" "    20.8" "    23.6" "    22.0" "    16.9" "    11.4" "     2.3" "    -1.9" "     9.9" "    -5.1" "    11.4" "    22.1" "    10.2"
"1987" "    -5.4" "    -4.3" "     4.5" "    13.7" "    17.7" "    22.8" "    25.5" "    23.5" "    18.3" "    10.2" "     3.8" "    -0.7" "    10.8" "    -3.9" "    12.0" "    23.9" "    10.8"
"1988" "    -4.5" "    -4.0" "     1.0" "     9.7" "    19.6" "    22.0" "    26.7" "    23.6" "    18.0" "     9.0" "     5.4" "    -3.9" "    10.2" "    -3.1" "    10.1" "    24.1" "    10.8"
"1989" "    -2.2" "    -5.2" "    -0.5" "     8.3" "    18.7" "    22.8" "    26.8" "    24.3" "    19.5" "    12.8" "     2.0" "   -10.8" "     9.7" "    -3.8" "     8.8" "    24.6" "    11.4"
"1990" "    -1.0" "    -3.3" "     1.8" "    10.0" "    16.4" "    21.8" "    25.2" "    24.8" "    17.3" "    11.2" "     5.3" "    -0.8" "    10.7" "    -5.0" "     9.4" "    23.9" "    11.3"
"1991" "    -6.1" "    -1.8" "     2.8" "    11.4" "    20.0" "    24.6" "    26.1" "    24.9" "    17.5" "    12.8" "     5.3" "    -3.5" "    11.2" "    -2.9" "    11.4" "    25.2" "    11.9"
"1992" "    -6.9" "    -5.4" "    -0.5" "     8.7" "    18.6" "    21.9" "    22.6" "    22.2" "    18.2" "     9.7" "     3.5" "    -2.0" "     9.2" "    -5.3" "     8.9" "    22.2" "    10.5"
"1993" "    -6.1" "    -8.0" "     1.5" "     9.7" "    18.3" "    22.3" "    26.2" "    25.4" "    17.9" "     9.3" "     3.7" "    -3.1" "     9.8" "    -5.4" "     9.8" "    24.6" "    10.3"
"1994" "   -12.7" "    -7.3" "     1.5" "     9.3" "    17.2" "    23.5" "    25.1" "    22.4" "    18.7" "    13.5" "     6.6" "    -0.8" "     9.8" "    -7.7" "     9.3" "    23.7" "    12.9"
"1995" "    -3.0" "    -6.2" "     4.2" "     7.7" "    17.7" "    25.5" "    26.0" "    25.2" "    18.0" "    13.7" "     1.0" "    -4.7" "    10.4" "    -3.3" "     9.9" "    25.6" "    10.9"
"1996" "    -7.0" "    -5.3" "     0.7" "     8.1" "    17.5" "    23.2" "    24.2" "    25.5" "    19.9" "    11.0" "     1.8" "    -0.9" "     9.9" "    -5.7" "     8.8" "    24.3" "    10.9"
"1997" "    -7.0" "    -3.4" "    -0.2" "     9.7" "    14.8" "    25.9" "    25.5" "    23.5" "    18.2" "    11.3" "     3.4" "    -2.2" "    10.0" "    -3.8" "     8.1" "    25.0" "    11.0"
"1998" "    -3.9" "     0.2" "     2.5" "    12.9" "    22.4" "    22.5" "    25.0" "    24.8" "    20.1" "    13.0" "     5.0" "     0.0" "    12.0" "    -2.0" "    12.6" "    24.1" "    12.7"
"1999" "    -6.1" "    -1.7" "     2.0" "    10.8" "    22.1" "    25.3" "    27.2" "    24.2" "    22.1" "    10.8" " NA" "    -1.8" " NA" "    -2.6" "    11.6" "    25.6" " NA"
"2000" "    -6.6" "    -2.2" " NA" "     9.5" "    17.6" "    21.6" "    24.4" "    24.1" "    18.2" "    12.6" "     4.9" "    -7.0" " NA" "    -3.5" " NA" "    23.4" "    11.9"
"2001" "    -4.8" "    -4.5" "     0.6" "    11.7" "    20.7" "    25.2" "    25.0" "    28.2" "    21.5" "    13.4" "     6.7" "     2.1" "    12.2" "    -5.4" "    11.0" "    26.1" "    13.9"
"2002" " NA" "    -2.2" "     0.8" "    10.8" "    15.9" "    21.6" "    27.0" "    26.3" "    22.6" "    10.1" "     2.8" "    -1.9" " NA" " NA" "     9.2" "    25.0" "    11.8"
"2003" "    -9.3" "    -7.2" "     0.2" "     7.7" "    17.8" "    24.2" "    25.5" "    25.4" "    21.4" "    10.5" "     5.0" "    -2.3" "     9.9" "    -6.1" "     8.6" "    25.0" "    12.3"
