"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1920" " NA" " NA" " NA" " NA" " NA" " NA" "    17.2" "    18.9" "    14.7" "     8.6" "    -2.5" "    -8.7" " NA" " NA" " NA" " NA" "     6.9"
"1921" "   -11.0" " NA" " NA" " NA" "    13.4" "    17.3" "    23.4" "    17.0" "    14.2" "     7.4" "    -2.2" "    -8.4" " NA" " NA" " NA" "    19.2" "     6.5"
"1922" "   -12.0" "    -9.9" "    -2.0" "     6.5" "    14.5" "    15.7" "    19.0" "    18.2" "    14.3" " NA" " NA" " NA" " NA" "   -10.1" "     6.3" "    17.6" " NA"
"1923" "   -17.2" "   -16.7" "   -10.8" "     2.4" "     9.8" "    16.9" "    17.3" "    15.5" "    14.1" "     7.9" "     0.2" "    -6.7" "     2.7" " NA" "     0.5" "    16.6" "     7.4"
"1924" "   -18.8" "   -14.8" "    -2.6" "     3.5" "     8.7" "    16.0" "    18.1" "    17.7" "    13.6" "     7.3" "     1.2" "   -11.6" "     3.2" "   -13.4" "     3.2" "    17.3" "     7.4"
"1925" "   -15.9" "    -6.7" "    -2.7" " NA" "     8.7" "    17.3" " NA" " NA" "    12.4" "     2.6" "    -1.5" "    -8.5" " NA" "   -11.4" " NA" " NA" "     4.5"
"1926" "   -11.6" "   -12.1" "    -8.6" "    -0.1" "     9.8" "    14.5" "    17.8" "    16.9" "    11.5" "     6.5" "    -1.5" "   -10.5" "     2.7" "   -10.7" "     0.4" "    16.4" "     5.5"
"1927" "   -12.5" "   -10.6" "    -1.5" "     3.7" "    10.6" "    14.0" "    18.3" "    15.5" "    13.7" "     9.1" "     0.5" "    -8.0" "     4.4" "   -11.2" "     4.3" "    15.9" "     7.8"
"1928" "   -11.9" "   -13.3" "    -6.1" "     1.9" "    10.9" "    15.8" "    19.4" "    19.0" "    11.1" "     7.0" "    -0.7" "    -6.1" "     3.9" "   -11.1" "     2.2" "    18.1" "     5.8"
"1929" "   -14.5" "   -12.1" "    -2.8" "     3.9" "    10.9" "    16.1" "    18.4" "    15.4" "    13.6" "     6.3" "    -1.1" "   -11.9" "     3.5" "   -10.9" "     4.0" "    16.6" "     6.3"
"1930" "   -11.3" "   -11.4" "    -4.8" "     2.7" "    15.5" "    19.4" "    18.5" "    17.2" "    15.5" "     8.3" "     2.8" "    -7.3" "     5.4" "   -11.5" "     4.5" "    18.4" "     8.9"
"1931" "   -13.0" "    -9.8" "    -0.2" "     5.8" "    13.0" "    17.1" "    22.3" "    19.2" "    15.1" "    11.0" "     5.3" "    -5.2" "     6.7" "   -10.0" "     6.2" "    19.5" "    10.5"
"1932" "    -3.3" "    -9.4" "    -5.0" "     3.9" "    13.6" "    18.0" "    18.5" "    19.7" "    14.4" "     7.9" "    -2.7" "    -5.7" "     5.8" "    -6.0" "     4.2" "    18.7" "     6.5"
"1933" "    -5.4" "    -8.2" "    -3.7" "     4.8" "    11.7" "    18.8" "    20.5" "    19.2" "    15.4" "     6.9" "    -5.7" "   -14.9" "     5.0" "    -6.4" "     4.3" "    19.5" "     5.5"
