1126146,PENTICTON      ,BC, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
1126146,PENTICTON      ,BC, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1907, -9999.9,M, -9999.9,M, -9999.9,M,    -2.0, , -9999.9,M, -9999.9,M,    10.6, ,    10.2, ,     8.7, ,     4.1, ,     1.2, ,    -1.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.7, 
 1908,    -3.9, ,    -4.5, ,    -1.7, , -9999.9,M,     5.1, ,     9.3, ,    11.8, ,    10.3, ,     6.6, ,     2.7, ,     0.6, , -9999.9,M, -9999.9,M,    -3.2, , -9999.9,M,    10.5, ,     3.3, 
 1909,   -11.1, ,    -2.6, ,    -2.3, ,     0.1, ,     4.3, ,     8.0, ,    10.2, ,     8.9, ,     7.4, ,     2.8, ,    -0.5, ,    -5.4, ,     1.7, , -9999.9,M,     0.7, ,     9.0, ,     3.2, 
 1910,    -5.2, ,    -8.3, ,     0.4, ,     2.9, ,     6.5, ,     8.1, ,    11.0, ,     9.3, ,     6.9, ,     3.8, , -9999.9,M, -9999.9,M, -9999.9,M,    -6.3, ,     3.3, ,     9.5, , -9999.9,M
 1911, -9999.9,M, -9999.9,M,    -2.2, ,     0.2, ,     5.7, ,     9.5, ,    12.0, ,    11.0, ,     7.7, ,     2.1, ,    -2.9, ,    -3.6, , -9999.9,M, -9999.9,M,     1.2, ,    10.8, ,     2.3, 
 1912,    -6.1, ,    -1.6, ,    -5.3, ,     2.0, ,     5.8, ,    10.7, ,    12.0, ,    10.5, ,     5.6, ,     2.2, ,     0.5, ,    -1.5, ,     2.9, ,    -3.8, ,     0.8, ,    11.1, ,     2.8, 
 1913,    -9.1, ,    -8.6, ,    -3.9, ,     0.9, ,     5.5, ,     9.6, ,    10.6, ,    11.2, ,     6.0, ,     2.2, ,     0.2, ,    -2.0, ,     1.9, ,    -6.4, ,     0.8, ,    10.5, ,     2.8, 
 1914,    -1.7, ,    -3.9, ,    -0.7, ,     3.5, ,     6.1, ,     9.1, ,    12.1, ,    10.8, ,     7.7, ,     4.7, ,     1.3, ,    -6.2, ,     3.6, ,    -2.5, ,     3.0, ,    10.7, ,     4.6, 
 1915,    -6.2, ,    -0.6, ,     0.2, ,     4.3, ,     7.4, ,     9.3, ,    11.7, ,    12.9, ,     7.0, ,     5.3, ,    -1.3, ,    -3.3, ,     3.9, ,    -4.3, ,     4.0, ,    11.3, ,     3.7, 
 1916,   -14.2, ,    -6.3, ,     0.0, ,     2.4, ,     4.9, ,     8.9, ,    10.8, ,    10.2, ,     7.4, ,     1.6, ,    -2.7, ,    -7.0, ,     1.3, ,    -7.9, ,     2.4, ,    10.0, ,     2.1, 
