2100950,SHINGLE POINT  ,YT, station not joined, Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
2100950,SHINGLE POINT  ,YT, station non jointe, Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1957, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.0, ,     3.3, ,     5.6, ,    -2.7, ,   -10.1, ,   -26.1, ,   -34.0, , -9999.9,M, -9999.9,M, -9999.9,M,     2.3, ,   -13.0, 
 1958,   -31.0, ,   -36.7, ,   -27.8, ,   -20.6, ,    -6.7, ,     5.7, ,    10.8, ,     7.1, ,     0.7, ,   -11.5, ,   -23.1, ,   -30.0, ,   -13.6, ,   -33.9, ,   -18.4, ,     7.9, ,   -11.3, 
 1959,   -33.3, ,   -23.6, ,   -32.8, ,   -20.9, ,   -10.2, ,    -0.8, , -9999.9,M,     0.9, ,    -2.8, ,   -13.4, ,   -27.9, ,   -30.0, , -9999.9,M,   -29.0, ,   -21.3, , -9999.9,M,   -14.7, 
 1960,   -35.2, ,   -27.3, ,   -27.4, ,   -22.0, ,    -6.9, ,     0.9, ,     4.2, , -9999.9,M,    -1.1, , -9999.9,M, -9999.9,M,   -25.1, , -9999.9,M,   -30.8, ,   -18.8, , -9999.9,M, -9999.9,M
 1961, -9999.9,M,   -34.1, ,   -34.0, ,   -25.8, , -9999.9,M,     1.1, ,     5.6, ,     4.5, ,    -0.3, ,   -14.0, ,   -22.2, ,   -31.6, , -9999.9,M, -9999.9,M, -9999.9,M,     3.7, ,   -12.2, 
 1962,   -25.5, ,   -25.9, ,   -30.7, ,   -21.3, ,   -10.9, ,     1.5, ,     6.1, ,     7.1, ,    -2.1, ,    -8.1, ,   -23.6, ,   -24.0, ,   -13.1, ,   -27.7, ,   -21.0, ,     4.9, ,   -11.3, 
 1963, -9999.9,M, -9999.9,M, -9999.9,M,   -15.9, ,    -4.5, ,     1.4, ,     6.3, , -9999.9,M,    -1.4, ,   -11.4, ,   -25.9, ,   -25.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -12.9, 
 1964,   -32.3, , -9999.9,M,   -32.5, ,   -24.4, ,    -9.1, ,    -0.6, ,     3.8, ,     4.0, ,    -1.5, ,   -10.9, ,   -22.7, ,   -31.4, , -9999.9,M, -9999.9,M,   -22.0, ,     2.4, ,   -11.7, 
 1965,   -33.9, ,   -38.0, ,   -22.4, ,   -16.4, ,    -9.2, ,    -0.3, ,     5.0, ,     4.5, ,    -0.5, ,   -13.0, ,   -18.7, , -9999.9,M, -9999.9,M,   -34.4, ,   -16.0, ,     3.1, ,   -10.7, 
 1966,   -37.3, ,   -33.1, ,   -29.6, ,   -25.0, ,    -8.7, ,     1.3, ,     6.6, ,     3.5, ,     0.3, ,   -10.4, ,   -23.8, ,   -26.1, ,   -15.2, , -9999.9,M,   -21.1, ,     3.8, ,   -11.3, 
 1967,   -27.3, ,   -33.2, ,   -26.8, ,   -19.0, ,    -5.9, ,     1.5, ,     5.1, ,     2.0, ,    -1.6, ,   -13.0, ,   -21.1, ,   -25.9, ,   -13.8, ,   -28.9, ,   -17.2, ,     2.9, ,   -11.9, 
 1968,   -27.9, ,   -35.4, ,   -27.0, ,   -21.9, ,    -6.4,E,     0.5, ,     7.8, ,     4.3, ,    -2.4, ,   -10.3, ,   -23.8, ,   -29.2, ,   -14.3,E,   -29.7, ,   -18.4,E,     4.2, ,   -12.2, 
 1969,   -31.4, ,   -34.8, ,   -27.7, ,   -16.5, ,    -7.5, ,     0.1, ,     4.1, ,     0.2, ,    -1.7, ,    -6.8, ,   -27.8, ,   -23.9, ,   -14.5, ,   -31.8, ,   -17.2, ,     1.5, ,   -12.1, 
