5031201,GREAT FALLS    ,MB, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
5031201,GREAT FALLS    ,MB, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.7, ,     0.5, ,    -3.9, ,   -21.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.8, 
 1923,   -25.1, ,   -25.9, ,   -22.2, ,    -8.0, ,     4.3, ,    13.0, ,    15.1, ,     9.6, ,     8.3, ,     0.6, ,    -3.8, ,   -12.9, ,    -3.9, ,   -24.3, ,    -8.6, ,    12.6, ,     1.7, 
 1924,   -26.2, ,   -18.1, ,   -11.8, ,    -3.3, ,     0.5, ,     9.1, ,    13.4, ,    12.3, ,     8.1, ,     6.3, ,    -8.8, ,   -24.8, ,    -3.6, ,   -19.1, ,    -4.9, ,    11.6, ,     1.9, 
 1925,   -26.0, ,   -25.8, ,   -16.7, ,    -0.5, ,     2.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.6, , -9999.9,M,   -25.5, ,    -4.8, , -9999.9,M, -9999.9,M
 1926,   -21.5, , -9999.9,M,   -17.7, ,    -6.2, ,     6.2, ,     8.4, ,    13.1, ,    12.4, , -9999.9,M,     0.7, ,   -12.2, ,   -21.7, , -9999.9,M, -9999.9,M,    -5.9, ,    11.3, , -9999.9,M
 1927,   -24.0, ,   -22.0, ,    -9.8, ,    -2.1, ,     4.2, ,     9.7, ,    12.8, ,    11.8, ,    10.5, ,     3.2, ,   -12.9, ,   -24.1, ,    -3.6, ,   -22.6, ,    -2.6, ,    11.4, ,     0.3, 
 1928,   -21.5, ,   -20.6, ,   -15.0, ,    -6.7, ,     4.9, ,     9.4, ,    14.1, ,    11.1, ,     6.7, ,     0.9, ,    -4.2, ,   -12.6, ,    -2.8, ,   -22.1, ,    -5.6, ,    11.5, ,     1.1, 
 1929,   -29.8, ,   -26.2, ,   -13.3, ,    -3.3, ,     1.9, ,    10.5, ,    13.7, ,    12.6, ,     5.2, ,     1.4, ,   -12.3, ,   -21.7, ,    -5.1, ,   -22.9, ,    -4.9, ,    12.3, ,    -1.9, 
 1930,   -30.8, ,   -18.7, ,   -15.9, ,    -1.5, ,     4.0, ,    11.4, ,    14.9, ,    14.8, ,     7.3, ,    -0.3, ,    -9.0, ,   -15.7, ,    -3.3, ,   -23.7, ,    -4.5, ,    13.7, ,    -0.7, 
 1931,   -18.9, ,   -15.9, ,   -14.2, ,    -2.8, ,     3.5, ,    12.2, ,    14.2, ,    12.7, ,     9.6, ,     3.6, ,    -5.0, ,   -11.9, ,    -1.1, ,   -16.8, ,    -4.5, ,    13.0, ,     2.7, 
 1932,   -20.7, ,   -22.9, ,   -21.7, ,    -3.4, ,     5.8, ,    14.7, , -9999.9,M,    14.2, ,     8.1, ,    -1.4, ,   -13.0, ,   -24.5, , -9999.9,M,   -18.5, ,    -6.4, , -9999.9,M,    -2.1, 
 1933,   -24.2, ,   -28.7, ,   -17.4, ,    -3.7, ,     6.4, ,    13.7, ,    14.9, ,    13.4, ,     8.8, ,    -1.9, ,   -14.8, ,   -28.6, ,    -5.2, ,   -25.8, ,    -4.9, ,    14.0, ,    -2.6, 
 1934,   -23.5, ,   -26.3, ,   -20.0, ,    -3.1, ,     5.3, ,    11.3, ,    13.3, ,    10.3, ,     5.5, ,     2.4, ,    -4.0, ,   -19.8, ,    -4.1, ,   -26.1, ,    -5.9, ,    11.6, ,     1.3, 
 1935,   -29.2, ,   -17.6, ,   -15.9, ,    -4.4, ,     4.1, ,     8.8, ,    16.8, ,    13.2, ,     6.0, ,    -0.8, ,   -13.9, ,   -18.0, ,    -4.2, ,   -22.2, ,    -5.4, ,    12.9, ,    -2.9, 
 1936,   -30.9, ,   -31.1, ,   -15.4, ,   -10.3, ,     5.4, ,    10.1, ,    17.9, ,    13.3, ,     7.8, ,    -3.8, ,   -12.5, ,   -18.3, ,    -5.7, ,   -26.7, ,    -6.8, ,    13.8, ,    -2.8, 
 1937,   -32.9, ,   -24.1, ,   -16.4, ,    -3.5, ,     5.4, ,    10.7, ,    16.1, ,    15.5, ,     6.5, ,     0.7, ,    -8.7, ,   -21.4, ,    -4.3, ,   -25.1, ,    -4.8, ,    14.1, ,    -0.5, 
 1938,   -26.5, ,   -21.6, ,   -10.9, ,    -4.1, ,     4.9, ,    10.8, ,    15.2, ,    13.7, ,     8.1, ,     3.7, ,   -11.1, ,   -16.8, ,    -2.9, ,   -23.2, ,    -3.4, ,    13.2, ,     0.2, 
 1939,   -21.9, ,   -29.3, ,   -17.5, ,    -4.4, ,     6.4, ,    10.7, ,    15.1, ,    14.6, ,     7.2, ,    -1.5, ,    -5.2, ,   -12.0, ,    -3.2, ,   -22.7, ,    -5.2, ,    13.5, ,     0.2, 
 1940,   -23.1, ,   -20.5, ,   -14.7, ,    -4.2, ,     4.3, ,     9.2, ,    14.6, ,    14.1, ,     9.5, ,     3.9, ,   -10.3, ,   -16.1, ,    -2.8, ,   -18.5, ,    -4.9, ,    12.6, ,     1.0, 
 1941,   -22.7, ,   -21.6, ,   -14.8, ,    -0.2, ,     8.4, ,    13.5, ,    14.7, ,    12.6, ,     7.8, ,     0.9, ,    -7.8, ,   -15.0, ,    -2.0, ,   -20.1, ,    -2.2, ,    13.6, ,     0.3, 
 1942,   -18.8, ,   -21.5, ,    -9.2, ,    -1.5, ,     3.3, ,    11.1, ,    13.3, ,    13.0, ,     6.1, ,     2.5, ,   -11.3, ,   -23.0, ,    -3.0, ,   -18.4, ,    -2.5, ,    12.5, ,    -0.9, 
 1943,   -28.9, ,   -23.5, ,   -20.6, ,    -3.1, ,     4.0, ,     9.1, ,    15.3, ,    13.1, ,     6.8, ,     3.2, ,    -7.1, ,   -17.4, ,    -4.1, ,   -25.1, ,    -6.6, ,    12.5, ,     1.0, 
 1944,   -15.7, ,   -24.5, ,   -17.5, ,    -4.3, ,     7.3, ,    10.6, ,    13.6, ,    12.9, ,     9.0, ,     1.7, ,    -3.5, ,   -16.6, ,    -2.3, ,   -19.2, ,    -4.8, ,    12.4, ,     2.4, 
 1945,   -20.9, ,   -19.8, ,    -7.8, ,    -5.0, ,     1.3, ,     9.2, ,    13.2, ,    13.1, ,     6.0, ,    -0.1, ,    -9.9, ,   -21.8, ,    -3.5, ,   -19.1, ,    -3.8, ,    11.8, ,    -1.3, 
 1946,   -24.1, ,   -26.4, ,    -7.8, ,    -0.3, ,     4.0, ,     9.6, ,    14.3, ,    12.1, ,     6.8, ,    -0.5, ,   -10.5, ,   -20.0, ,    -3.6, ,   -24.1, ,    -1.4, ,    12.0, ,    -1.4, 
 1947,   -22.4, ,   -25.6, ,   -16.9, ,    -5.6, ,     2.0, ,    10.4, ,    14.6, ,    15.0, ,     6.2, ,     4.5, ,    -9.3, ,   -21.0, ,    -4.0, ,   -22.7, ,    -6.8, ,    13.3, ,     0.5, 
 1948,   -24.9, ,   -25.5, ,   -17.8, ,    -4.6, ,     4.5, ,    10.5, ,    15.1, ,    14.4, ,    10.6, ,     2.8, ,    -6.2, ,   -19.4, ,    -3.4, ,   -23.8, ,    -6.0, ,    13.3, ,     2.4, 
 1949,   -24.4, ,   -29.6, ,   -16.7, ,    -1.1, ,     4.4, ,    11.2, ,    14.1, ,    15.6, ,     6.2, ,     0.0, ,    -5.0, ,   -22.6, ,    -4.0, ,   -24.5, ,    -4.5, ,    13.6, ,     0.4, 
 1950,   -33.6, ,   -24.8, ,   -18.6, ,    -7.2, ,     3.4, ,     8.4, ,    13.1, ,    10.8, ,     8.2, ,     2.3, ,   -11.0, ,   -23.7, ,    -6.1, ,   -27.0, ,    -7.5, ,    10.8, ,    -0.2, 
 1951,   -26.1, ,   -19.8, ,   -16.4, ,    -3.2, ,     6.0, ,     9.9, ,    12.5, ,    11.4, ,     6.3, ,     0.3, ,   -10.8, ,   -20.4, ,    -4.2, ,   -23.2, ,    -4.5, ,    11.3, ,    -1.4, 
 1952,   -25.2, ,   -18.3, ,   -15.7, ,    -0.7, ,     4.7, ,    11.4, ,    13.8, ,    12.1, ,     8.3, ,    -1.0, ,    -7.0, ,   -12.6, ,    -2.5, ,   -21.3, ,    -3.9, ,    12.4, ,     0.1, 
 1953,   -22.8, ,   -22.6, ,   -12.7, ,    -3.7, ,     4.6, ,    11.0, ,    13.7, ,    14.8, ,     6.8, ,     4.7, ,    -3.1, ,   -17.0, ,    -2.2, ,   -19.3, ,    -3.9, ,    13.2, ,     2.8, 
