7034482,MANIWAKI       ,QC, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
7034482,MANIWAKI       ,QC, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.7, ,     8.1, ,     6.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.6, , -9999.9,M
 1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.5, ,    11.6, ,     9.2, ,     3.6, ,    -3.0, ,   -11.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.3, 
 1916,   -19.3, ,   -23.2, ,   -18.7, ,    -0.3, ,     5.8, ,    11.6, , -9999.9,M, -9999.9,M,     7.6, ,     1.5, ,    -5.3, ,   -14.2, , -9999.9,M,   -18.0, ,    -4.4, , -9999.9,M,     1.3, 
 1917, -9999.9,M,   -25.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.2, ,     5.5, ,     0.6, ,    -6.3, ,   -19.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -0.1, 
 1918,   -22.1, ,   -20.8, ,   -12.3, ,    -2.9, ,     5.0, ,     9.0, ,    13.3, ,    10.9, ,     6.0, ,     2.3, ,    -2.9, ,   -12.1, ,    -2.2, ,   -20.9, ,    -3.4, ,    11.1, ,     1.8, 
 1919,   -14.0, ,   -13.7, ,   -10.5, ,    -3.4, ,     5.8, ,    15.4, ,    14.5, ,    11.6, ,     7.6, ,     2.8, ,    -4.6, ,   -16.6, ,    -0.4, ,   -13.3, ,    -2.7, ,    13.8, ,     1.9, 
 1920,   -25.4, ,   -18.8, ,    -9.6, ,    -1.5, ,     5.6, ,     9.6, ,    11.2, ,    12.4, ,     9.7, ,     4.4, ,    -5.0, ,   -11.8, ,    -1.6, ,   -20.3, ,    -1.8, ,    11.1, ,     3.0, 
 1921,   -16.5, ,   -16.3, ,    -6.3, ,     0.7, ,     7.6, ,    12.7, ,    16.2, ,     9.0, ,     8.3, ,     1.6, ,    -6.7, ,   -12.6, ,    -0.2, ,   -14.9, ,     0.7, ,    12.6, ,     1.1, 
 1922,   -17.9, ,   -15.1, ,    -8.4, ,    -0.6, ,     6.9, ,    11.7, ,     8.6, ,     6.8, ,     4.0, ,    -3.7, ,    -8.6, ,   -21.0, ,    -3.1, ,   -15.2, ,    -0.7, ,     9.0, ,    -2.8, 
 1923,   -22.0,a,   -24.6,a,   -17.3,a,    -6.4,a,     1.7,a,     8.4,a,    11.9,a,     8.3,a,     6.8,a,     0.4,a,    -5.1,a,   -10.6,a,    -4.0,a,   -22.5,a,    -7.3,a,     9.5,a,     0.7,a
 1924, -9999.9,M,   -26.3, ,   -10.2, ,    -6.6, ,    -2.0, ,     3.1, ,     6.5, ,     6.1, ,     0.2, ,    -4.6, ,    -9.8, ,   -24.0, , -9999.9,M, -9999.9,M,    -6.3, ,     5.2, ,    -4.7, 
 1925,   -29.1, ,   -17.5, ,   -13.2, ,    -7.2, ,    -2.5, ,     5.7, ,     6.7, ,     6.6, , -9999.9,M, -9999.9,M,   -12.4, ,   -20.2, , -9999.9,M,   -23.5, ,    -7.6, ,     6.3, , -9999.9,M
 1926,   -25.7, ,   -25.6, ,   -22.9, ,   -13.9, ,    -4.7, , -9999.9,M,     4.6, ,     4.1, , -9999.9,M, -9999.9,M,   -10.0, ,   -21.4, , -9999.9,M,   -23.8, ,   -13.8, , -9999.9,M, -9999.9,M
 1927,   -25.5, ,   -17.5, ,    -7.3, ,    -3.4, ,     3.8, ,     6.7, ,    11.8, ,     9.6, ,     7.5, ,     2.3, ,    -4.2, ,   -13.1, ,    -2.4, ,   -21.5, ,    -2.3, ,     9.4, ,     1.9, 
