7053250,ILES MADELEINE ,QC, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
7053250,ILES MADELEINE ,QC, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1933, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.1, ,     5.8, ,    -4.1, ,   -11.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.9, 
 1934,   -16.0, ,   -16.4, ,   -10.4, ,    -2.3, ,     2.1, ,     6.6, ,    12.6, ,    13.1, ,    12.3, ,     4.3, ,    -0.8, ,    -7.9, ,    -0.2, ,   -14.6, ,    -3.5, ,    10.8, ,     5.3, 
 1935,   -13.8, ,   -16.1, ,   -11.8, ,    -4.1, ,     0.8, ,     8.0, ,    13.1, ,    14.7, ,     8.8, ,     4.6, ,     0.4, ,    -4.8, ,     0.0, ,   -12.6, ,    -5.0, ,    11.9, ,     4.6, 
 1936,    -7.5, ,   -12.3, ,    -4.3, ,    -2.4, ,     0.9, ,     7.7, ,    11.7, ,    12.4, ,     9.3, ,     3.7, ,    -2.6, ,    -6.8, ,     0.8, ,    -8.2, ,    -1.9, ,    10.6, ,     3.5, 
 1937,   -12.6, ,   -10.2, ,    -8.4, ,    -2.7, ,     3.1, ,     8.8, ,    14.4, ,    16.3, ,    11.8, ,     5.4, ,     0.2, ,    -4.8, ,     1.8, ,    -9.9, ,    -2.7, ,    13.2, ,     5.8, 
 1938,    -9.8, ,   -15.0, ,   -11.0, ,    -2.8, ,     1.7, ,     9.8, ,    13.8, ,    15.0, ,    10.5, ,     6.0, ,    -0.7, ,    -4.9, ,     1.1, ,    -9.9, ,    -4.0, ,    12.9, ,     5.3, 
 1939,    -9.2, ,   -15.1, ,   -12.1, ,    -3.8, ,     0.5, ,     6.1, ,    13.5, ,    15.1, ,     9.9, ,     4.9, ,    -1.1, ,    -3.9, ,     0.4, ,    -9.7, ,    -5.1, ,    11.6, ,     4.6, 
 1940,    -9.3, ,    -9.9, ,    -5.8, ,    -2.4, ,     2.4, ,     7.4, ,    13.3, ,    13.8, ,    10.7, ,     3.4, ,     0.1, ,    -7.7, ,     1.3, ,    -7.7, ,    -1.9, ,    11.5, ,     4.7, 
 1941,   -10.7, ,    -9.6, ,    -8.4, ,    -2.5, ,     1.8, ,     6.7, ,    12.0, ,    10.4, ,     7.5, ,     3.5, ,    -0.8, ,    -4.7, ,     0.4, ,    -9.3, ,    -3.0, ,     9.7, ,     3.4, 
 1942,   -11.9, ,   -10.2, ,    -4.3, ,    -1.5, ,     3.9, ,     8.5, ,    13.7, ,    14.0, ,    10.3, ,     6.1, ,    -0.9, ,    -8.4, ,     1.6, ,    -8.9, ,    -0.6, ,    12.1, ,     5.2, 
