7117827,SCHEFFERVILLE  ,QC, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
7117827,SCHEFFERVILLE  ,QC, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.4, ,    -2.7, ,    -9.4, ,   -21.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.2, 
 1949,   -28.1, ,   -31.5, ,   -22.3, ,   -13.2, ,    -5.0, ,     3.5, ,     7.7, ,     5.0, ,     2.2, ,    -3.4, ,   -15.5, ,   -22.8, ,   -10.3, ,   -27.1, ,   -13.5, ,     5.4, ,    -5.6, 
 1950,   -34.7, ,   -34.2, ,   -20.8, ,   -11.9, ,    -3.7, ,     3.0, ,     6.9, ,     6.3, ,     0.8, ,    -5.4, ,   -13.6, ,   -20.6, ,   -10.7, ,   -30.6, ,   -12.1, ,     5.4, ,    -6.1, 
 1951,   -29.2, ,   -24.0, ,   -18.9, ,    -4.7, ,    -3.7, ,     4.8, ,     7.4, ,     7.0, ,     2.4, ,    -5.3, ,   -15.2, ,   -24.5, ,    -8.7, ,   -24.6, ,    -9.1, ,     6.4, ,    -6.0, 
 1952,   -30.2, ,   -26.6, ,   -16.0, ,   -11.3, ,    -0.2, ,     4.1, ,     9.2, ,     6.7, ,     1.6, ,    -6.5, ,   -13.9, ,   -16.1, ,    -8.3, ,   -27.1, ,    -9.2, ,     6.7, ,    -6.3, 
 1953,   -28.3, ,   -26.1, ,   -19.8, ,    -3.4, ,    -3.8, ,     3.2, ,     7.8, ,     6.2, ,     2.2, ,    -4.1, ,   -11.6, ,   -26.3, ,    -8.7, ,   -23.5, ,    -9.0, ,     5.7, ,    -4.5, 
 1954,   -34.1, ,   -24.7, ,   -19.8, ,   -18.6, ,    -1.3, ,     6.4, ,     8.3, ,     7.0, ,     3.2, ,    -3.0, ,   -14.9, ,   -23.6, ,    -9.6, ,   -28.4, ,   -13.2, ,     7.2, ,    -4.9, 
 1955,   -23.4, ,   -27.5, ,   -21.0, ,   -11.8, ,    -1.2, ,     6.9, ,     7.2, ,     7.2, ,     1.7, ,    -2.6, ,    -7.6, ,   -17.0, ,    -7.4, ,   -24.8, ,   -11.3, ,     7.1, ,    -2.8, 
 1956,   -19.3, ,   -24.8, ,   -23.3, ,   -11.4, ,    -8.1, ,     0.6, ,     7.7, ,     5.7, ,     0.7, ,    -3.1, ,   -14.3, ,   -30.0, ,   -10.0, ,   -20.4, ,   -14.3, ,     4.7, ,    -5.6, 
 1957,   -34.4, ,   -25.8, ,   -13.2, ,   -11.8, ,    -5.8, ,     3.5, ,     8.8, ,     6.1, ,     2.7, ,    -3.2, ,   -11.4, ,   -20.9, ,    -8.8, ,   -30.1, ,   -10.3, ,     6.1, ,    -4.0, 
