8401703,GANDER         ,NL, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
8401703,GANDER         ,NL, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1937, -9999.9,M,   -10.6, ,    -9.6, ,    -4.5, ,     2.8, ,     9.1, ,    11.6, ,    11.6, ,     9.2, ,     2.4, ,    -2.4, ,    -6.4, , -9999.9,M, -9999.9,M,    -3.8, ,    10.8, ,     3.1, 
 1938,   -12.8, ,   -16.3, ,   -11.4, ,    -3.4, ,     1.4, ,     8.4, ,    12.3, ,    12.1, ,     9.0, ,     3.3, ,    -3.1, ,    -6.3, ,    -0.6, ,   -11.8, ,    -4.5, ,    10.9, ,     3.1, 
 1939,   -11.3, ,   -15.7, ,   -13.2, ,    -3.5, ,    -0.2, ,     3.6, ,    11.4, ,    11.1, ,     6.9, ,     2.7, ,    -3.0, ,    -4.5, ,    -1.3, ,   -11.1, ,    -5.6, ,     8.7, ,     2.2, 
 1940,    -9.5, ,   -11.2, ,    -4.4, ,    -2.9, ,     2.2, ,     6.4, ,    11.9, ,    10.4, ,     9.6, ,     2.1, ,    -2.4, ,    -9.8, ,     0.2, ,    -8.4, ,    -1.7, ,     9.6, ,     3.1, 
 1941,    -9.7, ,    -7.3, ,    -7.9, ,    -3.1, ,     2.9, ,     4.2, ,    11.0, ,    10.0, ,     4.8, ,     0.6, ,    -3.3, ,    -5.9, ,    -0.3, ,    -8.9, ,    -2.7, ,     8.4, ,     0.7, 
 1942,   -11.5, ,    -7.0, ,    -4.4, ,    -2.8, ,     1.9, ,     5.8, ,    12.5, ,    11.9, ,     8.3, ,     3.4, ,    -1.8, ,    -9.6, ,     0.6, ,    -8.1, ,    -1.8, ,    10.1, ,     3.3, 
 1943,   -12.9, ,   -10.6, ,    -8.8, ,    -2.3, ,     0.4, ,     3.4, ,     9.6, ,     9.3, ,    10.0, ,     4.3, ,    -1.0, ,    -7.7, ,    -0.5, ,   -11.0, ,    -3.6, ,     7.4, ,     4.4, 
 1944,   -10.2, ,   -12.1, ,    -8.7, ,    -3.3, ,     0.7, ,     7.3, ,     8.7, ,    13.0, ,     8.9, ,     2.6, ,     0.0, ,    -6.4, ,     0.0, ,   -10.0, ,    -3.8, ,     9.7, ,     3.8, 
 1945,    -7.0, ,   -11.9, ,    -9.2, ,    -2.7, ,     2.7, ,     5.4, ,    11.3, ,    12.6, ,     7.1, ,     3.0, ,    -2.5, ,    -7.7, ,     0.1, ,    -8.4, ,    -3.1, ,     9.8, ,     2.5, 
 1946,   -12.4, ,   -11.7, ,    -6.5, ,    -2.2, ,     1.8, ,     5.4, ,    10.3, ,    13.3, ,     9.6, ,     2.1, ,    -3.2, ,    -9.0, ,    -0.2, ,   -10.6, ,    -2.3, ,     9.7, ,     2.8, 
 1947,   -13.9, ,    -5.9, ,    -5.3, ,    -5.9, ,     1.8, ,     5.7, ,    14.3, ,     9.5, ,     7.1, ,     2.7, ,    -0.8, ,    -6.8, ,     0.2, ,    -9.6, ,    -3.1, ,     9.8, ,     3.0, 
 1948,    -8.7, ,   -15.1, ,   -12.7, ,    -4.1, ,     2.4, ,     5.7, ,    10.6, ,    11.5, ,     7.6, ,     2.7, ,    -1.3, ,    -7.5, ,    -0.7, ,   -10.2, ,    -4.8, ,     9.3, ,     3.0, 
 1949,   -10.8, ,   -14.7, ,    -4.6, ,    -1.9, ,     1.4, ,     5.3, ,    10.8, ,     9.2, ,     7.2, ,     1.6, ,    -2.1, ,    -5.8, ,    -0.4, ,   -11.0, ,    -1.7, ,     8.4, ,     2.2, 
 1950,   -14.2, ,   -15.8, ,   -11.0, ,    -2.7, ,     0.3, ,     6.9, ,    11.2, ,    11.2, ,     5.4, ,     2.1, ,    -0.7, ,    -4.1, ,    -1.0, ,   -11.9, ,    -4.5, ,     9.8, ,     2.3, 
 1951,    -8.4, ,    -8.4, ,    -4.3, ,     0.7, ,     1.2, ,     6.4, ,    11.9, ,    12.2, ,     7.9, ,     2.0, ,    -1.2, ,    -9.2, ,     0.9, ,    -7.0, ,    -0.8, ,    10.2, ,     2.9, 
 1952,    -9.5, ,    -8.9, ,    -4.9, ,    -2.3, ,     1.7, ,     7.9, ,    12.5, ,    13.4, ,     7.8, ,     2.1, ,    -1.2, ,    -5.1, ,     1.1, ,    -9.2, ,    -1.8, ,    11.3, ,     2.9, 
 1953,    -9.0, ,    -8.7, ,    -8.6, ,     0.6, ,     0.5, ,     7.2, ,    11.7, ,    10.4, ,     7.7, ,     1.5, ,    -1.1, ,    -7.2, ,     0.4, ,    -7.6, ,    -2.5, ,     9.8, ,     2.7, 
 1954,   -12.6, ,    -7.4, ,    -6.2, ,    -4.6, ,     1.9, ,     8.0, ,    12.1, ,    10.4, ,     8.0, ,     1.9, ,    -1.4, ,    -4.0, ,     0.5, ,    -9.1, ,    -3.0, ,    10.2, ,     2.8, 
 1955,    -3.8, ,    -8.6, ,    -7.6, ,    -4.0, ,     1.5, ,     6.8, ,    10.0, ,    11.2, ,     7.0, ,     3.0, ,    -0.7, ,    -6.7, ,     0.7, ,    -5.5, ,    -3.4, ,     9.3, ,     3.1, 
 1956,    -3.5, ,    -9.7, ,   -10.2, ,    -1.1, ,     0.2, ,     6.3, ,    11.2, ,    10.7, ,     7.0, ,     3.3, ,    -0.9, ,    -9.8, ,     0.3, ,    -6.6, ,    -3.7, ,     9.4, ,     3.1, 
 1957,   -16.6, ,   -12.0, ,    -6.2, ,    -4.2, ,     0.0, ,     4.6, ,    11.6, ,    12.0, ,     8.0, ,     2.6, ,    -1.5, ,    -4.2, ,    -0.5, ,   -12.8, ,    -3.5, ,     9.4, ,     3.0, 
 1958,    -4.4, ,    -4.7, ,    -4.2, ,    -0.5, ,     5.1, ,     5.9, ,    10.6, ,    11.9, ,     7.1, ,     1.9, ,    -1.7, ,   -10.6, ,     1.4, ,    -4.4, ,     0.1, ,     9.5, ,     2.4, 
 1959,    -9.8, ,   -17.0, ,   -11.4, ,    -2.4, ,     1.0, ,     4.7, ,    12.4, ,    11.1, ,     6.5, ,     1.8, ,    -1.4, ,    -6.0, ,    -0.9, ,   -12.5, ,    -4.3, ,     9.4, ,     2.3, 
 1960,    -8.1, ,    -4.9, ,    -6.9, ,    -3.3, ,     2.8, ,     8.0, ,    12.3, ,    11.9, ,     8.2, ,     3.0, ,    -2.0, ,    -6.4, ,     1.2, ,    -6.3, ,    -2.5, ,    10.7, ,     3.1, 
