"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1913" " NA" " NA" " NA" "     3.3" "     6.4" "     9.1" "    11.1" "    12.5" "     8.2" "     5.4" "     2.4" "     1.8" " NA" " NA" " NA" "    10.9" "     5.3"
"1914" "     1.4" "     1.0" "     2.6" "     5.0" "     7.2" "     9.2" "    11.5" "    10.9" "     9.4" "     7.7" "     3.5" "    -0.6" "     5.7" "     1.4" "     4.9" "    10.5" "     6.9"
"1915" "    -0.3" "     1.4" "     3.7" "     4.8" "     7.6" "     9.4" "    11.4" "    12.4" "     8.6" "     6.9" "     1.1" "     0.4" "     5.6" "     0.2" "     5.4" "    11.1" "     5.5"
"1916" "    -7.5" "    -0.9" "     1.0" "     3.0" "     5.2" "     8.4" "    11.0" "    10.9" "     8.0" "     2.9" "     0.2" "    -1.7" "     3.4" "    -2.7" "     3.1" "    10.1" "     3.7"
"1917" "    -2.3" "    -1.1" "    -0.9" "     3.1" "     5.0" "     7.8" "    10.3" "    11.2" "     8.8" "     5.4" "     4.1" "     0.8" "     4.4" "    -1.7" "     2.4" "     9.8" "     6.1"
"1918" "     1.6" "    -1.7" "     0.3" "     2.3" "     4.9" "     8.7" "    11.0" " NA" " NA" " NA" " NA" "     1.1" " NA" "     0.2" "     2.5" " NA" " NA"
"1919" "     1.2" "    -0.1" "     1.2" "     3.8" "     5.4" "     7.7" "    10.0" "    11.4" "     8.4" "     3.7" "     2.0" "    -1.0" "     4.5" "     0.7" "     3.5" "     9.7" "     4.7"
"1920" "    -0.5" "    -0.7" "     1.5" "     1.6" "     4.2" "     8.8" "    12.0" "    11.8" "     9.1" "     4.9" "     3.5" "     2.2" "     4.9" "    -0.7" "     2.4" "    10.9" "     5.8"
"1921" "     0.3" "     0.6" "     0.9" "     2.1" "     5.6" "    10.1" "    10.4" "    11.6" "     8.0" "     6.1" "     2.8" "    -1.5" "     4.8" "     1.0" "     2.9" "    10.7" "     5.6"
"1922" "    -2.4" "    -1.9" "    -0.1" "     1.8" "     5.3" "     9.8" "    11.5" "    11.6" "     9.6" "     6.8" "     1.2" "    -1.9" "     4.3" "    -1.9" "     2.3" "    11.0" "     5.9"
"1923" "    -0.3" "    -2.6" "     0.3" "     4.0" "     6.7" "    10.2" "    12.2" "    12.5" "     8.3" "     5.6" "     3.0" "     1.3" "     5.1" "    -1.6" "     3.7" "    11.6" "     5.6"
"1924" "    -0.5" "     2.7" "     0.3" "     2.5" "     7.4" "     8.8" "    10.8" "    11.5" "     8.5" "     6.0" "     1.9" "    -2.1" "     4.8" "     1.2" "     3.4" "    10.4" "     5.5"
"1925" "     0.3" "     2.4" "     1.3" "     3.9" "     7.4" "     8.9" "    11.3" "    11.3" "     8.7" "     4.9" "     2.0" "     3.4" "     5.5" "     0.2" "     4.2" "    10.5" "     5.2"
"1926" "     1.2" "     2.6" "     3.1" "     5.3" "     7.1" "    10.4" "    12.0" "    11.7" "     6.7" "     6.8" "     4.8" "     0.2" "     6.0" "     2.4" "     5.2" "    11.4" "     6.1"
"1927" "    -0.3" "     0.1" "     0.9" "     1.7" "     5.1" "    10.5" "    11.7" "    11.9" "     9.3" "     5.6" "     1.5" "    -2.8" "     4.6" "     0.0" "     2.6" "    11.4" "     5.5"
"1928" "     0.8" "     0.0" "     2.2" "     3.0" "     7.5" "     9.8" "    12.2" "    10.5" "     8.3" "     5.7" "     3.6" "     0.8" "     5.4" "    -0.7" "     4.2" "    10.8" "     5.9"
"1929" "    -2.9" "    -4.1" "     1.1" "     1.8" "     5.8" "     9.0" "    10.2" "    11.2" "     8.0" "     6.1" "     1.7" "     1.1" "     4.1" "    -2.1" "     2.9" "    10.1" "     5.3"
"1930" "    -6.0" "     0.3" "     0.8" "     4.9" "     5.4" "     8.3" "    10.4" "    11.7" "     9.2" "     4.3" "     2.1" "     1.1" "     4.4" "    -1.5" "     3.7" "    10.1" "     5.2"
"1931" "     2.5" "     0.4" "     2.0" "     3.7" "     7.3" "     9.5" "    11.1" "    10.7" "     9.6" "     6.2" "     1.1" "     0.9" "     5.4" "     1.3" "     4.3" "    10.4" "     5.6"
"1932" "    -0.5" "    -0.5" "     2.4" "     4.2" "     5.3" "     9.5" "    10.2" "    11.7" "     8.5" "     6.4" "     4.3" "    -1.4" "     5.0" "     0.0" "     4.0" "    10.5" "     6.4"
"1933" "     0.1" "    -2.2" "     0.8" "     1.7" "     5.6" "     8.1" "    10.2" "    12.2" "     9.0" "     6.1" "     4.1" "     1.8" "     4.8" "    -1.2" "     2.7" "    10.2" "     6.4"
"1934" "     2.3" "     1.5" "     3.0" "     6.7" "     7.4" "     9.7" "    10.6" "    11.6" "     9.1" "     6.7" "     5.4" "     1.9" "     6.3" "     1.9" "     5.7" "    10.6" "     7.1"
"1935" "    -0.8" "     0.7" "     0.7" "     1.0" "     5.1" "     8.6" "    10.0" "    10.5" "     8.9" "     3.8" "     2.3" "     2.6" "     4.5" "     0.6" "     2.3" "     9.7" "     5.0"
"1936" "     2.5" "    -3.3" "     0.7" "     5.7" "     8.1" "    10.3" "    11.0" "    11.4" "     7.3" "     7.3" "     1.4" "     1.6" "     5.3" "     0.6" "     4.8" "    10.9" "     5.3"
"1937" "    -5.4" "    -1.9" "     0.8" "     3.5" "     6.3" "    10.5" "    11.8" "    10.3" "     9.3" "     7.2" "     3.3" "     1.0" "     4.7" "    -1.9" "     3.5" "    10.9" "     6.6"
"1938" "     0.2" "    -0.1" "     0.7" "     3.5" "     5.2" "     8.9" "    10.9" "     9.8" "    10.7" "     5.4" "     1.1" "    -1.5" "     4.6" "     0.4" "     3.1" "     9.9" "     5.7"
"1939" "     1.2" "    -1.3" "     1.0" "     3.1" "     6.2" "     9.4" "    10.8" "    10.9" "     8.6" "     5.9" "     4.9" "     3.5" "     5.4" "    -0.5" "     3.4" "    10.4" "     6.5"
"1940" "     1.4" "     2.2" "     2.8" "     4.6" "     7.7" "    10.4" "    11.0" "    11.5" "    10.4" "     7.2" "     3.8" "     2.3" "     6.3" "     2.4" "     5.0" "    11.0" "     7.1"
"1941" "     1.0" "     1.0" "     2.4" "     4.8" "     6.8" "     9.5" "    12.3" "    11.7" "     9.0" "     6.7" "     2.9" "     0.0" "     5.7" "     1.4" "     4.7" "    11.2" "     6.2"
"1942" "    -1.2" "     0.1" "     0.7" "     3.6" "     7.6" "     9.6" "    12.8" "    12.7" "     8.0" "     5.9" "     1.2" "     1.4" "     5.2" "    -0.4" "     4.0" "    11.7" "     5.0"
"1943" "    -3.0" "    -0.9" "    -0.4" "     3.4" "     6.2" "     7.9" "    10.4" "    11.0" "     8.1" "     5.8" "     2.8" "    -0.4" "     4.2" "    -0.8" "     3.1" "     9.8" "     5.6"
"1944" "    -0.1" "     0.0" "     1.6" "     4.4" "     6.5" "    11.4" "    12.3" "    13.1" "    11.6" "     9.9" "     5.7" "    -0.1" "     6.4" "    -0.2" "     4.2" "    12.3" "     9.1"
"1945" "     1.4" "     1.9" "     1.6" "     3.3" "     8.5" "     9.3" "    11.7" "    11.7" "     8.5" "     5.9" "     1.7" "     1.0" "     5.5" "     1.1" "     4.5" "    10.9" "     5.4"
"1946" "     1.0" "     1.3" "     1.2" "     3.9" "     7.6" "     9.5" "    11.3" "    11.0" "     8.7" "     3.8" "    -0.1" "     0.0" "     4.9" "     1.1" "     4.2" "    10.6" "     4.1"
"1947" "    -1.9" "     0.6" "     2.4" "     4.7" "     8.7" "    10.3" "    11.7" "    10.9" "     8.9" "     7.2" "     4.1" "     1.3" "     5.7" "    -0.4" "     5.3" "    11.0" "     6.7"
"1948" "    -0.6" "    -0.7" "     0.3" "     2.8" "     7.1" "    11.7" "    11.4" "    12.0" "     8.5" "     4.7" "     1.9" "    -1.7" "     4.8" "     0.0" "     3.4" "    11.7" "     5.0"
"1949" "    -4.8" "    -2.8" "     1.1" "     3.8" "     6.7" "     8.5" "    11.3" "    11.7" "     9.3" "     3.4" "     6.1" "     1.1" "     4.6" "    -3.1" "     3.9" "    10.5" "     6.3"
"1950" "    -7.6" "    -0.9" "     0.8" "     2.4" "     5.0" "    10.4" "    11.6" "    11.5" "     8.5" "     5.0" "     2.3" "     3.2" "     4.4" "    -2.5" "     2.7" "    11.2" "     5.3"
"1951" "    -0.7" "    -0.4" "    -0.4" "     2.2" "     7.3" "     9.8" "    11.8" "    10.5" "     9.0" "     6.2" "     2.0" "    -1.2" "     4.7" "     0.7" "     3.0" "    10.7" "     5.7"
"1952" "    -1.1" "    -0.1" "     1.2" "     3.8" "     6.8" "     8.5" "    11.2" "    11.5" "     8.8" "     6.8" "     2.2" "     1.6" "     5.1" "    -0.8" "     3.9" "    10.4" "     5.9"
