"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1901" "   -10.4" "   -12.0" "    -3.2" "    -2.6" "     4.7" "     5.0" "     7.7" "     7.9" "     3.6" "    -0.9" "    -2.7" " NA" " NA" " NA" "    -0.4" "     6.9" "     0.0"
"1902" "   -10.4" "    -7.1" "    -4.6" "    -2.5" "     5.1" "     4.1" "     6.4" "     5.0" "     0.4" "    -2.2" "    -6.5" "   -12.5" "    -2.1" " NA" "    -0.7" "     5.2" "    -2.8"
"1903" "   -12.9" "   -18.1" "   -11.5" "    -1.6" "     1.3" "     8.1" "     5.6" " NA" " NA" " NA" " NA" " NA" " NA" "   -14.5" "    -3.9" " NA" " NA"
"1904" "   -10.5" "   -10.9" "    -9.4" "    -0.5" "     3.2" "     3.6" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -2.2" " NA" " NA"
"1905" "   -12.3" "   -16.4" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1906" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1907" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1908" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1909" " NA" " NA" " NA" " NA" " NA" "     5.9" "     8.1" "     5.1" "     4.0" "    -0.3" "    -2.7" "   -13.9" " NA" " NA" " NA" "     6.4" "     0.3"
"1910" "   -13.5" "   -16.1" "     0.0" "     0.4" "     2.8" "     6.3" "     7.5" "     3.9" "     4.7" "     3.6" "    -2.6" "    -8.7" "    -1.0" "   -14.5" "     1.1" "     5.9" "     1.9"
"1911" "   -14.2" "   -13.5" "    -2.9" "    -3.2" "     2.4" "     7.8" "     8.1" " NA" "     5.1" "    -3.8" "   -11.0" "   -11.0" " NA" "   -12.1" "    -1.2" " NA" "    -3.2"
"1912" "   -14.5" "    -5.5" "   -10.0" "    -0.1" "     3.8" "     7.8" "     8.3" "     8.0" "     0.1" "    -2.5" "    -3.3" "    -8.1" "    -1.3" "   -10.3" "    -2.1" "     8.0" "    -1.9"
"1913" "   -16.3" "   -16.8" "    -9.4" "    -1.5" "     3.7" "     3.3" "     8.6" "     7.6" "     1.8" "    -2.5" "    -4.8" "    -9.6" "    -3.0" "   -13.7" "    -2.4" "     6.5" "    -1.8"
"1914" "    -8.8" "   -13.9" " NA" "     1.3" "     2.7" "     6.9" "     8.5" "     6.7" "     4.1" "     1.2" "    -2.9" "   -15.9" " NA" "   -10.8" " NA" "     7.4" "     0.8"
"1915" "   -12.9" "    -6.9" "    -3.5" "     0.6" "     5.6" "     6.5" "     8.1" "     9.6" "     3.1" "     2.2" "    -8.3" "   -10.9" "    -0.6" "   -11.9" "     0.9" "     8.1" "    -1.0"
"1916" "   -24.9" "   -11.5" "    -4.3" "    -0.5" "     2.3" "    10.3" "     8.4" "     6.7" "     2.7" "    -3.2" "    -8.2" "   -17.9" "    -3.3" "   -15.8" "    -0.8" "     8.5" "    -2.9"
"1917" "   -11.7" "   -11.7" "   -10.3" "    -2.4" "     2.7" "     5.6" "     9.3" "     6.5" "     3.5" "    -1.5" "    -2.0" "   -11.4" "    -2.0" "   -13.8" "    -3.3" "     7.1" "     0.0"
"1918" "   -11.4" "   -12.7" "    -2.7" "    -2.6" "     0.7" "     6.7" "     8.8" "     8.4" "     4.1" "     2.2" "    -4.4" "    -8.1" "    -0.9" "   -11.8" "    -1.5" "     8.0" "     0.6"
"1919" "    -8.9" "   -12.6" "    -7.6" "    -0.4" "     3.1" "     5.2" "     6.7" "     7.4" "     1.7" "    -5.5" "    -9.3" "   -12.6" "    -2.7" "    -9.9" "    -1.6" "     6.4" "    -4.4"
"1920" "   -12.5" "   -12.2" "    -6.8" "    -2.1" "     0.9" "     4.2" "     9.7" "     7.9" "     3.8" "    -1.8" "    -7.9" "    -9.0" "    -2.2" "   -12.4" "    -2.7" "     7.3" "    -2.0"
"1921" "   -10.5" "    -7.1" "    -3.6" "     0.1" "     2.5" "     8.3" "     7.8" "     7.2" "     1.8" "     0.1" "    -6.1" "   -14.1" "    -1.1" "    -8.9" "    -0.3" "     7.8" "    -1.4"
"1922" "   -18.3" "   -17.7" "    -6.2" "    -0.6" "     1.8" "     8.0" "     8.6" "     9.7" "     5.3" "    -0.4" "    -7.5" "   -14.9" "    -2.7" "   -16.7" "    -1.7" "     8.8" "    -0.9"
"1923" "   -10.8" "   -14.8" "    -5.9" "    -1.5" "     3.7" "     8.0" "    10.3" "     8.3" "     3.6" "    -1.7" "    -3.6" "    -8.4" "    -1.1" "   -13.5" "    -1.2" "     8.9" "    -0.6"
"1924" "   -15.3" "    -2.3" "    -5.6" "    -1.3" "     3.1" "     5.9" "     9.1" "     8.4" "     3.9" "     0.5" "    -6.7" "   -16.6" "    -1.4" "    -8.7" "    -1.3" "     7.8" "    -0.8"
"1925" "   -10.6" "    -2.9" "    -2.8" "    -0.6" "     3.5" "     9.2" "    10.1" "     7.6" "     5.5" "    -2.8" "    -6.1" "    -2.8" "     0.6" "   -10.0" "     0.0" "     9.0" "    -1.1"
"1926" "    -7.8" "    -3.5" "    -2.8" "    -0.6" "     4.8" "     7.2" "    10.3" "     7.1" "     2.4" "     1.8" "    -3.6" "   -10.9" "     0.4" "    -4.7" "     0.5" "     8.2" "     0.2"
"1927" "   -12.5" "   -10.3" "    -4.0" "    -1.0" "     3.2" "     7.3" "     9.1" "     9.2" "     5.5" "     2.9" "    -5.8" "   -17.5" "    -1.2" "   -11.2" "    -0.6" "     8.5" "     0.9"
"1928" " NA" "    -9.2" "    -2.7" "    -1.4" "     3.8" "     7.6" "    10.3" "     6.3" "     2.7" "    -1.2" "    -4.4" "   -10.6" " NA" " NA" "    -0.1" "     8.1" "    -1.0"
"1929" "   -19.3" "   -17.3" "    -2.1" "    -0.9" "     3.5" "     8.6" "     8.1" "     8.3" "     2.9" "    -1.6" "    -8.5" "    -9.1" "    -2.3" "   -15.7" "     0.2" "     8.3" "    -2.4"
"1930" "   -22.7" "    -4.9" "    -5.5" "     2.1" "     3.3" "     6.2" "     7.7" "     7.6" "     5.9" "    -0.9" "    -7.9" "   -10.0" "    -1.6" "   -12.2" "     0.0" "     7.2" "    -1.0"
"1931" "    -6.0" "    -6.3" "    -1.7" "    -1.2" "     3.8" "     8.4" "     7.9" "     6.8" "     3.8" "    -0.6" "    -8.3" "   -11.0" "    -0.4" "    -7.4" "     0.3" "     7.7" "    -1.7"
"1932" "   -16.6" "   -10.0" "    -5.9" "     1.7" "     3.6" "     8.4" "     8.6" "     8.6" "     2.1" "     0.1" "    -1.8" "   -14.4" "    -1.3" "   -12.5" "    -0.2" "     8.5" "     0.1"
"1933" "    -9.2" "   -15.1" "    -3.0" "    -0.7" "     2.8" "     6.6" "     7.8" "     7.8" "     4.4" "     1.0" "    -1.3" "    -5.7" "    -0.4" "   -12.9" "    -0.3" "     7.4" "     1.4"
"1934" "    -5.4" "    -7.4" "    -3.4" "     1.5" "     4.3" "     7.0" "     9.0" "     7.6" "     2.9" "     3.1" "    -0.3" "    -7.2" "     1.0" "    -6.2" "     0.8" "     7.9" "     1.9"
