"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1924" " NA" " NA" " NA" "    -6.5" "    -1.6" "     2.3" "     7.8" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1925" " NA" " NA" " NA" "    -4.6" "     1.9" "     3.8" "     5.6" "     5.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     4.9" " NA"
"1926" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1927" " NA" " NA" " NA" "    -3.7" "     1.7" "     4.2" "     8.7" "     5.4" "     1.1" " NA" " NA" " NA" " NA" " NA" " NA" "     6.1" " NA"
"1928" " NA" " NA" " NA" " NA" "     4.4" "     5.8" "     8.7" "     5.1" "     1.3" "    -5.5" "    -9.8" "   -16.4" " NA" " NA" " NA" "     6.5" "    -4.7"
"1929" " NA" "   -24.3" "    -9.1" "    -6.9" "    -0.8" "     3.9" " NA" "     6.8" "     0.5" "    -3.4" " NA" " NA" " NA" " NA" "    -5.6" " NA" " NA"
"1930" " NA" " NA" "   -10.8" "    -2.6" "     1.7" "     5.7" "     8.6" "     8.4" "     1.7" "    -6.0" "    -8.9" "   -12.5" " NA" " NA" "    -3.9" "     7.6" "    -4.4"
"1931" "   -11.9" " NA" "    -9.3" "    -4.0" "     0.1" "     4.7" "     6.3" "     6.0" "     1.7" "    -4.4" "   -17.8" "   -17.6" " NA" " NA" "    -4.4" "     5.7" "    -6.8"
"1932" "   -24.7" "   -22.5" "   -17.5" "    -2.6" "     1.3" "     4.8" "     5.9" "     4.7" "     0.9" "    -7.3" "   -13.8" "   -18.5" "    -7.4" "   -21.6" "    -6.3" "     5.1" "    -6.7"
"1933" "   -23.1" "   -22.7" "   -14.9" "    -4.2" "     1.7" "     4.9" "     6.0" "     6.1" "     1.7" "    -5.8" " NA" " NA" " NA" "   -21.4" "    -5.8" "     5.7" " NA"
