"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1943" " NA" " NA" " NA" "    -3.8" "    -0.9" "     4.9" "     9.8" "     7.1" "     1.7" "    -1.3" "    -8.8" "   -18.7" " NA" " NA" " NA" "     7.3" "    -2.8"
"1944" "   -19.1" "   -23.6" "   -21.7" "    -4.4" "     3.2" "     6.1" "     9.3" "     6.5" "     2.6" "    -1.8" "    -9.7" "   -20.1" "    -6.1" "   -20.5" "    -7.6" "     7.3" "    -3.0"
"1945" "   -22.5" "   -22.7" "   -10.5" "    -7.6" "    -1.5" "     5.4" "     8.9" "     8.1" "     2.2" "    -1.9" "   -14.7" "   -24.4" "    -6.8" "   -21.8" "    -6.5" "     7.5" "    -4.8"
"1946" "   -23.4" "   -26.1" "    -9.8" "    -2.0" "     1.0" "     5.6" "    10.0" "     7.6" "     2.9" "    -4.1" "   -14.9" "   -24.4" "    -6.5" "   -24.6" "    -3.6" "     7.7" "    -5.4"
"1947" "   -23.0" "   -25.7" "   -15.7" "    -5.8" "     0.2" "     7.5" "    11.2" "     8.9" "     2.1" "     0.3" "   -12.8" "   -22.9" "    -6.3" "   -24.4" "    -7.1" "     9.2" "    -3.5"
"1948" "   -24.2" "   -26.1" "   -20.5" "    -8.5" "     2.3" "     7.4" "    10.9" "     9.1" "     4.9" "    -1.7" "    -9.7" "   -22.5" "    -6.6" "   -24.4" "    -8.9" "     9.1" "    -2.2"
"1949" "   -25.7" "   -28.4" "   -14.3" "    -1.8" "     2.3" "     6.9" "     8.7" "    11.0" "     2.0" "    -3.6" "    -5.7" "   -25.2" "    -6.2" "   -25.5" "    -4.6" "     8.9" "    -2.4"
"1950" "   -36.5" "   -23.5" "   -17.9" "    -6.9" "     1.1" "     5.7" "     9.3" "     7.2" "     3.4" "    -0.9" "   -13.4" "   -22.4" "    -7.9" "   -28.4" "    -7.9" "     7.4" "    -3.6"
"1951" "   -27.3" "   -22.6" "   -19.6" "    -4.6" "     3.7" "     5.6" "     9.4" "     7.1" "     3.7" "    -4.5" "   -14.8" "   -23.2" "    -7.3" "   -24.1" "    -6.8" "     7.4" "    -5.2"
"1952" "   -27.0" "   -19.0" "   -16.4" "    -0.7" "     3.6" "     7.1" "     9.7" "     8.6" "     4.0" "    -2.8" "    -8.7" "   -16.1" "    -4.8" "   -23.1" "    -4.5" "     8.5" "    -2.5"
"1953" "   -23.6" "   -19.7" "   -15.7" "    -5.8" "     1.4" "     7.7" "    10.8" "    10.9" "     4.6" "    -0.6" "    -5.9" "   -18.0" "    -4.5" "   -19.8" "    -6.7" "     9.8" "    -0.6"
"1954" "   -32.3" "   -13.7" "   -18.0" "   -10.0" "     0.7" "     7.4" "    11.2" "     9.5" "     3.9" "    -2.2" "    -6.5" "   -14.1" "    -5.3" "   -21.3" "    -9.1" "     9.4" "    -1.6"
"1955" "   -22.6" "   -23.9" "   -21.5" "    -1.0" "     3.4" "     8.4" "    11.4" "     9.7" "     2.3" "    -1.8" "   -17.4" "   -27.6" "    -6.7" "   -20.2" "    -6.4" "     9.8" "    -5.6"
"1956" "   -25.0" "   -24.7" "   -19.3" "    -8.2" "     1.3" "     9.7" "    10.3" "     8.6" "     1.3" "    -2.1" "   -12.0" "   -21.2" "    -6.8" "   -25.8" "    -8.7" "     9.5" "    -4.3"
"1957" "   -27.5" "   -22.9" "   -16.0" "    -6.4" "     2.3" "     5.7" "    11.4" "     8.2" "     3.9" "    -2.7" "    -9.9" "   -20.4" "    -6.2" "   -23.9" "    -6.7" "     8.4" "    -2.9"
"1958" "   -19.2" "   -22.9" "   -12.4" "    -2.6" "     2.7" "     3.6" "     9.7" "     9.3" "     4.0" "    -1.3" "   -12.5" "   -21.5" "    -5.3" "   -20.8" "    -4.1" "     7.5" "    -3.3"
"1959" "   -28.3" "   -22.3" "   -10.3" "    -3.7" "     1.4" "     8.0" "    11.1" "     8.6" "     4.3" "    -3.2" "   -14.1" "   -11.8" "    -5.0" "   -24.0" "    -4.2" "     9.2" "    -4.3"
