"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1871" " NA" " NA" " NA" "    -0.9" "     2.8" "     8.7" "    13.0" "    12.8" "     8.1" "     4.6" "    -3.2" "    -9.6" " NA" " NA" " NA" "    11.5" "     3.2"
"1872" "    -9.1" "    -9.5" "   -10.5" "    -1.2" "     3.8" "     9.6" "    12.9" "    13.5" "    10.7" "     4.2" "    -1.4" "   -10.1" "     1.1" "    -9.4" "    -2.6" "    12.0" "     4.5"
"1873" "   -10.0" "   -12.2" "    -5.6" "    -0.9" "     3.0" "     8.1" "    12.7" "    12.2" "     9.4" " NA" "    -3.8" "    -9.0" " NA" "   -10.8" "    -1.2" "    11.0" " NA"
"1874" "    -7.6" "   -12.7" "    -6.0" "    -4.2" "     4.0" "     7.9" "    12.0" "    11.4" "     9.9" "     4.6" "    -2.1" "    -8.3" "     0.7" "    -9.8" "    -2.1" "    10.4" "     4.1"
"1875" "   -14.5" "   -13.7" "    -9.6" "    -3.5" "     2.9" "     8.2" "    11.6" "    14.0" "     7.7" "     3.6" "    -4.7" "    -8.9" "    -0.6" "   -12.2" "    -3.4" "    11.3" "     2.2"
"1876" "   -12.3" "   -11.7" "    -6.8" "    -2.1" "     2.2" "    11.0" "    13.2" "    12.4" "     7.7" "     3.1" "     0.8" "   -10.3" "     0.6" "   -11.0" "    -2.2" "    12.2" "     3.9"
"1877" "   -13.9" "    -7.3" "    -5.1" "    -0.1" "     3.4" "     9.8" "    12.6" "    14.5" "    10.4" "     3.5" "     0.4" "    -6.4" "     1.8" "   -10.5" "    -0.6" "    12.3" "     4.8"
"1878" "    -8.3" "    -9.1" "    -4.0" "     0.9" "     6.2" "     9.7" "    12.3" "    13.4" "    10.5" "     7.2" "    -0.2" "    -6.3" "     2.7" "    -7.9" "     1.0" "    11.8" "     5.8"
"1879" "   -11.2" "    -9.9" "    -5.9" "    -1.4" "     5.4" "     8.9" "    10.6" "    12.5" "    10.0" "     4.3" "    -2.6" "    -8.3" "     1.0" "    -9.1" "    -0.6" "    10.7" "     3.9"
"1880" "    -8.6" "    -8.7" "    -9.3" "    -2.3" "     3.7" "     9.0" "    13.7" "    12.1" "    11.0" "     4.5" "    -3.0" "    -6.9" "     1.3" "    -8.5" "    -2.6" "    11.6" "     4.2"
"1881" "   -10.2" "    -8.6" "    -3.2" "    -2.0" "     4.5" "     7.3" "    11.9" "    14.3" "    11.4" "     3.5" "    -2.4" "    -5.1" "     1.8" "    -8.6" "    -0.2" "    11.2" "     4.2"
"1882" "   -10.8" "   -10.6" "    -6.9" "    -4.0" "     2.2" "     9.2" "    13.0" "    12.7" "    11.1" "     6.1" "    -0.5" "    -6.6" "     1.2" "    -8.8" "    -2.9" "    11.6" "     5.6"
"1883" "   -13.7" "   -12.0" "    -8.4" "    -1.8" "     4.6" "    10.3" "    12.2" "    12.7" "     8.7" "     3.3" "    -0.7" "    -7.9" "     0.6" "   -10.8" "    -1.9" "    11.7" "     3.8"
"1884" "   -11.8" "    -8.3" "    -6.4" "     0.3" "     3.3" "     9.2" "    11.6" "    14.0" "     9.2" "     3.2" "    -1.7" "    -6.2" "     1.4" "    -9.3" "    -0.9" "    11.6" "     3.6"
"1885" "    -9.4" "   -10.9" "   -10.1" "    -0.9" "     4.5" "     9.2" "    13.2" "    13.1" "     8.0" "     5.5" "     0.6" "    -5.8" "     1.4" "    -8.8" "    -2.2" "    11.8" "     4.7"
"1886" "    -7.2" "    -8.5" "    -6.7" "    -0.6" "     4.9" "     9.8" "    13.2" "    12.4" "     9.1" "     3.2" "     0.7" "    -5.6" "     2.1" "    -7.2" "    -0.8" "    11.8" "     4.3"
"1887" "   -10.5" "   -11.9" "    -6.3" "    -1.3" "     4.5" "     8.1" "    14.1" "    12.7" "     9.1" "     4.9" "    -1.1" "    -6.9" "     1.3" "    -9.3" "    -1.0" "    11.6" "     4.3"
"1888" "   -12.5" "   -10.5" "    -4.9" "    -2.5" "     3.3" "     8.8" "    10.7" "    12.2" "     9.0" "     3.9" "    -0.7" "    -4.8" "     1.0" "   -10.0" "    -1.4" "    10.6" "     4.1"
"1889" "    -6.3" "    -9.6" "    -2.7" "     1.5" "     6.5" "    11.5" "    13.4" "    13.3" "    11.7" "     5.4" "     1.0" "    -6.0" "     3.3" "    -6.9" "     1.8" "    12.7" "     6.0"
"1890" "   -11.8" "   -10.3" "    -3.7" "    -1.1" "     5.8" "     8.1" "    12.6" "    13.9" "    10.7" "     4.8" "    -0.6" "   -10.7" "     1.5" "    -9.4" "     0.3" "    11.5" "     5.0"
"1891" "    -7.8" "    -9.8" "    -5.2" "    -0.6" "     4.7" "     9.1" "    13.0" "    14.4" "    11.3" "     4.8" "     0.0" "    -3.6" "     2.5" "    -9.4" "    -0.4" "    12.2" "     5.4"
"1892" "    -5.9" "    -7.5" "    -5.7" "     0.2" "     4.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -5.7" "    -0.4" " NA" " NA"
"1893" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1894" "   -10.0" "   -12.6" "    -4.1" "    -1.2" "     3.8" "     9.0" "    13.4" "    11.8" "     9.8" "     4.8" "    -2.0" "    -6.3" "     1.4" " NA" "    -0.5" "    11.4" "     4.2"
"1895" "    -7.3" "   -10.0" "    -6.1" "    -0.9" "     5.8" "    10.4" "    13.4" "    13.2" "     9.7" "     3.2" "     0.4" "    -3.3" "     2.4" "    -7.9" "    -0.4" "    12.3" "     4.4"
"1896" "    -9.4" "    -8.7" "    -4.2" "    -0.9" "     3.8" "    10.0" "    13.3" "    12.8" "    10.4" "     6.1" "     0.1" "    -7.6" "     2.1" "    -7.1" "    -0.4" "    12.0" "     5.5"
"1897" "    -8.9" "    -9.0" "    -5.4" "     0.4" "     5.5" "     9.0" "    13.5" "    13.5" "     9.1" "     3.6" "    -1.2" "    -5.3" "     2.1" "    -8.5" "     0.2" "    12.0" "     3.8"
"1898" "   -12.2" "    -5.8" "    -3.1" "     0.2" "     4.7" "     9.8" "    13.3" "    15.1" "    10.2" "     5.0" "     2.0" "    -6.0" "     2.8" "    -7.8" "     0.6" "    12.7" "     5.7"
"1899" "    -9.9" "    -9.8" "    -5.6" "    -0.6" "     3.9" "     9.4" "    12.2" "    13.6" "    10.0" "     5.0" "    -0.7" "    -4.6" "     1.9" "    -8.6" "    -0.8" "    11.7" "     4.8"
"1900" "    -8.7" "    -7.3" "    -5.9" "     0.1" "     3.1" "     9.3" "    12.8" "    13.5" "    10.4" "     7.1" "     1.0" "    -6.3" "     2.4" "    -6.9" "    -0.9" "    11.9" "     6.2"
"1901" "    -9.5" "    -7.3" "    -5.0" "     1.4" "     5.7" "    10.2" "    13.9" "    14.7" "    11.3" "     4.9" "     0.1" "    -4.4" "     3.0" "    -7.7" "     0.7" "    12.9" "     5.4"
"1902" "    -7.7" "    -6.7" "    -0.9" "     1.3" "     4.2" "     8.3" "    12.3" "    13.3" "    10.9" "     4.8" "     1.5" "    -7.4" "     2.8" "    -6.3" "     1.5" "    11.3" "     5.7"
"1903" "    -8.8" "    -8.5" "    -2.4" "    -0.3" "     4.6" "     7.8" "    12.4" "    11.6" "    10.7" "     4.8" "     1.1" "    -6.8" "     2.2" "    -8.2" "     0.6" "    10.6" "     5.5"
"1904" "   -11.2" "   -13.0" "    -6.2" "    -1.2" "     4.6" "     8.3" "    13.9" "    11.2" "     7.5" "     3.2" "    -2.2" "   -11.4" "     0.3" "   -10.3" "    -0.9" "    11.1" "     2.8"
"1905" "   -13.2" "   -13.1" "    -7.7" "    -0.6" "     4.3" "     7.4" "    13.0" "    12.7" "     9.6" "     3.5" "    -1.7" "    -5.0" "     0.8" "   -12.6" "    -1.3" "    11.0" "     3.8"
"1906" " NA" "    -7.5" "    -6.6" "    -0.7" "     5.2" "     8.6" "    13.7" "    13.7" "     8.6" "     4.3" "     1.2" "    -7.0" " NA" " NA" "    -0.7" "    12.0" "     4.7"
"1907" "   -11.1" "   -12.5" "    -7.0" "    -1.2" "     2.9" "     7.6" "    12.6" "    12.0" "    10.3" "     3.4" "    -0.4" "    -3.6" "     1.1" "   -10.2" "    -1.8" "    10.7" "     4.4"
"1908" "    -8.2" "    -9.1" "    -5.3" "    -2.5" "     4.8" "     9.9" "    13.6" "    12.2" "     9.8" "     4.5" "    -0.4" "    -7.8" "     1.8" "    -7.0" "    -1.0" "    11.9" "     4.6"
"1909" "   -10.5" "   -10.0" "    -4.5" "    -0.9" "     4.4" "     9.2" "    12.2" "    12.6" "    11.0" "     6.2" "     0.3" "    -4.9" "     2.1" "    -9.4" "    -0.3" "    11.3" "     5.8"
"1910" "    -6.5" "    -8.6" "    -3.5" "     1.5" "     5.3" "     9.1" "    13.6" "    12.4" "    10.0" "     4.9" "     0.9" "    -7.0" "     2.7" "    -6.7" "     1.1" "    11.7" "     5.3"
"1911" "    -9.7" "   -13.2" "    -7.4" "    -2.0" "     5.3" "     9.9" "    14.5" "    13.4" "     9.5" "     3.6" "    -1.3" "    -4.2" "     1.5" "   -10.0" "    -1.4" "    12.6" "     3.9"
"1912" "   -12.2" "    -9.5" "    -5.8" "    -0.9" "     5.0" "     9.0" "    12.9" "    12.2" "     7.7" "     4.5" "     0.1" "    -5.9" "     1.4" "    -8.6" "    -0.6" "    11.4" "     4.1"
"1913" "    -6.3" "   -12.2" "    -3.3" "     0.6" "     3.5" "     7.6" "    12.3" "    11.0" "     8.3" "    11.0" "    -0.7" "    -5.4" "     2.2" "    -8.1" "     0.3" "    10.3" "     6.2"
"1914" "   -10.8" "   -14.0" "    -4.5" "    -2.8" "     3.5" "     7.0" "    11.1" "    12.2" "     8.7" "     1.9" "    -3.8" "   -12.4" "    -0.3" "   -10.1" "    -1.3" "    10.1" "     2.3"
"1915" "    -9.8" "    -7.4" "    -5.0" "     0.3" "     4.2" "     8.2" "    12.5" "    12.9" "    10.0" "     5.2" "     2.1" "    -3.6" "     2.5" "    -9.9" "    -0.2" "    11.2" "     5.8"
"1916" "    -9.9" "   -10.2" "    -8.3" "     0.1" "     4.0" "     9.1" "    13.1" "    12.7" "     9.5" "     4.6" "    -2.2" "    -4.6" "     1.5" "    -7.9" "    -1.4" "    11.6" "     4.0"
"1917" "   -11.2" "   -11.7" "    -6.0" "    -0.5" "     2.6" "     8.7" "    13.1" "    14.8" "     7.6" "     5.2" "    -2.4" "    -9.6" "     0.9" "    -9.2" "    -1.3" "    12.2" "     3.5"
"1918" "   -11.0" "   -12.9" "    -9.1" "    -1.1" "     5.1" "     8.3" "    13.3" "    11.8" "    10.8" "     5.3" "    -0.9" "    -5.7" "     1.2" "   -11.2" "    -1.7" "    11.1" "     5.1"
"1919" "    -7.3" "    -6.5" "    -3.8" "     0.2" "     3.9" "     9.0" "    12.6" "    12.5" "    10.4" "     3.2" "     0.4" "    -9.4" "     2.1" "    -6.5" "     0.1" "    11.4" "     4.7"
"1920" "   -15.5" "    -8.3" "    -4.5" "    -1.2" "     2.7" "     8.8" "    12.3" "    13.8" "    10.7" "     6.2" "    -2.2" "    -5.1" "     1.5" "   -11.1" "    -1.0" "    11.6" "     4.9"
"1921" "    -9.4" "   -11.2" "    -3.5" "     1.0" "     5.0" "     9.4" "    14.4" "    11.1" "     9.8" "     4.7" "    -2.0" "    -7.4" "     1.8" "    -8.6" "     0.8" "    11.6" "     4.2"
"1922" "   -11.4" "   -11.0" "    -5.3" "     0.2" "     4.5" "    10.9" "    13.4" "    14.3" "     8.8" "     4.7" "    -1.8" "    -9.2" "     1.5" "    -9.9" "    -0.2" "    12.9" "     3.9"
"1923" "   -11.4" "   -15.3" "   -10.4" "    -1.9" "     4.8" "     8.7" "    12.4" "    11.2" "     9.9" "     5.6" "     1.8" "    -3.5" "     1.0" "   -12.0" "    -2.5" "    10.8" "     5.8"
"1924" "   -10.0" "   -11.5" "    -3.0" "    -1.4" "     5.3" "     9.3" "    12.9" "    13.7" "     8.6" "     4.9" "     0.6" "    -8.4" "     1.8" "    -8.3" "     0.3" "    12.0" "     4.7"
"1925" "   -13.8" "    -6.1" "    -3.3" "    -0.7" "     4.2" "    10.1" "    12.7" "    13.3" "     9.1" "     1.6" "    -1.9" "    -7.4" "     1.5" "    -9.4" "     0.1" "    12.0" "     2.9"
"1926" "    -9.4" "   -10.6" "    -7.0" "    -2.4" "     3.9" "     8.6" "    13.0" "    13.4" "     9.8" "     5.8" "     0.3" "    -7.9" "     1.5" "    -9.1" "    -1.8" "    11.7" "     5.3"
"1927" "    -6.4" "   -11.2" "    -5.3" "    -2.1" "     3.8" "     8.1" "    13.3" "    12.9" "    10.2" "     7.5" "     1.4" "    -4.8" "     2.3" "    -8.5" "    -1.2" "    11.4" "     6.4"
"1928" "    -9.5" "   -11.3" "    -6.1" "    -0.2" "     4.5" "     9.1" "    13.7" "    14.0" "     9.6" "     4.6" "    -1.0" "    -3.3" "     2.0" "    -8.5" "    -0.6" "    12.3" "     4.4"
"1929" "    -9.9" "    -8.9" "    -5.6" "    -1.2" "     5.1" "     9.7" "    12.6" "    11.9" "    10.8" "     5.0" "    -0.2" "    -7.2" "     1.8" "    -7.4" "    -0.6" "    11.4" "     5.2"
