1040390,ALTA LAKE                                 ,BC  , monthly mean of homogeneous sea level pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953, 1010.5, , 1022.4, , 1014.2, ,-9999.9,M, 1014.9, , 1016.9, , 1018.7, , 1016.2, ,-9999.9,M,-9999.9,M, 1012.2, , 1019.1, , 1016.1, , 1016.5, , 1014.6, , 1017.3, ,-9999.9,M 
1954, 1013.6, , 1016.4, , 1017.7, ,-9999.9,M, 1016.5, ,-9999.9,M, 1017.8, , 1016.5, , 1017.6, , 1019.3, ,-9999.9,M,-9999.9,M, 1016.9, , 1016.4, , 1017.1, , 1017.2, , 1018.5,  
1955, 1020.0, ,-9999.9,M, 1018.7, ,-9999.9,M,-9999.9,M, 1017.2, , 1014.5, , 1018.4, , 1017.8, , 1015.1, , 1016.3, ,-9999.9,M, 1017.3, ,-9999.9,M,-9999.9,M, 1016.7, , 1016.4,  
1956, 1012.7, , 1015.2, , 1015.2, ,-9999.9,M, 1018.1, , 1016.2, , 1018.1, , 1018.4, , 1017.1, , 1013.4, , 1027.0, , 1018.9, , 1017.3, , 1014.0, , 1016.6, , 1017.6, , 1019.2,  
1957, 1023.7, , 1017.2, , 1013.9, , 1016.9, ,-9999.9,M, 1016.0, , 1017.7, , 1018.8, , 1018.1, ,-9999.9,M, 1021.7, , 1010.6, , 1017.5, , 1020.0, , 1015.4, , 1017.5, , 1019.9,  
1958,-9999.9,M, 1011.7, , 1012.8, ,-9999.9,M, 1016.8, , 1015.1, , 1016.1, , 1017.4, , 1016.6, , 1019.3, ,-9999.9,M,-9999.9,M, 1015.7, , 1011.1, , 1014.8, , 1016.2, , 1017.9,  
1959, 1016.3, , 1017.1, , 1019.6, , 1017.1, , 1017.3, , 1015.6, , 1019.1, , 1016.8, , 1014.9, , 1017.6, , 1022.8, ,-9999.9,M, 1017.6, , 1016.7, , 1018.0, , 1017.1, , 1018.4,  
1960,-9999.9,M, 1016.6, , 1016.1, ,-9999.9,M, 1014.1, , 1017.6, , 1018.2, , 1016.0, , 1019.9, , 1016.3, ,-9999.9,M,-9999.9,M, 1016.8, ,-9999.9,M, 1015.1, , 1017.2, , 1018.1,  
1961,-9999.9,M, 1014.8, , 1011.1, , 1017.3, , 1016.1, , 1017.1, , 1018.1, , 1017.7, , 1017.6, , 1017.1, ,-9999.9,M,-9999.9,M, 1016.3, ,-9999.9,M, 1014.8, , 1017.6, , 1017.4,  
1962,-9999.9,M, 1015.0, ,-9999.9,M, 1017.2, , 1016.5, ,-9999.9,M, 1018.9, , 1017.4, , 1016.8, , 1017.7, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1016.9, , 1018.2, , 1017.3,  
1963,-9999.9,M, 1017.6, , 1014.1, ,-9999.9,M, 1017.2, , 1015.2, , 1016.5, , 1018.1, , 1015.7, ,-9999.9,M,-9999.9,M, 1022.3, , 1017.1, ,-9999.9,M, 1015.6, , 1016.6, ,-9999.9,M 
1964,-9999.9,M, 1024.2, , 1014.3, ,-9999.9,M, 1017.2, , 1015.0, , 1015.7, , 1016.6, , 1018.0, , 1020.1, ,-9999.9,M,-9999.9,M, 1017.6, , 1023.2, , 1015.7, , 1015.8, , 1019.0,  
1965,-9999.9,M,-9999.9,M, 1022.5, ,-9999.9,M, 1017.4, , 1015.4, , 1017.8, , 1016.1, , 1018.7, , 1018.6, , 1013.5, ,-9999.9,M, 1017.5, ,-9999.9,M, 1020.0, , 1016.4, , 1016.9,  
1966,-9999.9,M,-9999.9,M,-9999.9,M, 1019.7, , 1017.5, , 1016.2, , 1016.6, , 1017.9, , 1018.1, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1018.6, , 1016.9, ,-9999.9,M 
1967,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1019.9, , 1016.0, , 1018.3, , 1018.4, , 1016.8, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1017.5, ,-9999.9,M 
1968,-9999.9,M, 1020.0, ,-9999.9,M, 1019.3, , 1016.1, , 1016.7, , 1017.8, , 1015.6, , 1017.2, , 1014.4, , 1015.7, , 1013.2, , 1016.6, ,-9999.9,M, 1017.7, , 1016.7, , 1015.8,  
1969, 1011.8, , 1009.5, , 1020.2, , 1015.2, , 1017.4, , 1013.5, , 1017.8, , 1015.8, , 1014.3, , 1018.9, , 1019.5, , 1016.1, , 1015.8, , 1011.5, , 1017.6, , 1015.7, , 1017.5,  
1970, 1014.9, , 1021.6, , 1020.0, , 1016.5, , 1019.4, , 1015.5, , 1016.9, , 1016.6, , 1018.6, , 1017.2, , 1015.1, , 1011.1, , 1016.9, , 1017.5, , 1018.6, , 1016.3, , 1017.0,  
1971, 1017.3, , 1017.1, , 1014.8, , 1016.3, , 1016.8, , 1016.4, , 1018.3, , 1015.8, , 1017.1, , 1018.2, , 1016.8, , 1014.0, , 1016.6, , 1015.2, , 1016.0, , 1016.8, , 1017.4,  
1972, 1016.3, , 1013.5, , 1015.9, , 1015.4, , 1017.6, , 1016.0, , 1017.7, , 1017.7, , 1016.5, , 1021.5, , 1016.8, , 1017.8, , 1016.9, , 1014.6, , 1016.3, , 1017.1, , 1018.3,  
1973, 1016.5, , 1018.0, , 1013.3, , 1020.7, , 1017.6, , 1016.6, , 1018.9, , 1017.0, , 1017.7, , 1016.2, , 1009.3, , 1015.0, , 1016.4, , 1017.4, , 1017.2, , 1017.5, , 1014.4,  
1974, 1014.6, , 1016.3, , 1010.8, , 1017.7, , 1016.8, , 1016.4, , 1017.9, , 1017.8, , 1019.6, , 1021.4, , 1017.5, , 1016.4, , 1016.9, , 1015.3, , 1015.1, , 1017.4, , 1019.5,  
1975, 1017.9, , 1016.6, , 1013.4, , 1015.8, , 1017.1, , 1016.9, , 1016.7, , 1017.1, , 1021.6, , 1013.3, , 1014.8, , 1019.6, , 1016.7, , 1017.0, , 1015.4, , 1016.9, , 1016.6,  
1976, 1021.2, , 1013.2, , 1015.9, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1018.0, ,-9999.9,M,-9999.9,M,-9999.9,M 
1977,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
