2100100,AISHIHIK A                                ,YT  , monthly mean of homogeneous sea level pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953, 1018.6, , 1008.1, , 1009.1, , 1013.3, , 1011.8, , 1016.4, , 1017.8, , 1012.7, , 1011.9, , 1005.3, , 1005.8, , 1005.2, , 1011.3, , 1013.4, , 1011.4, , 1015.6, , 1007.7,  
1954, 1019.2, , 1011.3, , 1019.4, , 1018.9, , 1015.7, , 1010.3, , 1014.4, , 1018.5, , 1016.2, , 1007.9, , 1006.3, , 1006.3, , 1013.7, , 1011.9, , 1018.0, , 1014.4, , 1010.2,  
1955, 1009.8, , 1017.3, , 1016.2, , 1008.9, , 1011.1, , 1012.7, , 1014.8, , 1011.3, , 1015.2, , 1002.7, , 1019.6, , 1018.7, , 1013.2, , 1011.1, , 1012.1, , 1012.9, , 1012.5,  
1956, 1019.0, , 1013.2, , 1013.6, , 1014.6, , 1011.8, , 1010.9, , 1019.0, , 1013.1, , 1014.8, , 1004.5, , 1008.2, , 1016.1, , 1013.2, , 1017.0, , 1013.3, , 1014.3, , 1009.2,  
1957, 1032.1, , 1015.9, , 1011.4, , 1015.7, , 1015.9, , 1012.5, , 1015.1, , 1017.6, , 1013.0, , 1017.5, , 1008.8, , 1003.2, , 1014.9, , 1021.4, , 1014.3, , 1015.1, , 1013.1,  
1958, 1005.8, , 1017.5, , 1019.8, , 1014.1, , 1012.7, , 1016.7, , 1015.0, , 1012.7, , 1011.0, , 1006.9, , 1008.2, , 1016.9, , 1013.1, , 1008.8, , 1015.5, , 1014.8, , 1008.7,  
1959, 1025.9, , 1014.2, , 1008.4, , 1013.5, , 1015.9, , 1014.3, , 1013.6, , 1014.6, , 1011.3, , 1014.4, , 1014.2, , 1001.7, , 1013.5, , 1019.0, , 1012.6, , 1014.2, , 1013.3,  
1960, 1013.7, , 1016.8, , 1014.7, , 1008.2, , 1010.8, , 1013.9, , 1016.2, , 1011.9, , 1011.8, , 1004.0, , 1007.9, , 1015.7, , 1012.1, , 1010.8, , 1011.2, , 1014.0, , 1007.9,  
1961, 1013.3, , 1006.5, , 1007.6, , 1013.0, , 1015.6, , 1013.8, , 1016.7, , 1013.0, , 1013.1, , 1006.2, , 1011.4, , 1016.0, , 1012.2, , 1011.8, , 1012.1, , 1014.5, , 1010.3,  
1962, 1022.9, , 1022.3, , 1014.8, , 1009.9, , 1015.1, , 1012.8, , 1019.6, , 1013.2, , 1010.1, , 1006.2, , 1002.8, , 1017.5, , 1013.9, , 1020.4, , 1013.3, , 1015.2, , 1006.4,  
1963, 1025.1, , 1012.6, , 1015.8, , 1012.6, , 1015.0, , 1010.5, , 1013.5, , 1016.6, , 1007.7, ,  998.9, , 1011.8, , 1014.0, , 1012.8, , 1018.4, , 1014.5, , 1013.5, , 1006.1,  
1964, 1006.3, , 1005.8, , 1014.2, , 1009.7, , 1015.0, , 1011.2, , 1010.9, , 1011.3, , 1014.5, , 1006.8, , 1014.1, , 1017.1, , 1011.4, , 1008.7, , 1013.0, , 1011.1, , 1011.8,  
1965, 1017.0, , 1013.2, , 1021.9, , 1012.8, , 1012.2, , 1011.6, , 1015.4, , 1015.3, , 1017.8, , 1002.5, , 1016.3, , 1010.0, , 1013.8, , 1015.8, , 1015.6, , 1014.1, , 1012.2,  
1966, 1024.0, , 1010.3, , 1009.0, , 1020.1, , 1008.2, , 1011.6, , 1014.5, , 1012.6, , 1008.4, ,-9999.9,M,-9999.9,M,-9999.9,M, 1013.2, , 1014.8, , 1012.4, , 1012.9, ,-9999.9,M 
1967,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1968,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1969,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
