8404000,TWILLINGATE                               ,NFLD, monthly mean of homogeneous sea level pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953, 1013.4, , 1006.6, ,-9999.9,M,-9999.9,M, 1011.4, , 1011.3, , 1013.1, , 1011.8, , 1013.1, , 1013.4, , 1017.6, , 1007.9, , 1012.0, , 1010.0, ,-9999.9,M, 1012.1, , 1014.7,  
1954, 1012.4, , 1012.5, , 1002.6, , 1015.7, , 1015.7, , 1016.0, , 1013.0, , 1009.8, , 1014.0, , 1012.8, , 1013.1, , 1011.9, , 1012.5, , 1010.9, , 1011.3, , 1012.9, , 1013.3,  
1955,  999.8, , 1017.2, , 1006.0, , 1011.7, , 1013.9, , 1012.5, , 1012.4, , 1012.8, , 1013.7, , 1012.6, , 1003.7, , 1002.4, , 1009.9, , 1009.6, , 1010.5, , 1012.6, , 1010.0,  
1956, 1013.2, , 1005.3, , 1008.6, , 1010.8, , 1014.0, , 1014.0, , 1013.0, , 1012.8, , 1017.1, , 1016.7, , 1012.7, , 1009.0, , 1012.3, , 1007.0, , 1011.1, , 1013.3, , 1015.5,  
1957, 1008.6, , 1010.0, , 1008.0, , 1007.9, , 1009.1, , 1013.5, , 1011.9, , 1012.7, , 1012.3, , 1014.2, , 1013.9, , 1013.2, , 1011.3, , 1009.2, , 1008.3, , 1012.7, , 1013.5,  
1958, 1012.5, , 1003.3, , 1012.2, , 1015.0, , 1017.3, , 1011.9, , 1010.4, , 1009.3, , 1010.2, , 1012.8, , 1006.1, , 1007.8, , 1010.7, , 1009.7, , 1014.8, , 1010.5, , 1009.7,  
1959, 1001.2, , 1004.8, , 1006.2, , 1013.5, , 1012.5, , 1015.7, , 1014.8, , 1015.2, , 1013.9, , 1013.1, , 1017.7, , 1012.1, , 1011.7, , 1004.6, , 1010.8, , 1015.2, , 1014.9,  
1960, 1003.3, , 1012.6, , 1008.1, , 1009.1, , 1015.7, , 1013.1, , 1010.9, , 1010.4, , 1014.5, , 1008.7, , 1008.8, , 1011.0, , 1010.5, , 1009.4, , 1011.0, , 1011.5, , 1010.7,  
1961, 1002.4, , 1011.4, , 1010.2, , 1007.2, , 1016.8, , 1011.1, , 1012.4, , 1013.9, , 1014.7, , 1013.4, , 1013.0, , 1003.7, , 1010.8, , 1008.3, , 1011.4, , 1012.5, , 1013.7,  
1962, 1007.5, , 1013.4, , 1002.9, , 1010.1, , 1013.7, , 1012.0, , 1014.2, , 1015.4, , 1015.2, , 1010.0, , 1014.4, , 1011.5, , 1011.7, , 1008.2, , 1008.9, , 1013.8, , 1013.2,  
