3033880,LETHBRIDGE A                              ,ALTA,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,  903.5, ,  908.2, ,  904.5, ,  907.5, ,  906.7, ,  907.3, ,  910.5, ,  908.8, ,  908.8, ,  909.7, ,  905.0, ,  905.4, ,  907.2, ,  905.9, ,  906.2, ,  908.9, ,  907.8,  
1954,  907.7, ,  905.2, ,  909.1, ,  908.7, ,  908.3, ,  905.4, ,  908.5, ,  909.3, ,  909.8, ,  910.2, ,  908.5, ,  905.9, ,  908.1, ,  906.1, ,  908.7, ,  907.8, ,  909.5,  
1955,  907.0, ,  909.0, ,  906.2, ,  903.3, ,  907.4, ,  908.3, ,  907.3, ,  909.4, ,  909.8, ,  906.3, ,  908.1, ,  906.0, ,  907.3, ,  907.3, ,  905.6, ,  908.4, ,  908.1,  
1956,  907.3, ,  903.8, ,  905.6, ,  910.0, ,  909.7, ,  906.4, ,  911.6, ,  910.2, ,  909.2, ,  905.2, ,  913.1, ,  907.5, ,  908.3, ,  905.7, ,  908.4, ,  909.4, ,  909.2,  
1957,  911.6, ,  907.7, ,  906.2, ,  908.5, ,  907.6, ,  906.7, ,  907.7, ,  911.4, ,  910.7, ,  911.3, ,  908.6, ,  902.4, ,  908.4, ,  908.9, ,  907.4, ,  908.6, ,  910.2,  
1958,  906.0, ,  908.1, ,  908.1, ,  907.2, ,  908.2, ,  909.2, ,  910.4, ,  908.9, ,  906.8, ,  909.3, ,  906.3, ,  910.2, ,  908.2, ,  905.5, ,  907.9, ,  909.5, ,  907.5,  
1959,  908.3, ,  907.5, ,  906.6, ,  907.9, ,  908.4, ,  907.7, ,  910.6, ,  907.5, ,  908.2, ,  908.7, ,  911.7, ,  908.4, ,  908.5, ,  908.7, ,  907.6, ,  908.6, ,  909.5,  
1960,  907.6, ,  907.6, ,  907.9, ,  907.0, ,  905.1, ,  906.9, ,  910.2, ,  907.0, ,  910.5, ,  907.0, ,  905.7, ,  911.8, ,  907.9, ,  907.9, ,  906.7, ,  908.0, ,  907.7,  
1961,  910.4, ,  905.2, ,  903.3, ,  906.4, ,  907.6, ,  908.3, ,  911.1, ,  911.0, ,  908.4, ,  906.5, ,  906.3, ,  905.6, ,  907.5, ,  909.1, ,  905.8, ,  910.2, ,  907.1,  
1962,  911.4, ,  907.3, ,  906.6, ,  906.7, ,  906.3, ,  906.8, ,  910.5, ,  907.8, ,  909.0, ,  908.0, ,  905.4, ,  909.2, ,  907.9, ,  908.1, ,  906.5, ,  908.4, ,  907.5,  
1963,  911.0, ,  908.4, ,  903.9, ,  905.2, ,  909.1, ,  905.3, ,  907.2, ,  911.1, ,  908.9, ,  907.5, ,  904.6, ,  912.6, ,  907.9, ,  909.5, ,  906.1, ,  907.9, ,  907.0,  
1964,  901.9, ,  906.2, ,  904.6, ,  905.0, ,  906.1, ,  906.3, ,  907.6, ,  907.1, ,  908.9, ,  909.9, ,  907.3, ,  903.1, ,  906.2, ,  906.9, ,  905.2, ,  907.0, ,  908.7,  
1965,  906.1, ,  905.0, ,  913.5, ,  906.4, ,  906.6, ,-9999.9,M,  909.3, ,-9999.9,M,  910.7, ,  908.5, ,  906.1, ,  904.2, ,  907.6, ,  904.8, ,  908.8, ,-9999.9,M,  908.4,  
1966,  907.8, ,  905.4, ,  906.8, ,  909.1, ,  906.2, ,  907.2, ,  907.8, ,  909.7, ,  909.1, ,  907.6, ,  907.2, ,  904.6, ,  907.4, ,  905.8, ,  907.4, ,  908.2, ,  908.0,  
1967,  903.7, ,  906.1, ,  905.9, ,  906.9, ,  909.0, ,  908.6, ,  908.7, ,  910.9, ,  907.5, ,  905.5, ,  907.0, ,  906.0, ,  907.2, ,  904.8, ,  907.3, ,  909.4, ,  906.7,  
1968,  907.8, ,  911.4, ,  906.6, ,  906.9, ,  907.5, ,  907.0, ,  910.8, ,  908.9, ,  907.0, ,  905.4, ,  906.1, ,  906.1, ,  907.6, ,  908.4, ,  907.0, ,  908.9, ,  906.1,  
1969,  906.4, ,  904.1, ,  910.2, ,  904.8, ,  908.8, ,  907.6, ,  908.7, ,  905.9, ,  906.8, ,  910.4, ,  908.2, ,  906.3, ,  907.4, ,  905.6, ,  908.0, ,  907.4, ,  908.4,  
1970,  906.8, ,  910.8, ,  908.4, ,  905.6, ,  908.6, ,  905.9, ,  908.1, ,  907.6, ,  907.9, ,  907.3, ,  907.4, ,  902.8, ,  907.3, ,  908.0, ,  907.5, ,  907.2, ,  907.5,  
1971,  906.8, ,  904.5, ,  905.2, ,  906.8, ,  907.1, ,  905.8, ,  910.6, ,  907.8, ,  908.1, ,  907.6, ,  905.7, ,  903.3, ,  906.6, ,  904.7, ,  906.4, ,  908.0, ,  907.1,  
1972,  904.7, ,  905.7, ,  905.0, ,  904.7, ,  909.3, ,  905.1, ,  910.9, ,  909.8, ,  907.3, ,  910.6, ,  906.3, ,  907.0, ,  907.2, ,  904.6, ,  906.3, ,  908.6, ,  908.1,  
1973,  905.9, ,  910.0, ,  903.0, ,  908.9, ,  907.1, ,  905.1, ,  909.4, ,  906.7, ,  909.5, ,  906.1, ,  904.3, ,  906.0, ,  906.8, ,  907.6, ,  906.3, ,  907.1, ,  906.6,  
