7028124,SHERBROOKE A                              ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1959,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1960,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1961,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1962,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,  986.9,a,  985.8,a,  983.9,a,  986.8,a,  987.0,a,  984.5,a,  989.5,a,  984.3,a,  986.1,a,-9999.9,M,-9999.9,M,  985.5,a,  987.0,a 
1963,  985.7,a,  982.5,a,  984.2,a,  980.0,a,  986.7,a,  983.3,a,  983.3,a,  983.3,a,  989.6,a,  987.6,a,  982.1,a,  984.5,a,  984.4,a,  984.1,a,  983.6,a,  983.3,a,  986.4,a 
1964,  982.5,a,  977.7,a,  982.6,a,  988.9,a,  983.7,a,  983.3,a,  985.4,a,  984.8,a,  988.7,a,  986.5,a,  986.7,a,  988.3,a,  984.9,a,  981.6,a,  985.1,a,  984.5,a,  987.3,a 
1965,  984.4,a,  984.3,a,  984.4,a,  983.9,a,  985.4,a,  985.7,a,  984.6,a,  984.1,a,  990.8,a,  982.8,a,  984.4,a,  985.2,a,  985.0,a,  985.7,a,  984.6,a,  984.8,a,  986.0,a 
1966,  983.7,a,  988.3,a,  984.7,a,  986.5,a,  984.5,a,  985.6,a,  982.4,a,  984.1,a,  983.4,a,  983.6,a,  988.9,a,  985.8,a,  985.1,a,  985.7,a,  985.2,a,  984.1,a,  985.3,a 
1967,  984.6,a,  982.6,a,  989.8,a,  985.1,a,  984.1,a,  987.5,a,  985.0,a,  987.2,a,  987.6,a,  987.4,a,  982.1,a,  987.8,a,  985.9,a,  984.4,a,  986.3,a,  986.5,a,  985.7,a 
1968,  992.0,a,  977.4,a,  982.9,a,  985.5,a,  984.0,a,  983.6,a,  987.2,a,  985.8,a,  988.5,a,  984.9,a,  982.5,a,  981.0,a,  984.6,a,  985.7,a,  984.1,a,  985.6,a,  985.3,a 
1969,  986.2,a,  983.9,a,  979.8,a,  985.0,a,  985.0,a,  982.8,a,  985.5,a,  984.3,a,  988.1,a,  988.1,a,  985.6,a,  981.8,a,  984.7,a,  983.7,a,  983.3,a,  984.2,a,  987.3,a 
1970,  982.2,a,  984.5,a,  983.2,a,  983.4,a,  987.6,a,  984.2,a,  984.9,a,  983.8,a,  986.3,a,  992.5,a,  986.7,a,  984.4,a,  985.3,a,  982.8,a,  984.7,a,  984.3,a,  988.5,a 
1971,  980.2,a,  983.7,a,  978.5,a,  981.4,a,  982.1,a,  984.6,a,  984.5,a,  985.6,a,  989.3,a,  989.4,a,  986.3,a,  988.3,a,  984.5,a,  982.7,a,  980.7,a,  984.9,a,  988.3,a 
1972,  984.7,a,  984.3,a,  983.1,a,  984.3,a,  986.5,a,  981.8,a,  986.3,a,  985.9,a,  987.4,a,  988.9,a,  986.8,a,  987.6,a,  985.6,a,  985.7,a,  984.7,a,  984.7,a,  987.7,a 
1973,  983.4,a,  988.8,a,  987.3,a,  982.1,a,  981.8,a,  984.9,a,  984.2,a,  986.2,a,  987.1,a,  987.2,a,  981.9,a,  986.7,a,  985.1,a,  986.6,a,  983.7,a,  985.1,a,  985.4,a 
1974,  987.3,a,  983.0,a,  981.4,a,  982.6,a,  983.0,a,  984.6,a,  984.0,a,  987.8,a,  986.5,a,  989.7,a,  984.8,a,  984.4,a,  984.9,a,  985.6,a,  982.3,a,  985.5,a,  987.0,a 
1975,  985.6,a,  983.7,a,  981.7,a,  981.5,a,  984.2,a,  985.9,a,  984.0,a,  986.6,a,  988.4,a,  988.7,a,  986.4,a,  989.5,a,  985.5,a,  984.6,a,  982.5,a,  985.5,a,  987.8,a 
