7043000,HARRINGTON HARBOUR                        ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1011.8,a, 1010.1,a, 1009.6,a, 1014.6,a, 1015.2,a, 1011.1,a, 1008.9,a,-9999.9,M,-9999.9,M,-9999.9,M, 1010.5,a, 1013.6,a 
1957, 1009.6,a, 1011.3,a, 1008.7,a, 1007.4,a, 1008.3,a, 1012.0,a, 1009.6,a, 1009.6,a, 1010.4,a, 1013.1,a, 1011.9,a, 1010.7,a, 1010.2,a, 1010.0,a, 1008.1,a, 1010.4,a, 1011.8,a 
1958, 1010.8,a, 1001.8,a, 1013.2,a, 1012.9,a, 1013.6,a, 1009.4,a, 1008.8,a, 1006.2,a, 1008.3,a, 1011.4,a, 1003.6,a, 1007.3,a, 1008.9,a, 1007.8,a, 1013.2,a, 1008.1,a, 1007.8,a 
1959, 1000.7,a, 1004.2,a, 1004.7,a, 1012.5,a, 1010.9,a, 1013.2,a, 1012.1,a, 1013.0,a, 1012.0,a, 1010.6,a, 1014.8,a, 1011.9,a, 1010.0,a, 1004.1,a, 1009.4,a, 1012.7,a, 1012.4,a 
1960, 1005.1,a, 1011.3,a, 1010.3,a, 1008.7,a, 1015.1,a, 1010.7,a, 1008.1,a, 1008.3,a, 1012.0,a, 1006.9,a, 1007.7,a, 1008.9,a, 1009.4,a, 1009.4,a, 1011.4,a, 1009.0,a, 1008.9,a 
1961, 1003.6,a, 1012.5,a, 1010.5,a, 1008.7,a, 1013.6,a, 1008.3,a, 1010.3,a, 1011.8,a, 1013.2,a, 1012.2,a, 1011.7,a, 1004.8,a, 1010.1,a, 1008.3,a, 1010.9,a, 1010.1,a, 1012.4,a 
1962, 1006.1,a, 1014.9,a, 1006.6,a, 1008.6,a, 1012.5,a, 1010.5,a, 1011.8,a, 1013.3,a, 1013.6,a, 1008.5,a, 1013.3,a, 1011.1,a, 1010.9,a, 1008.6,a, 1009.2,a, 1011.9,a, 1011.8,a 
1963, 1010.9,a, 1001.7,a, 1006.2,a, 1005.0,a, 1012.8,a, 1007.2,a, 1010.2,a, 1009.0,a, 1012.7,a,-9999.9,M,-9999.9,M,-9999.9,M, 1008.4,a, 1007.9,a, 1008.0,a, 1008.8,a,-9999.9,M 
1964,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1965,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1966,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1967,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1968,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1002.6,a,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1969, 1012.9,a, 1014.7,a, 1005.2,a, 1011.7,a, 1011.3,a, 1010.5,a, 1011.8,a, 1007.9,a, 1014.5,a, 1011.8,a, 1018.6,a, 1008.2,a, 1011.6,a, 1010.1,a, 1009.4,a, 1010.1,a, 1015.0,a 
1970,  999.0,a, 1011.9,a, 1007.8,a, 1009.9,a, 1014.6,a, 1011.2,a, 1010.5,a, 1010.0,a, 1012.4,a, 1018.9,a, 1015.0,a, 1006.6,a, 1010.6,a, 1006.4,a, 1010.8,a, 1010.6,a, 1015.4,a 
1971, 1001.8,a, 1012.8,a, 1000.6,a, 1010.8,a, 1010.9,a, 1008.3,a, 1010.8,a, 1009.6,a, 1013.1,a, 1014.0,a, 1010.5,a, 1011.4,a, 1009.6,a, 1007.1,a, 1007.5,a, 1009.6,a, 1012.5,a 
1972, 1007.9,a, 1008.8,a, 1014.3,a, 1009.2,a, 1013.9,a, 1012.9,a, 1012.8,a, 1009.6,a, 1012.2,a, 1014.1,a, 1012.4,a, 1013.6,a, 1011.8,a, 1009.4,a, 1012.5,a, 1011.8,a, 1012.9,a 
1973, 1002.9,a, 1013.1,a, 1015.4,a, 1012.1,a, 1015.4,a, 1012.5,a, 1009.3,a, 1012.9,a, 1009.0,a, 1012.2,a, 1001.6,a, 1013.1,a, 1010.8,a, 1009.8,a, 1014.3,a, 1011.6,a, 1007.6,a 
