7052960,GRINDSTONE ISLAND                         ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953, 1005.0, ,  998.4, , 1007.7, ,  997.2, , 1004.3, , 1003.4, , 1004.7, , 1005.3, , 1006.8, , 1007.8, , 1011.0, , 1001.5, , 1004.4, , 1001.7, , 1003.0, , 1004.5, , 1008.5,  
1954, 1006.1, , 1002.6, ,  997.6, , 1010.1, , 1006.4, , 1006.7, , 1002.4, , 1002.4, , 1005.9, , 1006.3, , 1006.4, , 1002.0, , 1004.6, , 1003.4, , 1004.7, , 1003.8, , 1006.2,  
1955,  994.6, , 1011.1, ,  998.9, , 1005.8, , 1004.8, , 1004.2, , 1005.9, , 1006.7, , 1008.5, , 1006.9, ,  997.4, ,  999.8, , 1003.7, , 1002.6, , 1003.2, , 1005.6, , 1004.3,  
1956, 1001.7, , 1001.3, , 1003.9, , 1002.9, , 1007.3, , 1006.4, , 1005.4, , 1005.0, , 1009.7, , 1012.1, , 1006.3, , 1003.9, , 1005.5, , 1000.9, , 1004.7, , 1005.6, , 1009.4,  
1957, 1005.6, ,-9999.9,M,-9999.9,M,-9999.9,M, 1003.6, , 1006.1, , 1003.3, , 1005.8, , 1006.3, , 1008.5, , 1005.9, , 1005.7, , 1005.7, , 1004.7, ,-9999.9,M, 1005.1, , 1006.9,  
1958, 1003.4, ,  992.4, , 1004.2, , 1006.6, , 1007.5, , 1003.6, , 1004.4, , 1002.3, , 1005.1, , 1007.0, , 1000.8, , 1004.3, , 1003.5, , 1000.5, , 1006.1, , 1003.4, , 1004.3,  
1959,  997.4, , 1002.4, , 1000.6, , 1007.1, , 1005.9, , 1005.8, , 1008.0, , 1006.8, , 1008.9, , 1006.8, , 1009.0, , 1006.9, , 1005.4, , 1001.3, , 1004.5, , 1006.9, , 1008.2,  
1960,  999.1, , 1001.7, , 1001.9, , 1004.4, , 1008.0, , 1005.4, , 1003.6, , 1005.2, , 1008.8, , 1003.2, , 1004.0, , 1004.7, , 1004.2, , 1002.6, , 1004.7, , 1004.8, , 1005.3,  
1961,  999.6, , 1006.7, , 1002.7, , 1000.4, , 1006.8, , 1003.7, , 1005.8, , 1007.4, , 1009.3, , 1006.6, , 1005.4, ,  999.4, , 1004.5, , 1003.7, , 1003.3, , 1005.6, , 1007.1,  
1962, 1004.0, , 1009.3, , 1000.2, , 1003.2, , 1007.9, , 1005.4, , 1004.2, , 1008.1, , 1007.7, , 1003.7, , 1006.9, , 1004.9, , 1005.5, , 1004.2, , 1003.8, , 1005.9, , 1006.1,  
1963, 1004.5, ,  998.8, , 1002.8, ,  997.6, , 1008.1, , 1002.3, , 1004.2, , 1003.7, , 1008.8, , 1004.7, , 1004.9, ,  998.0, , 1003.2, , 1002.7, , 1002.8, , 1003.4, , 1006.1,  
1964, 1000.2, ,  991.6, , 1001.9, , 1008.9, , 1003.6, , 1002.8, , 1006.9, , 1005.6, , 1007.2, , 1006.1, , 1004.2, , 1009.0, , 1004.0, ,  996.6, , 1004.8, , 1005.1, , 1005.8,  
1965,  999.7, , 1003.3, ,  997.5, , 1003.0, , 1005.5, , 1003.8, , 1004.9, , 1004.4, , 1010.9, , 1002.4, , 1004.4, , 1003.4, , 1003.6, , 1004.0, , 1002.0, , 1004.4, , 1005.9,  
1966,  999.2, , 1004.7, , 1006.0, , 1007.2, , 1005.7, , 1006.3, , 1002.1, , 1004.0, , 1003.3, , 1002.6, , 1013.5, , 1004.8, , 1005.0, , 1002.4, , 1006.3, , 1004.2, , 1006.5,  
1967, 1004.8, , 1000.1, , 1010.0, , 1005.5, , 1004.9, , 1009.3, , 1006.9, , 1007.8, , 1008.2, , 1009.4, , 1002.2, , 1005.8, , 1006.2, , 1003.2, , 1006.8, , 1008.0, , 1006.6,  
1968, 1004.7, ,  995.7, , 1004.2, , 1006.6, , 1004.7, , 1004.7, , 1007.1, , 1004.1, , 1009.8, , 1002.8, , 1000.9, ,  996.9, , 1003.5, , 1002.1, , 1005.2, , 1005.3, , 1004.5,  
1969, 1005.0, , 1005.5, ,  998.2, , 1005.9, , 1005.2, , 1005.1, , 1007.1, , 1003.3, , 1009.0, , 1007.6, , 1010.8, , 1000.3, , 1005.2, , 1002.5, , 1003.1, , 1005.1, , 1009.1,  
1970,  995.1, , 1006.5, , 1001.6, , 1003.7, , 1009.6, , 1005.6, , 1006.1, , 1003.8, , 1007.0, , 1013.1, , 1008.8, ,  999.5, , 1005.0, , 1000.6, , 1005.0, , 1005.2, , 1009.6,  
1971,  997.2, , 1007.1, ,  995.6, , 1002.0, , 1005.2, , 1004.2, , 1005.7, , 1005.4, , 1009.6, , 1010.4, , 1004.3, , 1005.5, , 1004.3, , 1001.3, , 1000.9, , 1005.1, , 1008.1,  
1972, 1004.6, , 1004.3, , 1006.6, , 1003.7, , 1008.6, , 1006.3, , 1007.8, , 1005.9, , 1007.6, , 1008.9, , 1007.1, , 1008.1, , 1006.6, , 1004.8, , 1006.3, , 1006.7, , 1007.9,  
1973,  999.2, , 1006.6, , 1010.1, , 1004.4, , 1006.8, , 1006.8, , 1004.9, , 1007.4, , 1005.8, , 1006.9, ,  998.7, , 1008.4, , 1005.5, , 1004.6, , 1007.1, , 1006.4, , 1003.8,  
1974, 1006.4, ,  998.6, ,  999.3, , 1002.5, , 1004.8, , 1007.5, , 1005.8, , 1007.9, , 1008.5, , 1007.8, , 1004.7, , 1003.8, , 1004.8, , 1004.5, , 1002.2, , 1007.0, , 1007.0,  
1975, 1006.6, , 1002.9, ,  999.0, , 1000.6, , 1007.0, , 1008.1, , 1005.6, , 1006.8, , 1009.1, , 1006.8, , 1006.6, , 1009.4, , 1005.7, , 1004.4, , 1002.2, , 1006.8, , 1007.5,  
1976, 1004.3, , 1002.0, , 1004.9, , 1002.4, , 1005.6, , 1005.7, , 1003.9, , 1007.9, , 1005.2, , 1004.3, ,  994.2, ,  996.7, , 1003.1, , 1005.2, , 1004.3, , 1005.8, , 1001.3,  
1977,  994.1, , 1000.0, , 1001.1, , 1004.5, , 1001.7, , 1004.9, , 1003.8, , 1006.6, , 1007.4, , 1005.6, , 1010.3, , 1002.9, , 1003.6, ,  996.9, , 1002.4, , 1005.1, , 1007.8,  
1978, 1004.3, , 1000.6, , 1001.7, ,  999.6, , 1007.5, , 1005.7, , 1005.4, , 1008.1, , 1006.0, , 1007.9, , 1009.5, ,  998.3, , 1004.6, , 1002.6, , 1002.9, , 1006.4, , 1007.8,  
1979, 1002.4, ,  998.5, , 1009.3, , 1008.4, , 1009.0, , 1008.2, , 1006.3, , 1006.3, , 1006.5, , 1004.1, , 1008.3, , 1001.4, , 1005.7, ,  999.7, , 1008.9, , 1007.0, , 1006.3,  
1980,  999.9, ,  999.9, , 1003.9, , 1008.1, , 1003.1, , 1003.0, , 1003.6, , 1005.4, , 1006.3, , 1003.4, ,  999.3, , 1003.3, , 1003.3, , 1000.4, , 1005.0, , 1004.0, , 1003.0,  
1981,  998.3, , 1013.3, ,  995.3, , 1000.8, , 1006.9, , 1002.2, , 1004.2, , 1007.2, , 1005.1, , 1008.7, , 1000.5, , 1000.3, , 1003.5, , 1005.0, , 1001.0, , 1004.5, , 1004.7,  
1982,  998.2, , 1004.9, , 1005.8, ,  999.1, , 1009.4, , 1007.4, , 1003.9, , 1006.2, , 1009.8, , 1008.3, , 1009.8, , 1009.5, , 1006.0, , 1001.1, , 1004.8, , 1005.9, , 1009.3,  
1983, 1006.9, , 1006.8, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1007.7, ,-9999.9,M,-9999.9,M,-9999.9,M 
1984,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
