2403602,RESOLUTION ISLAND                         ,NU  ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1959,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1960,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1961,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1962,-9999.9,M,-9999.9,M,-9999.9,M,  964.4, ,  968.9, ,  964.8, ,  970.7, ,  964.6, ,  965.1, ,  962.9, ,  963.3, ,  956.4, ,  964.6, ,-9999.9,M,  966.7, ,  966.7, ,  963.8,  
1963,  960.6, ,  956.0, ,  963.3, ,  969.8, ,  963.1, ,  967.2, ,  967.5, ,  963.6, ,  960.6, ,  955.7, ,  965.7, ,  955.7, ,  962.4, ,  957.7, ,  965.4, ,  966.1, ,  960.7,  
1964,  954.8, ,  952.2, ,  966.4, ,  968.9, ,  966.2, ,  961.9, ,  964.1, ,  970.5, ,  960.5, ,  960.5, ,  963.3, ,  961.9, ,  962.6, ,  954.2, ,  967.2, ,  965.5, ,  961.4,  
1965,  957.6, ,  962.2, ,  967.1, ,  966.3, ,  967.1, ,  966.5, ,  965.3, ,  961.4, ,  961.5, ,  957.2, ,  965.5, ,  963.1, ,  963.4, ,  960.6, ,  966.8, ,  964.4, ,  961.4,  
1966,  974.5, ,  964.6, ,  970.8, ,  973.7, ,  969.6, ,  963.2, ,  962.9, ,  969.8, ,  960.5, ,  958.5, ,  964.0, ,  964.2, ,  966.4, ,  967.4, ,  971.4, ,  965.3, ,  961.0,  
1967,  962.4, ,  955.2, ,  964.3, ,  965.6, ,  970.0, ,  961.7, ,  967.5, ,  961.6, ,  962.0, ,  963.9, ,  957.2, ,  966.1, ,  963.1, ,  960.6, ,  966.7, ,  963.6, ,  961.0,  
1968,  963.6, ,  959.5, ,  963.7, ,  965.4, ,  971.8, ,  967.6, ,  964.2, ,  966.0, ,  972.2, ,  967.4, ,  964.8, ,  963.3, ,  965.8, ,  963.1, ,  967.0, ,  966.0, ,  968.2,  
1969,  972.0, ,  969.2, ,  965.5, ,  966.0, ,  966.8, ,  960.2, ,  966.8, ,  965.1, ,  964.1, ,  958.7, ,  965.3, ,  967.4, ,  965.6, ,  968.1, ,  966.1, ,  964.0, ,  962.7,  
1970,  959.6, ,  955.5, ,  969.0, ,  970.7, ,  967.4, ,  960.3, ,  963.0, ,  965.1, ,  959.4, ,  971.8, ,  961.8, ,  964.8, ,  964.0, ,  960.9, ,  969.0, ,  962.8, ,  964.3,  
1971,  958.0, ,  962.5, ,  968.3, ,  971.3, ,  964.2, ,  969.7, ,  964.1, ,  963.1, ,  962.2, ,  963.9, ,  967.8, ,  964.9, ,  965.0, ,  961.8, ,  967.9, ,  965.6, ,  964.6,  
1972,  953.0, ,  958.8, ,  966.5, ,  969.4, ,  968.1, ,  965.7, ,  965.5, ,  963.9, ,  962.2, ,  958.2, ,  964.1, ,  957.2, ,  962.7, ,  958.9, ,  968.0, ,  965.0, ,  961.5,  
1973,  951.1, ,  964.3, ,  966.9, ,  970.4, ,  969.1, ,  966.7, ,  962.5, ,  968.8, ,  957.9, ,  964.7, ,  960.5, ,  960.9, ,  963.6, ,  957.5, ,  968.8, ,  966.0, ,  961.0,  
1974,  954.9, ,  958.4, ,  955.6, ,  964.2, ,  975.1, ,  968.6, ,  967.7, ,  964.6, ,  959.6, ,  961.1, ,  963.1, ,  966.5, ,  963.3, ,  958.0, ,  964.9, ,  967.0, ,  961.3,  
1975,  957.7, ,  955.1, ,  962.4, ,  973.5, ,  970.6, ,  970.3, ,  961.7, ,  965.7, ,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,  964.6, ,  959.8, ,  968.8, ,  965.9, ,-9999.9,M 
