3012205,EDMONTON INT'L A                          ,ALTA,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1959,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1960,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1961,  930.5,a,  926.3,a,  925.0,a,  928.1,a,  930.0,a,  929.0,a,  932.6,a,  931.5,a,  929.2,a,  926.2,a,  926.9,a,  927.9,a,  928.6,a,  928.4,a,  927.7,a,  931.1,a,  927.4,a 
1962,  932.2,a,  931.1,a,  929.8,a,  927.5,a,  928.1,a,  927.4,a,  931.8,a,  928.5,a,  929.6,a,  928.3,a,  924.8,a,  930.4,a,  929.1,a,  930.4,a,  928.5,a,  929.2,a,  927.6,a 
1963,  933.0,a,  930.5,a,  925.3,a,  927.5,a,  931.1,a,  927.2,a,  927.7,a,  932.4,a,  929.7,a,  926.6,a,  925.3,a,  934.0,a,  929.2,a,  931.3,a,  927.9,a,  929.1,a,  927.2,a 
1964,  922.8,a,  925.9,a,  927.4,a,  926.5,a,  927.5,a,  928.1,a,  928.2,a,  927.5,a,  929.9,a,  929.5,a,  929.6,a,  926.4,a,  927.4,a,  927.6,a,  927.1,a,  927.9,a,  929.6,a 
1965,  928.8,a,  926.0,a,  936.2,a,  928.2,a,  927.4,a,  927.0,a,  931.1,a,  929.2,a,  932.7,a,  927.5,a,  928.1,a,  925.0,a,  928.9,a,  927.1,a,  930.6,a,  929.1,a,  929.4,a 
1966,  932.4,a,  926.9,a,  928.0,a,  932.0,a,  927.3,a,  928.4,a,  929.2,a,  930.9,a,  930.2,a,  927.5,a,  929.3,a,  925.9,a,  929.0,a,  928.1,a,  929.1,a,  929.5,a,  929.0,a 
1967,  926.4,a,  926.9,a,  928.8,a,  930.1,a,  930.5,a,  930.2,a,  929.8,a,  932.1,a,  927.4,a,  925.3,a,  927.6,a,  927.2,a,  928.5,a,  926.4,a,  929.8,a,  930.7,a,  926.8,a 
1968,  929.2,a,  933.6,a,  928.2,a,  927.5,a,  928.9,a,  927.6,a,  931.4,a,  930.0,a,  928.0,a,  924.8,a,  925.7,a,  929.1,a,  928.7,a,  930.0,a,  928.2,a,  929.7,a,  926.2,a 
1969,  931.5,a,  926.1,a,  932.2,a,  925.7,a,  930.0,a,  929.4,a,  929.3,a,  926.5,a,  928.0,a,  932.1,a,  927.6,a,  927.0,a,  928.8,a,  928.9,a,  929.3,a,  928.4,a,  929.3,a 
1970,  929.0,a,  931.7,a,  929.9,a,  926.2,a,  929.4,a,  926.2,a,  928.6,a,  928.5,a,  927.6,a,  927.1,a,  929.7,a,  924.3,a,  928.2,a,  929.3,a,  928.5,a,  927.8,a,  928.1,a 
1971,  929.9,a,  925.2,a,  926.4,a,  928.0,a,  928.0,a,  925.7,a,  931.0,a,  928.5,a,  928.3,a,  927.5,a,  926.1,a,  925.3,a,  927.5,a,  926.5,a,  927.5,a,  928.4,a,  927.3,a 
1972,  926.5,a,  928.9,a,  926.9,a,  924.8,a,  930.6,a,  925.5,a,  932.4,a,  931.0,a,  928.6,a,  931.6,a,  927.7,a,  928.8,a,  928.6,a,  926.9,a,  927.4,a,  929.6,a,  929.3,a 
1973,  925.5,a,  932.5,a,  924.3,a,  931.3,a,  927.9,a,  925.2,a,  930.0,a,  928.2,a,  930.7,a,  926.3,a,  927.9,a,  927.6,a,  928.1,a,  929.0,a,  927.8,a,  927.8,a,  928.3,a 
1974,  926.7,a,  925.0,a,  924.5,a,  928.1,a,  927.3,a,  926.1,a,  929.1,a,  931.9,a,  932.9,a,  930.5,a,  927.2,a,  923.1,a,  927.7,a,  926.4,a,  926.6,a,  929.1,a,  930.2,a 
1975,  926.2,a,  930.4,a,  927.6,a,  930.0,a,  928.0,a,  926.2,a,  929.5,a,  928.9,a,  933.5,a,  924.9,a,  925.8,a,  928.0,a,  928.3,a,  926.6,a,  928.6,a,  928.2,a,  928.1,a 
