7066685,ROBERVAL A                                ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,  992.4, ,  984.1, ,  994.3, ,  993.2, ,  990.8, ,  987.8, ,  990.7, ,  988.1, ,  991.6, ,  993.9, ,  989.3, ,  995.4, ,  991.0, ,  988.3, ,  992.8, ,  988.9, ,  991.6,  
1959,  987.9, ,  993.3, ,  991.1, ,  991.3, ,  993.5, ,  990.0, ,  992.8, ,  993.2, ,  995.9, ,  992.7, ,  993.2, ,  996.1, ,  992.6, ,  992.2, ,  992.0, ,  992.0, ,  993.9,  
1960,  993.6, ,  988.5, ,  993.9, ,  990.7, ,  991.8, ,  989.9, ,  988.8, ,  992.0, ,  994.8, ,  991.0, ,  989.1, ,  992.5, ,  991.4, ,  992.7, ,  992.1, ,  990.2, ,  991.6,  
1961,  992.4, ,  995.8, ,  992.6, ,  987.8, ,  992.6, ,  988.1, ,  990.6, ,  993.2, ,  994.0, ,  993.0, ,  992.3, ,  990.4, ,  991.9, ,  993.6, ,  991.0, ,  990.6, ,  993.1,  
1962,  991.2, ,  997.7, ,  994.7, ,  991.0, ,  993.8, ,  991.5, ,  990.5, ,  992.7, ,  992.9, ,  991.5, ,  997.2, ,  991.5, ,  993.0, ,  993.1, ,  993.1, ,  991.6, ,  993.9,  
1963,  993.0, ,  988.8, ,  991.9, ,  988.0, ,  993.2, ,  989.2, ,  988.5, ,  990.1, ,  996.2, ,  993.4, ,  989.7, ,  992.1, ,  991.2, ,  991.1, ,  991.0, ,  989.3, ,  993.1,  
1964,  989.3, ,  984.5, ,  989.2, ,  995.3, ,  988.7, ,  988.4, ,  991.8, ,  989.9, ,  993.8, ,  992.6, ,  993.1, ,  996.6, ,  991.1, ,  988.6, ,  991.1, ,  990.0, ,  993.2,  
1965,  991.8, ,  991.1, ,  993.4, ,  991.4, ,  991.8, ,  991.2, ,  989.7, ,  989.4, ,  996.2, ,  988.3, ,  991.6, ,  992.6, ,  991.5, ,  993.2, ,  992.2, ,  990.1, ,  992.1,  
1966,  992.1, ,  994.9, ,  991.4, ,  993.8, ,  990.6, ,  991.4, ,  987.6, ,  989.8, ,  988.9, ,  988.3, ,  995.4, ,  993.7, ,  991.5, ,  993.2, ,  992.0, ,  989.6, ,  990.9,  
1967,  992.4, ,  989.9, ,  997.9, ,  993.3, ,  992.1, ,  994.0, ,  990.0, ,  993.0, ,  994.1, ,  993.8, ,  987.9, ,  995.2, ,  992.8, ,  992.0, ,  994.4, ,  992.3, ,  992.0,  
1968, 1000.8, ,  984.5, ,  991.1, ,  992.5, ,  992.4, ,  990.3, ,  992.3, ,  991.8, ,  995.1, ,  990.5, ,  991.5, ,  988.1, ,  991.7, ,  993.5, ,  992.0, ,  991.5, ,  992.4,  
1969,  993.0, ,  994.2, ,  987.3, ,  993.0, ,  992.2, ,  988.5, ,  992.1, ,  989.5, ,  995.2, ,  993.9, ,  993.3, ,  991.3, ,  992.0, ,  991.8, ,  990.9, ,  990.0, ,  994.1,  
1970,  989.2, ,  991.9, ,  990.8, ,  991.4, ,  994.9, ,  989.8, ,  990.3, ,  989.7, ,  992.5, , 1000.0, ,  993.9, ,  994.4, ,  992.4, ,  990.8, ,  992.4, ,  989.9, ,  995.5,  
1971,  987.0, ,  991.6, ,  986.8, ,  989.6, ,  989.3, ,  991.1, ,  989.8, ,  991.4, ,  995.0, ,  995.5, ,  994.5, ,  995.8, ,  991.5, ,  991.0, ,  988.6, ,  990.8, ,  995.0,  
1972,  989.9, ,  992.3, ,  992.6, ,  992.2, ,  994.4, ,  989.5, ,  992.5, ,  992.2, ,  993.7, ,  995.1, ,  994.9, ,  996.9, ,  993.0, ,  992.7, ,  993.1, ,  991.4, ,  994.6,  
1973,  990.0, ,  998.1, ,  996.2, ,  990.5, ,  989.4, ,  990.7, ,  989.5, ,  992.2, ,  992.7, ,  993.5, ,  987.7, ,  994.5, ,  992.1, ,  995.0, ,  992.0, ,  990.8, ,  991.3,  
1974,  994.7, ,  990.7, ,  989.2, ,  990.3, ,  990.8, ,  990.6, ,  989.9, ,  993.4, ,  992.2, ,  995.1, ,  993.1, ,  992.5, ,  991.9, ,  993.3, ,  990.1, ,  991.3, ,  993.5,  
1975,  993.3, ,  990.4, ,  990.0, ,  990.5, ,  992.0, ,  992.3, ,  988.8, ,  993.2, ,  994.2, ,  995.5, ,  993.1, ,  998.1, ,  992.6, ,  992.1, ,  990.8, ,  991.4, ,  994.3,  
