7111080,CAPE HOPES ADVANCE                        ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,  996.9, ,  998.9, , 1007.2, , 1003.8, , 1005.5, , 1000.5, ,  996.9, ,  999.3, ,  999.9, ,  995.9, ,  999.6, ,  997.5, , 1000.2, ,  997.9, , 1005.5, ,  998.9, ,  998.4,  
1954, 1001.3, ,  998.6, , 1000.0, , 1003.2, , 1010.0, , 1001.6, , 1003.2, ,  999.5, , 1000.4, ,  996.5, ,  994.8, ,  998.6, , 1000.6, ,  999.1, , 1004.4, , 1001.4, ,  997.2,  
1955, 1006.9, , 1005.8, , 1002.3, , 1010.1, , 1004.5, , 1002.3, ,  994.5, ,  995.8, ,  995.4, ,  998.2, , 1001.9, ,  997.9, , 1001.3, , 1003.8, , 1005.6, ,  997.5, ,  998.5,  
1956, 1012.0, ,  996.0, , 1000.0, , 1005.6, ,  998.9, , 1004.4, , 1002.1, ,  998.9, ,  998.1, ,  998.8, ,  999.0, ,  996.3, , 1000.8, , 1002.0, , 1001.5, , 1001.8, ,  998.6,  
1957,  993.3, , 1007.1, , 1008.4, , 1004.8, , 1005.8, , 1000.6, , 1000.5, ,  994.0, ,  998.8, ,  996.5, ,  999.2, ,  994.8, , 1000.3, ,  998.9, , 1006.3, ,  998.3, ,  998.2,  
1958, 1000.3, , 1001.7, , 1015.5, , 1005.9, , 1000.8, , 1001.5, ,  999.3, , 1000.9, ,  999.5, , 1000.1, ,  996.9, ,  995.9, , 1001.5, ,  999.0, , 1007.4, , 1000.6, ,  998.8,  
1959,  997.0, ,  989.6, , 1001.3, , 1005.2, , 1002.5, , 1002.7, ,  994.1, , 1000.9, ,  996.9, ,  996.5, ,  997.3, , 1001.5, ,  998.8, ,  994.2, , 1003.0, ,  999.2, ,  996.9,  
1960, 1004.4, , 1006.1, , 1010.6, , 1008.5, , 1007.5, ,  998.7, ,  998.1, ,  993.3, ,  996.7, ,  996.2, ,  995.8, ,  991.9, , 1000.6, , 1004.0, , 1008.8, ,  996.7, ,  996.2,  
1961,  999.9, , 1002.9, , 1005.8, , 1009.5, , 1001.7, ,  996.0, , 1002.8, ,  995.3, ,  997.4, ,  999.0, , 1001.6, , 1003.1, , 1001.3, ,  998.2, , 1005.7, ,  998.1, ,  999.3,  
1962,  989.7, , 1005.4, , 1013.7, , 1002.9, , 1005.3, ,  999.6, , 1003.5, , 1033.9, , 1000.3, ,  998.5, ,  999.0, ,  992.7, , 1003.7, ,  999.4, , 1007.3, , 1012.3, ,  999.3,  
