8501900,GOOSE A                                   ,NFLD,Homogenized monthly mean of the hourly wind speeds, km/h, updated to December 2014
8501900,GOOSE A                                   ,NFLD,    Moyenne mensuelle homogénéisée des vitesses horaires du vent,/h, Mise à jour jusqu à décembre 2014
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,   Annual, ,   Winter, ,   Spring, ,   Summer, ,   Autumn
Year,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,   Annuel, ,    Hiver, , Printemp, ,      Ete, ,  Automne
1953,    14.0,a,    17.5,a,    16.2,a,    19.1,a,    18.9,a,    17.6,a,    17.4,a,    16.6,a,    16.3,a,    16.8,a,    14.9,a,    16.2,a,     16.8,a,     15.8,a,     18.1,a,     17.2,a,     16.0,a 
1954,    18.0,a,    14.9,a,    19.6,a,    21.2,a,    14.2,a,    14.7,a,    13.5,a,    15.8,a,    16.0,a,    18.6,a,    17.6,a,    14.6,a,     16.6,a,     16.4,a,     18.3,a,     14.7,a,     17.4,a 
1955,    17.1,a,    16.9,a,    22.3,a,    14.3,a,    12.6,a,    12.1,a,    15.6,a,    17.5,a,    19.9,a,    17.3,a,    17.4,a,    16.7,a,     16.6,a,     16.2,a,     16.4,a,     15.0,a,     18.2,a 
1956,    19.1,a,    16.3,a,    17.1,a,    16.7,a,    14.3,a,    12.9,a,    12.6,a,    18.2,a,    16.3,a,    16.8,a,    16.0,a,    17.6,a,     16.2,a,     17.4,a,     16.1,a,     14.5,a,     16.4,a 
1957,    19.4,a,    15.0,a,    16.6,a,    17.9,a,    15.1,a,    11.5,a,    16.1,a,    19.1,a,    17.6,a,    19.3,a,    15.5,a,    16.8,a,     16.7,a,     17.3,a,     16.5,a,     15.6,a,     17.5,a 
1958,    14.5,a,    13.9,a,    17.0,a,    21.4,a,    17.6,a,    17.2,a,    14.9,a,    15.9,a,    18.2,a,    17.2,a,    25.2, ,    23.4, ,     18.0,a,     15.0,a,     18.6,a,     16.0,a,     20.2,a 
1959,    17.2, ,    20.6, ,    16.8, ,    15.3, ,    15.9, ,    14.0, ,    14.9, ,    15.2, ,    22.6, ,    22.2, ,    20.1, ,    19.1, ,     17.8, ,     20.4, ,     16.0, ,     14.7, ,     21.6,  
1960,    19.4, ,    16.1, ,    14.6, ,    14.8, ,    11.3, ,    12.2, ,     9.2, ,     9.7, ,    14.6, ,    14.0, ,    18.7, ,    21.3, ,     14.6, ,     18.2, ,     13.5, ,     10.4, ,     15.8,  
1961,    18.9, ,    14.8, ,    16.9, ,    18.0, ,    18.8, ,    16.0, ,    14.6, ,    15.3, ,    17.0, ,    15.4, ,    17.1, ,    20.2, ,     16.9, ,     18.3, ,     17.9, ,     15.3, ,     16.5,  
1962,    23.4, ,    15.1, ,    21.2, ,    22.2, ,    17.9, ,    16.4, ,    15.5, ,    15.6, ,    16.3, ,    18.5, ,    16.6, ,    16.6, ,     17.9, ,     19.6, ,     20.4, ,     15.8, ,     17.1,  
1963,    17.1, ,    19.4, ,    18.0, ,    22.1, ,    16.6, ,    18.3, ,    13.7, ,    15.2, ,    16.8, ,    18.2, ,    16.7, ,    21.8, ,     17.8, ,     17.7, ,     18.9, ,     15.7, ,     17.2,  
1964,    17.0, ,    19.3, ,    17.2, ,    18.8, ,    17.2, ,    16.3, ,    15.2, ,    14.2, ,    17.9, ,    15.2, ,    18.7, ,    19.4, ,     17.2, ,     19.4, ,     17.7, ,     15.3, ,     17.3,  
1965,    18.7, ,    15.5, ,    22.1, ,    19.3, ,    14.8, ,    16.1, ,    15.4, ,    16.4, ,    17.4, ,    16.7, ,    17.3, ,    14.9, ,     17.0, ,     17.8, ,     18.8, ,     16.0, ,     17.1,  
1966,    15.9, ,    14.5, ,    12.9, ,    16.9, ,    16.6, ,    15.8, ,    15.8, ,    12.9, ,    13.8, ,    17.5, ,    14.3, ,    17.6, ,     15.4, ,     15.1, ,     15.5, ,     14.8, ,     15.2,  
1967,    13.6, ,    18.0, ,    13.9, ,    16.0, ,    14.6, ,    15.7, ,    13.9, ,    11.1, ,    12.8, ,    13.4, ,    13.4, ,    12.1, ,     14.1, ,     16.4, ,     14.8, ,     13.6, ,     13.2,  
1968,    17.4, ,    13.2, ,    12.4, ,    11.7, ,    12.6, ,    12.6, ,    11.5, ,    12.7, ,    12.5, ,    12.8, ,    17.6, ,    17.2, ,     13.7, ,     14.3, ,     12.2, ,     12.3, ,     14.3,  
1969,    15.1, ,    12.6, ,    15.5, ,    16.0, ,    17.2, ,    16.3, ,    18.8, ,    17.6, ,    21.1, ,    19.1, ,    14.5, ,    19.0, ,     16.9, ,     15.0, ,     16.2, ,     17.6, ,     18.2,  
1970,    17.3, ,    20.1, ,    19.1, ,    20.2, ,    18.9, ,    18.8, ,    17.0, ,    15.3, ,    19.0, ,    15.7, ,    13.6, ,    20.2, ,     17.9, ,     18.8, ,     19.4, ,     17.0, ,     16.1,  
1971,    16.9, ,    14.8, ,    22.9, ,    18.0, ,    17.2, ,    16.4, ,    15.1, ,    15.1, ,    16.4, ,    18.2, ,    17.3, ,    15.6, ,     17.0, ,     17.3, ,     19.4, ,     15.6, ,     17.3,  
