2400660,CAPE HOOPER                               ,  NU,Homogenized monthly mean of the hourly wind speeds, km/h, updated to December 2014
2400660,CAPE HOOPER                               ,  NU,    Moyenne mensuelle homogénéisée des vitesses horaires du vent,/h, Mise à jour jusqu à décembre 2014
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,   Annual, ,   Winter, ,   Spring, ,   Summer, ,   Autumn
Year,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,   Annuel, ,    Hiver, , Printemp, ,      Ete, ,  Automne
1953, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M 
1954, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M 
1955, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M,  -9999.9,M 
1956, -9999.9,M, -9999.9,M,    10.6,a,    11.6,a,    17.3,a,    14.4,a,    13.8,a,    15.5,a,    16.9,a,    28.6,a,    23.7,a,    14.2,a,     16.7,a,  -9999.9,M,     13.2,a,     14.6,a,     23.0,a 
1957,    17.2,a,     9.1,a,    10.6,a,    13.8,a,    13.5,a,    15.2,a, -9999.9,M, -9999.9,M, -9999.9,M,    26.3,a, -9999.9,M, -9999.9,M,  -9999.9,M,     13.5,a,     12.6,a,  -9999.9,M,  -9999.9,M 
1958,    19.7,a, -9999.9,M,    12.3,a,    22.0,a, -9999.9,M, -9999.9,M, -9999.9,M,    12.6,a,    17.7,a,    27.2,a,    25.6,a,    18.4,a,     19.4,a,  -9999.9,M,     17.2,a,  -9999.9,M,     23.5,a 
1959,    17.4,a,    17.8,a,    17.7,a,    18.3,a,    14.7,a,    16.3,a,    15.6,a,    17.3,a,    30.7,a,    30.4,a,    21.2, ,    29.9, ,     20.6,a,     17.9,a,     16.9,a,     16.4,a,     27.5,a 
1960,    28.7, ,    22.0, ,    22.9, ,    20.6, ,    17.7, ,    15.2, ,    15.3, ,    15.4, ,    19.0, ,    22.1, ,    19.4, ,    16.8, ,     19.6, ,     26.9, ,     20.4, ,     15.3, ,     20.2,  
1961,    21.7, ,    15.2, ,    21.2, ,    20.2, ,    21.5, ,    13.3, ,    16.8, ,    19.9, ,    25.6, ,    24.2, ,    18.2, ,    15.5, ,     19.4, ,     17.9, ,     20.9, ,     16.7, ,     22.7,  
1962,    23.5, ,    25.8, ,    14.5, ,    17.4, ,    20.8, ,    16.7, ,    13.4, ,    18.0, ,    23.4, ,    22.1, ,    27.2, ,    24.5, ,     20.6, ,     21.6, ,     17.5, ,     16.0, ,     24.2,  
1963,    26.3, ,    18.4, ,    24.3, ,    16.1, ,    17.3, ,    20.0, ,    15.7, ,    19.2, ,    27.6, ,    22.3, ,    16.0, ,    16.0, ,     19.9, ,     23.1, ,     19.2, ,     18.3, ,     22.0,  
1964,    25.5, ,    18.9, ,    23.8, ,    28.8, ,    18.9, ,    18.6, ,    20.5, ,    15.9, ,    20.5, ,    25.4, ,    18.5, ,    18.8, ,     21.2, ,     20.1, ,     23.8, ,     18.3, ,     21.5,  
1965,    15.5, ,    11.7, ,     8.6, ,     5.8, ,     9.1, ,    16.1, ,     8.3, ,     9.4, ,    17.9, ,    23.5, ,    16.5, ,     9.1, ,     12.6, ,     15.4, ,      7.8, ,     11.3, ,     19.3,  
1966,    14.0, ,    10.9, ,    10.0, ,    15.8, ,    11.9, ,    16.8, ,    10.5, ,    15.2, ,    13.6, ,    14.7, ,    26.6, ,    25.1, ,     15.4, ,     11.3, ,     12.6, ,     14.2, ,     18.3,  
1967,    16.9, ,    21.9, ,    28.3, ,    25.5, ,    16.1, ,    18.9, ,    13.7, ,    16.0, ,    33.5, ,    22.6, ,    20.3, ,    23.1, ,     21.4, ,     21.3, ,     23.3, ,     16.2, ,     25.5,  
1968,    20.4, ,    21.7, ,    22.1, ,    26.7, ,    23.3, ,    15.8, ,    13.8, ,    13.9, ,    23.0, ,    15.6, ,    14.3, ,    12.7, ,     18.6, ,     21.7, ,     24.0, ,     14.5, ,     17.6,  
1969,    16.2, ,    19.0, ,    19.3, ,    10.7, ,    13.0, ,    11.0, ,    12.8, ,     7.0, ,    14.3, ,    18.3, ,    32.2, ,    21.6, ,     16.3, ,     16.0, ,     14.3, ,     10.3, ,     21.6,  
1970,    13.1, ,    19.3, ,    17.1, ,    19.8, ,    17.0, ,    19.8, ,     9.7, ,     9.2, ,    11.1, ,    19.6, ,    19.9, ,    26.4, ,     16.8, ,     18.0, ,     17.9, ,     12.9, ,     16.9,  
1971,    19.9, ,    15.0, ,    19.1, ,    21.2, ,    23.4, ,     7.9, ,    13.5, ,    14.4, ,    14.9, ,    26.8, ,    16.3, ,     9.7, ,     16.9, ,     20.4, ,     21.3, ,     11.9, ,     19.4,  
1972,    10.7, ,    11.1, ,    23.7, ,    19.3, ,    17.3, ,    18.9, ,    17.1, ,    16.8, ,    20.2, ,    24.6, ,    14.1, ,    12.4, ,     17.2, ,     10.5, ,     20.1, ,     17.6, ,     19.7,  
1973,     7.9, ,    14.6, ,    17.5, ,    12.7, ,    18.0, ,    13.3, ,    13.1, ,    21.3, ,    15.7, ,    20.7, ,    24.3, ,    29.3, ,     17.4, ,     11.6, ,     16.1, ,     15.9, ,     20.2,  
1974,    25.5, ,    22.3, ,    21.9, ,    28.3, ,    23.2, ,    24.0, ,    18.7, ,    17.8, ,    21.5, ,    20.5, ,    17.4, ,    24.9, ,     22.1, ,     25.7, ,     24.5, ,     20.2, ,     19.8,  
