"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1952" "253.1" "151.4" "164.6" "301.2" "6.1" "80.2" "16.4" "72.0" "259.0" "193.9" "230.2" "363.0" "2091.2" "NA" "471.9" "168.6" "683.1" NA
"1953" "303.5" "123.9" "136.1" "56.1" "42.5" "17.4" "20.2" "53.0" "440.7" "449.7" "421.4" "400.2" "2464.8" "790.4" "234.8" "90.6" "1311.8" NA
"1954" "245.2" "329.9" "43.7" "98.1" "23.6" "65.4" "52.5" "37.4" "NA" "NA" "NA" "399.3" "NA" "975.4" "165.3" "155.4" "NA" NA
"1955" "156.4" "137.8" "117.6" "85.7" "59.6" "26.0" "61.6" "63.9" "88.8" "323.4" "97.0" "117.8" "1335.4" "693.5" "262.9" "151.4" "509.2" NA
"1956" "86.2" "119.5" "116.1" "59.9" "25.8" "63.8" "43.1" "112.2" "174.7" "385.8" "337.3" "439.6" "1964.1" "323.5" "201.8" "219.1" "897.9" NA
"1957" "46.6" "108.2" "114.5" "87.8" "29.1" "94.2" "77.0" "73.8" "50.2" "166.1" "264.8" "331.7" "1444.0" "594.4" "231.4" "244.9" "481.1" NA
"1958" "231.6" "117.7" "50.4" "100.6" "28.8" "13.3" "31.2" "83.2" "284.8" "367.6" "239.8" "323.5" "1872.4" "681.0" "179.8" "127.8" "892.1" NA
"1959" "211.5" "398.3" "258.4" "128.8" "70.0" "46.2" "22.2" "98.2" "NA" "159.9" "284.3" "433.9" "NA" "933.3" "457.3" "166.6" "NA" NA
"1960" "147.3" "155.0" "210.7" "90.8" "58.2" "46.1" "31.6" "116.4" "77.9" "359.3" "259.8" "186.6" "1739.8" "736.3" "359.7" "194.1" "696.9" NA
"1961" "205.3" "272.6" "118.8" "82.5" "16.1" "34.1" "8.9" "117.1" "194.6" "233.6" "196.8" "293.7" "1774.1" "664.5" "217.4" "160.1" "625.0" NA
"1962" "543.4" "48.2" "53.0" "144.2" "23.8" "90.5" "11.7" "130.4" "193.9" "426.7" "442.9" "311.7" "2420.4" "885.3" "221.0" "232.6" "1063.5" NA
