"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1916" "33.8" "5.8" "83.3" "69.1" "12.5" "39.9" "12.1" "38.4" "78.5" "NA" "72.9" "121.7" "NA" "NA" "164.9" "90.4" "NA" NA
"1917" "52.4" "21.6" "55.9" "42.5" "71.6" "87.5" "57.8" "85.5" "16.7" "119.1" "17.9" "60.6" "689.0" "195.8" "170.0" "230.8" "153.6" NA
"1918" "94.1" "32.5" "10.4" "26.8" "119.2" "97.7" "119.5" "77.9" "89.9" "152.5" "148.7" "95.4" "1064.6" "187.2" "156.4" "295.1" "391.1" NA
"1919" "55.3" "37.4" "86.4" "92.4" "69.2" "34.5" "42.5" "62.5" "143.0" "140.0" "98.7" "53.3" "915.1" "188.0" "248.0" "139.4" "381.7" NA
"1920" "43.1" "24.3" "56.7" "75.2" "45.9" "76.8" "82.5" "38.7" "65.5" "11.0" "61.5" "105.3" "686.6" "120.7" "177.8" "198.1" "137.9" NA
"1921" "42.6" "32.6" "99.0" "70.7" "18.5" "12.8" "63.4" "87.8" "121.5" "48.1" "98.3" "117.1" "812.4" "180.5" "188.1" "164.0" "267.9" NA
"1922" "58.3" "87.8" "31.8" "65.8" "29.8" "39.9" "86.8" "30.7" "21.5" "50.2" "66.0" "59.1" "627.7" "263.2" "127.5" "157.4" "137.7" NA
"1923" "58.2" "53.6" "82.9" "51.1" "39.5" "13.2" "0.0" "80.0" "51.1" "34.4" "18.8" "137.6" "620.5" "170.9" "173.5" "93.3" "104.3" NA
"1924" "102.6" "62.9" "24.4" "41.6" "61.4" "49.4" "61.1" "90.2" "52.9" "3.3" "90.0" "NA" "NA" "303.1" "127.5" "200.6" "146.2" NA
"1925" "23.3" "52.1" "53.1" "13.2" "42.8" "92.5" "45.0" "NA" "52.8" "72.1" "68.5" "74.4" "NA" "NA" "109.1" "NA" "193.3" NA
"1926" "46.0" "46.5" "79.2" "21.8" "37.5" "58.3" "55.3" "50.5" "40.3" "83.8" "170.6" "53.9" "743.5" "166.8" "138.4" "164.1" "294.7" NA
"1927" "40.1" "51.2" "41.2" "40.0" "92.6" "41.8" "50.9" "12.3" "64.9" "66.8" "89.8" "103.5" "695.1" "145.3" "173.7" "105.0" "221.5" NA
"1928" "32.7" "87.7" "59.5" "109.9" "22.4" "97.5" "NA" "78.1" "125.3" "75.6" "73.3" "30.3" "NA" "223.9" "191.8" "NA" "274.2" NA
"1929" "44.2" "17.9" "82.2" "81.1" "80.6" "81.0" "31.5" "18.7" "69.7" "113.8" "48.5" "83.2" "752.3" "92.3" "243.9" "131.1" "232.0" NA
"1930" "90.8" "NA" "45.8" "53.2" "60.6" "98.4" "70.5" "50.7" "105.2" "45.8" "53.4" "33.4" "NA" "NA" "159.6" "219.6" "204.4" NA
