2503648,SACHS HARBOUR  ,NT, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
2503648,SACHS HARBOUR  ,NT, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1955, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -22.7, ,   -28.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1956,   -25.6, , -9999.9,M,   -24.3, ,   -16.5, ,    -7.2, ,     6.2, ,     7.2, ,     4.3, ,     0.4, ,   -12.2, ,   -20.4, ,   -24.6, , -9999.9,M, -9999.9,M,   -16.0, ,     5.9, ,   -10.7, 
 1957,   -24.0, ,   -31.3, ,   -22.0, ,   -14.2, ,    -6.3, ,     2.5, ,     9.7, ,     7.6, ,     0.6, ,    -7.9, ,   -22.5, ,   -27.4, ,   -11.3, ,   -26.6, ,   -14.2, ,     6.6, ,    -9.9, 
 1958,   -23.5, ,   -31.0, ,   -23.8, ,   -18.3, ,    -4.9, ,     6.0, ,     9.6, ,    11.9, ,     2.5, ,    -6.2, ,   -19.3, ,   -22.0, ,    -9.9, ,   -27.3, ,   -15.7, ,     9.2, ,    -7.7, 
 1959,   -25.5, ,   -25.0, ,   -27.0, ,   -16.6, ,    -7.0, ,     1.7, ,     7.2, ,     6.1, ,    -0.2, ,   -11.5, ,   -18.8, ,   -23.0, ,   -11.6, ,   -24.2, ,   -16.9, ,     5.0, ,   -10.2, 
 1960,   -29.3, ,   -23.5, ,   -25.3, ,   -15.7, ,    -2.9, , -9999.9,M, -9999.9,M, -9999.9,M,    -1.3, ,    -8.8, ,   -21.9, ,   -19.8, , -9999.9,M,   -25.3, ,   -14.6, , -9999.9,M,   -10.7, 
 1961,   -27.3, ,   -27.9, ,   -28.2, ,   -19.9, ,    -4.8, ,     7.7, ,     8.8, ,     5.5, ,    -1.0, ,   -11.7, ,   -18.6, ,   -28.6, ,   -12.2, ,   -25.0, ,   -17.6, ,     7.3, ,   -10.4, 
 1962,   -23.8, ,   -25.9, ,   -21.4, ,   -14.9, ,    -7.9, ,     8.5, ,    10.6, ,     9.6, ,     1.2, ,    -6.1, ,   -17.2, ,   -20.1, ,    -9.0, ,   -26.1, ,   -14.7, ,     9.6, ,    -7.4, 
 1963,   -28.7, ,   -24.8, ,   -27.8, ,   -11.9, ,    -2.8, ,     6.2, ,    10.3, ,     6.0, ,    -0.2, ,   -10.8, ,   -19.7, ,   -17.9, ,   -10.2, ,   -24.5, ,   -14.2, ,     7.5, ,   -10.2, 
 1964,   -29.5, ,   -29.5, ,   -30.6, ,   -22.6, ,    -6.3, ,     0.8, ,     5.1, ,     8.0, ,    -0.7, ,    -8.2, ,   -17.0, ,   -27.4, ,   -13.2, ,   -25.6, ,   -19.8, ,     4.6, ,    -8.6, 
 1965,   -27.5, ,   -33.0, ,   -20.9, ,   -13.3, ,    -4.8, ,     1.9, ,    10.7, ,     7.8, ,    -3.1, ,    -7.9, ,   -16.0, ,   -23.5, ,   -10.8, ,   -29.3, ,   -13.0, ,     6.8, ,    -9.0, 
 1966,   -29.8, ,   -28.3, ,   -21.5, ,   -19.5, ,    -1.8, ,     4.8, ,     9.6, ,     5.2, ,     2.9, ,   -11.0, ,   -19.3, ,   -22.8, ,   -11.0, ,   -27.2, ,   -14.3, ,     6.5, ,    -9.1, 
 1967,   -26.0, ,   -29.9, ,   -27.6, ,   -15.6, ,    -6.4, ,     1.1, ,     4.4, ,     3.5, ,    -1.0, ,    -8.0, ,   -17.4, ,   -21.1, ,   -12.0, ,   -26.2, ,   -16.5, ,     3.0, ,    -8.8, 
 1968,   -27.6, ,   -28.3, ,   -19.7, ,   -15.7, ,    -4.3, ,     6.9, ,    12.0, ,     7.2, ,     0.4, ,    -5.9, ,   -19.0, ,   -24.0, ,    -9.8, ,   -25.7, ,   -13.2, ,     8.7, ,    -8.2, 
 1969,   -27.1, ,   -24.1, ,   -22.8, ,   -11.4, ,    -5.1, ,     3.8, ,     6.2, ,     6.1, ,     2.5, ,    -4.3, ,   -20.6, ,   -16.6, ,    -9.5, ,   -25.1, ,   -13.1, ,     5.4, ,    -7.5, 
 1970,   -23.4, ,   -29.4, ,   -22.8, ,   -15.5, ,    -4.1, ,     3.7, ,    12.1, ,     9.3, ,     0.4, ,    -8.7, ,   -17.2, ,   -26.5, ,   -10.2, ,   -23.1, ,   -14.1, ,     8.4, ,    -8.5, 
 1971,   -28.5, ,   -28.8, ,   -20.8, ,   -16.8, ,    -3.5, ,     8.7, ,    10.4, ,     4.3, ,     0.8, ,    -5.0, ,   -20.0, ,   -26.3, ,   -10.5, ,   -27.9, ,   -13.7, ,     7.8, ,    -8.1, 
 1972,   -30.8, ,   -31.6, ,   -24.1, ,   -17.4, ,    -5.3, ,     4.5, ,     9.5, ,     6.4, ,    -1.5, ,    -7.9, ,   -19.7, ,   -22.4, ,   -11.7, ,   -29.6, ,   -15.6, ,     6.8, ,    -9.7, 
 1973,   -27.6, ,   -26.2, ,   -28.1, ,   -14.1, ,    -3.4, ,     9.1, ,     9.6, ,     7.9, ,     3.7, ,    -5.1, ,   -14.4, ,   -18.6, ,    -8.9, ,   -25.4, ,   -15.2, ,     8.9, ,    -5.3, 
 1974,   -25.6, ,   -29.3, ,   -28.2, ,   -21.2, ,    -6.3, ,     1.8, ,     9.1, ,     5.8, ,    -2.4, ,   -15.0, ,   -20.2, ,   -28.1, ,   -13.3, ,   -24.5, ,   -18.6, ,     5.6, ,   -12.5, 
 1975,   -35.8, ,   -25.1, ,   -21.0, ,   -11.6, ,    -1.2, ,     8.3, ,     7.2, ,     6.1, ,    -2.2, ,    -9.3, ,   -21.6, ,   -26.2, ,   -11.0, ,   -29.7, ,   -11.3, ,     7.2, ,   -11.0, 
 1976,   -28.6, ,   -29.3, ,   -27.2, ,   -10.4, ,    -3.5, ,     4.5, ,    12.3, ,     5.7, ,     3.8, ,    -5.8, ,   -14.3, ,   -26.9, ,   -10.0, ,   -28.0, ,   -13.7, ,     7.5, ,    -5.4, 
 1977,   -22.7, ,   -24.0, ,   -24.2, ,   -15.6, ,    -2.4, ,     9.3, ,    11.9, ,     9.1, ,     2.9, ,    -5.9, ,   -16.2, ,   -25.0, ,    -8.6, ,   -24.5, ,   -14.1, ,    10.1, ,    -6.4, 
 1978,   -22.4, ,   -18.3, ,   -22.5, ,   -17.4, ,    -8.6, ,     0.4, ,     8.6, ,     2.4, ,     2.7, ,   -13.7, ,   -15.3, ,   -21.5, ,   -10.5, ,   -21.9, ,   -16.2, ,     3.8, ,    -8.8, 
 1979,   -19.2, ,   -30.3, ,   -30.8, ,   -18.0, ,    -5.4, ,     0.5, ,    11.0, ,     6.9, ,    -0.4, ,    -9.0, ,   -12.0, ,   -24.8, ,   -11.0, ,   -23.7, ,   -18.1, ,     6.1, ,    -7.1, 
 1980,   -26.7, ,   -21.1, ,   -24.3, ,   -18.4, ,    -5.8, ,     5.1, ,     8.9, ,     6.6, ,    -4.0, ,    -3.5, ,   -18.7, ,   -25.1, ,   -10.6, ,   -24.2, ,   -16.2, ,     6.9, ,    -8.7, 
 1981,   -14.9, ,   -24.5, ,   -20.9, ,   -14.2, ,    -2.6, ,     8.8, ,     8.8, ,     6.4, ,     1.4, ,    -5.7, ,   -16.1, ,   -17.5, ,    -7.6, ,   -21.5, ,   -12.6, ,     8.0, ,    -6.8, 
 1982,   -28.2, ,   -23.8, ,   -25.5, ,   -18.6, ,    -5.9, ,     4.6, ,    12.2, ,     6.1, ,     1.4, ,    -7.7, ,   -24.2, ,   -27.4, ,   -11.4, ,   -23.2, ,   -16.7, ,     7.6, ,   -10.2, 
 1983,   -29.0, ,   -26.6, ,   -25.8, ,   -15.8, ,    -9.1, ,     4.7, ,    11.1, ,     7.2, ,     0.5, ,   -11.0, ,   -11.4, ,   -21.0, ,   -10.5, ,   -27.7, ,   -16.9, ,     7.7, ,    -7.3, 
 1984,   -27.2, ,   -30.0, ,   -26.7, ,   -11.1, ,    -2.0, ,     9.2, ,     8.0, ,     3.9, ,    -0.8, ,    -8.9, ,   -20.2, ,   -28.2, ,   -11.2, ,   -26.1, ,   -13.3, ,     7.0, ,   -10.0, 
 1985,   -23.7, ,   -32.3, ,   -23.2, ,   -18.1, ,    -2.4, ,     7.0, ,     5.1, ,     5.2, ,     1.1, ,   -11.5, ,   -18.2, ,   -21.8, ,   -11.1, ,   -28.1, ,   -14.6, ,     5.8, ,    -9.5, 
 1986,   -28.1, ,   -23.7, ,   -26.2, ,   -17.9, ,    -4.7, ,     2.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -22.3, , -9999.9,M,   -24.5, ,   -16.3, , -9999.9,M, -9999.9,M
 1987,   -22.9, ,   -23.6, ,   -24.2, ,   -18.0, ,    -7.8, ,     5.0, ,    12.6, ,     6.2, ,     1.5, ,    -3.8, ,   -21.2, ,   -14.7, ,    -9.2, ,   -22.9, ,   -16.7, ,     7.9, ,    -7.8, 
 1988, -9999.9,M,   -23.7, ,   -18.3, ,   -11.5, ,    -4.8, ,     9.2,E,    14.0, ,     7.3, ,     2.6, ,    -6.7, ,   -23.4, ,   -21.8, , -9999.9,M, -9999.9,M,   -11.5, ,    10.2,E,    -9.2, 
 1989,   -28.5,E,   -15.6,E,   -28.3, , -9999.9,M,    -6.9, , -9999.9,M,     9.9, ,    11.9, , -9999.9,M,    -7.3, ,   -23.6,E,   -23.1,E, -9999.9,M,   -22.0,E, -9999.9,M, -9999.9,M, -9999.9,M
 1990, -9999.9,M,   -29.8,E,   -18.6,E,   -11.7,E, -9999.9,M,     6.8,E,    10.1,E, -9999.9,M,     0.4, ,    -8.9, ,   -22.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.3, 
 1991,   -25.7,E, -9999.9,M, -9999.9,M,   -12.4, ,    -1.1, ,     2.8,E,     8.1, , -9999.9,M,    -0.5, ,    -8.6, ,   -20.3, ,   -26.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -9.8, 
 1992,   -27.0,E,   -26.1,E,   -18.2, , -9999.9,M,    -5.1,E,     5.4, ,    10.3, ,     6.3, ,    -1.5, ,    -8.3, ,   -16.0, ,   -23.2, , -9999.9,M,   -26.4,E, -9999.9,M,     7.3, ,    -8.6, 
 1993,   -23.5,E,   -23.6, ,   -20.5, ,   -13.8,E, -9999.9,M, -9999.9,M,    13.7, ,     6.4, ,     0.7, ,    -4.9, ,   -17.3, ,   -24.0,E, -9999.9,M,   -23.4,E, -9999.9,M, -9999.9,M,    -7.2, 
 1994,   -24.5, ,   -27.8, ,   -21.5, ,   -14.5,E, -9999.9,M,     3.7, ,    10.3, ,     9.2, ,    -1.2, ,    -4.4,E,   -17.9, ,   -22.6, , -9999.9,M,   -25.4,E, -9999.9,M,     7.7, ,    -7.8,E
 1995,   -20.7, ,   -25.1, ,   -25.9,E,    -9.1, ,    -3.9, ,     7.4,E,    10.8, ,     6.3, ,     1.1,E,    -8.6, ,   -15.2,E,   -27.1,E,    -9.2,E,   -22.8, ,   -13.0,E,     8.2,E,    -7.6,E
 1996,   -26.3,E,   -23.0, ,   -22.5, ,   -15.5,E,    -2.9, ,     7.3,E,     9.7,E,     2.6,E,    -1.7, ,   -12.0,E,   -16.1,E,   -21.6,E,   -10.2,E,   -25.5,E,   -13.6,E,     6.5,E,    -9.9,E
 1997,   -26.2,E,   -25.8,E,   -25.9,E,   -14.7,E,    -6.6, ,     5.8,E,    10.4, ,     4.6, ,     1.9, ,   -10.7, ,   -11.6,E,   -23.3,E,   -10.2,E,   -24.5,E,   -15.7,E,     6.9,E,    -6.8,E
