3033250,HIGH RIVER     ,AB, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
3033250,HIGH RIVER     ,AB, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1902, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.6, ,    12.7, ,    -0.6, ,    -3.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.2, 
 1903,     1.3, ,     1.2, ,    -3.5, ,    10.4, ,    16.9, ,    21.8, ,    20.8, ,    20.7, ,    18.6, ,    16.1, ,     1.8, ,     5.6, ,    11.0, ,    -0.3, ,     7.9, ,    21.1, ,    12.2, 
 1904,    -0.1, ,    -8.7, ,    -0.8, ,    11.2, ,    16.9, ,    25.9, ,    27.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.1, ,     9.1, , -9999.9,M, -9999.9,M
 1905, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1906, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1907,   -16.9, ,    -2.1, ,     0.3, ,     7.1, ,    13.9, ,    20.1, ,    22.5, ,    20.0, ,    15.6, ,    17.1, ,     8.6, ,     1.5, ,     9.0, ,    -8.0, ,     7.1, ,    20.9, ,    13.8, 
 1908,     3.9, ,    -1.1, ,     0.4, ,    12.9, ,    15.4, ,    18.4, ,    26.1, ,    22.0, ,    19.0, ,    10.1, ,     7.2, ,     0.1, ,    11.2, ,     1.4, ,     9.6, ,    22.2, ,    12.1, 
 1909,    -9.3, ,    -2.1, ,     3.8, ,     5.9, ,    14.1, ,    21.1, ,    24.1, ,    25.0, ,    22.4, ,    11.9, ,    -1.5, ,    -5.1, ,     9.2, ,    -3.8, ,     7.9, ,    23.4, ,    10.9, 
 1910,    -0.8, ,    -9.4, ,    11.9, ,    17.1, ,    18.1, ,    23.6, ,    27.4, ,    22.7, ,    17.7, ,    13.9, ,     3.5, ,    -0.5, ,    12.1, ,    -5.1, ,    15.7, ,    24.6, ,    11.7, 
 1911,   -11.3, ,    -5.5, ,     7.4, ,     9.1, ,    13.8, ,    21.5, ,    21.5, ,    19.5, ,    15.2, ,    11.6, ,    -2.3, ,    -1.1, ,     8.3, ,    -5.8, ,    10.1, ,    20.8, ,     8.2, 
 1912,    -5.0, ,     1.2, ,    -0.5, ,    12.5, , -9999.9,M,    24.3, , -9999.9,M, -9999.9,M,    15.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.6, , -9999.9,M, -9999.9,M, -9999.9,M
 1913,    -9.0, , -9999.9,M,    -0.9, ,    14.0, ,    15.2, ,    21.6, ,    22.6, ,    24.4, , -9999.9,M,     9.9, ,     5.8, ,     4.0, , -9999.9,M, -9999.9,M,     9.4, ,    22.9, , -9999.9,M
 1914,    -3.8, ,    -4.8, ,     5.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.5, , -9999.9,M, -9999.9,M, -9999.9,M
 1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.7, ,    13.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1916, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1917, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1918, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    24.9, ,    22.9, ,    18.6, ,    13.3, ,     7.5, ,     4.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.1, 
 1919,     7.5, ,    -3.1, ,    -0.4, , -9999.9,M,    17.0, ,    23.5, ,    26.1, ,    24.3, ,    17.4, ,     6.2, ,    -0.5, ,    -1.2, , -9999.9,M,     2.9, , -9999.9,M,    24.6, ,     7.7, 
 1920,    -2.3, ,     2.2, ,     1.8, ,     1.2, ,    12.4, ,    19.6, ,    25.8, ,    24.0, ,    20.4, ,    11.7, ,     5.8, ,    -0.4, ,    10.2, ,    -0.4, ,     5.1, ,    23.1, ,    12.6, 
 1921,     0.5, ,     2.1, ,     1.5, ,     9.6, ,    15.7, ,    22.1, ,    24.6, ,    23.7, ,    14.6, ,    16.7, ,     1.0, ,    -0.6, ,    11.0, ,     0.7, ,     8.9, ,    23.5, ,    10.8, 
 1922,    -2.8, ,    -8.6, ,     2.9, ,     8.1, ,    17.4, ,    21.8, ,    23.1, ,    25.2, ,    21.2, ,    14.8, ,     7.1, ,    -6.9, ,    10.3, ,    -4.0, ,     9.5, ,    23.4, ,    14.4, 
 1923,    -0.2, ,    -2.2, ,     2.3, ,    10.1, ,    15.7, ,    19.1, ,    22.3, ,    21.6, ,    19.9, ,    14.3, ,    10.1, ,    -0.5, ,    11.0, ,    -3.1, ,     9.4, ,    21.0, ,    14.8, 
 1924,    -3.7, ,     3.0, ,     1.9, ,     9.2, ,    18.1, ,    17.8, ,    24.1, ,    20.4, ,    19.3, ,    14.6, ,     3.9, ,    -6.9, ,    10.1, ,    -0.4, ,     9.7, ,    20.8, ,    12.6, 
 1925,    -3.5, ,    -0.2, ,     3.3, ,    12.6, ,    18.0, ,    20.8, ,    24.7, ,    22.3, ,    15.5, ,     4.1, ,     5.2, ,     5.7, ,    10.7, ,    -3.5, ,    11.3, ,    22.6, ,     8.3, 
 1926,     5.6, ,     4.6, ,     7.9, ,    12.3, ,    17.5, ,    19.7, ,    25.1, ,    20.1, ,    10.5, ,    13.9, ,     1.5, ,    -1.1, ,    11.5, ,     5.3, ,    12.6, ,    21.6, ,     8.6, 
 1927,    -1.6, ,     0.5, ,     5.1, ,    10.3, ,    11.3, ,    19.6, ,    22.2, ,    21.5, ,    16.0, ,    13.2, ,    -4.7, ,    -6.5, ,     8.9, ,    -0.7, ,     8.9, ,    21.1, ,     8.2, 
 1928,     1.6, ,     4.0, ,     6.4, ,     8.4, ,    21.6, ,    18.4, ,    23.7, ,    22.0, ,    20.6, ,    10.3, ,     8.8, ,     4.3, ,    12.5, ,    -0.3, ,    12.1, ,    21.4, ,    13.2, 
