4020160,ANEROID        ,SK, station not joined, Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
4020160,ANEROID        ,SK, station non jointe, Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1922, -9999.9,M,   -12.5, ,     0.1, ,    10.3, ,    16.8, ,    24.1, ,    25.4, ,    27.7, ,    25.1, ,    17.8, ,     5.0, ,    -9.8, , -9999.9,M, -9999.9,M,     9.1, ,    25.7, ,    16.0, 
 1923,    -5.2, ,    -7.1, ,    -0.1, ,    10.8, ,    19.5, ,    23.9, ,    26.3, ,    24.9, ,    23.9, ,    12.9, ,    10.4, ,     0.4, ,    11.7, ,    -7.4, ,    10.1, ,    25.0, ,    15.7, 
 1924,    -9.5, ,     1.5, ,     0.7, ,    10.2, ,    17.2, ,    21.3, ,    26.6, ,    24.6, ,    22.2, ,    17.4, ,     0.8, ,    -8.9, ,    10.3, ,    -2.5, ,     9.4, ,    24.2, ,    13.5, 
 1925,    -7.2, ,    -2.9, ,     4.3, ,    16.2, ,    21.0, ,    22.4, ,    28.8, ,    29.9, ,    18.1, ,     3.5, ,     3.7, ,    -1.6, ,    11.4, ,    -6.3, ,    13.8, ,    27.0, ,     8.4, 
 1926,    -0.7, ,     3.3, ,     6.4, ,    15.3, ,    23.5, ,    21.2, ,    31.6, ,    24.8, ,    14.4, ,    13.0, ,    -2.3, ,    -5.4, ,    12.1, ,     0.3, ,    15.1, ,    25.9, ,     8.4, 
 1927,    -6.8, ,    -7.0, ,    -0.4, ,     9.0, ,    12.5, ,    21.9, ,    25.3, ,    25.8, ,    19.3, ,    14.3, ,    -4.5, ,   -12.8, ,     8.1, ,    -6.4, ,     7.0, ,    24.3, ,     9.7, 
 1928,    -4.7, ,    -0.5, ,     4.1, ,     8.2, ,    24.3, ,    19.8, ,    24.2, ,    23.6, ,    22.0, ,    10.8, ,     8.8, ,     1.0, ,    11.8, ,    -6.0, ,    12.2, ,    22.5, ,    13.9, 
 1929,   -13.9, ,    -9.8, ,     6.8, ,     9.9, ,    17.3, ,    23.7, ,    31.0, ,    29.8, ,    16.9, ,    15.2, ,     2.7, ,    -6.7, ,    10.2, ,    -7.6, ,    11.3, ,    28.2, ,    11.6, 
 1930,   -14.7, ,     1.6, ,     2.4, ,    16.0, ,    18.0, ,    22.6, ,    29.2, ,    29.6, ,    20.4, ,     9.0, ,     4.7, ,     1.7, ,    11.7, ,    -6.6, ,    12.1, ,    27.1, ,    11.4, 
 1931,     2.7, ,     6.1, ,     3.5, ,    14.9, ,    20.9, ,    27.6, ,    27.2, ,    27.3, ,    21.3, ,    15.8, ,     2.8, ,     0.2, ,    14.2, ,     3.5, ,    13.1, ,    27.4, ,    13.3, 
 1932,    -6.5, ,    -3.3, ,    -2.2, ,    14.0, ,    20.9, ,    24.3, ,    28.4, ,    26.4, ,    21.6, ,     9.9, ,     1.7, ,    -4.8, ,    10.9, ,    -3.2, ,    10.9, ,    26.4, ,    11.1, 
 1933,    -2.8, ,    -4.4, ,     6.4, ,     9.8, ,    18.6, ,    27.0, ,    29.3, ,    27.4, , -9999.9,M,    11.1, ,     5.8, ,    -6.9, , -9999.9,M,    -4.0, ,    11.6, ,    27.9, , -9999.9,M
 1934,     0.3, ,     2.1, ,     3.8, ,    15.4, ,    24.6, ,    21.4, ,    29.3, ,    27.2, ,    15.5, ,    15.8, ,     7.4, ,    -4.4, ,    13.2, ,    -1.5, ,    14.6, ,    26.0, ,    12.9, 
 1935,    -9.4, ,     1.1, ,    -0.1, ,     9.6, ,    15.2, ,    22.0, ,    29.0, ,    25.1, ,    22.8, ,    12.8, ,    -0.6, ,     0.5, ,    10.7, ,    -4.2, ,     8.2, ,    25.4, ,    11.7, 
 1936,   -11.2, ,   -20.3, ,     0.7, ,    10.7, ,    24.2, ,    25.6, ,    34.0, , -9999.9,M,    21.5, ,    14.0, ,     5.7, ,    -4.5, , -9999.9,M,   -10.3, ,    11.9, , -9999.9,M,    13.7, 
 1937,   -15.1, ,    -8.5, ,     4.5, ,    12.8, ,    21.3, ,    26.4, ,    30.1, ,    28.5, ,    21.5, ,    14.5, ,     1.9, ,    -3.3, ,    11.2, ,    -9.4, ,    12.9, ,    28.3, ,    12.6, 
 1938,    -2.9, ,    -9.0, ,     5.1, ,    12.9, ,    17.6, ,    23.4, ,    27.5, ,    26.6, ,    26.2, ,    16.4, ,     0.9, ,    -1.0, ,    12.0, ,    -5.1, ,    11.9, ,    25.8, ,    14.5, 
 1939,    -2.3, ,   -12.0, ,     1.8, ,    13.4, ,    22.5, ,    18.7, ,    28.6, ,    29.7, ,    23.7, ,    10.7, ,    10.5, ,     4.1, ,    12.5, ,    -5.1, ,    12.6, ,    25.7, ,    15.0, 
 1940,   -10.3, ,    -5.1, ,     0.3, ,     5.6, ,    22.3, ,    23.0, ,    27.6, ,    28.6, ,    24.9, ,    16.9, ,    -3.3, ,     1.0, ,    11.0, ,    -3.8, ,     9.4, ,    26.4, ,    12.8, 
 1941,    -4.4, ,    -2.1, ,     3.4, ,    12.0, ,    19.8, ,    24.4, , -9999.9,M,    26.4, ,    16.7, ,    14.0, ,     4.6, ,    -1.4, , -9999.9,M,    -1.8, ,    11.7, , -9999.9,M,    11.8, 
 1942,     0.1, ,    -5.9, ,     4.0, ,    13.5, ,    16.5, ,    19.7, ,    25.6, ,    25.3, ,    18.8, ,    14.8, ,    -0.2, ,    -4.2, ,    10.7, ,    -2.4, ,    11.3, ,    23.5, ,    11.1, 
 1943,   -12.6, ,    -0.6, ,    -2.2, ,    15.5, ,    16.2, ,    19.2, ,    28.7, ,    27.8, ,    21.2, ,    15.5, ,     3.7, ,     1.9, ,    11.2, ,    -5.8, ,     9.8, ,    25.2, ,    13.5, 
 1944,     1.2, ,    -3.5, ,    -3.0, ,    14.0, ,    20.3, ,    20.4, ,    26.8, ,    24.4, ,    21.3, ,    19.7, ,    -0.4, ,    -3.9, ,    11.4, ,    -0.1, ,    10.4, ,    23.9, ,    13.5, 
 1945,    -4.5, ,    -3.4, ,     4.9, ,     7.2, ,    16.2, ,    18.8, ,    28.7, ,    26.7, ,    17.0, ,    13.9, ,    -1.2, ,    -6.6, ,     9.8, ,    -3.9, ,     9.4, ,    24.7, ,     9.9, 
 1946,    -3.8, ,    -3.3, ,     8.1, ,    16.6, ,    17.2, ,    22.9, ,    29.4, ,    25.5, ,    19.1, ,     8.7, ,    -1.2, ,    -6.0, ,    11.1, ,    -4.6, ,    14.0, ,    25.9, ,     8.9, 
 1947,    -4.3, ,    -7.5, ,    -2.2, ,    10.1, ,    16.9, ,    21.0, ,    30.2, ,    26.3, ,    20.2, ,    16.8, ,    -0.1, ,    -1.9, ,    10.5, ,    -5.9, ,     8.3, ,    25.8, ,    12.3, 
 1948,    -2.3, ,    -8.0, ,    -1.4, ,     8.9, ,    19.4, ,    23.2, ,    27.1, ,    27.7, ,    24.1, ,    16.3, ,     4.0, ,    -8.6, ,    10.9, ,    -4.1, ,     9.0, ,    26.0, ,    14.8, 
 1949,   -10.9, ,   -10.3, ,     1.7, ,    17.8, ,    21.1, ,    23.3, ,    27.0, ,    29.8, ,    21.4, ,     9.5, ,    11.7, ,    -8.5, ,    11.1, ,    -9.9, ,    13.5, ,    26.7, ,    14.2, 
 1950,   -20.9, ,    -4.9, ,    -3.3, ,     5.6, ,    15.4, ,    21.1, ,    25.2, ,    23.5, ,    20.1, ,    12.5, ,    -0.9, ,    -4.8, ,     7.4, ,   -11.4, ,     5.9, ,    23.3, ,    10.6, 
 1951,    -9.1, , -9999.9,M,    -8.3, ,     9.0, ,    20.6, ,    19.2, ,    27.3, ,    22.9, ,    17.1, ,     8.1, ,     0.7, ,   -10.2, , -9999.9,M, -9999.9,M,     7.1, ,    23.1, ,     8.6, 
 1952,   -11.4, ,    -4.5, ,    -3.4, ,    15.0, ,    18.7, ,    22.4, ,    24.6, ,    25.4, ,    21.6, ,    14.6, ,     4.0, ,    -0.1, ,    10.6, ,    -8.7, ,    10.1, ,    24.1, ,    13.4, 
