4057165,SASKATOON      ,SK, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
4057165,SASKATOON      ,SK, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1900, -9999.9,M,   -13.3, ,    -1.2, ,    13.0, ,    20.3, ,    23.4, ,    25.4, ,    22.7, ,    17.3, ,    12.5, ,    -3.1, ,    -5.9, , -9999.9,M, -9999.9,M,    10.7, ,    23.8, ,     8.9, 
 1901,   -12.0, ,    -9.3, , -9999.9,M, -9999.9,M,    21.9, ,    18.5, ,    23.8, ,    24.5, ,    13.3, ,    14.3, ,    -0.7, ,    -6.0, , -9999.9,M,    -9.1, , -9999.9,M,    22.3, ,     9.0, 
 1902,    -7.4, ,   -10.0, ,    -4.0, ,     8.3, ,    17.7, ,    16.6, ,    22.5, ,    24.2, ,    16.8, ,    12.2, ,    -4.0, ,   -14.6, ,     6.5, ,    -7.8, ,     7.3, ,    21.1, ,     8.3, 
 1903,   -11.2, ,   -11.0, ,    -7.5, ,     9.1, ,    15.9, ,    23.8, ,    21.9, ,    19.3, ,    13.4, ,    13.4, ,    -1.3, ,    -6.0, ,     6.7, ,   -12.3, ,     5.8, ,    21.7, ,     8.5, 
 1904,   -12.1, ,   -19.2, ,    -8.7, ,     5.8, ,    16.4, ,    20.6, ,    23.5, ,    20.8, ,    15.7, ,    12.1, ,     7.4, ,    -7.3, ,     6.3, ,   -12.4, ,     4.5, ,    21.6, ,    11.7, 
 1905,   -13.6, ,   -10.5, ,     5.3, ,    11.0, ,    16.0, ,    18.6, ,    23.7, ,    24.9, ,    17.3, ,     7.1, ,     3.9, ,    -4.6, ,     8.3, ,   -10.5, ,    10.8, ,    22.4, ,     9.4, 
 1906,    -9.5, ,    -9.4, ,    -4.7, ,    14.4, ,    14.9, ,    21.7, ,    26.5, ,    24.0, ,    18.5, ,    12.3, ,    -1.6, ,   -10.9, ,     8.0, ,    -7.8, ,     8.2, ,    24.1, ,     9.7, 
 1907,   -22.4, ,   -10.4, ,    -5.1, ,     0.7, ,     9.0, ,    21.1, ,    23.4, ,    21.1, ,    15.4, ,    14.6, ,     3.3, ,    -5.2, ,     5.5, ,   -14.6, ,     1.5, ,    21.9, ,    11.1, 
 1908,    -7.7, ,    -9.2, ,    -9.5, ,     8.4, ,    18.7, ,    19.1, ,    25.2, ,    22.3, ,    19.6, ,     8.2, ,     2.6, ,    -8.5, ,     7.4, ,    -7.4, ,     5.9, ,    22.2, ,    10.1, 
 1909,   -18.3, ,   -14.8, ,    -4.4, ,     2.1, ,    17.0, ,    21.8, ,    23.3, ,    25.3, ,    22.6, ,     9.5, ,    -3.8, ,   -11.5, ,     5.7, ,   -13.9, ,     4.9, ,    23.5, ,     9.4, 
