4075525,LOST RIVER     ,SK, station joined    , Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
4075525,LOST RIVER     ,SK, station jointe    , Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1911, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.5, ,    22.0, ,    19.9, ,    20.9, ,    14.6, ,    11.0, ,    -9.0, ,   -10.8, , -9999.9,M, -9999.9,M, -9999.9,M,    20.9, ,     5.5, 
 1912,   -20.5, ,   -10.7, ,    -8.2, ,     9.9, ,    16.0, ,    23.3, ,    19.1, ,    19.7, ,    13.4, ,     8.9, ,     0.0, ,    -9.7, ,     5.1, ,   -14.0, ,     5.9, ,    20.7, ,     7.4, 
 1913,   -22.3, ,   -15.2, ,   -10.1, ,    10.8, ,    13.7, ,    21.4, ,    20.9, ,    21.3, ,    17.2, ,     5.0, ,     0.5, ,    -5.9, ,     4.8, ,   -15.7, ,     4.8, ,    21.2, ,     7.6, 
 1914,   -13.0, ,   -18.1, ,    -4.0, ,     6.6, ,    15.9, ,    21.0, ,    26.2, ,    22.4, ,    17.5, ,    11.9, ,    -1.0, ,   -14.7, ,     5.9, ,   -12.3, ,     6.2, ,    23.2, ,     9.5, 
 1915,   -14.5, ,    -6.5, ,     0.3, ,    15.5, ,    17.4, ,    18.1, ,    20.6, ,    24.7, ,    14.0, ,     9.9, ,    -2.9, ,   -10.4, ,     7.2, ,   -11.9, ,    11.1, ,    21.1, ,     7.0, 
 1916,   -23.5, ,   -11.5, ,    -6.1, ,     7.7, ,    12.9, ,    18.1, ,    23.8, ,    21.3, ,    15.8, ,     5.6, ,    -0.6, ,   -16.0, ,     4.0, ,   -15.1, ,     4.8, ,    21.1, ,     6.9, 
 1917,   -21.5, ,   -16.8, ,    -3.9, ,     2.6, ,    17.1, ,    19.1, ,    24.7, ,    22.1, ,    18.9, ,     6.3, ,     7.1, ,   -21.4, ,     4.5, ,   -18.1, ,     5.3, ,    22.0, ,    10.8, 
 1918,   -17.2, ,   -14.2, ,    -0.4, ,    10.4, ,    11.6, ,    20.1, ,    20.9, ,    21.7, ,    15.3, ,     9.6, ,     1.4, ,    -6.7, ,     6.0, ,   -17.6, ,     7.2, ,    20.9, ,     8.8, 
 1919,    -7.1, ,   -14.2, ,    -8.0, ,    10.9, ,    20.2, ,    23.6, ,    23.4, ,    23.6, ,    15.8, ,     0.9, ,    -7.4, ,   -11.7, ,     5.8, ,    -9.3, ,     7.7, ,    23.5, ,     3.1, 
 1920,   -17.0, ,    -7.1, ,    -4.7, ,     1.3, ,    17.1, ,    20.7, ,    26.1, ,    24.7, ,    18.5, ,    12.7, ,    -2.2, , -9999.9,M, -9999.9,M,   -11.9, ,     4.6, ,    23.8, ,     9.7, 
