4086000,PELLY          ,SK, station not joined, Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
4086000,PELLY          ,SK, station non jointe, Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.2, ,    13.5, ,     5.3, ,    -5.8, ,   -14.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.3, 
 1952,   -17.5, ,    -7.7, ,    -4.8, ,    14.2, ,    17.0, ,    20.7, ,    22.2, ,    21.9, ,    17.3, ,     9.6, ,     0.6, ,    -7.6, ,     7.2, ,   -13.2, ,     8.8, ,    21.6, ,     9.2, 
 1953,   -14.7, ,    -7.4, ,    -4.2, ,     3.9, ,    14.0, ,    19.3, ,    22.3, ,    23.1, ,    15.0, ,    13.9, ,     2.2, ,    -8.5, ,     6.6, ,    -9.9, ,     4.6, ,    21.6, ,    10.4, 
 1954,   -20.9, ,    -2.6, ,    -5.3, ,    -0.3, ,    11.3, ,    18.5, ,    23.3, ,    20.0, ,    13.9, ,     9.7, ,     1.3, ,    -5.5, ,     5.3, ,   -10.7, ,     1.9, ,    20.6, ,     8.3, 
 1955,   -13.3, ,   -12.4, ,    -9.7, ,     9.7, ,    16.1, ,    21.7, ,    24.1, ,    24.8, ,    14.8, ,    10.8, ,    -9.6, ,   -16.1, ,     5.1, ,   -10.4, ,     5.4, ,    23.5, ,     5.3, 
 1956,   -15.9, ,   -12.8, ,    -6.3, ,     2.5, ,    14.8, ,    23.1, ,    22.7, ,    21.7, ,    14.2, ,     9.9, ,    -0.9, ,   -11.8, ,     5.1, ,   -14.9, ,     3.7, ,    22.5, ,     7.7, 
 1957,   -17.1, ,   -12.3, ,    -4.0, ,     4.8, ,    16.4, ,    19.7, ,    25.3, ,    20.4, ,    16.1, ,     9.9, ,    -2.9, ,    -9.6, ,     5.6, ,   -13.7, ,     5.7, ,    21.8, ,     7.7, 
 1958,    -8.7, ,   -11.9, ,    -2.1, ,     9.1, ,    17.8, ,    18.7, ,    22.5, ,    21.6, ,    14.5, ,     9.4, ,    -3.6, ,   -12.0, ,     6.3, ,   -10.1, ,     8.3, ,    20.9, ,     6.8, 
 1959,   -19.1, ,   -10.0, ,     0.2, ,     7.7, ,    14.3, ,    20.7, ,    24.2, ,    20.8, ,    13.4, ,     2.9, ,    -6.2, ,    -4.7, ,     5.4, ,   -13.7, ,     7.4, ,    21.9, ,     3.4, 
 1960,   -15.6, ,   -10.5, ,    -7.1, ,     5.5, ,    16.8, ,    19.1, ,    25.5, ,    24.0, ,    18.1, ,     9.3, ,    -3.8, ,   -10.1, ,     5.9, ,   -10.3, ,     5.1, ,    22.9, ,     7.9, 
