6073810,IROQUOIS FALLS ,ON, station not joined, Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
6073810,IROQUOIS FALLS ,ON, station non jointe, Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1913, -9999.9,M, -9999.9,M, -9999.9,M,     8.9, ,    13.6, ,    24.0, ,    22.8, ,    21.9, ,    17.0, ,     9.5, ,     2.7, ,    -3.9, , -9999.9,M, -9999.9,M, -9999.9,M,    22.9, ,     9.7, 
 1914,    -8.6, ,   -13.0, ,    -1.7, ,     5.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.8, ,    -8.4, , -9999.9,M,    -8.5, , -9999.9,M, -9999.9,M, -9999.9,M
 1915,    -9.4, ,    -5.4, ,    -2.5, ,    12.6, ,    13.3, ,    20.7, ,    23.7, ,    22.0, ,    17.4, ,     8.8, ,     1.3, ,    -8.2, ,     7.9, ,    -7.7, ,     7.8, ,    22.1, ,     9.2, 
 1916,    -9.3, ,   -13.2, ,    -5.0, ,     8.0, ,    14.6, ,    19.6, ,    28.9, ,    24.7, ,    19.4, ,    11.4, ,    -3.4, ,   -10.0, ,     7.1, ,   -10.2, ,     5.9, ,    24.4, ,     9.1, 
 1917,   -15.4, ,   -12.6, ,    -1.1, ,     8.7, ,    15.0, ,    18.1, ,    25.5, ,    24.0, ,    19.3, ,     8.1, ,    -0.9, ,   -18.4, ,     5.9, ,   -12.7, ,     7.5, ,    22.5, ,     8.8, 
 1918,   -17.7, ,   -17.9, ,    -4.6, ,     6.4, ,    11.5, ,    17.3, ,    24.9, ,    24.0, ,    13.3, ,    10.6, ,     2.9, ,    -4.8, ,     5.5, ,   -18.0, ,     4.4, ,    22.1, ,     8.9, 
 1919,    -8.0, ,    -3.8, ,    -0.5, ,     7.6, ,    17.6, ,    26.9, ,    24.9, ,    21.2, ,    16.1, ,     6.8, ,    -2.4, ,   -12.0, ,     7.9, ,    -5.5, ,     8.2, ,    24.3, ,     6.8, 
 1920,   -15.4, , -9999.9,M,     0.2, ,     6.4, ,    17.2, ,    23.8, ,    21.6, ,    25.4, ,    21.1, ,    14.1, ,    -1.3, ,    -6.5, , -9999.9,M, -9999.9,M,     7.9, ,    23.6, ,    11.3, 
 1921,    -7.7, ,    -5.3, ,    -1.6, ,    10.9, ,    15.2, ,    24.1, ,    29.1, ,    21.0, ,    18.5, ,     8.8, ,    -3.6, ,    -7.5, ,     8.5, ,    -6.5, ,     8.2, ,    24.7, ,     7.9, 
 1922,   -11.0, ,    -5.3, ,     5.0, ,     8.9, ,    22.9, ,    26.1, ,    28.5, ,    27.0, ,    24.5, ,    10.6, ,     1.6, ,    -8.3, ,    10.9, ,    -7.9, ,    12.3, ,    27.2, ,    12.2, 
