8204700,SABLE ISLAND   ,NS, station not joined, Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
8204700,SABLE ISLAND   ,NS, station non jointe, Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1897, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.2, ,     7.5, ,     4.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1898,     0.9, ,     2.1, ,     4.3, ,     6.1, ,     9.2, ,    13.4, ,    18.7, ,    21.5, ,    18.5, ,    13.8, ,    11.0, ,     5.5, ,    10.4, ,     2.3, ,     6.5, ,    17.9, ,    14.4, 
 1899,     2.3, ,    -0.3, ,     2.3, ,     5.6, ,     9.1, ,    14.4, ,    19.7, ,    20.8, ,    17.8, ,    13.8, ,     8.6, ,     6.7, ,    10.1, ,     2.5, ,     5.7, ,    18.3, ,    13.4, 
 1900,     5.9, ,     2.8, ,     4.4, ,     6.8, ,    10.2, ,    14.6, ,    19.3, ,    19.9, ,    18.0, ,    14.4, ,    11.1, ,     4.5, ,    11.0, ,     5.1, ,     7.1, ,    17.9, ,    14.5, 
 1901,     2.8, ,     1.1, ,     3.0, ,     6.8, ,    10.9, ,    15.3, ,    19.4, ,    22.6, ,    19.9, ,    14.6, ,     8.7, ,     6.6, ,    11.0, ,     2.8, ,     6.9, ,    19.1, ,    14.4, 
 1902,     2.7, ,     2.4, ,     5.2, ,     7.9, ,    10.3, ,    13.6, ,    16.7, ,    19.8, ,    19.1, ,    14.9, ,    10.1, ,     4.6, ,    10.6, ,     3.9, ,     7.8, ,    16.7, ,    14.7, 
 1903,     2.7, ,     0.7, ,     4.0, ,     5.4, ,     9.5, ,    11.5, ,    15.9, ,    17.8, ,    17.5, ,    13.1, ,    10.0, ,     5.6, ,     9.5, ,     2.7, ,     6.3, ,    15.1, ,    13.5, 
 1904,     0.9, ,    -0.6, ,     1.3, ,     4.9, ,    10.1, ,    13.2, ,    21.0, ,    21.0, ,    18.0, ,    13.6, ,     8.5, ,     1.7, ,     9.5, ,     2.0, ,     5.4, ,    18.4, ,    13.4, 
 1905,     1.4, ,     1.0, ,     1.6, ,     5.1, ,     8.9, ,    13.2, ,    18.5, ,    18.1, ,    15.8, ,    12.1, ,     8.6, ,     5.1, ,     9.1, ,     1.4, ,     5.2, ,    16.6, ,    12.2, 
 1906,     3.4, ,     3.4, ,     2.8, ,     5.1, ,    10.0, ,    13.2, ,    18.1, ,    20.2, ,    17.6, ,    14.6, ,     9.2, ,     4.7, ,    10.2, ,     4.0, ,     6.0, ,    17.2, ,    13.8, 
 1907,     2.8, ,     1.3, ,     1.7, ,     5.1, ,     8.3, ,    12.0, ,    17.9, ,    18.9, ,    17.5, ,    12.0, ,     9.3, ,     6.7, ,     9.5, ,     2.9, ,     5.0, ,    16.3, ,    12.9, 
 1908,     4.7, ,     2.1, ,     3.2, ,     5.3, ,     9.3, ,    14.2, ,    20.1, ,    19.4, ,    17.8, ,    14.9, ,     8.6, ,     4.8, ,    10.4, ,     4.5, ,     5.9, ,    17.9, ,    13.8, 
 1909,     2.6, ,     1.9, ,     3.0, ,     5.5, ,     9.4, ,    13.6, ,    17.8, ,    20.3, ,    18.8, ,    14.7, ,     9.5, ,     4.3, ,    10.1, ,     3.1, ,     6.0, ,    17.2, ,    14.3, 
 1910,     4.0, ,     3.5, ,     4.3, ,     7.4, ,    10.5, ,    13.9, ,    18.4, ,    19.9, ,    18.6, ,    14.0, ,     9.0, ,     4.3, ,    10.7, ,     3.9, ,     7.4, ,    17.4, ,    13.9, 
 1911,     2.9, ,    -1.3, ,     1.5, ,     3.6, ,    10.0, ,    15.2, ,    19.6, ,    21.0, ,    18.0, ,    12.1, ,     8.8, ,     4.3, ,     9.6, ,     2.0, ,     5.0, ,    18.6, ,    13.0, 
 1912,     0.8, ,    -0.1, ,     2.9, ,     5.6, ,     9.8, ,    13.7, ,    16.6, ,    18.3, ,    15.2, ,    12.1, ,     9.1, ,     5.7, ,     9.1, ,     1.7, ,     6.1, ,    16.2, ,    12.1, 
 1913,     5.5, ,     0.8, ,     4.3, ,     6.4, ,     8.9, ,    13.4, ,    16.7, ,    19.8, ,    17.6, ,    17.1, ,     9.4, ,     5.4, ,    10.4, ,     4.0, ,     6.5, ,    16.6, ,    14.7, 
 1914,     2.2, ,    -0.4, ,     2.0, ,     4.5, ,     8.6, ,    12.4, ,    15.8, ,    18.7, ,    16.9, ,    12.7, ,     8.5, ,     2.9, ,     8.7, ,     2.4, ,     5.0, ,    15.6, ,    12.7, 
 1915,     2.0, ,     1.5, ,     1.0, ,     6.1, ,     8.3, ,    13.0, ,    16.9, ,    19.1, ,    17.7, ,    12.9, ,     9.3, ,     4.6, ,     9.4, ,     2.1, ,     5.1, ,    16.3, ,    13.3, 
 1916,     1.3, ,     1.3, ,     0.2, ,     4.3, ,     7.9, ,    12.9, ,    17.4, ,    19.7, ,    18.5, ,    14.7, ,     8.0, ,     5.0, ,     9.3, ,     2.4, ,     4.1, ,    16.7, ,    13.7, 
 1917,     1.2, ,     0.4, ,     1.1, ,     3.9, ,     6.7, ,    13.9, ,    16.8, ,    22.5, ,    18.5, ,    15.8, ,     9.4, ,     4.3, ,     9.5, ,     2.2, ,     3.9, ,    17.7, ,    14.6, 
 1918,     0.4, ,     0.7, ,     1.1, ,     3.8, ,     9.3, ,    13.5, ,    17.6, ,    18.7, ,    18.0, ,    13.2, ,     8.0, ,     3.0, ,     8.9, ,     1.8, ,     4.7, ,    16.6, ,    13.1, 
 1919,     2.4, ,     1.1, ,     2.5, ,     6.1, ,     9.4, ,    12.7, ,    15.6, ,    18.1, ,    17.2, ,    12.4, ,     7.9, ,     2.9, ,     9.0, ,     2.2, ,     6.0, ,    15.5, ,    12.5, 
 1920,    -0.3, ,     1.7, ,     3.1, ,     4.4, ,     7.5, ,    12.7, ,    18.3, ,    21.2, ,    17.9, ,    14.3, ,     7.9, ,     4.0, ,     9.4, ,     1.4, ,     5.0, ,    17.4, ,    13.4, 
 1921,     1.2, ,    -0.5, ,     2.8, ,     6.5, ,     7.9, ,    13.0, ,    17.7, ,    18.8, ,    19.2, , -9999.9,M,    14.1, ,     8.0, , -9999.9,M,     1.6, ,     5.7, ,    16.5, , -9999.9,M
 1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.4, ,    17.7, ,    20.7, ,    18.2, ,    12.7, ,     6.1, ,     2.3, , -9999.9,M, -9999.9,M, -9999.9,M,    17.6, ,    12.3, 
 1923,     0.7, ,    -3.4, ,    -0.1, ,     3.9, ,     8.6, ,    11.9, ,    15.7, ,    17.9, ,    16.0, ,    13.3, ,    10.0, ,     6.3, ,     8.4, ,    -0.1, ,     4.1, ,    15.2, ,    13.1, 
 1924,     3.3, ,    -1.1, ,     2.4, ,     4.2, ,     9.7, ,    13.0, ,    17.8, ,    19.7, ,    16.2, ,    11.9, ,     8.4, ,     1.6, ,     8.9, ,     2.8, ,     5.4, ,    16.8, ,    12.2, 
