"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1900" " NA" " NA" " NA" "    16.2" "    19.2" "    22.9" "    27.0" "    22.5" "    19.8" "    12.7" "     2.0" "     3.0" " NA" " NA" " NA" "    24.1" "    11.5"
"1901" "    -2.6" "    -0.7" "     8.6" "    13.4" "    19.8" "    22.2" "    28.6" "    31.8" "    18.2" " NA" " NA" " NA" " NA" "    -0.1" "    13.9" "    27.5" " NA"
"1902" "    -1.3" "     2.3" "     7.7" "    14.4" "    18.5" "    21.0" "    25.5" "    26.5" "    19.3" "    14.8" "     3.4" "    -0.5" "    12.6" " NA" "    13.5" "    24.3" "    12.5"
"1903" "    -1.3" "    -1.7" "     2.7" "    12.6" "    19.2" "    26.9" "    24.0" "    24.2" "    16.2" "    13.2" "     4.0" "     0.9" "    11.7" "    -1.2" "    11.5" "    25.0" "    11.1"
"1904" "    -0.8" "    -0.9" "     3.7" "    15.1" "    18.9" "    23.2" "    29.5" "    29.3" "    22.9" "    14.5" "     8.8" "     1.3" "    13.8" "    -0.3" "    12.6" "    27.3" "    15.4"
"1905" "     0.1" "     0.0" "    11.9" "    16.5" "    18.8" "    23.3" "    30.9" "    29.2" "    19.6" "     9.4" "     4.8" "     1.1" "    13.8" "     0.5" "    15.7" "    27.8" "    11.3"
"1906" "    -0.2" "     2.5" "     8.2" "    18.2" "    19.2" "    22.7" "    33.8" "    29.1" "    21.3" "    14.4" "     4.1" "     0.4" "    14.5" "     1.1" "    15.2" "    28.5" "    13.3"
"1907" "   -10.6" "    -0.3" "     4.5" "    13.5" "    20.7" "    22.7" "    29.0" "    22.4" "    19.1" "    15.0" "     6.6" "     2.0" "    12.1" "    -3.5" "    12.9" "    24.7" "    13.6"
"1908" "     0.4" "     0.6" "     6.8" "    15.0" "    19.4" "    25.3" "    30.4" "    28.1" "    20.3" "    12.3" "     8.4" "    -0.9" "    13.8" "     1.0" "    13.7" "    27.9" "    13.7"
"1909" "    -8.0" "     1.3" "     9.8" "    13.7" "    19.5" "    24.7" "    26.6" "    26.6" "    22.5" "    12.7" "     4.8" "    -3.6" "    12.6" "    -2.5" "    14.3" "    26.0" "    13.3"
"1910" "    -1.9" "    -1.9" "    11.6" "    16.0" "    22.6" "    23.1" "    30.1" "    24.8" "    21.0" "    12.0" "     5.2" "     1.3" "    13.7" "    -2.5" "    16.7" "    26.0" "    12.7"
"1911" "    -6.6" "    -1.6" "     8.3" "    14.3" "    18.4" "    24.1" "    28.5" "    26.2" "    19.5" "    14.7" "     0.2" "    -1.7" "    12.0" "    -2.3" "    13.7" "    26.3" "    11.5"
"1912" "    -4.6" "     1.5" "     4.4" "    14.8" "    21.3" "    26.2" "    25.1" "    24.5" "    18.9" "    11.2" "     5.8" "     1.1" "    12.5" "    -1.6" "    13.5" "    25.3" "    12.0"
"1913" "    -5.2" "    -4.0" "     3.0" "    15.3" "    19.0" "    22.4" "    25.7" "    26.4" "    20.1" "    10.9" "     5.5" "     1.3" "    11.7" "    -2.7" "    12.4" "    24.8" "    12.2"
"1914" "     2.1" "     0.2" "     9.2" "    16.5" "    20.7" "    23.4" "    29.8" "    29.2" "    18.7" "    13.3" "     5.6" "    -2.6" "    13.8" "     1.2" "    15.5" "    27.5" "    12.5"
"1915" "    -2.6" "     3.2" "    11.4" "    17.4" "    18.8" "    22.5" "    26.2" "    30.9" "    19.6" "    13.8" "     3.7" "     0.6" "    13.8" "    -0.7" "    15.9" "    26.5" "    12.4"
"1916" "   -13.1" "    -3.0" "     6.9" "    15.4" "    18.5" "    23.1" "    23.6" "    27.9" "    20.8" "    14.1" "     3.0" "    -3.2" "    11.2" "    -5.2" "    13.6" "    24.9" "    12.6"
"1917" "    -3.5" "    -2.6" "     3.9" "    13.3" "    19.0" "    21.8" "    30.7" "    29.3" "    21.5" "    14.0" "     7.7" "    -0.8" "    12.9" "    -3.1" "    12.1" "    27.3" "    14.4"
"1918" "    -1.1" "    -0.8" "     6.0" "    17.3" "    19.3" "    25.6" "    28.4" "    24.5" "    25.7" "    14.2" "     6.1" "     0.8" "    13.8" "    -0.9" "    14.2" "    26.2" "    15.3"
"1919" "     0.6" "    -0.5" "     4.9" "    16.4" "    18.8" "    23.1" "    29.7" "    29.4" "    21.3" "    10.0" "     1.9" "    -3.9" "    12.6" "     0.3" "    13.4" "    27.4" "    11.1"
"1920" "    -1.8" "     2.1" "     6.6" "    12.4" "    18.5" "    22.7" "    31.6" "    29.5" "    19.6" "    11.1" "     5.7" "     1.9" "    13.3" "    -1.2" "    12.5" "    27.9" "    12.1"
"1921" "    -0.2" "     2.8" "     8.4" "    13.2" "    20.1" "    23.4" "    26.6" "    25.0" "    16.6" "    13.7" "     3.5" "    -4.3" "    12.4" "     1.5" "    13.9" "    25.0" "    11.3"
"1922" "    -4.6" "    -5.0" "     4.2" "    12.5" "    18.2" "    25.9" "    27.4" "    25.0" "    19.9" "    12.4" "     3.5" "    -4.7" "    11.2" "    -4.6" "    11.6" "    26.1" "    11.9"
"1923" "    -0.1" "    -1.6" "     7.0" "    14.8" "    18.4" "    22.1" "    26.7" "    25.4" "    20.4" "    12.4" "     4.7" "     0.5" "    12.6" "    -2.1" "    13.4" "    24.7" "    12.5"
"1924" " NA" "     4.7" "     7.8" "    13.6" "    22.8" "    23.2" "    27.4" "    24.4" "    20.4" "    12.8" "     2.9" "    -4.9" " NA" " NA" "    14.7" "    25.0" "    12.0"
"1925" "    -1.0" "     3.3" "     8.0" "    15.6" "    21.8" "    24.0" "    29.4" "    23.9" "    19.2" "    11.2" "     4.8" "     2.4" "    13.6" "    -0.9" "    15.1" "    25.8" "    11.7"
"1926" "    -0.4" "     4.1" "    10.6" "    17.2" "    18.2" "    24.1" "    28.9" "    24.0" "    15.8" "    12.6" "     4.8" "    -0.3" "    13.3" "     2.0" "    15.3" "    25.7" "    11.1"
"1927" "    -2.5" "     0.7" "     7.0" "    13.5" "    17.1" "    23.2" "    26.5" "    25.1" "    17.2" "    11.5" "     1.8" "    -5.3" "    11.3" "    -0.7" "    12.5" "    24.9" "    10.2"
