"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1903" "   -13.1" "   -10.6" "    -3.7" "    10.0" "    16.9" "    22.7" "    23.0" "    21.2" "    14.2" "    12.7" "    -3.0" "   -10.1" "     6.7" " NA" "     7.7" "    22.3" "     8.0"
"1904" "   -14.9" "   -16.7" "    -7.5" "     5.2" "    17.5" "    20.9" "    23.4" "    21.8" "    15.7" "     9.8" "     4.2" "   -10.9" "     5.7" "   -13.9" "     5.1" "    22.0" "     9.9"
"1905" "   -16.3" "    -9.1" "    -0.8" "     9.9" "    16.1" "    19.5" "    25.3" "    25.2" "    18.3" "     5.5" "     1.4" "    -6.7" "     7.4" "   -12.1" "     8.4" "    23.3" "     8.4"
"1906" "    -9.1" "   -10.4" "    -2.9" "    14.2" "    14.8" "    23.3" "    25.2" "    24.8" "    21.6" "    10.6" "    -2.1" "   -13.9" "     8.0" "    -8.7" "     8.7" "    24.4" "    10.0"
"1907" "   -20.3" " NA" "    -3.0" "     2.9" "     8.0" "    20.5" "    24.5" "    20.6" "    14.7" "    12.0" "     0.8" " NA" " NA" " NA" "     2.6" "    21.9" "     9.2"
"1908" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1909" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1910" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1911" "   -20.8" "   -10.5" "     0.5" "    10.3" "    16.4" "    23.8" "    22.4" "    22.0" "    16.0" "    10.5" "    -6.3" "    -8.7" "     6.3" " NA" "     9.1" "    22.7" "     6.7"
"1912" "   -19.9" "    -9.5" "    -7.7" "     7.9" "    13.5" "    22.7" "    20.7" "    19.2" "    14.5" "    11.0" "     2.8" "    -5.2" "     5.8" "   -12.7" "     4.6" "    20.9" "     9.4"
"1913" "   -16.8" "   -11.3" "    -9.0" "    11.9" "    12.9" "    22.2" "    22.8" "    22.0" "    18.2" "     6.8" "     2.4" "    -2.1" "     6.7" "   -11.1" "     5.3" "    22.3" "     9.1"
"1914" "   -11.7" "   -16.4" "    -3.6" "     6.1" "    16.6" "    21.6" "    27.2" "    22.1" "    18.2" "    14.0" "    -0.3" "   -11.1" "     6.9" "   -10.1" "     6.4" "    23.6" "    10.6"
"1915" "   -12.8" "    -7.7" "    -2.4" "    14.2" "    16.3" "    18.5" "    20.7" "    24.3" "    15.0" "    11.4" "    -1.1" "    -8.6" "     7.3" "   -10.5" "     9.4" "    21.2" "     8.4"
"1916" "   -15.6" "    -8.7" "    -3.2" "    10.3" "    15.7" "    18.9" "    26.6" "    23.9" "    16.6" "     8.4" "     4.5" "    -6.7" "     7.6" "   -11.0" "     7.6" "    23.1" "     9.8"
"1917" "   -15.7" "   -11.5" "     0.6" "     7.0" "    22.3" "    23.2" "    28.1" "    24.7" "    21.3" "     5.2" "    10.3" "   -16.8" "     8.2" "   -11.3" "    10.0" "    25.3" "    12.3"
"1918" "   -16.9" "   -12.1" "     2.1" "    12.4" "    14.5" "    23.4" "    25.2" "    24.7" "    18.0" "    11.8" "     6.5" "    -4.8" "     8.7" "   -15.3" "     9.7" "    24.4" "    12.1"
"1919" "    -2.9" "    -5.7" "     2.5" "    12.4" "    25.4" "    29.3" "    30.7" "    27.1" "    22.5" " NA" "    -0.8" "    -7.3" " NA" "    -4.5" "    13.4" "    29.0" " NA"
"1920" "   -12.5" "    -5.4" "     1.7" "     3.4" "    19.3" "    22.9" "    25.8" "    26.4" "    20.0" "    15.7" "     0.6" "    -7.5" "     9.2" "    -8.4" "     8.1" "    25.0" "    12.1"
"1921" "    -8.2" "    -6.8" "    -3.9" "     6.6" "    17.0" "    24.5" "    26.6" "    23.4" "    18.5" "    12.4" "    -4.1" "    -4.9" "     8.4" "    -7.5" "     6.6" "    24.8" "     8.9"
"1922" "   -10.1" "   -13.9" "    -0.3" "    10.0" "    18.9" "    24.2" " NA" "    25.7" "    21.2" "    10.5" "     2.1" "   -12.6" " NA" "    -9.6" "     9.5" " NA" "    11.3"
"1923" "   -10.7" "   -11.3" "    -6.5" "     6.2" "    17.7" "    23.7" "    26.1" "    22.7" "    20.4" "    14.3" "     5.9" "    -3.4" "     8.8" "   -11.5" "     5.8" "    24.2" "    13.5"
"1924" "   -15.4" "    -5.5" "    -0.6" "     5.4" "    13.3" "    19.8" "    24.4" "    21.7" "    18.5" "    15.1" "    -2.3" "   -13.6" "     6.7" "    -8.1" "     6.0" "    22.0" "    10.4"
"1925" "   -12.4" "   -10.2" "    -2.4" "    10.7" "    16.7" "    19.7" "    24.5" "    23.5" "    19.3" "     4.6" "     0.1" "    -4.7" "     7.5" "   -12.1" "     8.3" "    22.6" "     8.0"
"1926" "    -6.0" "    -5.7" "    -2.1" "     8.9" "    19.9" "    19.6" "    26.2" "    23.5" "    13.5" "     8.1" "    -5.6" "   -10.7" "     7.5" "    -5.5" "     8.9" "    23.1" "     5.3"
"1927" "   -10.1" "    -9.9" "     0.8" "     6.9" "    12.4" "    21.1" "    24.1" "    22.9" "    18.4" "    12.8" "    -5.4" "   -15.2" "     6.6" "   -10.2" "     6.7" "    22.7" "     8.6"
"1928" "    -7.7" "    -3.5" "    -0.3" "     5.0" "    20.7" "    19.4" "    24.7" "    22.4" "    19.1" "    10.5" "     3.5" "    -2.3" "     9.3" "    -8.8" "     8.5" "    22.2" "    11.0"
"1929" "   -17.8" "   -11.6" "     0.8" "     7.7" "    14.0" "    21.1" "    26.8" "    26.1" "    16.6" "    14.4" "    -1.0" "   -10.6" "     7.2" "   -10.6" "     7.5" "    24.7" "    10.0"
"1930" "   -16.9" "    -6.1" "    -0.6" "    12.3" "    14.6" "    23.3" "    26.2" "    28.2" "    17.6" "     8.1" "     2.3" "    -2.9" "     8.8" "   -11.2" "     8.8" "    25.9" "     9.3"
"1931" "    -5.2" "     0.3" "    -1.6" "    11.8" "    17.0" "    23.7" "    25.0" "    24.4" "    19.6" "    14.8" "     1.6" "    -2.6" "    10.7" "    -2.6" "     9.1" "    24.4" "    12.0"
"1932" "    -9.3" "   -10.0" "    -5.0" "     8.5" "    20.2" "    24.6" "    24.5" "    25.1" "    19.3" "     7.3" "    -3.5" "    -9.1" "     7.7" "    -7.3" "     7.9" "    24.7" "     7.7"
"1933" "   -12.2" "   -11.4" "    -2.5" "     7.6" "    17.7" "    25.3" "    26.7" "    26.2" "    17.2" "     7.0" "    -4.4" "   -17.1" "     6.7" "   -10.9" "     7.6" "    26.1" "     6.6"
"1934" "    -8.8" "    -7.3" "    -4.1" "     8.7" "    19.8" "    21.9" "    26.9" "    23.5" "    14.4" "    11.9" "     1.4" "   -10.3" "     8.2" "   -11.1" "     8.1" "    24.1" "     9.2"
"1935" "   -17.8" "    -2.8" "    -4.2" "     5.9" "    16.2" "    18.5" "    27.0" "    21.5" "    17.0" "     9.0" "    -6.7" "    -9.1" "     6.2" "   -10.3" "     6.0" "    22.3" "     6.4"
"1936" "   -19.5" "   -20.5" "    -1.8" "     3.9" "    19.6" "    21.1" "    28.0" "    24.9" "    17.6" "     7.6" "     0.2" "    -8.9" "     6.0" "   -16.4" "     7.2" "    24.7" "     8.5"
"1937" "   -19.6" "   -10.7" "    -2.9" "     7.8" "    18.4" "    23.6" "    27.4" "    26.3" "    17.1" "     9.1" "    -2.8" "   -10.7" "     6.9" "   -13.1" "     7.8" "    25.8" "     7.8"
"1938" "   -13.0" "   -11.1" "     1.7" "     7.6" "    16.1" "    22.4" "    25.7" "    24.2" "    22.4" "    14.7" "    -3.4" "    -7.8" "     8.3" "   -11.6" "     8.5" "    24.1" "    11.2"
"1939" "    -9.4" "   -17.8" "    -4.3" "     9.9" "    18.5" "    19.1" "    27.3" "    25.0" "    17.5" "     6.4" "     4.7" "    -2.8" "     7.8" "   -11.7" "     8.0" "    23.8" "     9.5"
"1940" "   -11.9" "    -7.8" "    -1.1" "     8.5" "    18.7" "    20.7" "    26.1" "    25.3" "    22.4" "    13.2" "    -4.9" "    -7.6" "     8.5" "    -7.5" "     8.7" "    24.0" "    10.2"
"1941" "   -12.6" "    -9.3" "    -1.8" "     7.7" "    17.6" "    23.1" "    27.0" "    22.4" "    16.5" " NA" " NA" "    -2.9" " NA" "    -9.8" "     7.8" "    24.2" " NA"
"1942" "    -4.9" " NA" "     0.8" "     9.2" "    15.9" "    21.4" "    24.0" "    23.8" "    16.9" "    14.0" "    -2.6" "   -12.3" " NA" " NA" "     8.6" "    23.1" "     9.4"
"1943" "   -15.7" "    -7.5" "    -5.9" "    11.5" "    14.3" "    19.7" "    27.5" "    23.7" "    17.3" "    14.7" "     1.6" "    -2.9" "     8.2" "   -11.8" "     6.6" "    23.6" "    11.2"
"1944" "    -3.4" "    -9.3" "    -6.1" "    12.4" "    19.5" "    20.5" "    24.3" "    23.5" "    17.3" "    15.0" "    -0.3" "    -5.7" "     9.0" "    -5.2" "     8.6" "    22.8" "    10.7"
"1945" "   -10.5" "    -7.3" "     2.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -7.8" " NA" " NA" " NA"
"1946" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1947" " NA" "   -13.6" "    -3.1" "     5.4" "    14.6" "    20.0" "    26.8" "    24.6" "    17.2" "    15.4" "    -3.6" "    -8.9" " NA" " NA" "     5.6" "    23.8" "     9.7"
"1948" "   -10.3" "   -12.4" "    -5.3" "     2.3" "    17.4" "    22.5" "    24.0" "    24.6" "    22.5" "    14.6" "     0.3" "    -9.8" "     7.5" "   -10.5" "     4.8" "    23.7" "    12.5"
"1949" "   -12.3" "   -14.1" "    -2.2" "    13.9" "    17.0" "    21.8" "    23.8" "    27.1" "    17.4" "     9.8" "     3.7" "   -13.0" "     7.7" "   -12.1" "     9.6" "    24.2" "    10.3"
"1950" "   -24.3" "   -11.2" "    -5.4" "     3.2" "    14.7" "    19.7" "    23.1" "    21.8" "    18.5" "    10.1" "    -4.9" "   -11.1" "     4.5" "   -16.2" "     4.2" "    21.5" "     7.9"
"1951" "   -14.2" "    -9.5" "    -7.0" "     7.0" "    19.5" "    20.0" "    23.9" "    20.8" "    15.3" "     7.4" "    -3.9" "   -11.9" "     5.6" "   -11.6" "     6.5" "    21.6" "     6.3"
"1952" "   -14.4" "    -7.3" "    -4.0" "    15.9" "    17.7" "    22.1" "    24.6" "    24.0" "    18.7" "    10.7" "     2.0" "    -4.6" "     8.8" "   -11.2" "     9.9" "    23.6" "    10.5"
"1953" "   -13.0" "    -7.4" "    -3.4" "     5.8" "    15.2" "    20.5" "    23.8" "    25.0" "    16.8" "    14.5" "     4.6" "    -4.9" "     8.1" "    -8.3" "     5.9" "    23.1" "    12.0"
"1954" "   -18.8" "    -0.2" "    -3.8" "     2.7" "    12.9" "    19.9" "    25.2" "    22.0" "    15.1" "    11.4" "     3.7" "    -2.5" "     7.3" "    -8.0" "     3.9" "    22.4" "    10.1"
"1955" "   -12.5" "   -11.6" "    -8.2" "    11.8" "    17.2" "    22.1" "    26.0" "    26.0" "    17.4" "    13.3" "    -7.4" "   -14.6" "     6.6" "    -8.9" "     6.9" "    24.7" "     7.8"
"1956" "   -14.5" "   -10.9" "    -5.4" "     3.9" "    15.4" "    25.1" "    23.0" "    23.6" "    15.5" "    12.3" "     0.3" "    -9.7" "     6.6" "   -13.3" "     4.6" "    23.9" "     9.4"
