"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1913" " NA" " NA" "     2.0" "    12.7" "    17.3" "    24.0" "    27.4" "    25.2" "    20.4" "    14.9" "     7.6" "     0.8" " NA" " NA" "    10.7" "    25.5" "    14.3"
"1914" "    -6.5" "    -9.9" "     0.2" "     6.8" "    20.2" "    23.4" "    25.2" "    25.1" "    21.0" "    13.5" "     4.0" "    -2.0" "    10.1" "    -5.2" "     9.1" "    24.6" "    12.8"
"1915" "    -4.0" "    -2.9" "    -0.5" "    12.9" "    14.6" "    23.4" "    25.6" "    23.9" "    22.1" "    14.1" "     6.0" "    -1.8" "    11.1" "    -3.0" "     9.0" "    24.3" "    14.1"
"1916" "    -2.6" " NA" "    -4.1" "     9.3" "    16.4" "    21.1" "    27.5" "    25.7" "    21.1" "    13.6" "     4.1" "    -3.5" " NA" " NA" "     7.2" "    24.8" "    12.9"
"1917" "    -7.2" "    -8.1" "    -0.4" "     7.3" "    12.9" "    20.5" "    25.8" "    25.1" "    19.4" "    11.5" "     1.6" "    -8.0" "     8.4" "    -6.3" "     6.6" "    23.8" "    10.8"
"1918" "   -10.0" "    -6.6" "    -0.4" "     9.3" "    19.2" "    21.0" "    25.8" "    25.0" "    17.3" "    12.7" " NA" " NA" " NA" "    -8.2" "     9.4" "    23.9" " NA"
"1919" "    -2.1" "    -3.8" "     0.4" "     6.8" "    16.3" "    25.4" "    25.3" "    22.2" "    17.5" "     9.8" "     2.0" " NA" " NA" " NA" "     7.8" "    24.3" "     9.8"
"1920" " NA" " NA" " NA" "     9.6" "    18.3" "    23.4" "    24.9" "    27.1" "    20.6" "    15.7" "     3.1" "    -3.1" " NA" " NA" " NA" "    25.1" "    13.1"
"1921" "    -4.1" "    -4.3" "     5.1" "    12.6" "    19.9" "    24.8" "    30.4" "    24.9" "    23.0" "    11.9" "     2.2" "    -1.9" "    12.0" "    -3.8" "    12.5" "    26.7" "    12.4"
"1922" "    -6.8" "    -4.9" "     2.0" "    10.0" "    19.5" "    22.3" "    25.5" "    24.8" "    22.2" "    11.6" "     5.0" "    -2.7" "    10.7" "    -4.5" "    10.5" "    24.2" "    12.9"
"1923" "    -8.8" "    -8.2" "    -3.5" "     7.7" "    16.9" "    23.4" "    24.6" "    24.7" "    20.6" "    13.4" "     5.7" "     2.3" "     9.9" "    -6.6" "     7.0" "    24.2" "    13.2"
"1924" "    -4.6" "    -8.9" "     1.5" "     8.4" "    14.0" "    23.3" "    26.3" "    25.5" "    18.8" "    13.2" "     6.1" "    -4.9" "     9.9" "    -3.7" "     8.0" "    25.0" "    12.7"
"1925" "    -8.6" "    -1.9" "     3.6" "    11.4" "    14.8" "    23.9" "    24.9" "    26.7" "    19.3" "     8.1" "     4.5" " NA" " NA" "    -5.1" "     9.9" "    25.2" "    10.6"
