"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1899" " NA" " NA" "     1.3" "     5.9" "    10.2" "    14.6" "    18.4" "    15.5" "    12.4" "     5.8" "     4.7" "    -2.5" " NA" " NA" "     5.8" "    16.2" "     7.6"
"1900" "    -1.5" "    -4.6" "     4.1" "     8.6" "    12.7" "    16.9" "    18.1" "    15.5" "    11.9" "     6.6" "    -2.2" " NA" " NA" "    -2.9" "     8.5" "    16.8" "     5.4"
"1901" "    -6.7" "    -5.4" "     3.1" "     6.0" "    12.0" " NA" "    17.5" "    19.2" " NA" " NA" " NA" " NA" " NA" " NA" "     7.0" " NA" " NA"
"1902" " NA" " NA" " NA" " NA" "    12.6" "    14.1" "    16.8" "    16.5" "    11.0" "     7.5" "    -0.3" "    -5.1" " NA" " NA" " NA" "    15.8" "     6.1"
"1903" "    -4.3" "    -7.4" "    -4.2" "     5.8" "    12.0" "    18.0" "    16.6" "    16.7" "    10.1" "     6.1" "    -0.1" "    -1.9" "     5.6" "    -5.6" "     4.5" "    17.1" "     5.4"
"1904" "    -4.8" "    -6.7" "    -1.7" "     7.9" "    11.3" "    15.0" "    18.7" "    18.6" "    12.6" "     7.6" "     4.1" "    -2.0" "     6.7" "    -4.5" "     5.8" "    17.4" "     8.1"
"1905" "    -4.3" "    -6.0" "     4.5" "     8.0" "    11.9" "    15.8" "    19.8" "    18.7" "    12.5" "     4.0" "     0.2" "    -2.1" "     6.9" "    -4.1" "     8.1" "    18.1" "     5.6"
"1906" "    -3.2" "    -0.2" "     0.8" "     9.5" "    12.9" "    14.4" "    22.8" "    17.7" "    12.9" "     8.2" "     0.6" "    -2.6" "     7.8" "    -1.8" "     7.7" "    18.3" "     7.2"
"1907" "   -14.4" "    -4.4" "    -1.1" "     5.9" "    12.7" "    15.0" "    18.9" "    15.6" "    12.3" "     8.0" "     2.9" "    -1.3" "     5.8" "    -7.1" "     5.8" "    16.5" "     7.7"
"1908" "    -4.4" "    -4.7" "     1.3" "     7.1" "    11.8" "    16.1" "    20.0" "    17.9" "    12.0" "     6.5" "     3.5" "    -4.5" "     6.9" "    -3.5" "     6.7" "    18.0" "     7.3"
"1909" "   -12.8" "    -2.5" "     2.6" "     6.2" "    11.9" "    16.7" "    18.3" "    16.8" "    14.5" "     7.0" "     1.2" "    -5.5" "     6.2" "    -6.6" "     6.9" "    17.3" "     7.6"
"1910" "    -5.3" "    -7.4" "     5.3" "     8.4" "    13.2" "    14.7" "    19.8" "    16.0" "    12.6" "     7.1" "     1.2" "    -1.2" "     7.0" "    -6.1" "     9.0" "    16.8" "     7.0"
"1911" "   -10.4" "    -8.4" "     1.7" "     6.7" "    12.2" "    16.4" "    19.9" "    17.8" "    12.0" "     6.3" "    -3.7" "    -5.0" "     5.5" "    -6.7" "     6.9" "    18.0" "     4.9"
"1912" "    -8.6" "    -2.3" "    -1.7" "     8.4" "    14.0" "    18.5" "    18.6" "    17.0" "    11.3" "     5.4" "     1.3" "    -2.3" "     6.6" "    -5.3" "     6.9" "    18.0" "     6.0"
