"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1938" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     2.5" "   -12.5" "   -19.9" " NA" " NA" " NA" " NA" " NA"
"1939" "   -17.8" "   -20.9" "   -12.0" "    -1.0" "     7.0" "    12.2" "    13.6" "    11.8" "     6.5" "    -3.0" "   -12.5" "   -17.4" "    -2.8" "   -19.5" "    -2.0" "    12.5" "    -3.0"
"1940" "   -23.7" "   -17.4" "   -10.5" "     1.4" "     5.8" "    10.2" "    15.4" "    11.9" "     8.8" "     0.4" "   -15.8" "   -21.2" "    -2.9" "   -19.5" "    -1.1" "    12.5" "    -2.2"
"1941" "   -24.4" "   -15.1" "    -6.6" "     3.6" "     7.1" "    13.0" "    15.0" "    13.3" "     5.7" "     0.7" "   -13.4" "   -24.9" "    -2.2" "   -20.2" "     1.4" "    13.8" "    -2.3"
"1942" "   -12.9" "   -15.0" " NA" "     0.9" "     9.4" "    14.0" "    14.8" "    14.2" "     9.0" "     2.8" "   -17.4" "   -24.7" " NA" "   -17.6" " NA" "    14.3" "    -1.9"
"1943" "   -26.1" "   -15.4" "   -13.1" "     1.8" "     6.5" "    12.9" "    14.3" "    12.2" "     8.4" "     1.0" "    -8.1" "   -11.2" "    -1.4" "   -22.1" "    -1.6" "    13.1" "     0.4"
"1944" "   -17.6" "   -13.4" "    -6.8" "     1.3" "     8.6" "    14.2" "    15.9" "    12.9" "     8.2" "     2.9" "   -11.8" "   -16.6" "    -0.2" "   -14.1" "     1.0" "    14.3" "    -0.2"
"1945" "   -18.2" "   -13.9" "    -5.8" "    -4.4" "     8.5" "    12.2" "    13.7" "    13.7" "     7.0" "     1.6" "   -19.5" "   -23.9" "    -2.4" "   -16.2" "    -0.6" "    13.2" "    -3.6"
"1946" "   -21.1" "   -18.9" "    -7.9" "    -0.5" "     9.8" "    15.6" "    14.2" "    12.2" "     8.1" "     0.6" "   -15.0" "   -26.8" "    -2.5" "   -21.3" "     0.5" "    14.0" "    -2.1"
"1947" "   -24.6" "   -21.5" "    -6.5" "    -0.9" "     8.0" "    12.4" "    14.9" "    11.3" "     7.4" "     1.7" "    -7.8" "   -18.1" "    -2.0" "   -24.3" "     0.2" "    12.9" "     0.4"
"1948" "   -20.3" "   -23.3" "   -15.9" "    -6.7" "     9.2" "    14.6" "    16.1" "    12.4" "     6.9" "     2.6" "   -10.2" "   -26.4" "    -3.4" "   -20.6" "    -4.5" "    14.4" "    -0.2"
"1949" "   -21.1" "   -25.5" "    -7.3" "     2.3" "     6.7" "    11.1" "    14.8" "    13.1" "     9.1" "    -0.2" "    -6.9" "   -27.3" "    -2.6" "   -24.3" "     0.6" "    13.0" "     0.7"
"1950" "   -34.0" "   -22.7" "   -10.4" "    -2.2" "     7.2" "    16.3" "    15.0" "    12.6" "     9.5" "    -2.1" "   -21.7" "   -21.2" "    -4.5" "   -28.0" "    -1.8" "    14.6" "    -4.8"
"1951" "   -27.3" "   -21.5" "   -15.8" "    -0.2" "     7.9" "    11.6" "    16.8" "    14.0" "     9.3" "    -5.5" "   -14.9" "   -27.1" "    -4.4" "   -23.3" "    -2.7" "    14.1" "    -3.7"
"1952" "   -30.1" "   -19.8" "   -10.7" "    -0.5" "     7.2" "    11.7" "    15.4" "    13.2" "     8.0" "     3.2" "    -3.5" "   -22.4" "    -2.4" "   -25.7" "    -1.3" "    13.4" "     2.6"
"1953" "   -30.3" "   -13.5" "   -11.4" "     0.4" "     9.8" "    15.3" "    15.2" "    14.0" "     7.8" "     0.7" "   -14.3" "   -18.6" "    -2.1" "   -22.1" "    -0.4" "    14.8" "    -1.9"
"1954" "   -31.3" "   -17.0" "    -8.8" "    -7.8" "     8.4" "    14.4" "    14.2" "    15.1" "     8.1" "     1.2" "    -8.5" "   -20.3" "    -2.7" "   -22.3" "    -2.7" "    14.6" "     0.3"
"1955" "   -21.1" "   -18.4" "   -13.6" "    -0.9" "     5.6" "    12.3" "    15.7" "    11.8" "     7.5" "    -0.4" "   -23.4" "   -31.2" "    -4.7" "   -19.9" "    -3.0" "    13.3" "    -5.4"
"1956" "   -28.6" "   -20.9" "   -11.9" "    -0.5" "     7.6" "    11.9" "    15.4" "    13.8" "     6.8" "    -4.0" "    -6.6" "   -25.1" "    -3.5" "   -26.9" "    -1.6" "    13.7" "    -1.3"
"1957" "   -27.4" "   -19.2" "   -10.2" "     0.4" "     7.4" "    13.6" "    14.8" "    15.7" "    11.3" "    -0.1" "    -8.6" "   -24.6" "    -2.2" "   -23.9" "    -0.8" "    14.7" "     0.9"
"1958" "   -21.2" "   -22.1" "    -9.8" "     2.2" "     9.0" "    15.6" "    17.3" "    12.5" "     6.6" "    -0.3" "   -12.8" "   -22.2" "    -2.1" "   -22.6" "     0.5" "    15.1" "    -2.2"
"1959" "   -31.1" "   -19.6" "    -7.4" "    -0.3" "     6.0" "    13.4" "    15.0" "    10.6" "     7.1" "    -3.0" "   -13.5" "   -16.1" "    -3.2" "   -24.3" "    -0.6" "    13.0" "    -3.1"
"1960" "   -21.6" "   -15.0" "   -12.8" "     2.3" "     7.9" "    12.1" "    14.4" "    13.2" "     7.7" "     0.6" "   -13.7" "   -16.0" "    -1.7" "   -17.6" "    -0.9" "    13.2" "    -1.8"
"1961" "   -22.1" "   -18.3" "    -9.7" "     0.0" "     6.3" "    13.2" "    16.7" "    13.9" "     7.3" "    -1.4" "   -15.7" "   -25.7" "    -3.0" "   -18.8" "    -1.1" "    14.6" "    -3.3"
"1962" "   -21.8" "   -19.7" "   -13.0" "     0.1" "     5.4" "    11.6" "    15.3" "    13.7" "     7.1" "     2.1" "   -10.8" "   -19.4" "    -2.5" "   -22.4" "    -2.5" "    13.5" "    -0.5"
"1963" "   -19.6" "   -14.8" "   -11.0" "    -1.1" "     7.2" "    11.0" "    14.7" "    16.1" "     9.2" "     2.5" "   -19.5" "   -18.1" "    -2.0" "   -17.9" "    -1.6" "    13.9" "    -2.6"
"1964" "   -24.1" "    -7.5" "   -14.8" "    -0.6" "     5.6" "    14.0" "    14.5" "    12.6" "     6.5" "     0.8" "   -14.2" "   -26.2" "    -2.8" "   -16.6" "    -3.3" "    13.7" "    -2.3"
"1965" "   -23.6" "   -22.6" "   -11.0" "    -1.1" "     5.3" "    10.6" "    15.9" "    13.8" "     7.8" "     1.2" "   -15.8" "   -21.5" "    -3.4" "   -24.1" "    -2.3" "    13.4" "    -2.3"
"1966" "   -37.2" "   -18.5" "    -9.4" "    -1.3" "     6.1" "    12.8" "    15.7" "    11.5" "     7.9" "    -1.4" "   -19.7" "   -21.3" "    -4.6" "   -25.7" "    -1.5" "    13.3" "    -4.4"
"1967" "   -26.7" "   -18.3" "   -16.1" "    -1.4" "     6.3" "    14.2" "    13.2" "    13.5" "     8.6" "     0.1" "   -12.8" "   -22.8" "    -3.5" "   -22.1" "    -3.7" "    13.6" "    -1.4"
"1968" "   -27.8" "   -18.1" "    -7.0" "    -2.4" "     7.0" "    11.9" "    14.6" "    12.3" "     7.2" "    -1.7" "   -15.2" "   -31.2" "    -4.2" "   -22.9" "    -0.8" "    12.9" "    -3.2"
"1969" "   -37.6" "   -22.7" "   -11.0" "    -0.4" "     7.4" "    14.8" "    13.0" "    10.2" "     6.1" "    -0.9" "   -12.7" "   -18.7" "    -4.4" "   -30.5" "    -1.3" "    12.7" "    -2.5"
"1970" "   -25.0" "   -13.9" "    -7.3" "    -0.2" "     7.1" "    12.6" "    13.3" "    11.8" "     6.6" "    -0.8" "   -16.1" "   -23.4" "    -2.9" "   -19.2" "    -0.1" "    12.6" "    -3.4"
"1971" "   -31.8" "   -15.3" "   -12.4" "    -0.9" "     6.0" "    13.4" "    16.7" "    14.2" "     6.8" "    -2.2" "   -15.7" "   -28.7" "    -4.2" "   -23.5" "    -2.4" "    14.8" "    -3.7"
"1972" "   -31.4" "   -25.3" "   -12.3" "    -5.3" "     6.7" "    12.5" "    14.3" "    13.5" "     5.0" "    -1.5" "   -11.3" "   -24.7" "    -5.0" "   -28.5" "    -3.6" "    13.4" "    -2.6"
"1973" "   -24.6" "   -20.2" "    -8.3" "     0.5" "     7.4" "    11.6" "    14.2" "    11.4" "     7.4" "    -0.6" "   -22.9" "   -22.3" "    -3.9" "   -23.2" "    -0.1" "    12.4" "    -5.4"
"1974" "   -30.5" "   -18.6" "   -15.6" "    -1.4" "     5.1" "    11.0" "    12.9" "    12.8" "     7.4" "     1.8" "    -8.9" "   -15.6" "    -3.3" "   -23.8" "    -4.0" "    12.2" "     0.1"
"1975" "   -22.4" "   -21.0" "   -12.0" "     0.2" "     7.4" "    11.8" "    15.3" "    12.1" "     9.2" "     0.2" "   -19.8" "   -26.2" "    -3.8" "   -19.7" "    -1.5" "    13.1" "    -3.5"
"1976" "   -20.2" "   -21.5" "   -11.1" "     0.9" "     6.8" "    11.2" "    13.2" "    13.2" "     8.7" "     1.4" "    -8.9" "   -20.9" "    -2.3" "   -22.6" "    -1.1" "    12.5" "     0.4"
"1977" "   -16.4" "    -9.0" "    -9.1" "     2.4" "     7.9" "    12.5" "    14.1" "    15.5" "     7.4" "     1.0" "   -16.7" "   -30.4" "    -1.7" "   -15.4" "     0.4" "    14.0" "    -2.8"
"1978" "   -22.5" "   -17.0" "   -11.0" "     0.6" "     7.1" "    13.3" "    14.9" "    13.1" "     8.0" "     3.7" "   -13.8" "   -22.5" "    -2.2" "   -23.3" "    -1.1" "    13.8" "    -0.7"
"1979" "   -29.4" "   -28.0" "    -7.7" "    -1.1" "     5.8" "    11.6" "    16.2" "    15.0" "     9.0" " NA" "    -8.3" "   -20.6" " NA" "   -26.6" "    -1.0" "    14.3" " NA"
"1980" "   -26.9" "   -15.6" "   -11.3" "     1.7" "     8.4" "    14.7" "    14.7" "    11.3" "     5.9" "     2.4" "    -7.5" "   -31.2" "    -2.8" "   -21.0" "    -0.4" "    13.6" "     0.3"
"1981" "   -14.3" "   -15.2" "    -5.5" "    -3.6" "     9.2" "    10.7" "    15.6" "    13.7" "     7.2" "     0.0" "    -9.9" "   -25.3" "    -1.5" "   -20.2" "     0.0" "    13.3" "    -0.9"
