"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1907" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1908" "   -13.2" "   -10.1" "   -10.5" "     2.1" "     9.6" "    10.6" "    13.8" "    12.4" "     7.4" "     2.0" "    -7.6" "   -14.3" "     0.2" " NA" "     0.4" "    12.3" "     0.6"
"1909" "   -26.9" "   -19.0" "    -5.3" "    -3.5" "     7.7" "    11.8" "    13.8" "    11.3" "     8.8" "     1.9" "   -12.4" "   -16.9" "    -2.4" "   -20.1" "    -0.4" "    12.3" "    -0.6"
"1910" "   -14.8" "   -16.5" "    -2.6" "     3.6" "     7.6" "    10.5" "    13.7" "    10.9" "     7.7" "     2.0" "   -10.1" "   -14.9" "    -0.2" "   -16.1" "     2.9" "    11.7" "    -0.1"
"1911" "   -28.2" "   -16.1" "    -5.7" "    -0.8" "    11.0" "    11.3" "    13.0" "    10.0" "     6.8" "     2.8" "   -10.4" "   -13.9" "    -1.7" "   -19.7" "     1.5" "    11.4" "    -0.3"
"1912" "   -20.2" "   -10.9" "    -9.1" "     2.4" "     9.4" "    12.9" "    12.1" "    12.4" "     7.0" "     1.7" "    -5.3" "   -11.9" "     0.0" "   -15.0" "     0.9" "    12.5" "     1.1"
"1913" "   -24.2" "   -15.5" "    -8.7" "     3.5" "     7.0" "    11.6" "    13.1" "    12.7" "     8.3" "     0.1" "    -4.7" "    -9.8" "    -0.6" "   -17.2" "     0.6" "    12.5" "     1.2"
"1914" "   -19.4" "   -17.3" " NA" "     2.2" "     8.0" "    12.5" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -15.5" " NA" " NA" " NA"
"1915" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1916" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1917" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1918" "   -18.8" "   -14.8" "    -7.2" "     5.2" "     9.0" "    11.6" "    13.1" "    13.5" "    10.7" "     0.6" "    -6.0" "   -11.2" "     0.5" " NA" "     2.3" "    12.7" "     1.8"
"1919" "   -10.1" "   -15.6" "   -12.7" "     4.8" "     7.3" "    11.2" "    14.6" "    13.8" "     9.4" "    -2.5" "   -11.3" "   -14.2" "    -0.4" "   -12.3" "    -0.2" "    13.2" "    -1.5"
"1920" "   -20.1" "    -9.1" "    -8.6" "    -2.1" "     7.0" "    11.0" "    16.2" "    14.0" "     7.1" "     1.7" "    -5.3" "   -14.4" "    -0.2" "   -14.5" "    -1.2" "    13.7" "     1.2"
"1921" "   -18.0" "   -11.0" "   -10.1" "     6.7" "     9.6" "    12.3" "    13.2" "    12.8" "     9.1" "     6.3" "    -9.3" "   -11.8" "     0.8" "   -14.5" "     2.1" "    12.8" "     2.0"
"1922" "   -12.3" "   -20.5" "   -11.4" "     0.0" "    11.0" "    10.2" "    12.7" "    10.5" "     4.8" "     2.1" "    -5.2" "   -15.4" "    -1.1" "   -14.9" "    -0.1" "    11.1" "     0.6"
"1923" "   -15.3" "   -11.8" "    -3.8" "     3.9" "    11.7" "    14.1" "    15.8" "    12.1" "    10.7" "     5.5" "    -5.7" "   -14.8" "     1.9" "   -14.2" "     3.9" "    14.0" "     3.5"
"1924" "   -21.5" "    -9.6" "    -0.4" "     0.7" "    10.5" "    12.8" "    16.7" "    13.9" "     5.1" "     1.4" "    -5.0" "   -11.8" "     1.1" "   -15.3" "     3.6" "    14.5" "     0.5"
"1925" "   -25.1" "   -20.1" "    -8.3" "     3.8" "    11.9" "    16.3" "    18.5" "    15.3" "     8.5" "    -1.1" "    -7.0" "    -2.3" "     0.9" "   -19.0" "     2.5" "    16.7" "     0.1"
"1926" "    -5.5" "    -4.8" "    -2.3" "     2.0" "    11.4" "    14.7" "    14.1" "    14.0" "     6.9" "     3.6" "    -7.0" "   -14.0" "     2.8" "    -4.2" "     3.7" "    14.3" "     1.2"
"1927" "   -18.3" "   -15.1" "    -2.6" "     2.0" "     8.1" "    13.9" "    15.7" "    15.7" "     9.3" "     2.6" "   -15.0" "   -22.7" "    -0.5" "   -15.8" "     2.5" "    15.1" "    -1.0"
"1928" "   -12.2" "    -5.5" "    -4.8" " NA" "    11.2" "    14.2" "    16.3" "    13.2" "     9.0" "     3.1" "    -3.3" "    -8.3" " NA" "   -13.5" " NA" "    14.6" "     2.9"
"1929" "   -20.4" "   -15.2" "    -4.9" " NA" "     9.3" "    14.0" "    15.8" "    14.9" "    10.6" "     6.3" "    -0.6" "   -16.5" " NA" "   -14.6" " NA" "    14.9" "     5.4"
"1930" "   -21.6" "   -14.0" "    -6.2" "     4.8" "     8.4" "    13.1" "    16.1" "    16.0" "    10.9" "     1.7" "    -3.7" "    -5.5" "     1.7" "   -17.4" "     2.3" "    15.1" "     3.0"
"1931" "   -11.6" "    -5.4" "    -8.0" "     4.1" "     9.1" "    12.6" "    14.4" "    13.5" "     8.9" "     3.6" "    -8.5" "   -11.6" "     1.8" "    -7.5" "     1.7" "    13.5" "     1.3"
"1932" "   -16.6" "   -16.2" "   -12.9" "     2.8" "    10.1" "    13.1" "    14.6" "    15.9" "    10.0" "    -0.7" "   -10.2" "   -17.0" "    -0.6" "   -14.8" "     0.0" "    14.5" "    -0.3"
"1933" "   -19.9" "   -18.4" "   -10.6" "     1.6" "     9.9" "    11.6" "    13.5" "    15.0" "     8.1" "     0.2" "    -5.9" "   -28.4" "    -1.9" "   -18.4" "     0.3" "    13.4" "     0.8"
"1934" "   -16.0" "    -9.0" "    -6.0" "     5.2" "    10.4" "    12.5" "    13.8" "    13.4" "     6.6" "     3.1" "    -6.7" "   -17.6" "     0.8" "   -17.8" "     3.2" "    13.2" "     1.0"
"1935" "   -24.7" "    -9.4" "   -12.1" "    -2.9" "    10.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -17.2" "    -1.6" " NA" " NA"
"1936" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1937" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1938" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1939" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1940" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1941" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1942" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1943" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1944" "   -10.1" "   -12.3" "    -6.2" "     8.1" "    12.3" "    15.4" "    17.8" "    16.1" "    11.5" "     6.1" "    -5.4" "   -11.5" "     3.5" " NA" "     4.7" "    16.4" "     4.1"
"1945" "   -15.0" "   -12.8" "    -3.3" "    -0.8" "     9.7" "    14.5" "    17.3" " NA" " NA" " NA" " NA" " NA" " NA" "   -13.1" "     1.9" " NA" " NA"
"1946" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1947" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1948" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1949" " NA" "   -23.1" "    -7.4" "     5.3" "     9.0" "    12.7" "    14.3" "    14.8" "    11.1" "     1.4" "     1.3" "   -20.0" " NA" " NA" "     2.3" "    13.9" "     4.6"
"1950" " NA" " NA" "    -9.5" "     0.1" " NA" " NA" " NA" "    11.0" " NA" " NA" "   -16.7" " NA" " NA" " NA" " NA" " NA" " NA"
"1951" "   -22.9" "   -16.5" "   -12.4" " NA" "     8.7" "    11.2" " NA" "    13.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1952" " NA" " NA" " NA" " NA" " NA" " NA" "    15.7" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1953" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1954" "   -27.8" "    -8.5" "    -8.5" "    -6.7" "     9.0" "    13.0" "    15.1" "    14.5" "     8.5" " NA" "    -3.1" "    -9.7" " NA" " NA" "    -2.1" "    14.2" " NA"
"1955" " NA" " NA" "   -14.2" "     2.2" "     9.4" "    15.1" "    16.1" "    14.7" " NA" "     2.3" "   -19.2" "   -21.1" " NA" " NA" "    -0.9" "    15.3" " NA"
"1956" "   -23.1" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1957" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1958" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     8.2" "     4.5" "    -8.1" "   -14.4" " NA" " NA" " NA" " NA" "     1.5"
"1959" "   -25.8" "   -13.4" "    -2.6" "     2.5" "     7.6" "    12.5" "    16.8" "    11.9" "     8.6" "     1.3" "    -8.1" "    -5.4" "     0.5" "   -17.9" "     2.5" "    13.7" "     0.6"
"1960" "   -17.2" "   -12.3" "   -10.1" "     4.9" "     8.5" "    12.5" "    17.0" "    14.4" "    10.0" "     4.0" "    -7.9" "    -9.9" "     1.2" "   -11.6" "     1.1" "    14.6" "     2.0"
"1961" "   -13.7" "   -12.4" "    -6.0" "     2.0" "    10.2" "    17.0" "    16.6" "    17.1" "     7.7" "     2.2" "    -7.9" "   -21.6" "     0.9" "   -12.0" "     2.1" "    16.9" "     0.7"
"1962" "   -14.8" "   -17.4" "   -11.4" "     4.0" "     8.9" "    14.0" "    15.8" "    14.5" "     9.8" "     4.6" "    -4.3" "   -12.8" "     0.9" "   -17.9" "     0.5" "    14.8" "     3.4"
"1963" "   -16.5" "   -11.7" "    -6.9" "     1.9" "     8.5" "    14.0" "    16.9" "    15.2" "    12.1" "     5.9" "   -10.8" "   -13.2" "     1.3" "   -13.7" "     1.2" "    15.4" "     2.4"
"1964" "   -14.6" "    -4.1" "   -14.0" "     1.7" "     9.8" "    14.0" "    15.4" "    13.5" "     7.5" "     5.4" "    -7.4" "   -22.7" "     0.4" "   -10.6" "    -0.8" "    14.3" "     1.8"
"1965" "   -19.0" "   -20.4" "    -9.6" "     1.7" "     9.2" "    13.8" "    17.0" "    16.5" "     5.8" "     5.7" "   -11.3" "   -13.6" "    -0.4" "   -20.7" "     0.4" "    15.8" "     0.1"
"1966" "   -27.7" "   -13.0" "    -6.2" "    -1.2" "    10.9" "    11.8" "    14.6" "    13.6" "    10.8" "     2.3" "   -15.8" "   -14.0" "    -1.2" "   -18.1" "     1.2" "    13.3" "    -0.9"
"1967" "   -19.4" "   -14.2" "   -13.7" "    -1.2" "     9.1" "    13.1" "    16.2" "    17.2" "    12.9" "     3.9" "    -4.6" "   -14.4" "     0.4" "   -15.9" "    -1.9" "    15.5" "     4.1"
"1968" "   -20.7" "   -12.1" "    -3.5" "     2.8" "     9.2" "    12.6" "    14.9" "    12.6" "     8.4" "     3.2" "    -6.0" "   -20.9" "     0.0" "   -15.7" "     2.8" "    13.4" "     1.9"
"1969" "   -32.8" "   -16.2" "    -7.2" "     4.8" "     9.4" "    13.9" "    14.8" "    13.9" "     8.0" "     1.4" "    -6.6" "    -9.2" "    -0.5" "   -23.3" "     2.3" "    14.2" "     0.9"
"1970" "   -20.9" "    -7.6" "    -6.4" "     3.6" "     9.2" "    15.1" "    15.9" "    15.4" "     9.1" "     3.2" "   -11.3" "   -19.3" "     0.5" "   -12.6" "     2.1" "    15.5" "     0.3"
"1971" "   -23.6" "   -12.1" "    -8.6" "     4.5" "    11.4" "    14.7" "    16.3" "    15.9" "     8.3" "     2.7" "    -8.4" "   -19.5" "     0.1" "   -18.3" "     2.4" "    15.6" "     0.9"
"1972" "   -23.2" "   -20.5" "    -7.2" "    -0.4" "    11.5" "    14.7" "    14.2" "    15.4" "     5.7" "     1.6" "    -6.4" "   -18.9" "    -1.1" "   -21.1" "     1.3" "    14.8" "     0.3"
"1973" "   -15.0" "   -12.9" "    -5.1" "     2.7" "    11.4" "    13.3" "    15.1" "    12.9" "     9.7" "     3.0" "   -15.5" "   -16.0" "     0.3" "   -15.6" "     3.0" "    13.8" "    -0.9"
"1974" "   -22.1" "   -12.3" "   -11.7" "     2.9" "     8.2" "    13.9" "    13.9" "    12.9" "     8.0" "     5.4" "    -3.9" "    -8.4" "     0.6" "   -16.8" "    -0.2" "    13.6" "     3.2"
"1975" "   -16.5" "   -15.6" "    -9.0" "     1.4" "     9.2" "    13.5" "    17.1" "    12.5" "    10.9" "     3.2" "    -7.1" "   -14.6" "     0.4" "   -13.5" "     0.5" "    14.4" "     2.3"
"1976" "   -13.0" "   -13.0" "    -7.6" "     5.9" "    10.5" "    12.1" "    15.1" "    15.5" "    11.8" "     3.1" "    -2.4" "   -12.0" "     2.2" "   -13.5" "     2.9" "    14.2" "     4.2"
"1977" "   -12.7" "    -2.2" "    -5.0" "     6.0" "    10.9" "    14.1" "    14.3" "    12.8" "     9.7" "     3.3" "    -9.0" "   -19.9" "     1.9" "    -9.0" "     4.0" "    13.7" "     1.3"
"1978" "   -19.2" "   -11.5" "    -4.4" "     4.0" "     9.6" "    15.1" "    16.3" "    13.5" "     9.3" "     6.0" "    -8.3" "   -13.6" "     1.4" "   -16.9" "     3.1" "    15.0" "     2.3"
"1979" "   -18.8" "   -26.3" "    -7.8" "    -2.2" "     8.1" "    14.1" "    17.4" "    15.4" "    11.8" " NA" " NA" "   -10.2" " NA" "   -19.6" "    -0.6" "    15.6" " NA"
"1980" "   -18.5" "    -9.0" "    -6.3" "     7.9" "    10.8" "    15.6" "    15.7" "    13.5" "     8.4" "     6.6" "    -0.7" "   -19.1" "     2.1" "   -12.6" "     4.1" "    14.9" "     4.8"
"1981" "    -7.7" "    -9.9" "    -2.6" "     2.1" "    12.6" "    13.3" "    17.5" "    18.5" "    11.4" "     2.7" "    -3.0" "   -16.1" "     3.2" "   -12.2" "     4.0" "    16.4" "     3.7"
"1982" "   -28.4" "   -17.7" "   -10.4" "     0.0" "     9.1" "    16.1" "    17.7" "    11.7" "    10.8" "     4.4" "    -9.9" "   -13.3" "    -0.8" "   -20.7" "    -0.4" "    15.2" "     1.8"
"1983" "   -15.0" "   -10.9" "    -7.7" "     4.2" "     9.3" "    14.1" "    15.6" "    15.2" "     7.9" "     4.2" "    -5.5" "   -21.3" "     0.8" "   -13.1" "     1.9" "    15.0" "     2.2"
"1984" "   -10.1" "    -4.3" "    -2.5" "     5.8" "     8.6" "    13.7" "    16.1" "    15.4" "     6.7" "     0.0" "   -12.8" "   -19.8" "     1.4" "   -11.9" "     4.0" "    15.1" "    -2.0"
"1985" "    -9.9" "   -17.6" "    -2.7" "     3.6" "    11.4" "    13.4" "    16.8" "    14.2" "     7.7" "     1.6" "   -16.5" "    -8.1" "     1.2" "   -15.8" "     4.1" "    14.8" "    -2.4"
