"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1910" " NA" " NA" " NA" " NA" " NA" "    16.4" "    17.7" "    13.5" "     7.9" "     3.9" "    -9.9" "   -16.6" " NA" " NA" " NA" "    15.9" "     0.6"
"1911" "   -28.7" "   -17.5" "   -10.1" "     0.3" "     8.5" "    15.0" "    14.2" "    13.7" "     7.2" "     3.2" "   -12.0" "   -15.3" "    -1.8" "   -20.9" "    -0.4" "    14.3" "    -0.5"
"1912" "   -27.2" "   -18.4" "   -15.9" "    -0.5" "     8.0" "    16.1" "    14.0" "    14.0" "     8.7" "     3.2" "    -5.5" "   -15.1" "    -1.6" "   -20.3" "    -2.8" "    14.7" "     2.1"
"1913" "   -26.6" "   -20.0" "   -15.8" "     3.7" "     7.2" "    15.2" "    16.7" "    15.8" "    10.6" "    -0.6" "    -5.6" "   -10.8" "    -0.9" "   -20.6" "    -1.6" "    15.9" "     1.5"
"1914" "   -18.5" "   -25.0" "    -9.7" "    -2.1" "     9.5" "    14.7" "    20.6" "    14.8" "    10.6" "     4.5" "    -7.0" "   -18.1" "    -0.5" "   -18.1" "    -0.8" "    16.7" "     2.7"
"1915" "   -17.8" "   -12.3" "    -6.8" "     6.2" "     9.4" "    11.3" "    16.1" "    17.3" "     7.4" "     2.9" "    -7.7" "   -14.4" "     1.0" "   -16.1" "     2.9" "    14.9" "     0.9"
"1916" "   -25.6" "   -18.3" "   -13.1" "     0.2" "     6.2" "    12.8" "    20.3" "    16.2" "     9.5" "     0.0" "    -5.6" "   -20.2" "    -1.5" "   -19.4" "    -2.2" "    16.4" "     1.3"
"1917" "   -25.1" "   -23.2" "    -8.6" "    -2.7" "     7.4" "    12.9" "    18.2" "    14.8" "    12.0" "    -0.8" "    -1.4" "   -25.4" "    -1.8" "   -22.8" "    -1.3" "    15.3" "     3.3"
"1918" "   -22.3" "   -21.1" "    -7.7" "     3.0" "     4.2" "    13.2" "    15.9" "    16.3" "     8.8" "     3.8" "    -3.8" "   -12.6" "    -0.2" "   -22.9" "    -0.2" "    15.1" "     2.9"
"1919" "   -14.9" "   -19.0" "   -13.2" "     2.8" "    12.8" "    17.9" "    17.6" "    17.3" "    10.4" "    -2.9" "   -12.2" "   -17.4" "    -0.1" "   -15.5" "     0.8" "    17.6" "    -1.6"
"1920" "   -21.8" "   -14.3" " NA" " NA" " NA" " NA" "    18.2" " NA" " NA" " NA" " NA" " NA" " NA" "   -17.8" " NA" " NA" " NA"
"1921" " NA" "   -14.8" "   -13.7" "    -1.5" "     9.7" "    20.0" "    20.2" "    16.5" "     9.8" "     4.5" "   -12.0" "   -13.3" " NA" " NA" "    -1.8" "    18.9" "     0.8"
"1922" "   -19.5" "   -22.3" "    -9.6" "     1.6" "    10.9" "    14.6" "    16.9" "    17.3" "    12.6" "     1.9" "    -4.7" "   -18.7" "     0.1" "   -18.4" "     1.0" "    16.3" "     3.3"
"1923" "   -19.9" "   -18.3" "   -17.1" "    -1.3" "     8.2" "    15.0" "    18.4" "    12.7" "    10.1" "     5.1" "    -2.9" "   -12.9" "    -0.2" "   -19.0" "    -3.4" "    15.4" "     4.1"
"1924" "   -22.0" "   -12.7" "    -9.3" "    -2.5" "     4.6" "    10.7" "    16.5" "    12.7" "    10.3" "     6.4" "    -9.7" "   -22.2" "    -1.4" "   -15.9" "    -2.4" "    13.3" "     2.3"
