"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1880" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1881" "   -19.7" "   -12.6" "    -2.9" "    -0.5" "     9.5" "    12.1" " NA" " NA" " NA" "     1.0" "    -5.2" "   -11.0" " NA" " NA" "     2.0" " NA" " NA"
"1882" "   -17.5" " NA" "    -8.7" "    -2.1" "     5.2" " NA" "    16.8" "    16.7" " NA" "     6.1" "    -4.4" "   -12.6" " NA" " NA" "    -1.9" " NA" " NA"
"1883" " NA" "   -17.3" " NA" "    -1.4" " NA" " NA" "    16.0" "    15.7" "    10.7" "     2.7" "    -2.1" "   -15.2" " NA" " NA" " NA" " NA" "     3.8"
"1884" "   -21.5" "   -16.0" "   -10.6" "     2.6" "     7.5" " NA" "    16.4" "    17.9" " NA" " NA" " NA" "   -13.3" " NA" "   -17.6" "    -0.2" " NA" " NA"
"1885" "   -17.7" "   -15.8" "   -15.4" "    -0.8" "     8.4" "    11.7" "    18.0" "    14.3" "     9.2" "     4.1" "    -4.0" "   -13.6" "    -0.1" "   -15.6" "    -2.6" "    14.7" "     3.1"
"1886" "   -14.3" "   -17.4" "   -10.9" "     2.0" "     8.2" "    14.1" "    16.1" "    15.4" "     9.4" "     3.6" "    -3.4" "   -17.4" "     0.5" "   -15.1" "    -0.2" "    15.2" "     3.2"
"1887" "   -17.2" "   -17.7" "   -11.3" "    -1.3" "     9.7" "    16.4" "    18.4" "    14.6" "    10.0" "     2.5" "    -5.4" "   -13.4" "     0.4" "   -17.4" "    -1.0" "    16.5" "     2.4"
"1888" "   -20.0" " NA" "    -8.4" "    -2.6" "     7.3" "    14.2" "    16.7" "    13.5" "    10.1" "     1.2" "    -5.0" "   -11.7" " NA" " NA" "    -1.2" "    14.8" "     2.1"
"1889" "   -12.4" "   -15.7" "    -5.1" "     1.1" "     9.7" "    13.1" "    16.6" "    14.3" "    13.0" "     1.1" "    -2.4" "   -12.9" "     1.7" "   -13.3" "     1.9" "    14.7" "     3.9"
"1890" "   -16.4" " NA" "    -8.3" "    -2.4" "     5.0" "    12.1" "    16.8" "    15.1" "     9.9" "     4.3" "    -3.4" "   -19.0" " NA" " NA" "    -1.9" "    14.7" "     3.6"
"1891" "   -18.4" "   -16.0" "    -7.9" "     0.9" "     6.9" "    14.1" "    16.5" "    15.1" "    12.4" "     3.4" "    -2.1" "    -6.6" "     1.5" "   -17.8" "     0.0" "    15.2" "     4.6"
"1892" "   -15.7" "   -13.0" "    -8.8" "    -0.1" "     7.7" "    14.4" "    17.0" "    15.7" "    11.8" "     3.3" "    -3.4" "   -12.4" "     1.4" "   -11.8" "    -0.4" "    15.7" "     3.9"
"1893" "   -17.8" "   -18.6" "   -10.6" "    -3.2" " NA" " NA" "    16.3" "    17.1" "     9.2" "     6.3" " NA" " NA" " NA" "   -16.3" " NA" " NA" " NA"
"1894" "   -18.2" "   -18.0" "    -6.6" "     0.3" "    10.3" "    15.3" "    17.3" "    13.1" "    11.0" "     5.6" "    -6.0" "   -12.8" "     0.9" " NA" "     1.3" "    15.2" "     3.5"
"1895" "   -15.3" "   -14.9" "   -10.5" "     1.3" "     9.7" "    17.0" "    16.6" "    14.7" "    11.9" "     2.3" "    -2.4" "   -11.2" "     1.6" "   -14.3" "     0.2" "    16.1" "     3.9"
"1896" "   -16.7" "   -15.6" "   -11.1" "     2.0" "    10.0" "    14.8" "    17.3" "    15.3" "     9.3" " NA" "    -5.4" "   -14.5" " NA" "   -14.5" "     0.3" "    15.8" " NA"
"1897" " NA" "   -14.4" "   -10.3" "     1.4" "     8.0" "    12.5" "    18.6" "    14.6" "     9.5" "     5.0" "    -5.7" "   -12.6" " NA" " NA" "    -0.3" "    15.2" "     2.9"
"1898" "   -16.8" "   -12.0" "    -3.7" "     1.2" "     9.8" "    14.1" "    17.0" "    14.8" "    10.7" "     4.9" "    -3.0" "   -13.0" "     2.0" "   -13.8" "     2.4" "    15.3" "     4.2"
"1899" "   -16.9" "   -15.6" "    -9.1" "     1.7" "     9.3" "    13.4" "    16.6" "    15.8" "     9.8" "     4.6" "    -3.6" "    -9.3" "     1.4" "   -15.2" "     0.6" "    15.3" "     3.6"
"1900" "   -15.3" "   -13.7" "   -13.1" "     1.2" "     6.1" "    13.9" "    15.6" "    15.5" "    10.8" "     6.9" "    -4.5" "   -14.1" "     0.8" "   -12.8" "    -1.9" "    15.0" "     4.4"
"1901" "   -17.4" "   -16.0" "   -10.9" "     3.7" "    10.2" "    15.6" "    17.4" "    16.4" "    11.8" "     3.9" "    -4.2" "   -12.4" "     1.5" "   -15.8" "     1.0" "    16.5" "     3.8"
