"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1914" " NA" " NA" " NA" "     1.8" "     9.8" "    13.3" "    16.2" " NA" " NA" " NA" " NA" "    -3.0" " NA" " NA" " NA" " NA" " NA"
"1915" "    -3.6" "    -3.7" "    -2.2" "     6.2" "     9.9" "    14.7" "    17.9" " NA" " NA" " NA" "     4.5" "    -1.5" " NA" "    -3.4" "     4.6" " NA" " NA"
"1916" "    -5.8" "    -7.2" "    -5.6" "     4.8" "    10.6" "    15.1" "    17.4" "    17.5" "    13.5" "     8.9" "     2.0" "    -2.0" "     5.8" "    -4.8" "     3.3" "    16.7" "     8.1"
"1917" "    -6.3" "    -7.7" "    -1.9" " NA" "     7.0" "    15.2" " NA" "    18.9" "    11.6" "     9.5" "     0.1" "    -6.0" " NA" "    -5.3" " NA" " NA" "     7.1"
"1918" "    -8.3" "    -8.3" "    -4.3" "     4.4" "    12.0" "    14.2" "    18.5" "    16.1" "    14.9" "     8.9" "     3.0" "    -3.3" "     5.7" "    -7.5" "     4.0" "    16.3" "     8.9"
"1919" "    -4.6" "    -4.4" "     0.5" "     4.8" "     9.9" "    15.6" "    17.8" "    16.5" "    14.8" "     8.0" "     4.1" "    -6.1" "     6.4" "    -4.1" "     5.1" "    16.6" "     9.0"
"1920" "   -10.8" "    -5.1" "    -0.4" "     3.5" "    10.0" "    13.5" "    17.3" "    18.7" "    14.4" "    11.4" "     1.7" "    -2.3" "     6.0" "    -7.3" "     4.4" "    16.5" "     9.2"
"1921" "    -5.5" "    -6.8" "     2.5" "     7.1" "    10.7" "    15.0" "    18.9" "    16.2" "    15.1" "    10.4" "     1.7" "    -3.1" "     6.9" "    -4.9" "     6.8" "    16.7" "     9.1"
"1922" "    -7.3" "    -6.3" "    -0.3" "     5.0" "    11.1" "    17.2" "    18.2" "    17.2" "    12.8" "     8.0" "     2.5" "    -5.9" "     6.0" "    -5.6" "     5.3" "    17.5" "     7.8"
"1923" "    -7.6" "   -11.5" "    -6.8" "     2.0" "    10.0" "    13.3" "    16.2" "    15.4" "    13.5" "     9.6" "     4.6" " NA" " NA" "    -8.3" "     1.7" "    15.0" "     9.2"
"1924" "    -5.1" "    -8.0" "    -1.4" "     3.7" "    10.9" "    13.8" "    18.1" "    17.9" "    13.2" "     9.0" "     4.6" "    -4.8" "     6.0" " NA" "     4.4" "    16.6" "     8.9"
"1925" "    -8.9" "    -2.0" "     2.2" "     4.6" "     9.5" "    15.2" "    18.0" "    17.7" "    12.7" "     5.9" "     2.8" "    -4.4" "     6.1" "    -5.2" "     5.4" "    17.0" "     7.1"
"1926" "    -6.1" "    -7.5" "    -4.7" "     2.4" "     9.8" "    14.0" "    16.9" "    16.9" " NA" "     9.6" "     4.6" "    -4.8" " NA" "    -6.0" "     2.5" "    15.9" " NA"
"1927" "    -2.9" "    -6.6" "    -1.0" "     4.0" "     9.8" "    14.3" "    19.0" "    17.3" "    14.2" "    11.1" "     6.3" "    -0.9" "     7.1" "    -4.8" "     4.3" "    16.9" "    10.5"
"1928" "    -5.2" "    -6.1" "    -1.6" "     5.6" "    11.4" "    15.0" "    18.6" "    18.9" "    13.5" "     9.2" "     2.8" "    -0.3" "     6.8" "    -4.1" "     5.1" "    17.5" "     8.5"
"1929" "    -6.0" "    -5.3" "    -0.9" "     4.3" "    11.3" "    15.6" "    17.7" "    17.5" "    14.6" "     9.3" "     2.4" "    -4.8" "     6.3" "    -3.9" "     4.9" "    16.9" "     8.8"
"1930" "    -4.8" "    -5.4" "    -0.7" "     4.1" "    10.1" "    18.8" "    19.1" "    17.7" "    15.4" "    10.2" "     3.3" "    -3.3" "     7.0" "    -5.0" "     4.5" "    18.5" "     9.6"
"1931" "    -5.2" "    -4.3" "     1.3" "     6.6" "    11.1" "    15.2" "    19.9" "    18.0" "    14.2" "    10.6" "     6.4" "    -2.4" "     7.6" "    -4.3" "     6.3" "    17.7" "    10.4"
"1932" "    -2.3" "    -7.7" "    -2.4" "     5.2" "    10.3" "    14.6" "    17.7" "    18.8" "    15.5" "    11.6" "     3.9" "     0.0" "     7.1" "    -4.1" "     4.4" "    17.0" "    10.3"
"1933" "    -2.0" "    -2.4" "    -2.4" "     5.4" "    10.5" "    15.0" "    17.2" "    18.4" "    14.7" "    10.0" "    -0.4" "    -7.2" "     6.4" "    -1.5" "     4.5" "    16.9" "     8.1"
"1934" "    -7.8" "    -9.7" "    -2.0" "     6.4" "    10.9" "    14.1" "    18.3" "    16.9" "    16.9" "     9.0" "     5.2" "    -5.4" "     6.1" "    -8.2" "     5.1" "    16.4" "    10.4"
"1935" "    -7.3" "    -7.0" "    -2.7" "     4.3" "    10.1" "    16.0" "    18.7" "    19.1" "    13.2" "     8.8" "     6.2" "    -4.3" "     6.3" "    -6.6" "     3.9" "    17.9" "     9.4"
"1936" "    -5.5" "    -7.6" "     3.5" "     4.5" "    11.0" "    16.3" "    17.1" "    17.4" "    13.9" "     8.9" "     2.1" "    -1.5" "     6.7" "    -5.8" "     6.3" "    16.9" "     8.3"
"1937" "    -2.1" "    -3.5" "    -2.9" "     5.0" "    12.2" "    16.1" "    19.0" "    20.4" "    15.2" "     9.6" "     4.9" "    -2.5" "     7.6" "    -2.4" "     4.8" "    18.5" "     9.9"
