1021480,BLIND CHANNEL  ,BC, station not joined, Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
1021480,BLIND CHANNEL  ,BC, station non jointe, Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.4, ,    12.7, ,    10.3, ,     7.7, ,     2.9, ,     3.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.0, 
 1959,     1.9, ,     1.8, ,     2.9, ,     5.6, ,     7.5, ,    10.1, ,    11.8, ,    11.7, ,     9.9, ,     7.5, ,     3.6, ,     3.0, ,     6.4, ,     2.5, ,     5.3, ,    11.2, ,     7.0, 
 1960,     1.3, ,     2.4, ,     2.6, ,     5.2, ,     7.5, ,     9.6, ,    11.8, ,    11.2, ,     9.3, ,     8.1, ,     4.4, ,     3.2, ,     6.4, ,     2.2, ,     5.1, ,    10.9, ,     7.3, 
 1961,     3.0, ,     3.3, ,     3.9, ,     5.6, ,     8.2, ,    10.8, ,    12.5, ,    12.6, ,     9.6, ,     6.1, ,     3.0, ,     1.4, ,     6.7, ,     3.2, ,     5.9, ,    12.0, ,     6.2, 
 1962,     1.6, ,     2.2, ,     1.6, ,     5.9, ,     7.0, ,     9.6, ,    11.2, ,    11.9, ,    10.0, ,     8.0, ,     5.0, ,     3.8, ,     6.5, ,     1.7, ,     4.8, ,    10.9, ,     7.7, 
 1963,     0.8, ,     4.9, ,     3.0, ,     5.6, ,     8.0, ,    10.0, ,    11.7, ,    12.3, ,    11.1, ,     7.9, ,     3.6, ,     3.3, ,     6.9, ,     3.2, ,     5.5, ,    11.3, ,     7.5, 
 1964,     2.1, ,     2.5, ,     2.7, ,     4.8, ,     6.9, ,    10.4, ,    11.5, ,    11.3, ,     9.4, ,     6.5, ,     2.5, ,    -1.0, ,     5.8, ,     2.6, ,     4.8, ,    11.1, ,     6.1, 
 1965,     0.8, ,     1.9, ,     1.9, ,     5.5, ,     7.1, ,     9.6, ,    12.1, ,    11.7, ,     9.5, ,     7.5, ,     4.9, ,     1.5, ,     6.2, ,     0.6, ,     4.8, ,    11.1, ,     7.3, 
 1966,     1.1, ,     2.9, ,     3.0, ,     5.2, ,     6.8, ,     9.7, ,    11.6, ,    11.5, ,    10.4, ,     5.8, ,     4.3, ,     3.7, ,     6.3, ,     1.8, ,     5.0, ,    10.9, ,     6.8, 
 1967,     1.8, ,     2.9, ,     2.0, ,     3.9, ,     8.1, ,    11.1, ,    11.9, ,    13.1, ,    10.1, ,     8.1, ,     4.4, ,     1.8, ,     6.6, ,     2.8, ,     4.7, ,    12.0, ,     7.5, 
 1968,     1.2, ,     2.3, ,     4.2, ,     4.3, ,     7.6, ,     9.4, ,    12.5, ,    11.5, ,    10.4, ,     7.0, ,     4.4, ,    -1.5, ,     6.1, ,     1.8, ,     5.4, ,    11.1, ,     7.3, 
 1969,    -4.7, ,     0.5, ,     2.6, ,     4.9, ,     7.7, ,    11.8, ,    11.3, ,    10.9, ,    10.2, ,     6.5, ,     5.6, ,     4.2, ,     6.0, ,    -1.9, ,     5.1, ,    11.3, ,     7.4, 
