2202103,FORT SIMPSON   ,NT, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
2202103,FORT SIMPSON   ,NT, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1895, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -21.6, ,   -33.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1896, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1897, -9999.9,M, -9999.9,M,   -28.3, ,   -10.7, ,     0.4, ,     8.2, ,    10.0, ,     9.7, ,     0.4, ,   -11.4, ,   -22.3, ,   -28.6, , -9999.9,M, -9999.9,M,   -12.9, ,     9.3, ,   -11.1, 
 1898,   -28.1, ,   -36.7, ,   -22.9, ,    -4.8, ,     1.5, ,     6.0, ,     7.7, ,     7.3, ,     2.7, ,    -9.0, ,   -28.6, ,   -26.7, ,   -11.0, ,   -31.1, ,    -8.7, ,     7.0, ,   -11.6, 
 1899,   -34.4, ,   -38.9, ,   -28.3, ,   -11.3, ,    -3.6, ,     6.3, ,     9.7, ,     5.3, ,     0.5, ,   -10.6, ,   -15.6, ,   -30.7, ,   -12.6, ,   -33.3, ,   -14.4, ,     7.1, ,    -8.6, 
 1900,   -36.4, ,   -36.4, ,   -27.5, ,    -7.8, ,     1.8, ,     7.6, ,     7.7, ,     6.9, ,     1.6, ,    -7.1, ,   -22.6, ,   -28.9, ,   -11.8, ,   -34.5, ,   -11.2, ,     7.4, ,    -9.4, 
 1901,   -32.0, ,   -28.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,    -3.1, ,   -24.9, ,   -25.9, , -9999.9,M,   -29.8, , -9999.9,M, -9999.9,M,    -9.0, 
 1902,   -31.9, ,   -23.9, ,   -27.7, ,   -12.1, ,    -0.3, ,     5.4, ,     9.8, ,     6.9, ,     0.9, ,    -4.8, ,   -24.4, ,   -33.3, ,   -11.3, ,   -27.2, ,   -13.4, ,     7.4, ,    -9.4, 
 1903, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.8, ,     8.7, ,     9.7, ,     8.8, ,     0.4, ,    -9.9, ,   -23.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.1, ,   -11.0, 
 1904,   -34.8, ,   -37.1, ,   -25.6, ,    -4.6, ,     1.3, ,     6.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -9.6, , -9999.9,M, -9999.9,M
