2403498,RESOLUTE       ,NU, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
2403498,RESOLUTE       ,NU, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.0, ,   -21.9, ,   -29.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1948,   -34.7, ,   -40.9, ,   -38.0, ,   -27.7, ,   -14.2, ,    -1.5, ,     2.3, ,    -0.2, ,    -6.4, ,   -17.8, ,   -25.6, ,   -37.0, ,   -20.1, ,   -34.9, ,   -26.6, ,     0.2, ,   -16.6, 
 1949,   -39.0, ,   -40.3, ,   -34.5, ,   -29.6, ,   -16.0, ,    -1.7, ,     1.6, ,     1.3, ,    -8.3, ,   -18.0, ,   -27.5, ,   -32.1, ,   -20.3, ,   -38.8, ,   -26.7, ,     0.4, ,   -17.9, 
 1950,   -40.1, ,   -39.6, ,   -32.6, ,   -31.3, ,   -13.5, ,    -2.6, ,     1.7, ,     0.2, ,    -7.2, ,   -19.8, ,   -27.3, ,   -30.6, ,   -20.2, ,   -37.3, ,   -25.8, ,    -0.2, ,   -18.1, 
 1951,   -35.9, ,   -40.3, ,   -31.9, ,   -25.9, ,   -11.9, ,    -0.6, ,     1.8, ,    -0.1, ,    -5.5, ,   -18.2, ,   -28.8, ,   -36.0, ,   -19.4, ,   -35.6, ,   -23.2, ,     0.4, ,   -17.5, 
 1952,   -37.3, ,   -36.8, ,   -34.7, ,   -25.4, ,    -7.2, ,     0.4, ,     1.5, ,     0.0, ,    -8.3, ,   -19.2, ,   -26.9, ,   -28.6, ,   -18.5, ,   -36.7, ,   -22.4, ,     0.6, ,   -18.1, 
 1953,   -38.2, ,   -35.1, ,   -34.0, ,   -19.6, ,   -12.4, ,    -3.1, ,     1.2, ,    -0.1, ,    -7.5, ,   -20.1, ,   -27.2, ,   -36.1, ,   -19.4, ,   -34.0, ,   -22.0, ,    -0.7, ,   -18.3, 
 1954,   -37.2, ,   -37.4, ,   -34.6, ,   -26.2, ,   -13.1, ,    -2.8, ,     2.2, ,     1.7, ,    -3.9, ,   -16.2, ,   -26.7, ,   -34.0, ,   -19.0, ,   -36.9, ,   -24.6, ,     0.4, ,   -15.6, 
 1955,   -33.2, ,   -41.3, ,   -35.5, ,   -24.8, ,   -14.4, ,    -2.6, ,     0.4, ,     0.2, ,    -6.7, ,   -12.0, ,   -30.5, ,   -33.1, ,   -19.5, ,   -36.2, ,   -24.9, ,    -0.7, ,   -16.4, 
 1956,   -35.0, ,   -35.1, ,   -39.9, ,   -25.1, ,   -18.0, ,    -3.7, ,     1.6, ,    -0.2, ,    -8.3, ,   -21.7, ,   -27.0, ,   -33.2, ,   -20.5, ,   -34.4, ,   -27.7, ,    -0.8, ,   -19.0, 
 1957,   -39.6, ,   -34.5, ,   -31.5, ,   -26.5, ,   -15.8, ,    -1.1, ,     2.7, ,    -0.6, ,    -5.9, ,   -18.4, ,   -31.0, ,   -35.9, ,   -19.8, ,   -35.8, ,   -24.6, ,     0.3, ,   -18.4, 
 1958,   -32.3, ,   -38.9, ,   -33.4, ,   -31.2, ,   -11.5, ,    -1.0, ,     2.7, ,     3.4, ,    -4.7, ,   -15.5, ,   -31.6, ,   -30.2, ,   -18.7, ,   -35.7, ,   -25.4, ,     1.7, ,   -17.3, 
 1959,   -30.8, ,   -38.1, ,   -37.1, ,   -27.3, ,   -17.6, ,    -2.8, ,     1.8, ,     0.6, ,    -6.6, ,   -20.5, ,   -23.9, ,   -30.5, ,   -19.4, ,   -33.0, ,   -27.3, ,    -0.1, ,   -17.0, 
 1960,   -34.9, ,   -34.7, ,   -37.3, ,   -28.9, ,   -11.0, ,    -0.5, ,     2.8, ,     2.0, ,    -5.9, ,   -15.7, ,   -29.5, ,   -30.0, ,   -18.6, ,   -33.4, ,   -25.7, ,     1.4, ,   -17.0, 
 1961,   -35.9, ,   -37.4, ,   -40.2, ,   -23.5, ,   -16.6, ,    -3.6, ,     1.5, ,    -0.5, ,    -9.9, ,   -18.9, ,   -26.7, ,   -32.3, ,   -20.3, ,   -34.4, ,   -26.8, ,    -0.9, ,   -18.5, 
 1962,   -37.8, ,   -39.0, ,   -26.3, ,   -27.3, ,   -15.0, ,    -0.4, ,     4.5, ,     0.9, ,    -5.9, ,   -18.0,a,   -28.4,a,   -31.6,a,   -18.7,a,   -36.4, ,   -22.9, ,     1.7, ,   -17.4,a
 1963,   -34.8,a,   -31.9,a,   -37.5,a,   -24.4,a,   -14.6,a,    -2.6,a,     1.5,a,    -0.9,a,    -8.2,a,   -19.7,a,   -22.6,a,   -32.0,a,   -19.0,a,   -32.8,a,   -25.5,a,    -0.7,a,   -16.8,a
 1964,   -37.0,a,   -37.7,a,   -37.1,a,   -28.6,a,   -15.0,a,    -2.6,a,    -0.5,a,     0.2,a,    -5.7,a,   -21.7,a,   -23.8,a,   -30.4,a,   -20.0,a,   -35.6,a,   -26.9,a,    -1.0,a,   -17.1,a
 1965,   -35.1,a,   -34.1,a,   -32.5,a,   -26.1,a,    -9.8,a,    -5.0,a,     0.4,a,    -0.8,a,    -9.3,a,   -19.1,a,   -22.6,a,   -33.7,a,   -19.0,a,   -33.2,a,   -22.8,a,    -1.8,a,   -17.0,a
 1966,   -41.3,a,   -35.1,a,   -35.2,a,   -28.7,a,   -12.3,a,    -4.3,a,     1.3,a,     1.2,a,    -6.0,a,   -19.1,a,   -28.7,a,   -31.5,a,   -20.0,a,   -36.7,a,   -25.4,a,    -0.6,a,   -17.9,a
 1967,   -33.9,a,   -39.7,a,   -36.6,a,   -28.8,a,   -11.1,a,    -3.7,a,     0.6,a,    -0.8,a,    -8.5,a,   -17.0,a,   -34.5,a,   -29.9,a,   -20.3,a,   -35.0,a,   -25.5,a,    -1.3,a,   -20.0,a
 1968,   -37.8,a,   -39.9,a,   -33.2,a,   -24.5,a,   -15.1,a,    -3.3,a,     1.7,a,     0.4,a,    -5.7,a,   -12.5,a,   -28.9,a,   -33.3,a,   -19.3,a,   -35.9,a,   -24.3,a,    -0.4,a,   -15.7,a
 1969,   -32.1,a,   -30.7,a,   -34.6,a,   -26.6,a,   -13.8,a,    -4.0,a,     1.2,a,     0.8,a,    -6.5,a,   -15.1,a,   -30.6,a,   -29.6,a,   -18.5,a,   -32.0,a,   -25.0,a,    -0.7,a,   -17.4,a
 1970,   -33.9,a,   -34.3,a,   -32.9,a,   -30.2,a,   -16.9,a,    -4.4,a,     1.4,a,     0.3,a,    -5.5,a,   -16.5,a,   -27.6,a,   -34.5,a,   -19.6,a,   -32.6,a,   -26.7,a,    -0.9,a,   -16.5,a
 1971,   -35.8,a,   -34.9,a,   -30.5,a,   -25.1,a,   -14.7,a,    -1.7,a,     2.6,a,    -0.8,a,    -5.6,a,   -16.8,a,   -28.9,a,   -35.6,a,   -19.0,a,   -35.1,a,   -23.4,a,     0.0,a,   -17.1,a
