3072723,FORT VERMILION ,AB, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
3072723,FORT VERMILION ,AB, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1908, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.0,a,     8.3,a,     3.3,a,    -4.1,a,   -16.5,a,   -25.3,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.8,a
 1909,   -35.6,a,   -30.2,a,   -13.2,a,   -12.1,a,     3.9,a,     8.0,a,    10.9,a,     8.1,a,     5.2,a,    -0.3,a,   -20.4,a,   -24.8,a,    -8.4,a,   -30.4,a,    -7.1,a,     9.0,a,    -5.2,a
 1910,   -23.7,a,   -29.2,a,   -13.9,a,    -1.3,a,     3.0,a,     7.7,a,    10.4,a,     6.3,a,     3.7,a,    -1.9,a,   -18.4,a,   -25.0,a,    -6.9,a,   -25.9,a,    -4.1,a,     8.1,a,    -5.5,a
 1911,   -38.0,a,   -26.7,a,   -14.6,a,    -9.0,a,     3.5,a,     7.2,a,     9.3,a,     6.7,a,     0.7,a,    -2.4,a,   -22.0,a,   -23.6,a,    -9.1,a,   -29.9,a,    -6.7,a,     7.7,a,    -7.9,a
 1912,   -28.4,a,   -22.3,a,   -20.5,a,    -3.7,a,     3.2,a,     8.2,a,     7.2,a,     8.7,a,    -0.1,a,    -2.9,a,   -11.5,a,   -23.5,a,    -7.1,a,   -24.8,a,    -7.0,a,     8.0,a,    -4.8,a
 1913,   -34.4,a,   -24.6,a,   -23.0,a,    -3.6,a,     2.2,a,     5.9,a,     8.9,a,     9.2,a,     2.5,a,    -4.8,a,   -13.6,a,   -18.0,a,    -7.8,a,   -27.5,a,    -8.1,a,     8.0,a,    -5.3,a
 1914,   -27.2,a,   -30.2,a,   -21.6,a,    -6.1,a,     2.8,a,     7.6,a,     9.5,a,     8.3,a,     3.0,a,    -1.8,a,   -13.4,a,   -29.9,a,    -8.3,a,   -25.1,a,    -8.3,a,     8.5,a,    -4.1,a
 1915,   -27.5,a,   -23.9,a,   -14.7,a,    -0.3,a,     3.8,a,     4.9,a,     8.6,a,     9.1,a,     0.6,a,    -5.3,a,   -19.7,a,   -22.9,a,    -7.3,a,   -27.1,a,    -3.7,a,     7.5,a,    -8.1,a
 1916,   -35.8,a,   -24.3,a,   -23.1,a,    -4.6,a,     2.2,a,     7.1,a,     8.6,a,     5.5,a,     2.3,a,    -3.9,a,   -16.4,a,   -29.9,a,    -9.4,a,   -27.7,a,    -8.5,a,     7.1,a,    -6.0,a
 1917,   -32.7,a,   -29.3,a,   -21.7,a,    -9.4,a,     1.1,a,     4.5,a,     8.4,a,     6.4,a,    -1.0,a,    -6.3,a,   -10.3,a,   -36.4,a,   -10.6,a,   -30.6,a,   -10.0,a,     6.4,a,    -5.9,a
 1918,   -30.3,a,   -30.0,a,   -24.4,a,    -8.3,a,    -0.6,a,     4.8,a,     5.5,a,     6.7,a,     0.2,a,    -8.1,a,   -17.3,a,   -25.1,a,   -10.6,a,   -32.2,a,   -11.1,a,     5.7,a,    -8.4,a
 1919,   -24.5,a,   -30.2,a,   -29.3,a,    -5.2,a,     0.1,a,     4.8,a,     8.9,a,     7.7,a,     0.8,a,   -12.8,a,   -23.2,a,   -27.9,a,   -10.9,a,   -26.6,a,   -11.5,a,     7.1,a,   -11.7,a
 1920,   -32.8,a,   -21.7,a,   -22.5,a,   -12.7,a,    -0.1,a,     3.2,a,     8.3,a,     6.1,a,     0.7,a,    -6.8,a,   -15.8,a,   -27.1,a,   -10.1,a,   -27.5,a,   -11.8,a,     5.9,a,    -7.3,a
 1921,   -32.2,a,   -27.3,a,   -26.2,a,    -5.6,a,     1.3,a,     6.1,a,    10.4,a,     8.3,a,     2.7,a,     0.7,a,   -17.9,a,   -22.8,a,    -8.5,a,   -28.9,a,   -10.2,a,     8.3,a,    -4.8,a
 1922,   -25.0,a,   -28.3,a,   -22.7,a,    -7.8,a,     4.9,a,     7.8,a,    10.2,a,    10.0,a,     4.0,a,    -1.7,a,   -16.1,a,   -25.9,a,    -7.6,a,   -25.4,a,    -8.5,a,     9.3,a,    -4.6,a
 1923,   -32.0, ,   -27.8, ,   -25.3, ,   -10.1, ,     0.8, ,     8.8, ,     9.4, ,     7.0, ,     1.4, ,    -4.3, ,   -11.4, ,   -26.0, ,    -9.1, ,   -28.6,a,   -11.5, ,     8.4, ,    -4.8, 
 1924,   -32.0, ,   -24.3, ,   -17.3, ,   -14.1, ,     1.6, ,     5.2, ,     8.9, ,     7.3, ,     1.8, ,    -2.7, ,   -14.9, ,   -30.1, ,    -9.2, ,   -27.4, ,    -9.9, ,     7.1, ,    -5.3, 
 1925,   -34.1, ,   -32.3, ,   -22.7, ,    -4.4, ,     2.7, ,     5.4, ,     9.6, ,     8.7, ,     0.3, ,    -7.9, ,   -19.0, ,   -20.4, ,    -9.5, ,   -32.2, ,    -8.1, ,     7.9, ,    -8.9, 
 1926,   -24.0, ,   -21.4, ,   -14.9, ,    -4.7, ,     2.7, ,     5.8, ,    11.1, ,     6.0, ,    -0.4, ,    -3.7, ,   -14.8, ,   -26.9, ,    -7.1, ,   -21.9, ,    -5.6, ,     7.6, ,    -6.3, 
 1927,   -29.4, ,   -28.6, ,   -15.7, ,    -9.9, ,     1.2, ,     7.1, ,    10.0, ,     7.1, ,     1.2, ,    -4.9, ,   -26.0, ,   -32.8, ,   -10.1, ,   -28.3, ,    -8.1, ,     8.1, ,    -9.9, 
 1928,   -24.1, ,   -22.5, ,   -16.9, ,   -12.6, ,     3.3, ,     7.7, ,     8.8, ,     4.8, ,     0.1, ,    -5.5, ,   -14.9, ,   -19.8, ,    -7.6, ,   -26.5, ,    -8.7, ,     7.1, ,    -6.8, 
 1929,   -32.0, ,   -28.4, ,   -21.9, ,    -9.0, ,     1.2, ,     7.9, ,     9.1, ,     6.9, ,     1.1, ,    -3.6, ,   -14.5, ,   -26.9, ,    -9.2, ,   -26.7, ,    -9.9, ,     8.0, ,    -5.7, 
 1930,   -27.2, ,   -27.0, ,   -20.9, ,    -4.1, ,     1.8, ,     7.6, ,     9.6, ,     8.0, ,     2.3, ,    -6.2, ,   -15.9, ,   -16.9, ,    -7.4, ,   -27.0, ,    -7.7, ,     8.4, ,    -6.6, 
 1931,   -23.7, ,   -18.8, ,   -24.7, ,    -6.0, ,     1.2, ,     7.0, ,     9.0, ,     7.0, ,     2.3, ,    -4.9, ,   -14.3, ,   -22.3, ,    -7.4, ,   -19.8, ,    -9.8, ,     7.7, ,    -5.6, 
 1932,   -28.8, ,   -31.9, ,   -27.0, ,    -5.9, ,     2.7, ,     6.8, ,     8.8, ,     9.2, ,     0.2, ,    -9.2, ,   -23.2, ,   -27.7, ,   -10.5, ,   -27.7, ,   -10.1, ,     8.3, ,   -10.7, 
 1933,   -32.9, ,   -33.1, ,   -22.9, ,    -9.8, ,     3.3, ,     7.1, ,     7.5, ,     7.8, ,     1.2, ,    -6.7, ,   -18.3, ,   -39.1, ,   -11.3, ,   -31.2, ,    -9.8, ,     7.5, ,    -7.9, 
 1934,   -31.3, ,   -24.6, ,   -23.7, ,    -6.9, ,     3.8, ,     6.1, ,     8.3, ,     5.9, ,     0.0, ,    -4.6, ,   -14.1, ,   -27.4, ,    -9.0, ,   -31.7, ,    -8.9, ,     6.8, ,    -6.2, 
 1935,   -36.3, ,   -18.3, ,   -23.8, ,   -13.7, ,     2.7, ,     7.3, ,    10.8, ,     6.8, ,     2.3, ,    -6.7, ,   -22.4, ,   -24.8, ,    -9.7, ,   -27.3, ,   -11.6, ,     8.3, ,    -8.9, 
 1936,   -36.5, ,   -40.6, ,   -19.4, ,    -9.4, ,     3.8, ,     6.4, ,    10.0, ,     8.2, ,     1.4, ,    -4.3, ,   -11.1, ,   -28.0, ,   -10.0, ,   -34.0, ,    -8.3, ,     8.2, ,    -4.7, 
